,SNAngel, ,SNWeiwei, ,SNMaple, ,SNSmlz, ,SNSwordArt, ,TESMoyu, ,TESAKi, ,TESKnight9, ,TESLokeN, ,TESQiuQiu, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,3,96,4,98,2,99,0,97,1,95,94,5,96,5,95,2,97,3,93,3,0,0,0,0,[]
1,4,95,4,97,2,98,1,97,1,95,94,4,95,5,95,2,97,4,93,3,0,0,0,0,[]
2,4,95,3,94,4,95,5,97,4,95,92,4,93,5,93,5,95,4,95,6,0,0,0,0,[]
3,3,95,3,94,4,94,5,97,5,95,92,4,93,5,93,6,94,6,94,7,0,0,0,0,[]
4,20,83,18,77,14,73,28,93,25,85,69,7,74,16,79,22,84,26,91,30,0,0,0,0,[]
5,35,67,32,59,19,51,50,89,41,70,47,11,56,30,63,38,80,48,80,47,0,0,0,0,[]
6,45,54,34,43,23,34,69,80,57,64,30,20,48,34,52,48,73,64,65,57,0,0,0,0,[]
7,45,50,40,37,24,27,77,74,59,70,29,22,47,35,54,46,74,64,65,56,0,0,0,0,[]
8,41,39,41,36,33,35,76,72,67,78,30,19,47,34,53,41,74,64,65,56,0,0,0,0,[]
9,44,36,46,35,41,35,74,76,69,78,30,20,54,31,52,41,72,64,66,56,0,0,0,0,[]
10,35,41,36,39,34,38,73,78,2,96,29,22,45,34,53,48,72,64,65,56,0,0,0,0,[]
11,36,49,31,48,34,38,73,77,12,95,30,21,45,34,54,48,72,63,65,56,0,0,0,0,[]
12,44,53,31,47,35,39,74,77,23,94,30,21,44,34,52,48,73,63,65,56,0,0,0,0,[]
13,46,53,21,50,32,38,72,78,34,93,29,22,55,32,54,47,73,63,65,56,0,0,0,0,[]
14,47,53,21,48,24,32,73,78,45,91,28,20,64,37,52,47,72,64,65,57,0,0,0,0,[]
15,45,53,22,47,18,24,70,79,56,90,29,21,73,43,52,48,72,63,65,57,0,0,0,0,[]
16,47,53,23,45,19,24,73,87,69,88,29,21,74,42,53,47,78,64,72,63,0,0,0,0,[]
17,46,54,22,45,19,25,83,90,79,90,30,21,73,42,49,49,87,67,81,66,0,0,0,0,[]
18,47,54,23,45,17,22,89,83,88,84,28,19,75,44,51,47,88,70,88,71,0,0,0,0,[]
19,47,53,22,42,16,17,89,83,88,83,22,12,72,41,50,47,86,77,88,78,0,0,0,0,[]
20,48,53,18,48,13,18,87,83,86,82,20,14,70,40,50,47,87,77,90,77,0,0,0,0,[]
21,50,51,21,44,10,20,84,85,85,86,16,15,74,42,51,45,87,79,87,80,0,0,0,0,[]
22,47,55,18,45,10,20,83,85,85,86,16,15,68,40,50,50,87,79,88,81,0,0,0,0,[]
23,48,53,18,46,10,17,87,85,86,84,17,15,60,34,51,50,87,79,89,79,0,0,0,0,[]
24,47,54,20,50,12,16,86,81,89,81,19,14,57,28,52,49,88,74,91,76,0,0,0,0,[]
25,46,52,24,57,13,16,86,80,87,81,17,15,49,19,53,49,88,73,91,75,0,0,0,0,[]
26,44,56,29,60,13,16,87,81,87,82,19,13,43,17,48,50,87,75,91,77,0,0,0,0,[]
27,44,56,37,64,11,19,86,79,89,78,15,15,47,16,48,50,87,74,92,73,0,0,0,0,[]
28,44,57,46,68,15,17,88,77,89,79,18,12,44,16,46,50,90,69,93,71,0,0,0,0,[]
29,42,58,50,66,13,17,88,80,85,79,19,12,43,16,45,53,89,72,91,72,0,0,0,0,[]
30,43,57,57,63,12,19,84,79,88,76,18,13,45,14,47,52,90,69,91,69,0,0,0,0,[]
31,43,56,68,63,10,18,85,79,87,79,16,17,48,18,45,50,88,70,92,73,0,0,0,0,[]
32,44,57,74,58,13,16,84,83,82,78,18,15,47,26,45,51,89,77,88,78,0,0,0,0,[]
33,45,57,75,61,13,17,84,81,80,79,20,15,51,25,45,52,90,77,87,76,0,0,0,0,[]
34,44,56,78,55,13,17,83,81,80,78,19,16,53,28,47,50,89,78,87,76,0,0,0,0,[]
35,44,57,80,56,12,18,83,81,81,78,17,13,52,29,45,53,89,79,87,75,0,0,0,0,[]
36,45,54,75,58,14,20,84,81,81,78,14,14,51,29,49,48,88,79,88,76,0,0,0,0,[]
37,45,54,67,63,11,19,84,81,85,80,12,15,50,34,49,48,90,76,89,76,0,0,0,0,[]
38,46,55,57,65,13,21,84,84,84,83,14,13,54,31,50,47,89,77,88,79,0,0,0,0,[]
