,FPXGimGoon, ,FPXTian, ,FPXDoinb, ,FPXLwx, ,FPXCrisp, ,V5Mole, ,V5Ben4, ,V5Windy, ,V5y4, ,V5Max, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,3,96,4,98,2,99,0,97,1,95,95,2,96,5,94,5,97,3,93,3,0,0,0,0,[]
1,3,95,4,97,2,98,2,97,1,95,95,2,95,5,93,5,97,3,93,3,0,0,0,0,[]
2,3,94,5,96,4,96,5,96,4,95,92,5,94,6,93,5,93,5,92,4,0,0,0,0,[]
3,3,94,5,96,4,96,5,96,5,95,92,5,94,6,93,5,94,6,92,5,0,0,0,0,[]
4,18,78,25,83,23,88,28,93,25,85,75,16,74,16,79,21,84,25,80,22,0,0,0,0,[]
5,39,76,44,79,45,88,50,89,47,88,58,30,56,29,66,40,80,47,65,39,0,0,0,0,[]
6,61,77,62,77,66,83,68,80,68,82,62,42,54,32,66,46,79,67,66,47,0,0,0,0,[]
7,72,75,73,75,73,74,74,72,74,74,66,46,62,38,65,46,78,64,66,47,0,0,0,0,[]
8,75,65,74,66,72,64,75,61,74,66,66,47,67,47,66,51,77,53,66,50,0,0,0,0,[]
9,77,54,76,55,76,54,78,50,75,57,65,57,66,56,65,56,70,50,64,57,0,0,0,0,[]
10,76,46,76,46,78,49,72,42,76,49,65,56,66,56,65,57,65,57,64,57,0,0,0,0,[]
11,77,52,76,52,77,52,77,51,77,51,65,56,66,56,66,56,65,57,64,57,0,0,0,0,[]
12,77,52,75,60,76,58,76,56,76,54,65,56,66,56,66,56,65,57,65,56,0,0,0,0,[]
13,77,52,74,63,75,68,75,67,74,65,65,56,66,56,66,55,65,57,65,57,0,0,0,0,[]
14,3,92,76,67,74,65,78,72,79,75,65,56,66,56,66,55,64,57,65,56,0,0,0,0,[]
15,7,82,78,72,74,69,78,72,78,74,65,56,66,56,65,56,66,57,65,57,0,0,0,0,[]
16,14,73,75,62,74,65,76,68,76,70,65,56,66,56,65,56,65,57,65,57,0,0,0,0,[]
17,18,63,75,60,74,62,75,64,77,72,66,56,66,56,65,56,65,57,65,57,0,0,0,0,[]
18,19,52,74,60,72,66,75,60,74,66,66,55,67,58,66,60,67,60,67,61,0,0,0,0,[]
19,22,42,76,68,73,70,78,70,74,73,66,59,72,64,72,65,73,64,74,65,0,0,0,0,[]
20,22,31,75,74,73,73,73,72,74,71,71,68,74,65,73,67,75,67,75,68,0,0,0,0,[]
21,17,21,66,78,65,77,79,76,79,75,70,63,74,55,67,63,75,64,75,60,0,0,0,0,[]
22,13,17,55,76,58,70,80,81,85,82,67,60,76,54,58,57,83,66,74,55,0,0,0,0,[]
23,12,16,49,74,51,62,81,83,89,81,18,14,76,55,52,51,87,72,75,57,0,0,0,0,[]
24,13,12,48,73,49,52,86,84,89,83,18,14,76,52,48,49,88,74,78,61,0,0,0,0,[]
25,17,12,46,71,46,54,83,83,85,84,17,16,79,50,49,50,88,78,86,66,0,0,0,0,[]
26,15,12,45,70,46,51,82,85,84,85,20,15,76,45,50,49,87,81,86,76,0,0,0,0,[]
27,14,12,39,65,45,52,85,86,83,83,20,13,72,41,47,51,88,79,87,79,0,0,0,0,[]
28,14,12,31,57,43,54,85,80,85,79,20,14,71,40,49,51,89,77,86,76,0,0,0,0,[]
29,17,17,31,44,42,53,87,83,82,78,20,11,70,39,47,50,88,78,89,76,0,0,0,0,[]
30,22,10,39,38,43,53,84,83,74,70,23,7,62,37,46,53,90,77,88,76,0,0,0,0,[]
31,21,11,45,43,45,52,82,83,65,64,27,8,53,34,48,51,89,76,87,75,0,0,0,0,[]
32,20,13,47,47,46,50,85,87,57,57,27,9,56,31,47,50,87,77,87,77,0,0,0,0,[]
33,19,15,46,52,44,53,85,87,48,54,23,9,54,32,45,52,87,77,86,77,0,0,0,0,[]
34,19,15,44,46,44,56,86,83,51,60,23,8,51,27,45,54,88,76,90,78,0,0,0,0,"['2:47 FPXCrisp(Ñª¸Û¹íÓ°) »÷É±ÁË V5Windy(¼²·ç½£ºÀ),»ñµÃÒ»Ñª']"
35,22,14,43,35,41,55,83,82,61,63,23,7,43,23,95,4,88,77,89,81,0,0,0,0,[]
36,23,13,32,37,43,54,83,78,71,69,24,7,44,16,86,9,86,77,87,82,0,0,0,0,[]
37,25,15,24,41,43,55,85,80,79,76,25,8,45,14,79,18,89,74,90,76,0,0,0,0,[]
38,19,12,23,44,45,54,87,80,85,80,25,8,44,15,71,26,87,74,89,76,0,0,0,0,[]
39,21,8,20,45,45,53,86,81,84,79,26,11,45,13,64,35,87,75,88,76,0,0,0,0,[]
40,19,9,18,45,39,58,84,79,88,78,27,10,47,9,55,42,89,73,89,75,0,0,0,0,[]
41,21,9,21,41,39,58,87,76,88,78,28,9,47,8,55,43,89,69,90,70,0,0,0,0,[]
42,25,10,25,37,2,96,84,79,79,75,27,6,95,5,54,44,91,71,89,72,0,0,0,0,[]
43,22,11,25,31,2,96,82,81,75,71,28,6,89,18,53,44,88,74,89,75,0,0,0,0,[]
44,17,13,31,35,50,48,81,83,81,80,25,7,83,29,53,43,86,79,88,83,0,0,0,0,[]
45,17,11,38,42,50,47,80,84,81,83,24,11,80,40,52,45,87,81,87,83,0,0,0,0,[]
46,16,11,44,50,50,49,80,85,79,79,22,9,78,51,53,45,87,80,86,84,0,0,0,0,[]
47,21,10,51,59,50,49,84,85,77,75,25,10,75,61,52,45,84,79,81,78,0,0,0,0,[]
48,23,12,56,56,49,51,83,89,72,76,29,8,66,62,51,47,82,82,78,78,0,0,0,0,[]
49,22,11,60,58,48,52,82,86,72,71,27,9,71,66,52,45,84,80,77,75,0,0,0,0,[]
50,19,13,65,64,52,54,79,81,67,66,25,11,70,66,53,49,77,74,71,68,0,0,0,0,[]
51,15,14,54,61,52,56,74,77,55,62,22,12,60,61,55,58,74,72,63,62,0,0,0,0,[]
52,17,10,46,58,46,55,79,81,47,68,24,13,50,65,54,61,75,64,56,64,0,0,0,0,[]
53,23,9,48,59,48,59,79,83,45,68,28,10,50,66,52,66,79,74,55,67,0,0,0,0,[]
54,27,19,47,63,49,60,77,73,45,66,26,8,48,65,50,65,75,66,51,66,0,0,0,0,[]
55,27,19,47,64,50,65,67,66,48,65,27,14,48,65,47,64,76,58,50,67,0,0,0,0,[]
56,24,14,50,65,48,65,56,64,53,65,31,7,52,61,47,63,76,58,49,67,0,0,0,0,"['4:36 FPXTian(°µÒá½£Ä§) »÷É±ÁË V5Ben4(¾ÆÍ°)', '4:40 FPXTian(°µÒá½£Ä§) »÷É±ÁË V5Max(¶éÂäÌìÊ¹)']"
