,V5Ben4, ,V5Windy, ,V5y4, ,V5Max, , , ,FPXGimGoon, ,FPXTian, ,FPXDoinb, ,FPXLwx, ,FPXCrisp, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,4,98,4,95,0,97,1,95,2,99,94,5,96,5,95,2,97,3,93,3,0,0,0,0,[]
1,4,98,4,95,1,96,2,95,2,98,93,4,96,5,95,2,96,3,93,4,0,0,0,0,[]
2,5,96,4,95,5,97,4,95,4,95,93,5,92,4,92,3,94,6,94,5,0,0,0,0,[]
3,5,96,4,96,5,96,4,95,4,94,93,5,92,4,92,3,94,7,93,5,0,0,0,0,[]
4,16,79,16,78,27,94,25,85,16,75,70,7,74,16,86,9,84,26,80,21,0,0,0,0,[]
5,32,63,32,61,49,90,41,70,32,66,47,11,55,30,70,26,80,48,66,38,0,0,0,0,[]
6,32,43,34,43,68,81,50,65,32,46,30,20,46,33,54,42,72,63,64,57,0,0,0,0,[]
7,42,43,43,43,67,82,43,67,41,45,30,21,46,33,54,47,72,63,64,57,0,0,0,0,[]
8,41,39,46,37,63,77,40,59,42,44,30,20,50,32,54,44,72,63,64,57,0,0,0,0,[]
9,42,45,42,44,55,75,40,51,34,42,29,21,47,33,59,35,67,63,64,57,0,0,0,0,[]
10,33,43,40,51,65,78,39,62,33,43,30,21,47,33,51,26,72,63,64,57,0,0,0,0,[]
11,33,43,39,50,68,80,44,70,33,43,29,21,41,28,56,22,70,64,65,57,0,0,0,0,[]
12,34,43,43,53,71,86,50,80,33,43,30,19,49,22,55,32,70,64,65,57,0,0,0,0,[]
13,33,43,46,51,69,89,58,85,33,43,29,20,57,26,54,31,74,63,65,57,0,0,0,0,[]
14,32,45,45,52,69,89,69,90,30,39,30,20,63,37,54,31,72,64,64,57,0,0,0,0,[]
15,24,50,45,53,79,91,80,91,21,38,30,21,73,42,54,31,74,62,68,60,0,0,0,0,[]
16,21,47,45,53,87,85,88,83,12,34,30,20,77,51,54,32,73,62,68,60,0,0,0,0,[]
17,22,48,46,51,89,83,89,81,8,24,35,21,74,57,56,33,74,61,73,61,0,0,0,0,[]
18,23,46,47,50,89,82,89,81,10,13,26,22,73,53,56,42,74,56,74,54,0,0,0,0,[]
19,22,47,47,50,86,82,89,82,17,10,19,19,74,53,51,49,76,59,74,55,0,0,0,0,[]
20,19,45,47,50,82,85,86,85,11,13,11,12,76,51,50,48,83,66,75,65,0,0,0,0,[]
21,20,47,49,49,83,84,87,82,12,17,17,11,76,47,52,48,87,73,79,75,0,0,0,0,[]
22,20,48,49,50,86,84,89,82,12,18,16,13,73,42,54,46,88,77,87,76,0,0,0,0,[]
23,18,44,50,47,89,79,88,78,11,18,16,14,71,40,54,46,88,72,88,74,0,0,0,0,[]
24,16,44,53,46,89,75,87,76,12,18,15,16,70,41,56,46,91,70,90,71,0,0,0,0,[]
25,18,45,51,47,86,81,88,81,14,17,19,16,64,38,54,46,90,74,89,73,0,0,0,0,[]
26,20,50,52,45,83,82,86,85,13,15,19,13,56,32,57,44,88,80,89,83,0,0,0,0,[]
27,23,55,52,45,81,82,82,83,9,19,14,14,52,33,57,43,87,81,86,82,0,0,0,0,[]
28,24,56,53,46,84,79,89,80,9,20,14,17,51,32,58,44,90,74,90,75,0,0,0,0,[]
29,29,60,50,48,84,80,86,77,11,20,14,14,53,33,56,46,88,72,89,76,0,0,0,0,[]
30,38,65,49,50,85,82,84,80,11,21,13,14,51,31,52,49,91,75,89,74,0,0,0,0,[]
31,47,73,48,50,87,79,86,78,11,20,13,16,47,25,53,47,90,73,92,74,0,0,0,0,[]
32,46,71,49,50,84,80,86,82,11,19,17,14,46,24,54,46,88,75,90,76,0,0,0,0,[]
33,46,71,48,50,84,80,87,79,10,20,16,15,46,23,54,46,90,75,89,74,0,0,0,0,[]
34,46,70,51,48,84,80,86,79,11,19,15,15,47,16,55,45,90,77,88,74,0,0,0,0,[]
35,54,64,51,48,86,80,85,79,10,20,17,18,44,16,56,46,91,74,88,73,0,0,0,0,[]
36,63,57,50,47,86,81,80,75,13,21,17,16,40,16,66,41,91,74,88,74,0,0,0,0,[]
37,66,49,50,47,80,75,73,66,16,19,15,18,40,16,67,44,90,77,87,71,0,0,0,0,[]
38,66,45,52,46,79,75,66,58,12,20,16,18,42,15,57,41,90,77,87,68,0,0,0,0,[]
39,66,44,50,40,83,79,66,50,11,22,16,18,49,20,59,37,90,75,82,60,0,0,0,0,[]
40,61,38,59,38,86,79,65,41,9,25,14,18,54,30,64,34,90,74,83,61,0,0,0,0,[]
41,55,45,57,45,80,76,58,45,6,27,12,19,58,37,60,39,89,73,79,55,0,0,0,0,[]
42,49,53,50,48,80,77,52,52,5,32,11,27,52,42,56,44,91,74,72,50,0,0,0,0,[]
43,59,58,52,46,87,80,60,58,5,30,8,25,43,35,56,42,90,74,76,50,0,0,0,0,[]
44,63,61,53,49,84,83,68,62,5,31,10,20,40,35,57,44,88,75,77,59,0,0,0,0,[]
45,63,62,52,49,90,80,75,69,7,25,11,22,32,38,52,43,89,73,82,66,0,0,0,0,[]
46,56,58,51,50,89,81,82,77,5,28,17,23,28,36,52,46,89,75,87,72,0,0,0,0,[]
47,56,61,46,53,86,82,86,80,9,27,23,33,24,33,49,43,89,76,86,75,0,0,0,0,[]
48,47,64,47,53,85,82,87,80,7,21,22,42,33,39,46,50,89,75,87,75,0,0,0,0,[]
49,47,64,48,53,88,84,88,83,7,19,27,35,42,46,46,50,88,75,90,75,0,0,0,0,[]
50,49,65,48,53,85,83,88,84,10,19,20,26,41,45,46,50,86,76,90,77,0,0,0,0,[]
51,50,65,44,56,86,83,87,83,9,17,15,17,44,51,46,52,88,75,90,77,0,0,0,0,[]
52,49,60,42,57,84,81,87,85,9,20,15,18,44,54,45,54,87,78,90,81,0,0,0,0,[]
53,46,51,45,55,82,82,88,84,12,18,18,13,44,44,45,40,87,77,88,81,0,0,0,0,[]
54,50,50,46,53,80,87,83,86,8,17,17,16,44,44,47,39,85,80,85,83,0,0,0,0,[]
55,47,54,48,55,81,88,84,88,8,19,11,17,47,51,49,50,85,87,83,86,0,0,0,0,[]
56,46,55,43,57,79,91,78,89,7,25,8,20,47,54,47,55,83,89,83,86,0,0,0,0,[]
57,40,61,41,56,73,91,74,91,8,30,11,21,52,57,48,51,80,88,80,90,0,0,0,0,[]
58,40,72,42,55,70,91,70,90,5,31,9,27,55,67,48,51,79,88,76,87,0,0,0,0,[]
59,51,83,39,56,69,92,68,92,5,33,11,29,57,74,51,50,77,87,78,86,0,0,0,0,[]
60,53,86,39,56,69,91,70,90,4,43,6,40,65,69,7,36,77,80,84,87,0,0,0,0,[]
61,52,86,2,96,72,91,72,90,5,52,8,36,74,61,9,38,77,80,85,87,0,0,0,0,[]
62,52,86,3,96,75,90,72,92,5,52,10,31,82,57,14,35,95,4,87,85,0,0,0,0,[]
63,52,86,12,89,74,90,73,85,2,96,7,28,83,57,14,35,81,84,83,89,0,0,0,0,[]
64,54,87,21,80,73,88,70,79,8,27,8,19,82,55,89,6,80,84,83,89,0,0,0,0,[]
65,62,84,29,71,71,90,70,79,8,19,14,10,77,54,80,15,80,84,82,85,0,0,0,0,[]
66,70,79,37,63,72,88,70,79,12,17,17,9,73,44,72,25,79,83,77,80,0,0,0,0,[]
67,72,78,45,55,78,86,76,79,18,12,23,8,73,44,65,36,83,80,84,78,0,0,0,0,[]
68,73,84,49,50,79,86,71,82,12,18,30,8,72,42,56,44,81,78,86,85,0,0,0,0,[]
