,JDGZoom, ,JDGFlawless, ,JDGYagao, ,JDGimp, ,JDGLvMao, ,V5Windy, ,V5Ben4, ,V5Mole, ,V5y4, ,V5Max, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,3,96,4,98,2,99,0,97,2,95,95,2,96,5,94,5,97,3,93,3,0,0,0,0,[]
1,4,95,5,97,2,99,0,97,2,95,94,2,95,5,94,5,96,4,93,4,0,0,0,0,[]
2,4,95,4,95,3,94,4,96,2,95,92,4,94,4,93,5,95,4,92,5,0,0,0,0,[]
3,4,95,4,95,3,94,5,96,2,95,92,4,92,4,93,5,94,6,92,5,0,0,0,0,[]
4,14,73,16,78,18,78,28,92,13,90,70,7,74,14,79,21,82,25,88,27,0,0,0,0,[]
5,19,51,32,61,35,64,50,90,33,79,51,20,56,29,63,38,80,48,89,50,0,0,0,0,[]
6,23,34,34,42,46,52,68,81,51,66,32,22,46,35,56,45,65,57,81,69,0,0,0,0,[]
7,20,28,34,38,46,51,72,77,57,66,28,20,45,35,54,46,64,57,83,67,0,0,0,0,[]
8,20,28,35,39,45,52,72,77,56,67,31,20,48,35,53,45,65,56,83,67,0,0,0,0,[]
9,20,28,34,39,45,53,70,78,3,96,30,20,47,34,55,44,65,57,91,11,0,0,0,0,[]
10,20,28,36,37,46,52,70,78,13,94,30,22,49,34,56,44,65,57,84,21,0,0,0,0,[]
11,20,28,33,43,45,53,70,78,25,93,29,21,50,34,56,45,67,54,80,31,0,0,0,0,[]
12,20,28,32,46,45,52,70,78,36,91,29,21,48,34,64,52,75,50,80,43,0,0,0,0,[]
13,20,27,31,51,44,52,69,78,47,90,30,21,48,33,64,57,75,58,77,53,0,0,0,0,[]
14,20,27,36,63,46,52,70,78,58,85,30,22,47,34,64,57,75,64,73,64,0,0,0,0,[]
15,20,28,45,71,40,51,68,78,68,81,28,21,48,33,64,57,73,65,74,67,0,0,0,0,[]
16,20,28,52,75,32,46,63,77,67,79,30,22,48,33,66,55,73,65,74,66,0,0,0,0,[]
17,20,27,52,75,32,42,52,76,56,76,27,23,50,26,57,48,76,71,77,72,0,0,0,0,[]
18,19,24,50,74,37,49,53,76,52,74,24,14,49,26,54,44,79,75,79,75,0,0,0,0,[]
19,16,22,50,75,46,51,56,76,57,76,20,12,49,24,53,49,79,76,80,77,0,0,0,0,[]
20,11,15,50,79,45,51,66,79,67,80,17,15,47,24,51,51,82,80,86,81,0,0,0,0,[]
21,14,14,57,82,46,51,74,86,75,87,18,13,47,24,51,49,84,80,85,82,0,0,0,0,[]
22,14,17,58,84,46,52,79,86,82,86,15,13,48,21,52,47,87,82,84,81,0,0,0,0,[]
23,13,17,55,83,48,53,77,86,78,86,18,12,43,18,52,47,84,88,81,82,0,0,0,0,[]
24,12,13,51,84,46,54,78,86,79,87,18,13,40,16,49,50,85,88,83,83,0,0,0,0,[]
25,8,17,51,83,46,51,81,86,78,82,14,16,40,17,51,48,85,85,84,81,0,0,0,0,[]
26,13,21,58,83,47,51,78,87,73,77,16,16,43,16,51,50,86,83,81,79,0,0,0,0,[]
27,10,21,68,81,46,55,79,86,77,76,16,16,45,16,48,50,85,82,82,79,0,0,0,0,[]
28,15,16,76,73,44,56,79,84,81,84,18,13,49,20,50,50,87,83,85,80,0,0,0,0,[]
29,11,21,77,70,43,54,78,86,83,87,16,14,52,31,51,42,88,84,82,79,0,0,0,0,[]
30,10,24,75,59,46,54,80,82,80,82,13,18,53,33,51,49,86,81,86,75,0,0,0,0,[]
31,9,30,74,57,46,54,77,86,81,82,10,23,54,32,51,47,89,80,87,78,0,0,0,0,[]
32,8,26,75,59,46,54,78,84,80,81,14,21,55,32,49,48,88,78,88,75,0,0,0,0,[]
33,8,26,75,59,47,52,80,79,79,75,12,19,55,32,52,49,87,70,84,65,0,0,0,0,[]
34,9,29,71,63,46,55,79,83,77,70,11,19,58,35,53,52,82,66,80,66,0,0,0,0,[]
35,10,30,62,62,46,53,82,82,80,80,13,21,67,42,52,47,87,73,87,67,0,0,0,0,[]
36,7,27,52,64,48,53,78,85,80,86,11,21,66,55,49,48,85,81,85,78,0,0,0,0,[]
37,7,30,48,65,45,55,79,84,80,85,10,25,59,62,48,49,86,83,84,80,0,0,0,0,[]
38,9,26,44,67,45,53,78,85,78,84,12,23,49,66,50,53,84,83,81,81,0,0,0,0,[]
39,9,29,37,65,42,59,80,89,78,87,9,22,42,68,49,54,83,81,82,83,0,0,0,0,[]
40,8,29,31,58,44,51,79,89,78,86,10,22,47,67,51,48,86,81,82,81,0,0,0,0,[]
41,7,31,32,45,44,51,81,88,78,86,11,26,48,59,48,49,85,82,82,81,0,0,0,0,[]
42,6,32,27,37,45,52,82,86,82,86,11,26,42,45,50,50,86,80,84,80,0,0,0,0,[]
43,8,29,21,44,43,54,82,85,87,86,9,26,33,39,48,51,88,82,86,80,0,0,0,0,[]
44,8,31,22,48,46,54,81,83,86,85,10,25,28,38,51,49,87,79,87,81,0,0,0,0,[]
45,7,31,21,48,45,53,81,80,89,83,11,24,30,35,46,49,88,76,89,79,0,0,0,0,[]
46,9,26,20,50,45,56,85,77,90,77,12,23,31,36,40,45,89,73,89,75,0,0,0,0,[]
47,9,22,25,58,42,57,86,77,84,79,9,19,19,36,38,43,89,72,89,73,0,0,0,0,[]
48,9,27,25,59,43,56,89,76,87,74,12,19,14,34,33,38,91,68,90,68,0,0,0,0,[]
49,8,26,23,56,43,56,89,77,87,75,13,21,21,37,37,41,91,70,90,72,0,0,0,0,[]
50,6,26,25,58,42,54,85,82,85,80,18,21,23,31,45,48,87,73,89,74,0,0,0,0,[]
51,11,20,25,58,42,54,84,81,88,82,17,20,28,34,46,54,89,77,88,76,0,0,0,0,[]
52,9,22,4,92,41,55,84,81,87,81,16,17,19,25,48,50,88,75,87,76,0,0,0,0,[]
53,12,22,9,80,42,53,87,82,84,80,16,20,18,25,49,49,88,76,88,77,0,0,0,0,[]
54,6,24,15,70,40,50,82,81,84,81,17,16,95,5,50,50,90,78,88,77,0,0,0,0,[]
55,8,17,18,55,46,51,85,81,85,82,12,13,91,16,52,50,90,78,89,77,0,0,0,0,[]
