,V5Windy, ,V5Ben4, ,V5Mole, ,V5y4, ,V5Max, ,OMGCurse, ,OMGY1han, ,OMGicon, ,OMGKane, ,OMGHudie, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,4,95,4,98,2,99,0,97,1,95,94,5,96,5,95,2,97,3,93,3,0,0,0,0,[]
1,4,95,4,97,2,98,1,97,1,96,94,5,96,5,95,2,96,3,93,3,0,0,0,0,[]
2,4,95,5,97,4,95,4,97,4,95,94,3,93,5,93,5,94,6,92,4,0,0,0,0,[]
3,4,94,5,97,4,95,5,97,5,95,92,4,92,4,93,7,94,6,93,5,0,0,0,0,[]
4,22,83,25,86,25,88,25,93,26,85,69,7,72,15,79,24,83,26,80,20,0,0,0,0,[]
5,42,78,44,78,43,80,43,82,42,70,47,12,54,31,61,38,80,48,66,38,0,0,0,0,[]
6,47,79,46,79,47,79,47,79,47,73,30,20,44,35,54,47,74,64,64,57,0,0,0,0,[]
7,46,79,46,79,46,79,47,79,47,79,29,21,46,35,54,48,74,65,56,61,0,0,0,0,[]
8,46,79,46,79,46,79,47,79,47,79,30,20,46,35,53,51,73,64,58,60,0,0,0,0,[]
9,46,79,46,79,46,79,47,79,47,79,30,20,45,35,53,48,74,65,64,57,0,0,0,0,[]
10,45,79,47,79,46,79,47,79,47,79,30,19,47,40,53,45,73,64,64,57,0,0,0,0,[]
11,45,79,46,79,39,76,46,79,46,79,30,19,45,37,53,47,72,65,93,8,0,0,0,0,[]
12,44,78,46,79,32,70,47,79,47,79,30,22,46,36,56,46,78,62,88,17,0,0,0,0,[]
13,45,79,46,79,34,61,49,81,49,81,30,21,52,41,54,45,80,69,81,26,0,0,0,0,[]
14,46,79,46,79,33,61,57,83,57,83,29,22,64,41,52,41,84,64,80,36,0,0,0,0,[]
15,44,78,46,79,33,61,55,84,55,84,28,24,72,48,49,40,87,66,79,49,0,0,0,0,[]
16,45,79,47,79,24,57,55,84,55,84,25,23,75,52,48,40,88,67,82,59,0,0,0,0,[]
17,44,78,50,77,19,47,50,82,50,82,30,22,76,52,51,46,88,68,87,68,0,0,0,0,[]
18,42,76,52,74,15,37,54,76,52,77,24,14,74,53,49,48,87,75,90,78,0,0,0,0,[]
19,39,65,51,76,11,27,55,76,50,82,14,10,76,53,49,47,86,78,88,84,0,0,0,0,[]
20,46,56,50,76,15,19,66,79,57,77,13,10,77,52,49,48,84,81,87,85,0,0,0,0,[]
21,47,52,50,80,20,26,74,86,67,80,14,11,76,53,51,50,84,82,87,84,0,0,0,0,[]
22,47,53,54,83,15,19,78,88,78,88,14,11,77,53,49,48,85,82,86,85,0,0,0,0,[]
23,45,52,55,83,15,18,79,86,79,86,15,14,83,57,51,50,85,81,87,86,0,0,0,0,[]
24,43,48,54,83,11,14,79,86,83,89,17,9,83,57,51,49,84,81,88,84,0,0,0,0,[]
25,48,53,53,84,11,14,80,86,84,88,16,10,82,56,49,47,84,81,87,85,0,0,0,0,[]
26,47,50,53,84,12,15,79,85,79,85,14,11,76,46,52,50,87,83,87,86,0,0,0,0,[]
27,46,51,51,83,11,12,79,86,79,86,17,10,73,43,50,51,87,83,86,86,0,0,0,0,[]
28,44,54,47,72,12,13,73,87,73,87,18,10,73,43,49,49,83,84,82,90,0,0,0,0,[]
29,44,56,45,66,15,15,72,90,72,90,16,10,64,38,45,50,81,86,81,90,0,0,0,0,[]
30,43,55,44,68,18,15,72,90,71,90,22,10,54,32,47,50,79,89,80,90,0,0,0,0,[]
31,46,54,43,68,16,13,73,89,73,91,22,11,52,36,48,48,78,84,80,86,0,0,0,0,[]
32,44,52,44,68,17,12,73,90,73,90,21,12,52,33,47,49,77,86,79,87,0,0,0,0,[]
33,44,54,39,64,15,12,73,88,75,89,20,13,49,27,48,49,79,85,80,89,0,0,0,0,[]
34,44,54,32,56,14,12,73,88,76,87,21,11,48,26,48,49,80,89,81,90,0,0,0,0,[]
35,44,54,23,48,16,12,77,90,76,90,24,12,47,25,50,49,81,87,81,88,0,0,0,0,[]
36,46,52,22,47,19,9,74,89,74,89,25,11,44,17,49,49,80,87,78,85,0,0,0,0,[]
37,44,56,23,43,20,10,74,89,74,89,27,10,43,19,49,51,81,89,80,90,0,0,0,0,[]
38,46,51,24,41,22,12,76,89,77,89,26,8,43,18,51,50,83,88,82,85,0,0,0,0,[]
39,48,50,30,38,20,12,74,88,78,89,29,8,40,15,52,48,83,87,82,86,0,0,0,0,[]
40,43,51,28,35,23,13,74,89,74,89,28,8,39,15,54,45,81,88,79,86,0,0,0,0,[]
41,38,49,23,31,27,13,74,90,74,90,30,7,39,15,53,45,80,89,78,81,0,0,0,0,[]
42,38,49,23,31,24,12,75,91,74,87,30,9,91,11,54,45,80,81,77,72,0,0,0,0,[]
43,2,96,22,39,24,11,75,90,74,89,29,9,83,20,54,45,82,81,76,72,0,0,0,0,[]
44,48,47,16,44,24,11,77,91,76,91,27,9,75,28,56,44,82,85,80,81,0,0,0,0,[]
45,51,48,16,44,20,10,74,90,74,90,27,8,67,36,58,45,81,87,79,84,0,0,0,0,[]
46,49,49,16,44,22,13,76,89,76,89,28,10,67,48,55,46,83,87,76,79,0,0,0,0,[]
47,44,53,21,52,22,11,74,89,74,89,27,8,62,59,52,52,82,88,71,69,0,0,0,0,[]
48,45,51,23,56,22,12,73,91,71,89,27,9,56,65,51,51,77,79,67,62,0,0,0,0,[]
49,48,51,24,56,24,14,73,88,74,88,24,9,57,65,52,51,79,82,61,61,0,0,0,0,[]
50,45,56,25,56,19,11,73,88,74,89,24,11,61,62,47,49,81,84,62,61,0,0,0,0,[]
51,47,52,25,56,16,13,75,88,77,87,22,12,65,61,55,50,82,83,70,68,0,0,0,0,[]
52,44,43,8,94,18,13,76,89,77,87,23,11,73,72,61,52,82,85,76,78,0,0,0,0,[]
53,42,46,18,88,14,15,76,90,76,90,25,16,72,64,61,52,82,84,81,85,0,0,0,0,[]
54,43,48,27,82,17,16,76,90,76,90,20,11,77,56,54,50,79,83,81,86,0,0,0,0,[]
55,43,53,36,75,20,13,74,89,74,89,23,10,80,56,48,52,79,85,80,88,0,0,0,0,[]
56,43,52,45,68,21,12,74,87,74,87,24,9,83,57,50,52,78,86,79,89,0,0,0,0,[]
57,49,52,51,60,18,12,72,88,74,90,24,10,83,56,51,52,79,85,80,90,0,0,0,0,[]
58,45,53,47,55,15,13,71,89,74,90,22,12,76,57,56,47,78,86,77,87,0,0,0,0,[]
59,52,48,55,66,16,12,72,90,74,90,21,14,67,63,61,42,77,85,78,82,0,0,0,0,[]
60,52,51,57,71,18,16,76,89,72,85,22,13,56,66,61,42,78,78,73,78,0,0,0,0,[]
61,63,62,66,64,15,13,70,80,67,78,18,15,66,64,94,6,73,68,70,68,0,0,0,0,[]
62,59,58,69,62,20,13,77,80,77,80,25,11,66,64,90,12,77,59,76,60,0,0,0,0,"['5:6 V5Windy(½âÍÑÕß) »÷É±ÁË OMGY1han(¿ñÕ½Ê¿),»ñµÃÒ»Ñª']"
63,52,49,57,64,19,14,78,87,78,87,22,10,66,64,82,20,83,66,82,66,0,0,0,0,[]
64,51,46,56,68,21,13,79,86,79,86,27,10,93,7,74,28,87,73,87,72,0,0,0,0,[]
65,42,44,56,82,21,10,80,87,80,87,27,10,87,17,66,35,84,81,86,82,0,0,0,0,[]
66,34,42,55,83,27,11,80,86,80,86,30,8,78,24,57,41,84,82,85,83,0,0,0,0,[]
67,34,42,56,83,23,11,80,86,80,86,28,8,68,30,54,44,87,82,87,84,0,0,0,0,[]
68,2,97,55,83,12,12,81,86,81,86,31,8,57,33,54,45,85,80,88,83,0,0,0,0,[]
69,4,95,53,84,12,12,82,86,82,86,31,8,53,36,53,45,86,80,88,82,0,0,0,0,[]
70,16,86,50,74,2,96,81,85,83,84,95,4,54,32,55,47,87,80,89,82,0,0,0,0,[]
71,22,75,47,67,2,96,81,84,81,84,95,4,63,39,53,47,89,81,88,81,0,0,0,0,[]
72,31,66,46,66,11,25,82,85,82,85,21,13,66,48,55,47,88,77,89,79,0,0,0,0,[]
73,41,58,46,66,18,20,85,80,85,80,22,13,66,58,54,47,89,75,91,76,0,0,0,0,[]
74,47,51,42,67,16,16,81,82,81,82,18,10,72,66,54,49,90,80,88,82,0,0,0,0,[]
75,44,53,33,60,14,17,80,85,80,85,20,13,79,74,55,55,85,80,87,84,0,0,0,0,[]
76,47,51,29,50,14,14,77,85,77,85,20,15,79,75,56,60,86,77,87,85,0,0,0,0,[]
77,46,50,33,38,13,14,79,89,77,89,16,14,75,67,54,50,86,78,82,81,0,0,0,0,[]
78,48,51,25,29,15,12,84,88,77,90,17,13,76,55,52,49,87,77,84,80,0,0,0,0,[]
79,48,52,27,19,17,16,81,90,81,90,19,13,75,45,52,47,84,79,83,80,0,0,0,0,[]
80,47,51,27,19,17,18,78,91,78,91,19,10,73,43,50,51,84,80,82,82,0,0,0,0,[]
81,44,53,27,20,18,18,79,88,79,88,20,11,76,46,53,50,84,81,80,83,0,0,0,0,[]
82,41,54,22,11,22,10,78,89,77,89,24,6,76,56,48,51,86,81,73,78,0,0,0,0,[]
83,43,56,21,21,20,9,76,89,74,87,25,8,69,66,50,51,89,81,73,74,0,0,0,0,[]
84,48,57,27,31,14,12,74,88,71,83,26,9,66,69,52,50,95,4,67,70,0,0,0,0,[]
85,56,67,36,40,14,13,71,86,63,76,29,6,66,69,52,49,95,4,68,68,0,0,0,0,[]
86,56,63,44,45,17,17,70,80,69,78,26,7,67,63,53,52,75,69,70,64,0,0,0,0,[]
87,46,55,41,53,17,17,70,79,69,78,16,11,67,65,49,49,72,66,68,66,0,0,0,0,[]
88,48,50,53,62,16,18,2,96,2,96,18,12,67,67,48,50,70,65,66,66,0,0,0,0,[]
89,46,51,57,70,18,18,4,96,3,95,18,14,68,66,49,49,74,68,58,59,0,0,0,0,['7:23 OMG »÷É±ÁËÍÁÁú']
