,OMGCurse, ,OMGY1han, ,OMGicon, ,OMGKane, ,OMGHudie, ,V5Windy, ,V5Ben4, ,V5Mole, ,V5y4, ,V5Max, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,4,95,4,98,2,99,0,97,1,95,94,5,96,5,95,2,97,3,93,3,0,0,0,0,[]
1,4,95,4,97,2,98,1,97,2,95,93,5,95,5,95,2,97,3,93,4,0,0,0,0,[]
2,3,94,3,95,3,96,5,97,3,94,92,4,94,6,92,4,93,4,93,5,0,0,0,0,[]
3,3,94,4,95,3,96,5,97,3,94,93,5,94,6,92,4,94,6,93,6,0,0,0,0,[]
4,13,74,18,76,19,82,27,94,23,84,77,20,75,16,70,7,84,25,80,23,0,0,0,0,[]
5,19,52,32,59,33,65,50,91,41,71,61,37,56,29,47,11,80,46,66,41,0,0,0,0,[]
6,23,34,33,43,44,52,69,81,57,68,52,48,44,36,30,19,75,63,64,58,0,0,0,0,[]
7,18,24,34,43,44,52,65,77,60,75,51,47,46,35,28,22,73,63,64,57,0,0,0,0,[]
8,18,24,33,43,45,53,57,69,57,68,53,48,95,4,29,21,74,63,64,57,0,0,0,0,[]
9,20,26,34,38,45,52,51,66,56,68,53,49,86,10,30,21,74,64,64,57,0,0,0,0,[]
10,29,33,34,38,41,45,50,66,50,62,51,48,82,21,30,21,74,63,64,57,0,0,0,0,[]
11,26,31,34,39,44,49,49,67,51,62,48,57,80,33,31,20,73,63,65,57,0,0,0,0,[]
12,28,35,34,39,44,49,46,66,48,65,55,51,80,44,30,21,74,63,65,57,0,0,0,0,[]
13,23,31,6,95,44,51,48,77,48,73,54,45,76,52,29,21,77,73,72,65,0,0,0,0,[]
14,19,25,18,88,45,53,50,80,53,77,52,47,75,52,28,20,72,78,79,77,0,0,0,0,[]
15,19,26,27,82,45,52,51,83,51,78,52,45,75,52,27,20,62,78,81,85,0,0,0,0,[]
16,20,22,37,76,46,52,53,84,52,84,51,47,75,52,26,23,67,78,82,90,0,0,0,0,[]
17,18,23,48,78,45,51,61,88,62,85,54,46,75,52,26,17,69,82,81,91,0,0,0,0,[]
18,13,18,51,75,47,51,70,91,68,88,52,48,75,53,21,10,77,79,81,91,0,0,0,0,[]
19,10,13,52,76,47,52,77,88,77,91,53,47,74,53,14,11,84,83,84,88,0,0,0,0,[]
20,6,20,53,77,47,52,82,87,84,87,52,48,74,53,9,17,82,79,84,81,0,0,0,0,[]
21,12,21,51,77,46,53,81,88,83,88,51,47,74,53,13,15,81,81,82,83,0,0,0,0,[]
22,15,19,54,83,49,50,80,84,81,87,54,47,80,55,16,12,84,81,86,86,0,0,0,0,[]
23,14,18,54,84,44,50,78,86,79,86,45,50,83,57,15,14,83,79,82,87,0,0,0,0,[]
24,13,20,53,85,45,49,79,85,82,87,49,47,82,56,17,15,87,80,86,85,0,0,0,0,[]
25,12,20,52,85,46,50,80,88,82,89,52,49,76,46,15,14,84,79,85,84,0,0,0,0,[]
26,12,20,54,85,45,52,81,86,84,88,49,49,73,44,15,16,87,80,86,84,0,0,0,0,[]
27,11,19,50,82,44,53,81,85,85,86,47,50,72,42,16,16,88,80,86,82,0,0,0,0,[]
28,9,18,47,71,46,52,82,82,88,85,50,46,71,41,15,16,89,75,89,77,0,0,0,0,[]
29,10,21,46,64,46,51,82,81,88,84,50,47,62,36,14,16,89,73,89,74,0,0,0,0,[]
30,9,23,44,68,48,53,87,79,89,80,48,49,53,29,15,18,90,72,90,72,0,0,0,0,[]
31,8,27,38,64,47,53,87,78,89,81,50,46,47,26,11,21,91,70,92,74,0,0,0,0,[]
32,8,26,31,56,46,52,89,80,86,80,51,47,47,25,12,19,91,72,87,74,0,0,0,0,[]
