,V5Ben4, ,V5Windy, ,V5y4, ,V5Max, , , ,RWZWuJi, ,RWHolder, ,RWHaro, ,RWHuaTian, ,RWKillua, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,4,98,3,96,0,97,1,95,2,99,97,3,94,5,96,5,95,2,94,2,0,0,0,0,[]
1,4,98,3,95,1,97,2,95,2,99,97,3,93,5,95,5,95,2,93,4,0,0,0,0,[]
2,5,97,4,96,3,96,5,96,4,95,94,5,93,5,93,5,93,6,93,5,0,0,0,0,[]
3,5,97,4,95,5,96,5,95,5,94,94,6,92,4,92,4,93,6,93,6,0,0,0,0,[]
4,19,80,21,81,21,82,22,81,23,81,89,28,70,7,72,17,83,20,79,24,0,0,0,0,[]
5,32,61,37,65,35,67,37,64,37,65,90,50,47,11,54,31,66,35,67,42,0,0,0,0,[]
6,34,42,50,55,48,55,50,55,49,55,80,69,29,20,51,32,52,47,64,58,0,0,0,0,[]
7,35,39,59,56,56,57,60,60,56,61,76,61,29,21,51,32,54,44,67,49,0,0,0,0,[]
8,35,39,67,54,64,57,66,53,58,56,84,66,20,28,91,5,57,45,66,45,0,0,0,0,[]
9,35,39,66,48,67,47,66,46,67,52,89,67,20,27,81,10,55,46,63,36,0,0,0,0,[]
10,33,42,64,57,66,55,65,56,60,56,87,74,20,27,73,17,53,46,69,33,0,0,0,0,[]
11,34,43,55,61,57,61,55,62,50,55,89,78,20,27,63,23,54,44,80,33,0,0,0,0,[]
12,3,94,44,57,51,64,45,67,40,61,90,81,20,27,55,30,52,44,88,40,0,0,0,0,[]
13,14,91,36,49,42,70,39,73,39,65,88,79,20,27,47,34,55,47,92,51,0,0,0,0,[]
14,26,90,26,52,41,78,43,79,38,59,88,76,19,26,47,34,53,47,94,62,0,0,0,0,[]
15,37,88,16,50,50,84,53,85,38,60,89,77,20,25,46,35,55,48,89,72,0,0,0,0,[]
16,45,79,10,41,61,88,65,88,40,60,78,74,30,22,47,34,54,45,79,75,0,0,0,0,[]
17,45,73,8,31,59,84,62,86,46,54,74,70,40,24,53,34,51,47,78,73,0,0,0,0,[]
18,49,73,7,20,66,88,68,88,50,54,75,62,45,23,53,34,50,47,74,65,0,0,0,0,[]
19,47,73,11,12,76,86,79,89,48,54,77,70,34,21,51,31,49,49,78,73,0,0,0,0,[]
20,46,73,12,12,83,86,86,86,45,52,83,78,25,14,51,35,51,47,87,79,0,0,0,0,[]
21,47,75,16,12,83,86,86,85,45,51,86,78,19,17,52,32,50,48,86,80,0,0,0,0,[]
22,51,83,16,15,84,85,87,85,45,50,88,77,19,14,51,27,51,49,88,78,0,0,0,0,[]
23,55,82,13,17,84,84,84,84,45,53,88,75,16,15,49,25,49,48,89,78,0,0,0,0,[]
24,53,84,19,16,87,79,88,79,43,52,90,71,20,11,50,23,49,51,91,72,0,0,0,0,[]
25,52,85,15,15,88,77,89,77,46,50,91,70,19,12,49,20,51,50,93,72,0,0,0,0,[]
26,54,85,15,18,90,77,90,78,48,52,90,72,19,13,48,21,53,46,93,74,0,0,0,0,[]
27,52,84,18,15,89,79,88,78,46,53,91,72,19,11,46,16,51,46,93,72,0,0,0,0,[]
28,49,78,19,15,89,76,90,76,45,51,91,68,24,8,44,14,54,44,93,70,0,0,0,0,[]
29,45,68,16,17,90,73,91,74,41,43,91,67,23,11,45,12,52,45,91,70,0,0,0,0,[]
30,44,68,20,13,90,74,89,75,42,38,91,68,23,10,41,15,54,47,88,71,0,0,0,0,[]
31,43,68,17,17,88,80,87,79,48,47,89,74,18,11,39,15,54,45,87,72,0,0,0,0,[]
32,34,61,15,16,84,84,85,84,47,48,87,73,18,12,42,18,54,45,89,77,0,0,0,0,[]
33,25,56,16,14,83,84,82,83,47,48,88,78,17,11,39,16,53,45,90,77,0,0,0,0,[]
34,27,59,15,10,82,83,78,73,50,47,89,79,20,12,31,18,53,46,89,77,0,0,0,0,[]
35,26,59,16,10,82,83,75,63,48,49,89,78,19,15,22,21,53,45,89,77,0,0,0,0,[]
36,21,52,7,18,84,82,78,74,51,49,90,75,10,17,12,18,56,47,89,77,0,0,0,0,[]
37,15,44,8,26,86,82,83,80,48,47,88,76,10,18,9,18,53,47,91,78,0,0,0,0,[]
38,16,44,15,20,85,84,83,83,50,46,88,76,19,13,17,9,57,44,90,78,0,0,0,0,[]
39,18,44,15,19,83,82,87,84,53,48,87,77,20,10,15,11,58,42,88,76,0,0,0,0,[]
40,24,45,18,15,85,81,88,83,60,57,89,70,21,9,25,8,57,42,91,74,0,0,0,0,[]
41,24,43,20,12,89,76,89,77,57,55,91,68,28,6,34,12,54,43,93,70,0,0,0,0,[]
42,23,43,23,11,90,74,92,73,51,51,92,67,30,7,36,14,51,46,94,69,0,0,0,0,[]
43,25,41,23,11,90,75,89,75,51,51,90,69,28,8,36,14,51,44,93,69,0,0,0,0,[]
44,36,39,24,9,87,80,86,80,50,53,90,72,27,6,90,12,52,45,92,73,0,0,0,0,[]
45,33,40,20,11,85,82,86,81,49,58,88,75,26,9,84,21,55,44,90,74,0,0,0,0,[]
46,30,38,23,12,85,80,84,80,49,58,89,75,26,9,81,32,55,43,90,76,0,0,0,0,[]
47,30,38,22,12,81,77,78,72,2,96,90,70,27,8,80,43,56,43,90,69,0,0,0,0,[]
48,11,93,23,11,74,68,76,62,11,91,89,72,27,6,81,43,59,50,89,74,0,0,0,0,[]
49,23,86,22,11,65,63,76,62,21,81,87,69,26,9,83,37,52,49,89,76,0,0,0,0,[]
50,33,79,17,15,72,71,76,70,31,71,85,66,22,12,87,44,50,48,87,67,0,0,0,0,[]
51,42,70,11,25,77,72,79,72,41,61,85,65,18,14,84,52,49,48,88,68,0,0,0,0,[]
52,54,66,11,28,81,82,81,83,45,55,86,76,20,14,76,53,53,47,88,79,0,0,0,0,[]
53,57,64,2,96,83,84,87,85,44,49,86,79,13,21,78,51,55,45,90,80,0,0,0,0,[]
54,64,61,2,96,82,84,86,86,43,51,86,78,18,16,78,49,52,46,89,79,0,0,0,0,[]
55,68,61,9,24,82,84,85,84,45,54,84,78,18,16,80,53,51,45,87,80,0,0,0,0,[]
56,76,62,15,18,83,84,87,86,44,55,89,80,17,15,83,60,50,47,89,78,0,0,0,0,[]
57,72,64,19,15,82,85,82,85,42,51,88,78,27,9,82,66,48,50,88,73,0,0,0,0,[]
58,75,63,19,16,86,85,80,82,48,51,87,79,34,7,88,61,53,45,88,78,0,0,0,0,[]
59,83,64,13,19,85,85,80,82,52,51,88,76,34,7,84,51,53,45,90,78,0,0,0,0,[]
60,78,56,12,22,86,83,85,83,51,50,89,74,95,4,76,45,52,44,90,76,0,0,0,0,[]
61,77,56,11,28,89,79,88,77,52,52,89,70,13,21,77,55,52,46,87,67,0,0,0,0,[]
62,74,60,11,26,88,78,80,76,59,56,90,71,12,19,76,57,57,44,78,64,0,0,0,0,[]
63,75,62,10,26,87,73,76,66,72,62,83,64,13,22,77,56,59,45,76,59,0,0,0,0,[]
64,72,63,10,27,91,74,76,68,72,63,87,66,11,24,77,47,57,43,86,53,0,0,0,0,[]
65,58,63,5,29,90,75,82,78,59,56,91,68,11,25,74,43,59,40,91,63,0,0,0,0,[]
66,47,65,6,29,89,75,88,75,55,51,90,69,10,24,69,40,59,40,91,72,0,0,0,0,[]
67,49,66,9,24,89,78,87,78,46,51,93,69,20,23,64,38,56,45,88,70,0,0,0,0,[]
68,50,65,13,18,85,83,87,85,49,53,93,68,17,14,54,32,52,48,89,75,0,0,0,0,[]
69,60,62,12,18,85,82,84,83,53,48,95,4,17,16,53,36,55,43,89,74,0,0,0,0,[]
70,66,59,18,18,87,79,86,79,55,47,94,2,19,15,49,34,60,42,91,72,0,0,0,0,[]
71,67,61,14,21,90,74,90,74,53,50,94,2,16,18,42,39,62,41,88,69,0,0,0,0,"['5:52 V5Mole(ÑÒÈ¸) »÷É±ÁË RWHuaTian(Ó¢ÓÂÍ¶µ¯ÊÖ),»ñµÃÒ»Ñª', '5:53 RWHolder(°µÒá½£Ä§) »÷É±ÁË V5Windy(Î´À´ÊØ»¤Õß)']"
72,66,69,14,21,90,74,90,74,48,48,92,67,16,17,31,37,62,41,87,70,0,0,0,0,[]
73,67,69,14,21,87,75,87,75,50,49,87,71,15,17,24,36,62,41,87,69,0,0,0,0,[]
