,V5Ben4, ,V5Mole, ,V5y4, ,V5Max, , , ,RWZWuJi, ,RWHolder, ,RWHaro, ,RWHuaTian, ,RWKillua, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,4,98,2,99,0,97,2,95,4,95,97,3,94,5,96,5,95,2,94,2,0,0,0,0,[]
1,4,98,2,98,2,96,2,95,4,95,96,4,93,5,95,5,94,2,93,4,0,0,0,0,[]
2,5,97,3,94,3,96,4,95,4,95,93,6,93,5,93,5,94,6,93,6,0,0,0,0,[]
3,5,97,3,94,4,95,4,95,4,96,94,6,93,5,92,5,93,6,93,6,0,0,0,0,[]
4,26,93,19,83,25,90,25,85,25,86,84,27,72,8,73,19,80,23,79,24,0,0,0,0,[]
5,46,81,30,64,45,83,42,70,42,70,80,49,53,18,54,31,64,40,67,42,0,0,0,0,[]
6,57,68,33,43,64,77,56,68,57,68,81,69,33,21,46,37,56,54,64,60,0,0,0,0,[]
7,57,69,42,47,66,77,57,68,57,70,75,62,29,22,46,36,51,51,62,59,0,0,0,0,[]
8,57,69,39,55,58,70,56,68,57,68,65,58,29,22,46,35,51,49,56,56,0,0,0,0,[]
9,57,69,39,65,57,70,56,67,57,68,65,58,29,22,46,35,52,50,60,57,0,0,0,0,[]
10,57,69,46,71,57,70,56,67,57,69,63,62,29,21,47,36,59,59,61,62,0,0,0,0,[]
11,57,65,53,65,58,67,56,65,57,64,63,61,29,21,47,38,61,61,61,60,0,0,0,0,[]
12,49,67,46,66,57,74,51,66,49,61,69,62,30,21,40,37,62,57,69,64,0,0,0,0,[]
13,48,67,37,64,50,80,48,68,50,61,76,70,35,24,32,43,59,51,78,72,0,0,0,0,[]
14,47,67,27,59,54,88,48,68,50,61,82,78,41,31,40,38,65,53,82,80,0,0,0,0,[]
15,47,66,18,52,63,89,10,95,49,60,83,78,46,24,41,29,65,57,80,81,0,0,0,0,[]
16,48,66,11,45,64,90,23,93,49,60,79,76,47,24,46,24,61,62,78,79,0,0,0,0,[]
17,44,67,14,36,68,89,35,92,45,49,78,74,47,24,45,23,56,63,73,77,0,0,0,0,[]
18,44,67,21,39,72,87,46,91,44,45,77,80,47,26,47,24,55,56,79,80,0,0,0,0,[]
19,42,68,21,30,76,89,57,90,48,51,85,82,47,25,48,27,53,54,84,88,0,0,0,0,[]
20,45,67,24,22,80,86,68,89,48,51,84,80,39,23,50,26,52,49,85,84,0,0,0,0,[]
21,43,68,27,22,79,86,79,89,46,54,86,81,29,18,52,28,50,51,86,86,0,0,0,0,[]
22,50,65,18,19,78,88,83,89,47,52,84,83,22,12,60,36,50,47,86,85,0,0,0,0,[]
23,50,72,13,19,78,87,81,91,45,53,84,83,16,10,67,45,49,48,87,84,0,0,0,0,[]
24,46,72,12,13,77,89,77,90,47,53,84,85,14,10,65,58,51,49,85,88,0,0,0,0,[]
25,45,71,8,16,74,91,73,90,44,54,80,86,11,13,57,66,49,52,78,83,0,0,0,0,[]
26,44,70,11,18,78,91,75,88,40,58,82,85,11,13,54,76,46,55,70,78,0,0,0,0,[]
27,43,68,12,15,77,89,68,84,42,56,79,80,16,15,48,74,49,54,58,76,0,0,0,0,[]
28,42,68,15,13,75,89,63,86,40,56,82,83,19,15,53,76,46,58,54,76,0,0,0,0,[]
29,33,62,13,15,75,90,73,88,39,55,82,84,19,14,57,67,45,54,65,77,0,0,0,0,[]
30,24,57,13,15,75,90,72,88,41,57,81,86,19,13,56,57,46,52,76,79,0,0,0,0,[]
31,21,53,12,16,76,90,62,86,44,54,81,85,20,14,53,58,49,50,83,86,0,0,0,0,[]
32,22,53,14,14,77,89,68,88,40,54,82,86,15,15,45,53,48,51,82,85,0,0,0,0,[]
33,23,52,14,12,79,89,79,89,41,57,82,86,20,15,46,51,49,51,83,84,0,0,0,0,[]
34,21,48,8,17,78,88,82,88,41,55,82,86,11,16,56,49,57,44,87,82,0,0,0,0,"['2:47 V5y4(寒冰射手) 击杀了 RWZWuJi(惩戒之箭),获得一血']"
35,23,36,7,21,77,88,84,87,44,55,95,4,8,20,68,50,59,42,84,82,0,0,0,0,[]
36,20,25,12,22,80,86,85,86,44,54,95,2,14,16,77,52,59,42,86,84,0,0,0,0,[]
37,19,24,15,21,80,88,82,90,44,54,96,2,12,15,76,55,93,8,89,82,0,0,0,0,[]
38,19,24,15,20,81,86,82,89,45,51,87,79,16,11,76,58,91,11,86,82,0,0,0,0,[]
39,27,20,15,20,80,84,83,87,45,51,87,81,15,13,76,58,82,21,87,81,0,0,0,0,[]
40,22,11,19,14,81,85,82,86,46,51,87,79,19,9,74,61,74,29,88,83,0,0,0,0,[]
41,21,13,21,13,82,83,82,85,46,51,87,78,31,7,71,65,65,39,90,81,0,0,0,0,[]
42,23,24,14,18,72,87,73,88,48,50,83,81,31,7,69,66,55,47,85,84,0,0,0,0,[]
43,28,34,9,17,66,88,65,88,48,52,80,87,95,4,72,66,56,48,79,88,0,0,0,0,[]
44,34,40,9,17,66,89,65,88,49,48,80,87,95,4,70,78,57,48,79,88,0,0,0,0,[]
45,39,41,2,96,67,94,63,92,47,50,77,86,13,14,62,83,54,48,77,87,0,0,0,0,[]
46,41,39,2,96,68,91,71,94,51,47,75,88,16,15,60,85,59,42,67,84,0,0,0,0,[]
47,50,35,11,19,69,91,72,92,49,49,78,81,17,15,61,85,56,45,70,83,0,0,0,0,[]
48,50,33,11,22,69,91,67,90,48,48,78,84,17,17,69,79,53,51,73,78,0,0,0,0,[]
49,46,35,10,21,67,93,67,88,47,49,75,78,15,17,73,69,54,52,80,84,0,0,0,0,[]
50,47,41,10,18,2,96,67,88,46,51,81,84,25,14,76,58,52,51,83,86,0,0,0,0,[]
51,45,44,15,21,14,96,12,95,46,51,82,84,19,15,84,56,54,53,79,84,0,0,0,0,[]
52,40,43,11,20,25,95,23,94,45,51,78,83,15,12,81,56,50,53,77,85,0,0,0,0,[]
53,45,43,10,20,37,94,33,89,45,54,78,83,14,13,80,54,51,51,77,85,0,0,0,0,[]
54,45,43,11,21,48,93,36,78,47,50,95,7,13,15,76,46,53,49,90,7,0,0,0,0,[]
55,45,43,12,21,59,92,42,69,48,51,94,11,11,15,71,42,53,46,83,15,0,0,0,0,[]
56,51,44,11,21,70,91,52,64,53,49,93,23,16,15,70,41,54,46,76,24,0,0,0,0,[]
57,57,46,10,20,72,89,55,55,50,49,92,34,16,17,61,43,60,44,69,33,0,0,0,0,['4:44 V5Ben4(暗裔剑魔) 击杀了 RWHuaTian(岩雀)']
58,49,54,12,20,72,89,53,52,49,51,91,46,15,14,56,49,60,44,61,41,0,0,0,0,[]
59,46,66,12,21,73,89,51,51,48,51,89,58,16,14,56,46,60,44,53,46,0,0,0,0,[]
60,48,57,13,19,74,90,52,46,53,47,88,69,17,15,59,44,91,10,54,42,0,0,0,0,[]
61,53,48,12,16,75,89,53,48,52,48,80,76,18,16,56,42,83,20,57,47,0,0,0,0,[]
62,48,50,11,18,76,88,49,51,44,52,71,69,17,15,54,44,75,28,53,51,0,0,0,0,[]
63,47,59,11,16,77,88,45,55,39,51,61,63,18,16,54,49,67,37,50,55,0,0,0,0,[]
64,43,68,11,20,78,88,39,61,39,51,50,60,17,17,55,57,57,47,54,62,0,0,0,0,[]
65,43,68,12,19,78,87,39,65,7,94,49,59,18,18,54,62,50,51,52,65,0,0,0,0,[]
66,36,63,12,18,80,82,39,65,13,91,60,62,17,18,55,57,50,54,57,66,0,0,0,0,[]
67,26,58,16,14,80,81,6,95,19,81,71,65,22,12,55,57,51,53,60,73,0,0,0,0,[]
68,22,54,15,16,82,84,9,95,27,74,78,74,21,14,92,4,50,54,71,69,0,0,0,0,[]
69,22,54,15,14,80,87,21,94,34,65,82,79,19,15,82,10,48,52,79,76,0,0,0,0,[]
70,21,52,15,13,83,84,33,93,43,57,86,79,18,11,71,15,50,54,88,80,0,0,0,0,[]
71,21,48,24,10,82,82,46,91,41,55,86,77,27,6,62,23,57,49,88,77,0,0,0,0,[]
72,22,44,17,10,82,86,58,89,44,53,88,72,30,6,48,22,49,43,89,75,0,0,0,0,['5:56 V5Mole(符文法师) 击杀了 RWHolder(荒漠屠夫)']
73,19,45,17,10,82,82,66,82,44,53,89,74,30,6,41,16,51,46,89,74,0,0,0,0,[]
74,17,45,2,96,82,83,71,76,46,51,88,75,30,6,43,16,52,47,91,78,0,0,0,0,[]
75,16,44,4,92,83,82,81,81,46,54,87,78,84,5,42,17,50,47,86,76,0,0,0,0,[]
