,V5Windy, ,V5Ben4, ,V5Mole, ,V5y4, ,V5Max, ,TES369, ,TESXx, ,TESKnight9, ,TESLokeN, ,TESBen, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,3,96,4,98,2,99,0,97,1,95,94,5,96,5,95,2,97,3,93,3,0,0,0,0,[]
1,3,95,4,97,2,98,1,97,2,95,94,4,95,5,95,2,96,3,93,4,0,0,0,0,[]
2,4,95,5,96,3,95,4,97,4,96,94,4,93,5,93,5,95,4,93,5,0,0,0,0,[]
3,4,95,5,96,5,95,5,97,5,95,92,4,92,5,93,5,94,6,94,5,0,0,0,0,[]
4,26,85,23,84,26,85,25,86,25,86,72,6,72,15,79,22,82,25,80,23,0,0,0,0,[]
5,43,69,41,70,42,70,40,71,41,71,49,10,55,30,62,38,80,47,66,41,0,0,0,0,[]
6,56,65,57,64,57,65,56,64,56,63,30,19,44,35,53,48,71,65,64,57,0,0,0,0,[]
7,64,58,65,58,64,58,63,59,63,58,29,23,45,35,57,49,74,61,66,49,0,0,0,0,[]
8,67,48,68,47,66,48,66,50,67,49,22,25,44,35,55,43,76,69,64,40,0,0,0,0,[]
9,66,54,66,55,66,52,64,57,66,51,21,28,42,32,55,44,77,71,73,34,0,0,0,0,[]
10,59,62,57,61,61,61,57,65,61,60,21,28,42,32,51,41,84,78,84,37,0,0,0,0,[]
11,50,61,48,59,51,65,57,70,57,69,21,27,91,12,50,40,79,75,91,44,0,0,0,0,[]
12,41,54,44,50,40,66,52,77,52,76,20,27,89,23,47,36,79,75,90,55,0,0,0,0,[]
13,42,51,41,39,29,66,56,76,57,73,20,27,89,34,47,36,80,76,93,64,0,0,0,0,[]
14,43,53,44,49,19,63,55,76,53,65,20,26,88,44,47,35,87,73,87,66,0,0,0,0,[]
15,40,51,49,59,19,52,54,76,51,65,22,25,86,53,46,39,84,63,82,59,0,0,0,0,[]
16,47,58,47,69,17,43,55,76,47,70,25,24,78,52,44,38,80,55,78,51,0,0,0,0,[]
17,48,60,50,73,11,32,55,76,51,73,24,23,77,52,53,44,77,54,76,54,0,0,0,0,[]
18,48,60,50,73,7,23,54,76,52,73,26,16,75,52,53,46,77,55,75,55,0,0,0,0,[]
19,48,57,50,75,8,16,54,76,52,75,17,10,76,52,53,49,77,56,75,55,0,0,0,0,[]
20,48,50,48,74,11,20,63,78,59,76,12,13,80,51,53,48,84,62,83,61,0,0,0,0,[]
21,46,52,46,72,13,17,71,84,68,81,14,12,72,48,51,51,87,72,87,70,0,0,0,0,[]
22,47,52,46,66,11,13,81,87,76,87,17,10,70,42,50,52,85,80,85,80,0,0,0,0,[]
23,46,52,46,67,9,16,82,86,82,87,12,13,68,40,51,48,83,81,85,81,0,0,0,0,[]
24,45,51,44,67,11,18,83,87,81,87,14,11,59,34,50,50,84,81,82,80,0,0,0,0,[]
25,46,51,35,66,14,18,83,86,83,86,16,12,48,27,50,51,86,79,87,80,0,0,0,0,[]
26,54,49,24,65,16,22,82,84,84,82,15,12,47,24,58,45,85,80,85,81,0,0,0,0,[]
27,49,50,22,57,13,22,81,85,82,85,13,17,44,23,55,44,87,77,88,81,0,0,0,0,[]
28,52,44,22,54,11,21,81,84,84,84,15,16,47,24,58,43,89,77,88,75,0,0,0,0,[]
29,53,45,20,52,10,20,85,84,85,83,14,16,48,21,56,42,88,73,90,75,0,0,0,0,[]
30,49,47,21,50,9,22,88,80,86,80,12,18,42,17,56,44,90,71,91,71,0,0,0,0,[]
31,46,46,23,46,11,19,88,79,87,78,13,14,44,15,52,47,88,72,90,72,0,0,0,0,[]
32,46,49,22,42,11,21,88,79,86,80,14,14,43,14,52,47,87,73,91,73,0,0,0,0,[]
33,42,52,24,40,12,21,86,79,87,78,15,15,43,14,44,50,89,72,91,74,0,0,0,0,[]
34,44,53,24,40,9,20,88,79,87,78,16,17,48,18,49,48,91,71,88,70,0,0,0,0,[]
35,43,54,31,38,10,21,87,78,83,78,13,15,52,28,48,52,90,71,84,65,0,0,0,0,[]
36,46,52,42,37,9,22,81,77,76,71,13,17,47,38,48,51,93,70,90,70,0,0,0,0,[]
37,40,57,41,40,10,22,80,76,67,64,14,19,49,42,46,51,93,72,90,72,0,0,0,0,[]
