,VGCube, ,VGAix, ,VGJay, ,VGPuff, ,VGSouthwind, ,BLGADD, ,BLGMeteor, ,BLGKuro, ,BLGJinjiao, ,BLGXinMo, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,3,96,4,98,2,99,0,97,2,95,94,5,96,5,95,2,97,3,93,3,0,0,0,0,[]
1,4,95,4,97,2,99,1,97,2,95,93,5,95,5,95,2,97,3,93,4,0,0,0,0,[]
2,3,97,4,95,3,96,4,96,4,96,93,5,93,6,93,5,94,6,93,5,0,0,0,0,[]
3,3,94,4,95,6,95,4,97,5,95,93,5,92,6,92,5,94,6,92,5,0,0,0,0,[]
4,13,76,18,77,23,80,27,94,26,85,71,9,72,17,79,22,79,23,84,21,0,0,0,0,[]
5,18,53,32,59,35,66,49,89,42,69,48,11,54,31,63,37,66,41,80,43,0,0,0,0,[]
6,23,34,34,42,44,51,68,81,52,65,28,20,51,34,51,48,64,58,73,63,0,0,0,0,[]
7,23,35,42,38,45,52,73,76,57,69,24,30,51,34,52,48,58,56,72,68,0,0,0,0,[]
8,24,38,37,39,42,46,70,79,54,65,25,36,50,34,51,43,56,56,69,67,0,0,0,0,[]
9,22,43,34,43,41,45,70,78,50,65,23,37,54,32,53,48,57,60,72,69,0,0,0,0,[]
10,18,44,34,43,42,45,73,77,53,67,21,28,54,32,53,48,63,63,73,69,0,0,0,0,[]
11,13,35,10,95,42,45,68,81,57,68,21,28,86,6,53,47,67,71,75,72,0,0,0,0,[]
12,14,33,20,89,42,46,68,80,57,69,91,4,76,10,53,48,67,63,73,67,0,0,0,0,[]
13,14,34,29,82,41,45,68,81,57,69,80,5,65,11,54,47,66,61,75,69,0,0,0,0,[]
14,11,33,38,76,44,48,68,81,11,94,69,8,56,17,52,50,70,63,76,71,0,0,0,0,[]
15,12,34,48,77,49,50,67,78,22,90,58,12,48,24,56,46,77,71,79,74,0,0,0,0,[]
16,11,30,50,75,50,49,56,76,33,89,50,20,48,27,57,46,79,74,80,77,0,0,0,0,[]
17,15,38,50,74,51,49,51,76,44,82,44,23,48,27,56,43,79,75,79,75,0,0,0,0,[]
18,17,43,50,74,50,54,50,77,51,75,46,25,48,27,50,46,80,76,79,74,0,0,0,0,[]
19,12,35,50,75,51,55,50,78,52,76,47,25,48,26,52,50,83,79,79,76,0,0,0,0,[]
20,11,24,49,78,50,53,56,84,58,76,44,23,48,25,52,46,81,81,82,81,0,0,0,0,[]
21,12,17,52,84,48,52,65,88,68,81,33,21,45,16,52,46,82,81,84,83,0,0,0,0,[]
22,12,17,55,82,51,46,76,88,77,88,24,14,44,17,57,44,81,82,80,79,0,0,0,0,[]
23,14,15,53,84,52,47,81,86,80,86,17,15,44,15,57,43,85,83,84,83,0,0,0,0,[]
24,13,18,55,83,47,48,76,87,76,89,13,15,45,14,54,46,84,88,80,80,0,0,0,0,[]
25,13,19,53,85,49,47,74,89,75,90,15,13,42,16,56,46,80,87,79,86,0,0,0,0,[]
26,13,18,53,84,50,46,74,89,74,89,15,15,47,16,56,46,81,88,79,86,0,0,0,0,[]
27,12,17,50,83,48,48,74,87,74,88,16,11,50,23,55,45,81,90,80,86,0,0,0,0,[]
28,14,16,47,74,45,45,73,88,74,89,16,13,51,34,54,47,79,88,79,83,0,0,0,0,[]
29,14,12,46,64,48,46,73,88,73,90,21,11,51,34,54,47,81,89,79,83,0,0,0,0,[]
30,16,14,45,67,47,47,71,87,70,89,22,10,49,33,51,48,76,88,76,88,0,0,0,0,[]
