,BLGADD, ,BLGMeteor, ,BLGKuro, ,BLGJinjiao, ,BLGXinMo, ,VGCube, ,VGAix, ,VGJay, ,VGPuff, ,VGSouthwind, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,3,96,4,98,2,99,0,97,2,95,94,5,96,5,95,2,97,3,93,3,0,0,0,0,[]
1,3,95,4,97,2,98,1,97,2,95,94,4,95,5,95,2,96,3,93,4,0,0,0,0,[]
2,4,95,2,95,4,96,5,96,5,97,93,4,93,5,94,6,95,6,94,6,0,0,0,0,[]
3,4,95,4,93,5,95,5,96,5,97,92,5,92,5,93,6,94,7,93,7,0,0,0,0,[]
4,14,74,18,76,22,81,24,86,27,93,70,7,72,17,79,22,84,26,78,24,0,0,0,0,[]
5,19,52,31,58,36,64,41,71,50,89,52,19,53,31,62,38,80,48,67,43,0,0,0,0,[]
6,23,33,33,43,47,53,54,66,69,81,33,22,41,32,54,49,75,66,64,57,0,0,0,0,[]
7,21,28,39,38,46,53,54,64,74,74,30,22,41,32,51,48,74,63,64,57,0,0,0,0,[]
8,21,28,38,36,45,54,54,63,73,75,29,21,41,32,52,48,74,67,64,57,0,0,0,0,[]
9,21,28,35,39,45,52,55,65,74,73,30,22,41,32,50,45,73,63,62,50,0,0,0,0,[]
10,21,28,33,43,47,50,55,65,73,72,35,24,40,34,44,39,74,63,55,42,0,0,0,0,[]
11,21,28,33,42,44,51,53,65,73,72,40,33,37,38,40,39,74,63,44,39,0,0,0,0,[]
12,24,32,32,49,41,45,49,59,73,72,37,40,32,44,34,41,73,63,42,39,0,0,0,0,[]
13,25,27,31,58,43,42,40,55,70,69,26,37,31,55,29,50,73,63,32,44,0,0,0,0,[]
14,20,27,38,58,42,45,45,54,71,67,27,36,32,43,34,42,76,61,32,44,0,0,0,0,[]
15,26,30,42,68,45,42,50,60,74,69,38,36,41,36,43,36,75,59,95,6,0,0,0,0,[]
16,30,22,50,74,44,47,47,69,73,74,41,28,42,25,51,41,76,60,94,18,0,0,0,0,[]
17,27,20,50,74,44,56,52,75,64,77,46,23,46,24,50,51,76,61,93,32,0,0,0,0,[]
18,21,20,51,72,47,51,52,76,52,75,45,24,47,26,53,52,85,66,92,43,0,0,0,0,[]
19,19,11,50,73,51,52,53,76,52,74,41,23,48,26,53,47,87,75,91,54,0,0,0,0,[]
20,19,11,53,76,46,53,59,76,61,77,31,20,48,23,51,49,87,73,89,66,0,0,0,0,[]
21,23,13,55,82,46,52,68,81,70,82,26,13,48,22,52,51,84,78,87,77,0,0,0,0,[]
22,18,15,58,83,48,51,76,87,79,87,21,12,44,16,54,48,84,82,85,83,0,0,0,0,[]
23,14,15,55,84,52,49,80,89,82,90,19,13,41,16,58,44,82,84,85,83,0,0,0,0,[]
24,14,14,52,84,48,50,84,88,80,88,19,12,39,16,54,48,84,82,85,82,0,0,0,0,[]
25,13,14,50,81,50,50,79,89,78,88,18,13,39,17,55,47,84,82,84,83,0,0,0,0,[]
26,15,14,47,70,47,50,81,89,79,85,19,15,40,15,54,47,84,83,85,83,0,0,0,0,[]
27,7,19,46,68,44,51,79,90,78,88,12,17,38,15,49,51,85,86,82,84,0,0,0,0,[]
28,14,18,44,68,40,55,76,88,77,87,17,13,35,16,46,51,84,84,85,88,0,0,0,0,[]
29,14,16,41,67,41,56,76,89,75,88,19,15,29,21,47,52,83,85,85,85,0,0,0,0,[]
30,11,21,33,59,46,51,75,90,74,88,16,15,24,28,52,47,81,86,82,83,0,0,0,0,[]
31,9,21,31,49,46,53,79,90,76,88,14,19,24,39,50,46,84,85,85,84,0,0,0,0,[]
32,12,19,30,39,47,53,81,90,80,87,16,18,23,40,52,47,82,82,84,84,0,0,0,0,[]
33,13,20,23,36,42,51,81,90,80,90,17,19,23,35,45,45,82,83,82,84,0,0,0,0,[]
34,11,30,21,37,32,48,77,91,76,90,19,26,25,37,33,44,80,85,81,85,0,0,0,0,[]
35,10,21,22,38,40,57,74,91,73,90,15,19,36,36,40,51,80,86,80,86,0,0,0,0,[]
36,9,26,33,39,44,54,68,91,69,92,16,22,49,35,50,50,74,90,75,89,0,0,0,0,[]
37,10,26,42,44,43,57,70,91,71,91,13,22,49,34,48,52,75,90,75,88,0,0,0,0,[]
38,8,26,47,53,44,58,70,94,69,90,12,22,52,31,50,54,76,91,76,89,0,0,0,0,[]
39,8,26,44,53,48,52,69,91,70,91,11,22,54,31,51,47,75,88,78,88,0,0,0,0,[]
40,9,29,34,48,48,51,71,92,69,91,11,24,54,31,55,48,75,87,76,88,0,0,0,0,[]
41,8,27,29,38,47,51,72,93,70,92,10,24,54,31,53,48,73,87,75,87,0,0,0,0,[]
42,8,27,27,36,48,50,71,93,70,92,17,16,93,8,54,48,74,88,75,88,0,0,0,0,[]
43,9,26,28,37,46,51,72,92,67,89,15,10,91,13,53,49,75,90,78,87,0,0,0,0,[]
44,12,21,23,38,45,52,72,91,63,86,15,11,86,23,52,51,81,87,81,85,0,0,0,0,[]
45,12,18,22,46,44,52,72,92,62,86,15,11,81,34,51,55,77,86,79,90,0,0,0,0,[]
46,12,19,20,45,41,54,72,92,72,90,14,11,80,46,48,54,77,86,78,89,0,0,0,0,[]
47,11,17,17,44,41,55,75,91,73,90,17,15,74,53,48,54,80,86,80,88,0,0,0,0,[]
48,12,17,18,44,44,53,67,92,65,91,18,15,74,57,51,53,79,87,80,87,0,0,0,0,[]
49,16,16,15,44,42,55,65,92,63,87,18,15,74,59,49,53,78,88,76,87,0,0,0,0,[]
50,13,18,19,45,42,54,2,96,62,86,23,13,73,67,50,54,77,89,74,88,0,0,0,0,[]
51,13,18,19,47,38,56,2,96,62,85,22,13,70,78,57,63,75,88,76,88,0,0,0,0,[]
52,13,15,23,55,41,58,66,93,64,89,19,14,68,82,61,74,73,90,73,90,0,0,0,0,[]
53,13,16,22,54,40,56,59,94,56,93,20,13,61,84,67,80,67,89,67,92,0,0,0,0,[]
54,17,14,23,56,43,53,58,94,58,94,24,12,67,82,67,80,67,91,68,92,0,0,0,0,[]
55,21,10,25,57,44,53,60,94,57,93,26,9,73,73,93,7,68,89,69,92,0,0,0,0,[]
56,23,12,2,96,45,52,67,93,67,92,26,9,72,67,86,15,73,88,74,89,0,0,0,0,[]
57,21,14,8,94,44,52,68,92,69,92,24,9,73,68,78,23,77,85,81,89,0,0,0,0,[]
58,29,16,18,94,44,52,70,91,68,91,29,6,75,60,70,31,79,75,87,85,0,0,0,0,[]
59,25,10,29,92,4,93,71,92,66,92,30,7,81,55,62,38,79,75,87,85,0,0,0,0,[]
60,25,10,40,91,10,85,70,91,66,92,30,7,81,55,54,45,95,4,93,9,0,0,0,0,[]
61,26,11,51,89,18,77,74,91,2,96,30,8,80,53,53,50,78,86,88,16,0,0,0,0,[]
62,25,11,54,83,27,68,77,89,13,95,29,8,74,45,52,52,83,83,78,25,0,0,0,0,[]
63,22,11,52,84,35,61,75,90,27,94,27,8,70,41,53,54,82,83,70,33,0,0,0,0,[]
64,20,12,51,83,41,56,76,90,38,93,28,8,68,45,54,63,81,84,67,44,0,0,0,0,[]
65,23,10,55,76,40,56,74,90,51,89,26,7,63,57,50,65,81,86,66,55,0,0,0,0,[]
66,15,15,58,73,42,54,69,91,60,86,23,12,53,63,48,56,75,89,58,63,0,0,0,0,[]
67,9,17,57,74,42,54,73,91,71,88,15,16,46,65,49,54,78,85,56,67,0,0,0,0,[]
68,12,17,49,75,40,55,76,89,68,80,17,16,50,66,46,56,83,84,60,72,0,0,0,0,[]
69,11,18,42,67,39,55,77,91,68,79,17,15,55,63,45,53,78,85,65,74,0,0,0,0,[]
70,14,18,42,69,40,56,76,91,66,78,17,14,54,52,47,51,80,85,72,69,0,0,0,0,[]
71,11,20,53,68,43,56,73,90,70,84,15,16,49,41,49,48,80,88,79,77,0,0,0,0,[]
72,15,16,59,63,47,55,73,93,71,91,16,14,51,35,50,45,75,89,76,87,0,0,0,0,[]
73,17,23,66,55,49,52,74,92,70,90,22,11,52,32,50,45,77,89,79,88,0,0,0,0,[]
74,20,28,73,50,48,53,78,90,75,89,20,10,53,32,50,48,83,84,82,87,0,0,0,0,[]
75,16,17,76,56,46,52,77,90,75,89,22,10,57,24,53,45,82,87,80,87,0,0,0,0,[]
76,17,13,79,66,48,53,77,91,76,87,23,10,46,16,50,45,82,86,82,85,0,0,0,0,[]
77,16,14,83,78,45,57,84,84,85,82,22,9,41,17,48,50,90,81,88,79,0,0,0,0,[]
78,14,15,83,79,46,56,88,82,87,82,22,12,42,17,49,48,90,78,89,75,0,0,0,0,[]
79,10,17,78,75,43,57,86,86,80,87,20,14,40,17,45,52,88,75,88,78,0,0,0,0,[]
80,10,16,73,73,42,58,81,86,83,86,19,12,40,17,44,53,88,77,89,73,0,0,0,0,[]
81,13,16,66,64,43,58,82,83,83,85,20,13,44,16,46,50,90,76,89,73,0,0,0,0,[]
82,14,15,56,65,45,56,82,82,85,84,21,13,47,26,46,44,90,76,95,4,0,0,0,0,[]
83,12,16,48,73,49,55,85,83,90,82,19,14,47,26,55,46,89,75,91,75,0,0,0,0,[]
84,14,17,47,73,48,53,84,87,84,88,19,15,47,27,51,46,90,70,89,73,0,0,0,0,[]
85,15,17,45,70,50,53,84,87,84,88,18,14,47,27,51,46,89,74,83,66,0,0,0,0,[]
86,13,17,41,67,48,55,4,96,6,96,16,16,93,9,52,49,88,76,76,59,0,0,0,0,[]
