,LNGFlandre, ,LNGSofM, ,LNGFenfen, ,LNGAsura, ,LNGDuan, ,VGCube, ,VGAix, ,VGJay, ,VGPuff, ,VGSouthwind, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,3,96,4,98,2,99,0,97,2,95,94,5,96,5,95,2,97,3,94,2,0,0,0,0,[]
1,3,95,5,97,2,98,1,97,1,95,94,4,95,5,95,3,97,4,93,4,0,0,0,0,[]
2,4,94,5,97,2,96,5,96,3,94,93,5,94,5,94,6,95,6,94,6,0,0,0,0,[]
3,4,94,5,96,4,95,5,96,4,94,93,5,92,5,94,6,94,7,93,6,0,0,0,0,[]
4,14,73,16,78,21,81,28,93,24,84,72,6,72,15,79,24,83,27,79,24,0,0,0,0,[]
5,19,51,32,61,35,64,50,89,41,70,54,18,55,30,63,40,80,48,67,42,0,0,0,0,[]
6,23,33,34,43,47,54,69,80,51,65,34,22,46,34,55,51,73,62,64,58,0,0,0,0,[]
7,20,27,39,39,45,53,74,72,51,66,30,21,45,34,54,50,74,63,62,62,0,0,0,0,[]
8,18,23,40,37,45,53,75,74,52,65,30,22,44,34,53,50,75,60,59,60,0,0,0,0,[]
9,25,22,42,36,46,53,76,74,52,65,30,22,52,33,54,50,74,62,63,61,0,0,0,0,[]
10,29,20,48,33,46,52,75,72,52,65,28,17,54,32,54,49,74,62,63,60,0,0,0,0,[]
11,22,26,43,33,46,51,76,72,52,65,27,14,54,32,54,48,74,62,64,59,0,0,0,0,[]
12,21,28,35,40,46,53,75,70,52,66,30,20,54,32,52,48,74,62,63,61,0,0,0,0,[]
13,30,31,32,49,45,54,75,74,52,66,29,20,86,5,54,51,74,62,63,62,0,0,0,0,[]
14,41,31,33,59,45,55,73,76,50,66,31,18,76,6,56,54,74,63,72,63,0,0,0,0,[]
15,41,30,40,66,45,53,70,77,47,72,42,17,65,9,52,49,80,66,82,66,0,0,0,0,[]
16,41,30,47,73,50,50,63,77,51,74,47,16,57,16,54,47,88,70,87,72,0,0,0,0,[]
17,31,31,52,76,52,48,53,76,51,75,48,18,51,21,59,45,89,78,90,81,0,0,0,0,[]
18,21,38,51,71,49,50,52,76,51,75,47,23,49,26,53,47,88,76,90,82,0,0,0,0,[]
19,12,34,49,73,48,52,56,76,54,76,45,23,52,26,53,49,86,79,84,88,0,0,0,0,[]
20,12,23,50,80,49,51,67,80,64,79,34,21,52,28,54,49,85,81,85,87,0,0,0,0,[]
21,14,17,54,82,47,51,75,87,73,85,26,15,53,28,53,47,83,81,84,89,0,0,0,0,[]
22,13,18,53,85,49,50,80,86,81,88,18,14,52,33,54,46,84,82,86,84,0,0,0,0,[]
23,13,19,52,84,50,51,81,84,84,88,18,13,52,32,54,46,85,82,87,84,0,0,0,0,[]
24,13,19,55,82,51,51,80,85,85,87,17,13,52,36,54,45,86,81,88,84,0,0,0,0,[]
25,14,17,53,85,51,50,80,85,84,88,18,14,50,35,53,44,85,82,88,83,0,0,0,0,[]
26,13,17,52,84,49,49,80,85,84,87,18,13,55,32,55,46,85,81,85,83,0,0,0,0,[]
27,16,17,48,76,49,48,81,85,85,89,21,11,64,38,55,49,85,80,87,83,0,0,0,0,[]
28,15,15,41,67,50,48,79,87,81,91,20,12,74,43,55,48,85,83,85,88,0,0,0,0,[]
29,16,15,33,60,52,47,81,86,84,88,22,11,76,45,59,48,86,82,88,84,0,0,0,0,[]
30,16,14,28,50,51,47,81,88,84,88,22,12,77,48,55,42,86,82,87,84,0,0,0,0,[]
31,20,13,23,46,50,48,76,90,78,91,22,9,78,51,56,48,80,85,82,87,0,0,0,0,[]
32,19,14,20,45,51,47,78,87,81,90,22,9,75,54,56,45,84,83,85,85,0,0,0,0,[]
33,18,14,17,44,50,48,79,85,84,89,22,10,76,55,55,45,85,82,86,83,0,0,0,0,[]
34,22,10,15,43,51,47,78,86,83,88,24,9,79,55,56,46,84,82,84,82,0,0,0,0,[]
35,20,10,16,44,48,56,78,87,81,89,25,11,82,57,55,45,82,83,83,83,0,0,0,0,[]
36,18,16,20,50,50,59,78,89,73,85,28,9,81,56,55,46,84,85,82,82,0,0,0,0,[]
37,23,22,23,55,50,50,75,91,74,88,27,6,78,55,55,46,80,88,79,86,0,0,0,0,[]
38,20,12,24,51,49,50,75,89,74,87,26,8,73,62,54,48,80,86,81,88,0,0,0,0,[]
39,23,12,23,52,49,50,74,91,73,87,24,8,63,62,54,49,81,89,78,85,0,0,0,0,[]
40,21,13,31,46,49,50,76,91,75,90,25,8,70,64,54,49,79,86,78,85,0,0,0,0,[]
41,20,14,27,36,47,51,73,90,74,90,25,8,66,64,54,52,79,86,76,88,0,0,0,0,[]
42,20,12,31,39,45,52,70,91,73,91,25,11,58,63,49,52,75,89,78,90,0,0,0,0,[]
43,21,10,34,41,44,52,72,93,73,93,24,12,56,67,49,51,76,88,78,90,0,0,0,0,[]
44,18,12,43,48,46,52,63,91,71,87,24,11,51,65,49,53,80,87,78,88,0,0,0,0,[]
45,18,11,46,57,43,52,73,89,72,87,22,10,49,65,53,57,79,88,78,87,0,0,0,0,[]
46,20,12,44,67,38,56,73,90,72,87,24,11,47,66,51,64,79,88,78,83,0,0,0,0,[]
47,16,9,39,63,41,55,75,91,71,88,26,11,44,68,50,65,78,86,78,81,0,0,0,0,[]
48,16,9,39,63,41,54,71,93,70,91,28,9,51,64,52,62,75,89,75,88,0,0,0,0,[]
49,3,94,8,93,42,54,71,88,71,87,25,12,56,68,48,54,77,88,79,88,0,0,0,0,[]
50,4,92,22,90,40,53,74,88,73,85,20,13,56,68,47,55,83,83,82,84,0,0,0,0,[]
51,16,20,33,89,42,54,78,88,73,84,20,11,90,5,48,52,84,84,81,82,0,0,0,0,[]
52,18,17,45,88,42,53,78,89,77,87,19,11,79,10,46,55,82,84,83,84,0,0,0,0,[]
53,15,17,54,85,43,53,77,89,76,88,20,13,67,11,49,53,82,85,81,83,0,0,0,0,[]
54,15,18,55,83,44,54,73,91,72,90,19,13,55,11,51,52,78,88,79,87,0,0,0,0,[]
55,13,19,54,83,45,52,70,89,72,92,16,15,45,13,51,52,77,87,79,86,0,0,0,0,[]
56,13,19,53,84,44,52,75,92,75,92,17,15,40,17,49,52,79,87,81,87,0,0,0,0,[]
57,13,19,53,84,49,50,76,90,76,91,16,15,40,15,55,49,78,85,81,85,0,0,0,0,[]
58,11,21,49,78,50,44,75,92,74,89,14,17,43,16,56,47,79,88,81,89,0,0,0,0,[]
59,9,20,48,68,49,44,75,92,73,89,14,13,48,18,55,46,78,87,79,88,0,0,0,0,[]
60,11,13,50,60,49,47,72,93,71,92,15,11,51,29,56,48,76,89,77,89,0,0,0,0,[]
61,8,22,44,51,51,46,76,92,74,87,24,9,52,35,56,47,80,86,84,86,0,0,0,0,[]
62,8,23,41,40,53,44,75,93,73,88,24,9,53,34,56,44,80,88,78,86,0,0,0,0,[]
63,9,24,47,34,46,38,75,92,73,88,89,4,54,32,54,42,79,87,77,87,0,0,0,0,[]
64,10,25,40,36,44,43,74,93,72,90,78,6,57,33,50,49,78,88,74,88,0,0,0,0,[]
65,11,26,32,41,50,50,75,92,74,91,67,7,67,39,56,54,77,86,78,88,0,0,0,0,[]
66,10,27,23,40,44,52,71,89,72,89,56,8,75,44,49,53,76,89,77,90,0,0,0,0,[]
67,10,25,15,43,45,52,72,85,70,84,46,11,76,46,51,51,79,88,79,87,0,0,0,0,[]
68,9,22,17,45,43,51,73,85,69,80,36,16,72,49,44,52,83,85,80,84,0,0,0,0,[]
69,11,22,18,47,43,54,76,87,75,88,26,14,63,57,48,51,82,85,80,83,0,0,0,0,[]
70,9,21,20,51,42,55,79,91,74,90,23,12,54,64,49,51,81,85,77,80,0,0,0,0,[]
71,12,22,23,55,40,55,75,92,73,90,18,15,45,62,47,54,78,79,70,78,0,0,0,0,[]
72,12,22,24,52,42,55,75,92,74,90,19,14,45,63,47,54,79,75,60,73,0,0,0,0,[]
73,11,20,25,52,44,53,76,90,74,90,18,15,51,62,48,54,79,75,55,65,0,0,0,0,[]
74,13,19,30,49,41,54,77,92,73,86,21,13,50,62,52,56,95,5,51,61,0,0,0,0,[]
75,13,18,28,37,39,56,77,92,73,86,19,13,50,65,53,57,83,84,51,61,0,0,0,0,[]
76,13,18,32,40,38,55,2,96,7,95,19,14,45,67,95,4,79,83,94,8,0,0,0,0,[]
77,14,18,40,44,37,56,2,96,18,93,22,12,44,67,93,7,73,78,93,11,0,0,0,0,[]
78,17,15,40,58,2,96,71,90,30,92,23,11,46,65,85,16,73,77,92,23,0,0,0,0,[]
79,22,11,43,67,46,53,65,88,40,86,26,7,50,65,75,25,82,83,91,35,0,0,0,0,[]
80,21,11,53,67,48,51,58,84,49,78,24,8,59,62,67,34,85,82,89,47,0,0,0,0,[]
81,23,10,56,68,49,51,63,87,56,68,27,9,69,63,58,42,81,84,88,60,0,0,0,0,[]
82,28,18,49,73,51,60,73,89,62,77,29,10,77,56,54,43,80,80,87,71,0,0,0,0,[]
83,37,23,48,74,57,63,67,90,71,84,27,8,82,57,56,44,74,72,85,77,0,0,0,0,[]
84,45,24,47,71,48,57,72,88,73,85,27,9,80,55,56,47,76,73,82,80,0,0,0,0,[]
85,33,22,51,64,48,50,80,85,80,84,26,8,73,63,55,49,84,78,86,81,0,0,0,0,[]
86,28,21,50,60,48,48,83,87,82,87,24,11,62,61,51,51,84,82,85,81,0,0,0,0,[]
87,21,20,51,59,52,49,84,88,82,89,21,10,62,63,55,50,84,81,85,82,0,0,0,0,[]
88,19,13,53,65,47,54,81,87,79,86,21,9,57,59,54,51,84,81,88,83,0,0,0,0,[]
89,18,14,51,59,49,53,77,88,77,85,24,10,57,55,54,54,82,86,86,80,0,0,0,0,[]
90,21,11,56,56,47,51,76,89,75,87,26,9,55,51,54,47,81,85,87,85,0,0,0,0,[]
91,23,12,59,62,47,50,76,92,74,89,27,7,65,53,56,55,79,86,85,87,0,0,0,0,[]
92,22,12,57,62,53,56,76,92,72,85,26,8,57,63,53,65,80,87,76,79,0,0,0,0,[]
93,21,13,58,59,50,53,75,92,72,86,27,9,59,57,55,57,79,85,58,57,0,0,0,0,[]
94,23,22,58,59,44,52,75,92,71,89,28,9,64,64,55,46,79,85,57,65,0,0,0,0,[]
95,34,23,58,59,41,57,76,91,74,87,26,9,67,64,51,51,81,86,64,65,0,0,0,0,[]
96,41,32,3,96,47,55,76,91,70,78,27,16,67,67,51,52,82,84,71,69,0,0,0,0,[]
97,48,41,16,90,47,52,72,85,61,74,18,14,68,67,56,50,81,83,75,73,0,0,0,0,[]
98,55,48,26,85,56,49,65,78,57,63,17,14,75,61,61,51,78,74,72,66,0,0,0,0,[]
99,66,54,34,77,55,50,60,72,63,61,14,17,76,52,63,52,85,81,75,61,0,0,0,0,[]
100,66,55,47,80,48,54,67,80,57,64,13,15,77,52,63,52,84,81,78,72,0,0,0,0,[]
101,2,96,55,85,48,55,75,87,53,56,19,19,77,52,63,52,83,83,85,83,0,0,0,0,[]
102,4,84,53,85,50,50,77,88,50,48,19,19,76,47,63,52,83,83,84,86,0,0,0,0,[]
103,5,72,55,83,50,51,73,90,49,47,92,4,73,43,93,7,79,88,80,88,0,0,0,0,[]
104,7,60,55,82,51,50,74,92,49,53,81,5,74,42,84,19,80,86,79,90,0,0,0,0,[]
105,9,46,50,78,45,55,76,92,48,56,70,7,73,41,73,29,79,85,80,88,0,0,0,0,[]
106,9,34,61,71,44,56,71,93,2,96,59,8,64,36,62,39,78,81,78,79,0,0,0,0,[]
107,12,23,63,68,3,96,72,91,13,94,46,9,53,36,56,45,76,71,74,68,0,0,0,0,[]
108,13,21,56,67,13,87,72,91,26,89,35,11,53,34,51,49,75,61,75,58,0,0,0,0,[]
109,11,20,45,67,21,80,78,86,38,89,24,13,52,33,49,49,75,61,78,61,0,0,0,0,[]
110,12,18,46,66,28,72,81,84,46,81,23,13,52,33,54,50,77,70,86,66,0,0,0,0,[]
111,13,17,46,65,36,64,80,86,57,77,19,13,92,8,60,61,82,80,85,78,0,0,0,0,[]
112,13,17,47,64,41,56,76,88,69,78,20,14,91,12,56,64,83,82,83,83,0,0,0,0,[]
113,17,16,55,67,41,55,78,86,72,84,23,12,82,21,60,59,84,80,79,78,0,0,0,0,[]
114,17,16,58,66,45,53,84,85,77,85,22,12,74,29,52,51,86,79,74,72,0,0,0,0,[]
115,20,13,50,60,45,53,78,92,80,86,22,9,66,37,53,49,85,79,80,77,0,0,0,0,[]
116,19,10,47,57,49,53,81,89,80,89,25,11,66,49,55,49,84,81,83,82,0,0,0,0,[]
117,19,16,37,50,39,50,81,90,77,87,28,9,66,54,57,46,83,83,79,77,0,0,0,0,[]
118,27,21,24,46,29,50,78,87,75,87,27,9,64,58,57,46,83,78,70,69,0,0,0,0,[]
119,28,20,24,45,26,50,72,84,66,79,27,8,57,66,53,53,79,74,65,67,0,0,0,0,[]
120,19,18,24,41,28,50,72,84,62,75,26,8,56,67,50,52,78,72,66,66,0,0,0,0,[]
121,19,12,23,40,41,51,6,96,59,75,25,11,59,63,50,52,85,77,65,59,0,0,0,0,[]
122,16,9,33,37,46,53,18,95,57,71,23,12,61,58,52,53,87,74,65,57,0,0,0,0,[]
123,23,11,41,33,45,55,29,94,57,74,24,11,53,58,54,57,87,69,95,4,0,0,0,0,[]
124,17,14,42,25,43,53,40,92,2,96,34,12,54,57,53,58,87,69,92,11,0,0,0,0,[]
125,16,15,41,29,45,49,51,91,11,90,36,13,60,57,55,56,94,8,83,20,0,0,0,0,[]
126,24,12,44,24,46,49,64,89,21,84,29,8,65,64,54,50,93,10,73,29,0,0,0,0,[]
127,24,11,44,23,44,53,74,87,32,79,26,7,62,59,53,49,84,16,61,33,0,0,0,0,[]
128,26,12,41,25,43,46,81,85,43,78,27,7,63,62,55,48,83,22,48,34,0,0,0,0,[]
129,27,16,40,32,42,37,82,85,54,76,29,7,67,64,51,44,88,32,48,34,0,0,0,0,[]
130,27,14,33,30,40,42,76,86,57,67,30,9,68,65,49,43,89,42,48,39,0,0,0,0,[]
131,24,10,34,31,44,46,68,80,52,60,26,6,66,65,50,49,90,53,50,43,0,0,0,0,[]
132,20,13,34,32,47,50,61,73,49,51,31,7,68,65,55,47,91,64,51,44,0,0,0,0,[]
133,19,13,33,31,48,51,58,63,52,53,33,11,67,65,54,45,91,72,56,48,0,0,0,0,[]
134,18,14,35,30,48,57,58,67,56,60,36,15,74,69,52,48,89,76,52,49,0,0,0,0,[]
135,24,10,31,31,41,59,61,75,56,67,29,9,70,78,56,54,87,76,58,50,0,0,0,0,[]
136,22,10,32,32,42,52,51,78,54,76,30,9,69,79,67,64,81,83,66,58,0,0,0,0,[]
137,18,18,31,32,44,52,57,85,53,84,27,9,73,72,61,61,79,89,57,64,0,0,0,0,[]
138,18,13,24,27,47,51,64,88,61,86,29,9,72,76,55,58,74,91,60,73,0,0,0,0,[]
139,19,13,21,22,46,49,69,91,71,91,24,11,75,65,53,52,76,89,70,79,0,0,0,0,[]
140,18,13,25,22,45,46,59,85,63,87,27,10,76,63,53,49,77,87,77,84,0,0,0,0,[]
141,24,12,29,15,43,43,55,85,60,88,36,7,73,74,52,48,71,89,70,91,0,0,0,0,[]
142,30,8,28,8,48,51,56,90,55,88,44,11,70,87,55,54,71,90,68,93,0,0,0,0,[]
143,30,7,30,8,50,47,53,86,55,89,45,12,71,92,57,63,72,90,71,91,0,1,0,0,[]
144,37,9,39,14,48,46,50,83,52,84,46,11,70,91,57,54,70,90,70,91,0,1,0,0,[]
145,35,9,43,14,39,39,49,77,51,75,48,9,70,91,60,44,72,90,71,91,0,1,0,0,[]
146,35,9,39,16,32,36,46,73,45,69,46,9,71,89,59,46,72,89,72,92,0,1,0,0,[]
147,2,96,29,20,39,42,45,71,45,68,49,8,71,77,59,46,74,91,84,88,0,1,0,0,[]
148,5,90,29,20,49,48,46,69,45,68,48,9,80,67,94,5,76,90,84,88,0,1,0,1,[]
149,12,77,2,96,52,46,43,68,39,64,48,7,83,59,92,10,76,90,93,5,0,1,0,1,[]
150,17,66,8,84,48,49,43,68,39,64,44,7,82,56,85,23,91,6,87,16,0,1,0,1,[]
151,22,56,14,73,44,51,43,67,2,96,34,8,78,49,81,37,85,10,78,25,0,1,0,1,[]
152,19,52,21,55,2,96,43,67,7,94,26,10,73,42,70,31,77,18,68,34,0,1,0,1,[]
153,24,40,16,45,11,94,7,93,21,88,25,9,73,42,54,22,68,29,57,43,0,1,0,1,[]
154,27,35,15,43,27,94,14,89,33,79,29,6,73,42,40,25,60,38,50,43,0,1,0,1,[]
155,21,29,16,43,39,93,22,81,43,69,29,6,83,8,30,21,52,47,42,33,0,1,0,1,[]
156,13,22,25,37,49,91,30,71,52,64,93,5,73,14,34,23,50,49,42,32,0,1,0,1,[]
157,15,17,35,39,62,91,38,60,52,63,92,17,63,23,28,23,50,44,40,37,0,1,0,1,[]
158,13,21,31,45,74,89,41,55,42,56,91,29,54,31,21,26,41,39,34,39,0,1,0,1,[]
159,14,19,42,52,77,87,38,49,47,59,90,41,44,34,18,21,39,37,35,38,0,1,0,1,[]
160,11,18,52,60,82,82,44,53,60,62,89,53,36,25,18,16,42,41,41,41,0,1,0,1,[]
161,9,26,65,62,89,73,45,55,67,63,91,66,25,24,11,19,49,48,48,49,0,1,0,1,[]
162,15,34,64,68,88,74,44,57,63,68,93,70,23,35,13,14,46,51,47,49,0,1,0,1,[]
163,13,34,63,62,88,75,39,59,72,64,93,69,23,37,15,17,43,54,43,51,0,1,0,1,[]
164,17,34,63,57,86,77,40,58,77,65,91,72,24,36,16,17,43,48,43,48,0,1,0,1,[]
165,8,36,76,61,89,72,43,57,83,66,92,71,23,42,13,18,45,45,33,42,0,1,0,1,[]
166,5,36,82,66,87,75,39,62,84,67,93,71,25,37,20,25,50,46,33,43,0,1,0,1,[]
167,4,38,73,62,82,82,43,59,79,64,90,69,34,37,22,31,50,48,33,43,0,1,0,1,[]
168,5,43,74,59,77,77,44,57,79,64,88,68,47,35,17,22,50,48,92,6,0,1,0,1,[]
169,6,42,74,60,82,80,40,58,13,92,87,66,52,35,12,19,50,43,81,14,0,1,0,1,[]
170,5,41,74,60,82,82,39,56,24,84,88,67,43,36,11,22,49,44,72,23,0,1,0,1,[]
171,5,37,81,66,79,76,42,57,36,76,91,71,31,37,6,26,50,44,63,33,0,1,0,1,[]
172,5,37,79,65,79,76,39,60,41,67,91,71,19,35,5,29,47,50,55,43,0,1,0,1,[]
173,7,29,68,61,6,96,47,55,39,54,89,69,11,34,6,29,47,50,48,48,0,1,0,1,[]
174,6,26,56,54,10,26,44,58,32,43,89,72,13,22,8,19,48,51,46,48,0,1,0,1,[]
175,12,17,56,59,14,14,40,57,26,30,84,82,22,13,16,9,47,51,52,53,0,1,0,1,[]
176,18,12,53,64,22,11,40,58,30,18,79,86,32,11,20,8,44,54,56,61,0,1,0,1,[]
177,27,11,54,62,34,12,39,62,39,15,77,88,39,14,20,8,51,52,55,56,0,1,0,1,[]
178,39,10,54,57,40,16,42,57,37,16,67,89,39,17,20,8,50,48,53,50,0,1,0,1,[]
179,47,8,53,58,46,10,42,52,45,9,59,91,39,17,20,8,48,51,54,44,0,1,0,1,[]
180,51,9,57,68,49,11,41,57,51,10,57,90,39,17,20,8,46,52,49,51,0,1,0,1,[]
181,58,8,48,59,49,11,39,58,48,8,59,85,39,17,20,8,42,54,43,54,0,2,0,1,[]
182,58,8,46,64,49,11,40,59,48,8,60,84,39,17,94,4,45,47,52,51,0,2,0,1,[]
183,4,93,47,65,14,95,28,59,4,95,61,84,39,17,77,5,49,53,60,59,0,2,0,1,[]
184,4,91,49,65,26,94,29,60,17,89,60,85,92,11,65,10,51,62,55,66,0,2,0,1,[]
185,11,83,44,68,38,93,29,59,29,82,59,82,86,22,54,9,55,63,57,67,0,2,0,1,[]
186,15,71,2,96,50,91,34,59,40,72,69,80,80,33,53,8,52,53,53,55,0,2,0,1,[]
187,19,60,7,93,62,90,42,56,45,67,69,80,73,42,46,8,50,50,48,50,0,2,0,1,[]
188,24,48,22,86,73,89,38,59,47,64,94,6,70,41,37,13,42,54,40,54,0,2,0,1,[]
