,LNGFlandre, ,LNGSofM, ,LNGFenfen, ,LNGAsura, ,LNGDuan, ,VGChelizi, ,VGAix, ,VGJay, ,VGPuff, ,VGSouthwind, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,4,95,4,98,2,99,0,97,1,95,94,5,96,5,95,2,97,3,93,3,0,0,0,0,[]
1,4,95,4,98,2,99,1,96,2,95,93,5,95,5,94,3,96,4,94,3,0,0,0,0,[]
2,3,94,4,96,4,95,5,96,3,95,94,4,93,5,94,6,95,5,93,6,0,0,0,0,[]
3,4,93,4,96,5,95,6,96,4,94,92,4,92,5,94,6,94,7,93,6,0,0,0,0,[]
4,14,72,17,78,22,81,29,93,24,84,69,7,72,15,82,22,83,27,79,23,0,0,0,0,[]
5,19,50,32,61,37,64,51,89,42,70,47,12,55,30,66,37,79,49,66,41,0,0,0,0,[]
6,23,33,34,42,44,52,69,80,50,66,30,21,41,31,55,51,74,63,63,57,0,0,0,0,[]
7,20,28,39,38,44,53,66,82,49,65,30,21,41,29,51,56,73,63,51,56,0,0,0,0,[]
8,20,28,37,40,43,54,56,83,49,65,29,22,41,27,51,51,74,62,53,53,0,0,0,0,[]
9,20,28,35,38,41,52,50,82,49,74,30,21,95,4,54,56,73,62,57,55,0,0,0,0,[]
10,20,28,35,39,42,53,47,78,52,76,31,19,90,13,53,54,73,62,57,55,0,0,0,0,[]
11,20,27,34,38,43,51,47,78,54,76,30,22,80,16,55,47,73,63,92,12,0,0,0,0,[]
12,20,27,35,39,43,53,47,78,54,76,29,22,70,19,54,47,73,63,87,21,0,0,0,0,[]
13,20,28,32,47,40,54,48,77,53,76,30,23,60,23,54,47,74,63,82,31,0,0,0,0,[]
14,23,34,31,59,44,53,49,77,52,75,30,20,50,22,53,48,74,63,87,38,0,0,0,0,[]
15,22,31,40,66,45,52,50,76,52,75,36,23,47,24,52,48,79,64,89,48,0,0,0,0,[]
16,23,35,44,69,46,52,49,76,52,75,44,24,47,26,52,48,87,68,88,59,0,0,0,0,[]
17,22,41,47,72,46,51,52,76,52,75,47,24,48,26,53,48,88,73,89,70,0,0,0,0,[]
18,22,32,51,72,45,52,53,76,52,75,47,24,48,26,52,50,85,78,90,81,0,0,0,0,[]
19,17,22,50,74,46,51,54,76,52,74,46,24,49,25,53,49,84,82,83,90,0,0,0,0,[]
20,15,16,50,77,46,51,63,78,60,76,35,22,50,26,53,50,83,81,84,88,0,0,0,0,[]
21,13,16,49,79,47,52,72,84,69,82,26,15,53,30,54,48,83,82,82,90,0,0,0,0,[]
22,15,16,50,82,47,52,79,87,77,88,19,13,52,34,51,48,84,83,83,89,0,0,0,0,[]
23,15,13,53,85,48,53,80,87,83,87,21,13,54,33,51,47,84,82,84,82,0,0,0,0,[]
24,18,13,53,85,48,52,81,89,82,89,23,11,56,32,49,47,83,81,87,85,0,0,0,0,[]
25,20,13,58,83,45,55,79,89,82,89,23,9,56,33,49,48,84,85,84,85,0,0,0,0,[]
26,20,12,54,84,45,55,81,89,82,90,22,9,63,38,50,48,87,83,87,85,0,0,0,0,[]
27,21,12,52,84,46,54,79,89,80,91,26,10,72,42,49,48,84,83,84,88,0,0,0,0,[]
28,22,11,49,78,46,54,73,91,75,92,26,9,76,44,51,49,81,85,81,90,0,0,0,0,[]
29,23,11,47,67,46,54,70,91,70,90,26,8,76,46,50,49,80,86,83,88,0,0,0,0,[]
30,24,9,47,65,44,54,69,92,69,91,27,9,77,50,49,50,75,87,74,91,0,0,0,0,[]
31,23,10,50,65,44,52,69,91,71,92,27,8,74,56,49,52,76,87,76,87,0,0,0,0,[]
32,18,14,52,63,43,54,70,88,76,91,22,10,74,58,50,50,78,85,78,85,0,0,0,0,[]
33,16,15,56,54,49,50,73,91,76,91,20,13,75,60,53,48,79,84,79,84,0,0,0,0,[]
34,17,13,49,49,50,48,72,90,73,93,23,11,70,62,55,45,78,88,78,89,0,0,0,0,[]
35,19,13,41,45,45,54,73,91,72,92,23,9,60,60,50,51,78,87,78,90,0,0,0,0,[]
36,21,12,42,34,42,52,72,91,71,90,22,9,50,55,48,54,77,88,77,88,0,0,0,0,[]
37,19,17,44,44,44,54,74,93,71,87,20,14,50,53,49,53,77,86,77,86,0,0,0,0,[]
38,25,12,49,52,53,54,74,91,71,86,27,10,59,56,61,57,78,87,80,87,0,0,0,0,[]
39,20,13,42,45,45,54,73,89,73,87,32,7,57,56,63,57,78,90,77,88,0,0,0,0,[]
40,20,13,32,38,42,58,70,90,70,89,32,7,66,62,95,4,76,91,76,91,0,0,0,0,[]
41,15,10,34,39,41,55,70,92,69,90,95,4,70,66,92,10,76,90,76,90,0,0,0,0,[]
42,12,12,33,40,44,52,69,92,70,91,29,8,74,66,82,20,75,91,75,88,0,0,0,0,[]
43,12,12,26,37,46,51,69,88,71,93,26,8,76,57,75,27,79,87,77,90,0,0,0,0,[]
44,4,91,23,45,45,52,72,86,71,87,21,10,83,56,67,34,82,82,82,90,0,0,0,0,[]
45,18,15,18,45,39,57,74,89,74,89,22,12,82,56,58,41,80,88,80,88,0,0,0,0,[]
46,18,16,18,43,39,57,77,88,74,87,21,10,82,57,55,45,83,87,83,87,0,0,0,0,[]
47,17,15,18,47,5,95,76,89,74,86,21,11,82,57,51,49,84,86,79,84,0,0,0,0,[]
48,18,15,17,45,12,89,72,91,73,87,20,10,86,4,48,51,80,89,77,87,0,0,0,0,[]
49,14,19,18,48,19,80,73,92,71,88,19,13,74,6,49,51,78,89,77,86,0,0,0,0,[]
50,14,18,23,55,25,72,75,90,74,87,15,12,63,7,51,51,79,86,76,86,0,0,0,0,[]
51,13,17,23,55,32,64,75,92,72,89,17,11,51,9,55,50,78,87,78,88,0,0,0,0,[]
52,13,18,23,52,38,58,71,92,71,89,14,13,42,17,55,50,78,89,77,88,0,0,0,0,[]
53,11,19,23,52,40,55,69,94,68,91,16,14,40,17,94,6,79,90,79,90,0,0,0,0,[]
54,10,21,2,96,43,54,72,93,72,91,14,15,39,16,89,13,87,85,87,85,0,0,0,0,[]
55,12,22,9,93,45,51,70,91,68,88,15,17,37,14,81,20,87,85,87,85,0,0,0,0,[]
56,12,21,16,92,47,54,70,91,68,88,15,18,26,11,73,27,95,8,94,8,0,0,0,0,[]
57,10,22,27,90,50,60,2,96,4,96,15,18,27,18,63,36,94,19,93,13,0,0,0,0,[]
58,11,29,38,89,57,68,78,87,13,93,10,19,36,25,58,41,93,30,92,24,0,0,0,0,[]
59,8,29,49,90,59,63,85,87,24,90,15,21,44,32,58,43,91,41,91,34,0,0,0,0,[]
60,8,28,54,83,55,58,86,86,36,89,18,24,52,36,55,44,90,52,90,45,0,0,0,0,[]
61,6,27,52,84,49,52,81,88,48,88,18,24,53,33,53,45,89,63,89,56,0,0,0,0,[]
62,8,25,55,84,49,52,83,87,58,84,86,4,61,36,56,44,87,74,87,67,0,0,0,0,[]
63,7,26,51,83,51,51,81,87,68,78,72,6,66,47,56,44,84,81,80,66,0,0,0,0,[]
64,7,27,47,73,51,49,83,88,72,83,61,7,74,44,56,45,85,80,76,60,0,0,0,0,[]
65,9,25,46,65,49,52,82,86,78,84,50,8,76,45,56,45,86,81,84,66,0,0,0,0,[]
66,11,23,49,65,50,48,86,85,80,82,38,10,77,48,57,43,87,77,87,74,0,0,0,0,[]
67,11,22,60,61,52,49,84,82,81,82,27,12,77,48,56,45,89,78,87,77,0,0,0,0,[]
68,12,21,56,58,52,49,83,82,82,82,25,15,94,4,57,46,88,77,88,77,0,0,0,0,[]
69,14,20,49,55,53,49,82,82,83,82,19,14,80,6,58,45,90,78,90,78,0,0,0,0,[]
70,14,19,42,46,50,49,85,83,82,82,18,14,70,9,56,43,86,78,86,79,0,0,0,0,[]
71,9,20,34,42,41,44,84,84,82,83,19,14,58,11,56,44,90,80,85,79,0,0,0,0,[]
72,14,18,42,34,45,46,83,82,83,83,20,13,47,12,57,45,89,79,89,79,0,0,0,0,[]
73,18,15,38,36,48,48,84,82,84,83,21,10,36,15,54,48,90,78,90,78,0,0,0,0,[]
74,18,14,32,38,48,49,84,84,84,84,20,12,36,15,55,45,87,77,88,80,0,0,0,0,[]
75,19,15,29,38,50,51,81,85,79,85,20,11,36,15,54,47,85,80,86,84,0,0,0,0,[]
76,21,13,34,37,45,48,81,90,77,88,26,8,41,16,55,48,82,82,82,82,0,0,0,0,[]
77,28,18,45,35,45,43,83,86,80,86,27,8,38,15,54,44,87,82,87,82,0,0,0,0,[]
78,37,25,53,37,45,43,81,85,80,86,26,8,39,17,59,38,84,80,84,80,0,0,0,0,[]
79,43,24,52,36,47,49,81,86,79,85,24,10,45,16,58,35,87,82,84,81,0,0,0,0,[]
80,46,22,53,35,49,49,80,85,79,84,21,14,56,18,57,43,87,82,85,80,0,0,0,0,[]
81,51,23,55,40,54,49,78,88,78,84,24,14,57,28,57,45,86,81,84,81,0,0,0,0,[]
82,56,33,52,44,65,43,76,89,76,87,20,13,63,40,64,39,81,83,81,83,0,0,0,0,[]
83,55,40,48,49,67,46,73,90,70,89,16,15,61,49,64,39,81,84,83,88,0,0,0,0,[]
84,45,45,39,55,67,46,69,91,67,91,11,20,55,43,64,39,74,90,75,90,0,0,0,0,[]
85,35,39,26,57,67,46,71,94,70,88,11,25,57,30,64,39,75,88,76,87,0,0,0,0,[]
86,25,37,26,59,6,94,71,92,70,89,11,23,53,21,52,45,77,89,77,89,0,0,0,0,[]
87,13,34,22,55,16,84,72,90,71,89,11,24,51,21,52,47,78,86,78,86,0,0,0,0,[]
88,7,29,18,46,22,75,71,92,69,91,15,21,46,24,55,57,78,83,72,84,0,0,0,0,[]
89,7,26,16,44,30,67,73,93,70,90,22,29,44,24,56,63,74,78,70,79,0,0,0,0,[]
90,8,28,17,45,36,59,74,92,71,90,19,25,43,23,54,58,76,79,76,79,0,0,0,0,[]
91,11,25,21,48,41,55,72,91,66,88,13,19,43,23,50,51,79,86,79,87,0,0,0,0,[]
92,12,22,21,48,42,55,71,89,64,88,14,15,43,19,52,51,77,87,73,86,0,0,0,0,[]
93,12,20,6,93,45,56,70,91,69,89,15,16,39,17,52,49,78,84,78,84,0,0,0,0,[]
94,12,21,11,91,52,62,70,92,69,89,14,15,38,15,55,46,77,80,77,80,0,0,0,0,[]
95,10,23,21,85,50,61,71,91,72,85,11,17,42,15,56,45,77,80,77,80,0,0,0,0,[]
96,9,23,31,80,47,51,72,87,71,83,12,18,42,15,55,45,94,8,92,8,0,0,0,0,[]
97,6,24,39,73,48,50,66,78,61,77,9,22,91,11,55,45,94,19,94,19,0,0,0,0,[]
98,8,24,47,65,49,51,73,86,60,76,11,20,86,21,54,44,93,30,90,26,0,0,0,0,[]
99,7,24,49,67,49,51,80,83,64,78,10,22,80,32,54,44,92,41,80,32,0,0,0,0,[]
100,9,23,48,74,48,51,80,83,2,96,8,18,70,41,54,45,90,52,70,41,0,0,0,0,[]
101,11,23,47,72,49,49,82,84,13,92,14,13,66,52,56,48,89,63,66,51,0,0,0,0,[]
102,11,26,46,70,49,51,77,86,26,85,11,23,58,57,54,47,88,74,61,58,0,0,0,0,[]
103,10,32,51,64,47,52,73,86,36,75,12,22,52,56,53,47,86,80,52,56,0,0,0,0,[]
104,10,23,54,61,45,52,68,78,47,67,16,17,56,50,52,45,88,79,57,54,0,0,0,0,[]
105,10,22,57,61,46,51,60,73,52,60,14,18,60,52,54,51,87,78,57,55,0,0,0,0,[]
