,VGChelizi, ,VGYoudang, ,VGIan, ,VGPuff, ,VGSouthwind, ,TES369, ,TESXx, ,TESKnight9, ,TESLokeN, ,TESBen, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,4,95,4,98,2,99,0,97,1,95,94,5,96,5,95,2,97,3,93,3,2500,0,2500,0,[]
1,4,95,3,97,2,99,1,97,2,95,94,5,95,6,95,2,97,3,93,4,2500,0,2500,0,[]
2,3,94,5,96,5,96,5,97,5,96,94,4,94,6,93,5,93,5,93,5,2500,0,2500,0,[]
3,3,94,5,96,5,95,5,97,5,96,94,6,94,6,93,5,93,6,93,4,2500,0,2500,0,[]
4,14,74,17,77,21,80,17,95,25,85,84,27,80,23,75,19,85,15,84,22,2500,0,2500,0,[]
5,19,51,32,60,36,62,40,92,42,70,78,48,66,40,66,39,71,32,80,43,2500,0,2500,0,[]
6,23,33,34,42,43,55,60,84,58,63,65,57,65,57,65,58,66,52,65,57,2500,0,2500,0,[]
7,22,24,43,36,44,56,72,77,59,72,63,62,61,59,63,60,62,59,63,62,2500,0,2520,0,[]
8,31,18,48,34,43,57,73,77,68,79,58,63,57,65,57,64,57,63,58,63,2500,0,2520,0,[]
9,28,21,37,38,45,57,70,79,68,80,57,68,58,71,57,68,57,69,57,68,2500,0,2520,0,[]
10,29,21,41,34,50,60,70,85,72,85,58,73,58,76,57,70,57,70,58,73,2500,0,2520,0,[]
11,30,22,41,31,43,53,79,91,81,90,54,76,52,76,57,68,55,76,54,76,2500,0,2520,0,[]
12,35,22,41,26,42,46,77,93,81,91,49,77,49,75,57,69,49,76,49,77,2500,0,2520,0,[]
13,46,24,45,23,41,45,77,93,82,90,45,79,45,74,57,72,47,72,46,72,2500,0,2520,0,[]
14,45,23,45,24,41,45,77,92,81,90,95,4,52,75,56,67,57,73,56,75,2500,0,2520,0,[]
15,46,24,46,24,41,45,77,92,82,90,84,5,52,75,57,74,57,69,56,74,2500,0,2520,0,[]
16,45,24,46,23,41,45,77,92,85,88,72,7,52,75,57,67,57,73,57,73,2500,0,2520,0,[]
17,46,24,46,24,43,45,78,91,88,85,61,8,52,76,58,58,55,76,55,76,2500,0,2520,0,[]
18,47,25,46,26,44,47,81,91,87,85,50,10,51,75,53,52,55,76,55,75,2500,0,2520,0,[]
19,46,24,47,26,46,52,82,90,88,85,48,18,53,76,53,49,55,76,54,76,2521,0,2641,0,[]
20,37,23,49,27,46,52,81,91,87,85,42,15,58,76,52,49,63,77,63,77,2542,0,2683,0,[]
21,27,22,51,27,45,52,81,91,87,85,31,12,69,79,52,50,72,77,72,77,2663,0,2683,0,[]
22,17,18,51,33,48,53,82,90,87,85,21,11,70,80,51,50,81,80,81,80,2798,0,2811,0,[]
23,14,18,47,34,46,53,81,87,87,85,16,13,65,78,49,51,82,79,82,79,2884,0,2929,0,[]
24,12,18,47,35,45,53,81,89,81,86,15,11,55,80,51,51,84,81,86,82,2997,0,3043,0,[]
25,14,18,46,35,43,53,78,89,81,88,15,11,56,83,51,51,83,82,83,82,3172,0,3140,0,[]
26,15,17,42,37,45,52,80,88,81,87,15,11,55,82,51,52,80,82,80,82,3283,0,3329,0,[]
27,12,13,33,43,44,53,77,89,80,89,20,11,55,82,51,52,82,81,85,83,3419,0,3440,0,[]
28,13,14,27,53,41,57,77,88,78,88,21,12,55,82,50,52,81,82,84,88,3505,0,3570,0,[]
29,15,13,24,56,41,56,73,89,77,90,23,10,54,83,48,54,81,83,81,83,3584,0,3697,0,[]
30,23,10,25,57,42,54,70,91,72,92,28,9,48,77,48,53,77,89,77,89,3688,0,3806,0,[]
31,22,11,24,56,43,54,69,91,70,91,26,8,46,66,50,52,76,90,75,88,3867,0,3901,0,[]
