,IGTheShy, ,IGNing, ,IGRookie, ,IGJackeyLove, ,IGBaolan, ,WEPoss, ,WEbeishang, ,WExiye, ,WEJiumeng, ,WEMissing, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,3,96,4,98,2,99,0,97,2,95,94,5,96,5,95,2,97,3,93,3,0,0,0,0,[]
1,3,95,4,97,2,98,1,97,2,95,94,5,95,5,94,2,97,3,93,3,0,0,0,0,[]
2,4,95,4,96,4,95,5,96,4,95,93,4,93,5,93,5,94,6,94,5,0,0,0,0,[]
3,4,95,4,96,5,95,5,97,4,95,92,4,93,5,93,6,94,6,94,6,0,0,0,0,[]
4,13,74,17,77,21,81,27,94,21,82,69,7,73,17,75,19,84,26,80,23,0,0,0,0,[]
5,18,53,32,61,35,63,48,88,37,65,46,11,55,30,61,37,80,48,66,41,0,0,0,0,[]
6,23,34,34,42,45,53,68,82,51,65,29,21,44,34,51,48,74,65,64,58,0,0,0,0,[]
7,20,28,36,39,45,53,69,78,51,66,29,22,44,35,51,47,73,64,64,57,0,0,0,0,[]
8,29,33,35,38,45,53,68,79,51,64,28,22,45,36,53,48,72,63,95,5,0,0,0,0,[]
9,37,36,42,36,47,50,68,79,50,60,29,21,47,34,54,47,73,64,91,16,0,0,0,0,[]
10,41,35,43,36,45,44,69,79,50,60,35,24,48,34,55,43,73,64,83,23,0,0,0,0,[]
11,35,39,34,43,42,41,68,78,50,61,29,21,45,35,52,44,73,64,80,34,0,0,0,0,[]
12,41,46,31,53,44,46,68,79,51,63,26,22,45,34,55,43,74,63,80,45,0,0,0,0,[]
13,45,43,35,62,46,50,68,79,52,63,26,23,50,33,56,43,74,64,76,56,0,0,0,0,[]
14,43,44,44,70,46,48,68,79,53,64,29,20,57,26,54,47,76,62,76,62,0,0,0,0,[]
15,49,46,52,75,52,51,69,79,56,67,30,20,52,21,55,44,75,65,74,65,0,0,0,0,[]
16,39,44,52,75,48,49,68,79,57,71,35,22,51,21,59,38,79,73,79,75,0,0,0,0,[]
17,27,38,52,75,50,51,69,81,64,78,45,23,49,22,60,48,80,83,78,81,0,0,0,0,[]
18,24,30,51,75,52,51,70,89,72,86,47,25,48,25,58,48,78,78,81,78,0,0,0,0,[]
19,29,23,50,76,51,53,77,89,79,91,46,25,48,25,52,52,83,84,85,87,0,0,0,0,[]
20,30,21,50,78,48,51,82,84,82,86,39,23,49,26,53,49,86,83,86,84,0,0,0,0,[]
21,23,22,50,79,49,53,79,87,79,86,30,20,52,28,52,50,85,81,87,83,0,0,0,0,[]
22,13,18,55,81,47,53,80,86,85,88,21,13,53,33,52,47,84,83,88,86,0,0,0,0,[]
23,13,17,58,84,49,50,79,89,82,87,17,13,54,31,55,45,81,84,82,85,0,0,0,0,[]
24,14,17,59,84,53,50,75,90,76,91,18,13,54,32,54,45,82,85,83,89,0,0,0,0,[]
25,15,16,56,84,51,49,73,89,72,89,15,11,56,33,56,45,80,87,82,88,0,0,0,0,[]
26,14,17,51,83,52,47,74,88,73,89,19,14,65,40,56,41,80,87,81,89,0,0,0,0,[]
27,13,19,50,82,54,46,71,91,73,90,16,12,71,48,58,43,78,87,79,88,0,0,0,0,[]
28,13,16,47,71,55,47,72,91,72,89,17,13,77,52,61,43,78,86,79,89,0,0,0,0,[]
29,13,20,44,68,53,46,71,91,72,90,17,13,78,55,56,42,79,87,79,88,0,0,0,0,[]
30,14,19,42,67,55,47,73,90,72,89,15,14,79,55,57,44,79,86,79,88,0,0,0,0,[]
31,12,19,42,67,54,50,72,89,71,90,16,15,79,54,54,41,79,88,79,89,0,0,0,0,[]
32,16,20,33,60,53,48,75,89,75,88,19,18,80,54,55,44,82,86,81,85,0,0,0,0,[]
33,11,19,27,50,53,48,76,88,77,88,17,16,82,55,56,44,81,85,79,83,0,0,0,0,[]
34,13,21,20,45,55,53,75,88,75,89,17,13,80,53,55,44,82,85,79,84,0,0,0,0,[]
35,10,18,23,41,53,49,74,88,74,88,16,15,74,43,58,47,80,86,80,85,0,0,0,0,[]
36,12,23,24,37,52,50,75,88,75,90,16,15,76,45,54,43,81,86,79,85,0,0,0,0,[]
37,11,22,21,28,50,50,75,89,75,89,15,14,76,48,53,43,81,85,79,83,0,0,0,0,[]
38,11,21,30,35,47,52,77,87,78,88,18,14,77,49,50,49,82,84,83,89,0,0,0,0,[]
39,11,20,33,38,48,51,77,86,78,87,18,13,76,59,54,48,83,85,82,88,0,0,0,0,[]
40,12,18,32,37,47,52,74,89,75,89,22,11,67,62,53,49,81,85,80,91,0,0,0,0,[]
41,14,16,39,38,47,53,75,87,75,90,21,12,62,61,54,50,80,86,81,87,0,0,0,0,[]
42,16,16,38,29,45,54,74,88,75,90,21,11,58,56,50,51,80,86,81,87,0,0,0,0,[]
43,17,13,31,20,46,53,76,88,77,90,23,10,60,60,51,53,82,85,83,85,0,0,0,0,[]
44,14,15,29,21,44,55,79,87,80,86,26,10,60,60,53,51,83,83,85,84,0,0,0,0,[]
45,16,14,28,34,39,58,79,89,79,88,37,14,84,6,55,56,82,83,84,84,0,0,0,0,[]
46,20,13,20,44,41,56,78,88,77,87,29,11,73,7,55,56,83,82,86,84,0,0,0,0,[]
47,21,12,15,44,42,57,79,88,75,88,28,9,62,8,88,8,84,82,85,82,0,0,0,0,[]
48,25,16,17,45,44,50,79,86,77,87,28,9,50,10,80,17,84,83,84,84,0,0,0,0,[]
49,24,11,18,47,47,52,77,88,72,83,27,9,42,17,72,25,83,82,85,83,0,0,0,0,[]
50,22,11,24,55,48,50,81,84,79,87,27,8,44,15,64,35,83,80,86,81,0,0,0,0,[]
51,16,15,24,56,43,52,84,86,81,84,23,11,45,14,56,43,87,81,86,81,0,0,0,0,[]
52,19,14,25,56,43,53,83,86,81,85,23,9,43,15,46,47,87,82,83,80,0,0,0,0,[]
53,17,13,25,56,44,53,81,88,80,87,24,11,39,15,43,39,85,82,82,81,0,0,0,0,[]
54,19,15,6,96,2,96,82,87,82,87,23,10,39,16,51,44,86,82,84,82,0,0,0,0,[]
55,19,13,8,95,5,91,82,87,80,85,26,11,48,19,51,44,84,81,87,84,0,0,0,0,[]
56,17,12,18,94,13,81,80,86,80,85,21,12,52,30,54,44,85,82,86,83,0,0,0,0,[]
57,18,16,30,93,21,74,81,86,82,87,22,10,53,34,54,46,86,80,87,82,0,0,0,0,[]
58,16,15,41,92,29,66,82,82,82,84,21,12,54,31,54,45,88,79,88,82,0,0,0,0,[]
59,18,14,51,88,38,59,81,84,88,84,23,9,59,35,56,43,87,78,89,80,0,0,0,0,[]
60,18,12,57,84,46,52,83,83,88,84,23,10,67,43,53,44,88,76,90,77,0,0,0,0,[]
61,21,13,58,83,54,55,81,89,82,83,25,9,66,55,54,45,87,74,91,77,0,0,0,0,[]
62,22,11,60,84,51,50,2,96,81,88,26,9,57,64,53,43,89,78,87,84,0,0,0,0,[]
63,23,11,63,83,46,53,5,96,84,83,28,9,48,57,47,51,88,70,89,78,0,0,0,0,[]
64,21,10,68,81,43,54,87,80,86,77,27,11,50,53,50,49,90,62,90,73,0,0,0,0,[]
65,24,10,60,73,46,55,88,77,87,77,28,8,56,56,52,46,90,62,88,71,0,0,0,0,[]
66,23,11,55,68,46,58,90,76,83,78,29,8,60,59,51,49,95,4,88,71,0,0,0,0,[]
67,23,11,54,66,47,53,88,77,77,73,28,8,59,62,52,49,91,69,87,72,0,0,0,0,[]
68,17,15,55,64,47,53,80,80,75,70,22,12,63,61,50,47,88,76,87,75,0,0,0,0,[]
69,16,17,52,66,45,54,83,84,79,77,19,12,62,61,49,49,86,77,89,80,0,0,0,0,[]
70,19,15,51,66,44,54,80,85,81,84,21,12,55,63,47,50,85,78,86,85,0,0,0,0,[]
71,16,17,53,65,44,58,80,87,81,90,19,11,55,65,54,55,83,81,86,84,0,0,0,0,[]
72,14,19,44,67,42,59,81,85,83,83,16,16,47,67,52,64,83,80,85,80,0,0,0,0,[]
73,9,23,40,65,42,58,85,77,85,79,14,18,48,65,47,64,90,72,87,75,0,0,0,0,[]
74,11,20,45,67,41,57,88,73,87,78,15,19,50,65,49,59,90,71,87,75,0,0,0,0,[]
75,10,22,39,65,42,57,88,73,80,85,14,17,58,69,48,54,90,71,86,76,0,0,0,0,[]
76,8,25,31,57,42,56,88,73,77,89,14,20,66,77,49,54,90,71,88,77,0,0,0,0,[]
77,7,30,32,46,42,56,4,96,77,89,21,29,73,71,59,61,94,11,88,76,0,0,0,0,[]
78,8,27,38,38,42,54,17,94,8,95,23,37,70,64,65,64,93,22,87,73,0,0,0,0,[]
79,7,30,42,35,43,55,28,93,7,94,28,38,67,61,55,61,93,32,87,73,0,0,0,0,[]
80,7,30,40,25,42,56,39,92,20,89,32,45,74,60,47,55,91,43,95,5,0,0,0,0,[]
81,3,91,43,19,42,54,53,91,29,82,36,49,82,57,44,55,90,54,90,15,0,0,0,0,[]
82,3,91,46,24,42,54,63,90,38,74,45,51,82,56,50,53,88,64,88,26,0,0,0,0,[]
83,39,57,43,24,42,54,74,87,47,68,49,43,82,57,58,45,89,73,89,39,0,0,0,0,[]
84,46,51,36,23,42,54,83,82,58,70,49,43,82,57,62,42,87,74,89,51,0,0,0,0,[]
85,49,52,25,25,7,87,87,80,67,78,93,4,95,4,62,42,88,72,88,63,0,0,0,0,[]
86,49,49,23,35,15,80,86,83,77,76,88,5,82,5,90,6,87,75,87,74,0,0,0,0,[]
87,41,41,19,44,23,72,87,81,86,78,75,6,71,7,82,13,90,75,87,73,0,0,0,0,[]
88,36,36,17,45,30,65,87,81,85,80,62,7,60,8,73,23,90,74,88,73,0,0,0,0,[]
89,26,29,18,46,39,58,86,80,85,79,48,8,49,10,66,33,90,73,89,73,0,0,0,0,[]
90,20,21,21,53,44,49,86,81,87,82,34,10,42,17,56,44,88,73,91,75,0,0,0,0,[]
91,13,19,26,58,38,42,85,82,86,81,22,13,42,16,56,47,88,74,90,77,0,0,0,0,[]
92,15,19,28,59,47,47,83,84,84,83,17,12,43,16,57,47,88,79,89,83,0,0,0,0,[]
93,13,16,28,59,49,49,82,85,84,88,19,15,41,16,55,47,87,78,88,82,0,0,0,0,[]
94,18,14,5,96,46,53,82,85,87,86,20,9,35,13,51,44,87,77,89,81,0,0,0,0,[]
95,15,20,20,94,42,56,80,85,79,89,15,15,26,12,54,51,87,79,87,85,0,0,0,0,[]
96,12,19,31,91,43,53,79,87,71,83,16,16,23,13,50,49,84,78,85,78,0,0,0,0,[]
97,12,23,41,88,44,56,76,90,76,89,15,19,14,10,51,53,83,82,85,85,0,0,0,0,[]
98,9,23,47,79,43,54,78,86,79,85,13,19,10,13,49,50,84,85,84,83,0,0,0,0,[]
99,8,24,52,75,45,54,79,89,77,87,13,19,11,19,52,52,84,83,84,83,0,0,0,0,[]
100,7,29,55,76,45,55,79,89,77,87,17,22,18,23,50,49,84,83,84,81,0,0,0,0,[]
101,11,32,66,77,52,50,78,85,79,84,26,31,29,22,55,44,85,81,90,81,0,0,0,0,[]
102,18,33,72,77,47,53,79,77,80,78,36,40,38,27,50,49,88,78,87,82,0,0,0,0,[]
103,23,33,73,68,46,55,84,82,86,84,42,45,42,32,51,49,88,75,90,79,0,0,0,0,[]
104,18,24,74,61,46,54,84,85,83,87,42,45,48,34,50,50,87,79,90,81,0,0,0,0,[]
105,17,17,64,63,46,59,79,87,78,86,46,56,49,43,47,58,86,80,87,85,0,0,0,0,[]
106,16,14,53,65,46,59,80,86,80,89,42,44,55,54,48,58,88,84,87,85,0,0,0,0,[]
107,17,15,42,67,46,59,78,85,79,89,38,29,49,66,42,59,87,83,87,83,0,0,0,0,[]
108,17,15,39,63,46,59,78,86,68,89,30,19,40,65,41,65,87,82,84,86,0,0,0,0,[]
109,5,85,40,60,3,96,79,86,57,85,25,7,39,63,40,65,83,82,86,84,0,0,0,0,[]
110,6,74,47,59,15,90,72,88,50,78,22,10,48,67,40,65,83,81,86,86,0,0,0,0,[]
111,7,61,49,66,35,76,66,79,57,70,19,12,52,63,40,65,80,81,80,83,0,0,0,0,[]
112,9,50,48,65,47,67,60,71,56,60,21,11,56,58,40,65,80,81,74,73,0,0,0,0,[]
113,10,37,46,64,48,57,62,82,54,57,22,10,57,56,40,65,78,83,76,75,0,0,0,0,[]
114,11,26,47,73,49,50,67,90,53,55,22,10,57,56,95,4,72,89,77,85,0,0,0,0,[]
115,10,27,56,83,50,50,67,91,50,59,86,5,57,56,85,12,72,89,68,91,0,0,0,0,[]
116,9,27,65,88,58,56,62,91,57,69,73,6,93,10,79,22,66,88,64,90,0,0,0,0,[]
117,9,25,63,86,66,67,62,91,65,77,60,7,87,20,70,31,66,88,63,83,0,0,0,0,[]
118,11,25,65,83,69,82,62,91,69,84,47,11,81,31,61,39,66,88,68,83,0,0,0,0,[]
119,9,24,59,83,71,86,2,96,70,88,35,16,80,43,56,45,66,88,69,84,0,0,0,0,[]
120,11,23,57,83,79,84,11,91,66,90,24,23,77,54,50,48,94,10,69,84,0,0,0,0,[]
121,16,20,59,83,86,78,21,81,66,90,20,26,73,64,50,47,93,21,69,84,0,0,0,0,[]
