,IGTheShy, ,IGNing, ,IGRookie, ,IGJackeyLove, ,IGBaolan, ,WEPoss, ,WEbeishang, ,WExiye, ,WEMystic, ,WEMissing, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,3,96,4,98,2,99,0,97,2,95,94,5,96,5,95,2,97,3,93,3,0,0,0,0,[]
1,4,95,4,97,2,98,1,97,2,95,94,5,95,5,94,2,96,4,94,4,0,0,0,0,[]
2,4,95,4,96,5,96,5,97,3,97,93,5,92,4,92,4,94,4,94,6,0,0,0,0,[]
3,4,94,5,95,5,94,5,96,4,96,93,5,92,5,92,4,95,6,93,7,0,0,0,0,[]
4,20,75,17,77,22,81,28,93,25,86,73,7,71,15,76,19,84,26,78,24,0,0,0,0,[]
5,31,57,32,60,36,63,49,89,41,70,50,10,54,31,62,37,80,48,66,43,0,0,0,0,[]
6,36,43,33,42,46,53,68,81,52,66,30,19,43,35,51,48,71,65,64,57,0,0,0,0,[]
7,45,43,33,43,46,51,69,78,50,61,28,22,39,37,53,47,74,62,64,57,0,0,0,0,[]
8,45,46,34,43,46,50,69,78,50,58,21,26,48,34,56,44,74,61,95,4,0,0,0,0,[]
9,35,42,34,43,45,51,69,80,51,61,20,27,48,34,57,46,75,60,85,10,0,0,0,0,[]
10,27,37,34,39,45,51,68,79,52,62,20,26,93,4,55,45,73,63,79,19,0,0,0,0,[]
11,36,42,34,39,45,52,69,78,52,64,20,26,82,10,53,42,72,63,72,28,0,0,0,0,[]
12,44,43,34,39,48,57,69,79,52,64,27,24,71,15,57,42,72,63,62,32,0,0,0,0,[]
13,44,43,31,43,51,63,69,79,57,71,37,26,62,23,55,42,73,62,51,33,0,0,0,0,[]
14,44,43,32,47,52,62,69,79,60,77,41,31,53,31,51,48,71,62,48,42,0,0,0,0,[]
15,45,42,31,58,48,53,69,80,68,80,41,36,48,25,51,46,72,63,42,39,0,0,0,0,[]
16,46,50,40,65,47,54,73,86,65,77,41,29,46,23,53,47,72,63,48,46,0,0,0,0,[]
17,38,50,45,66,46,52,85,85,73,85,46,24,46,24,53,48,71,63,57,48,0,0,0,0,[]
18,35,42,45,63,45,52,88,79,83,82,46,24,47,25,51,51,80,66,66,57,0,0,0,0,[]
19,29,33,47,67,46,52,85,80,86,80,47,25,47,26,52,51,88,70,73,65,0,0,0,0,[]
20,23,22,45,69,47,52,83,84,83,81,42,23,48,25,52,50,87,81,79,75,0,0,0,0,[]
21,23,21,47,68,46,52,85,84,88,83,31,20,48,19,51,50,85,80,85,78,0,0,0,0,[]
22,20,14,47,71,44,54,82,83,85,83,23,14,44,14,49,51,83,81,87,83,0,0,0,0,[]
23,14,17,51,74,40,56,76,89,77,87,17,14,44,15,45,55,79,86,78,87,0,0,0,0,[]
24,14,16,51,76,40,54,74,89,78,88,15,10,45,16,46,53,81,88,78,88,0,0,0,0,[]
25,16,12,50,78,40,55,5,96,78,88,14,11,45,16,46,52,84,86,81,86,0,0,0,0,[]
26,14,12,50,79,40,54,11,95,2,96,20,12,50,22,46,53,86,83,84,85,0,0,0,0,[]
27,11,13,56,84,37,57,21,94,7,96,19,14,56,32,46,54,85,83,82,86,0,0,0,0,[]
28,17,15,58,84,38,58,25,94,18,95,18,12,65,41,44,55,86,86,83,88,0,0,0,0,[]
29,11,16,56,82,42,57,68,91,29,94,17,13,71,51,44,54,90,81,88,83,0,0,0,0,[]
30,12,13,58,84,44,52,72,90,40,93,17,14,75,55,51,49,90,81,88,83,0,0,0,0,[]
31,16,17,56,83,46,53,73,90,51,92,19,10,75,55,49,48,94,7,95,6,0,0,0,0,[]
32,15,21,57,84,46,52,77,87,62,90,15,16,80,55,50,48,95,9,93,12,0,0,0,0,[]
33,14,16,2,96,45,51,76,87,73,88,16,12,80,55,49,51,93,20,92,24,0,0,0,0,[]
34,16,19,8,84,46,53,78,85,80,89,17,14,80,54,51,49,92,31,91,36,0,0,0,0,[]
35,20,14,14,74,45,55,77,86,83,89,21,11,77,46,49,50,91,42,90,48,0,0,0,0,[]
36,20,13,17,63,48,55,79,85,86,86,26,8,76,44,51,49,89,53,88,61,0,0,0,0,[]
37,14,18,20,52,47,53,80,88,81,86,25,15,76,45,52,48,88,64,89,73,0,0,0,0,[]
38,13,13,31,47,45,51,81,86,81,82,19,12,75,47,50,50,87,75,88,83,0,0,0,0,[]
39,14,12,34,39,46,51,83,86,81,82,20,12,68,51,52,48,88,81,88,84,0,0,0,0,[]
40,17,15,29,36,55,49,81,86,82,80,23,10,66,59,54,47,88,79,87,81,0,0,0,0,[]
41,23,13,25,34,51,49,80,84,80,78,27,9,68,66,57,44,87,80,87,78,0,0,0,0,[]
42,25,11,23,35,52,45,82,81,78,74,27,6,69,66,60,40,89,78,87,75,0,0,0,0,[]
43,25,12,24,47,51,49,77,79,72,77,27,8,75,73,62,39,88,76,86,77,0,0,0,0,[]
44,23,10,21,46,52,45,80,83,73,86,28,8,73,68,62,39,87,78,83,78,0,0,0,0,[]
45,22,12,17,44,46,43,82,83,81,82,32,7,72,69,95,4,87,77,89,77,0,0,0,0,[]
46,24,11,18,45,46,43,82,84,82,81,32,7,71,81,60,44,88,77,89,79,0,0,0,0,[]
47,24,12,18,45,3,94,78,90,76,86,94,4,77,85,55,48,82,81,81,87,0,0,0,0,[]
48,24,12,19,47,6,89,73,92,72,93,26,7,74,89,52,48,77,87,73,91,0,0,0,0,[]
49,22,13,23,55,14,81,72,93,66,92,25,9,76,89,52,50,77,91,77,91,0,0,0,0,[]
50,17,16,23,56,23,73,77,87,75,87,22,11,85,81,52,48,85,83,77,91,0,0,0,0,[]
51,18,16,25,52,32,65,83,81,85,84,19,11,92,73,52,48,90,77,95,5,0,0,0,0,[]
