,OMGCurse, ,OMGPenguin, ,OMGicon, ,OMGkRYST4L, ,OMGHudie, ,WEPoss, ,WEbeishang, ,WExiye, ,WEMystic, ,WEMissing, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,3,96,3,97,2,99,0,97,1,95,94,5,96,5,95,2,97,3,93,3,2500,0,2500,0,[]
1,3,95,4,97,2,98,1,97,1,95,94,5,95,5,94,2,97,3,93,4,2500,0,2500,0,[]
2,4,94,4,95,4,95,4,96,3,94,93,5,93,5,92,4,94,6,95,5,2500,0,2500,0,[]
3,4,94,4,95,4,95,5,96,3,94,93,4,92,5,92,4,94,6,94,7,2500,0,2500,0,[]
4,11,73,17,77,21,82,28,93,23,84,70,6,73,17,76,20,84,25,79,24,2500,0,2500,0,[]
5,11,54,32,59,34,64,50,90,41,70,47,11,55,30,61,37,80,47,66,42,2500,0,2500,0,[]
6,23,38,34,41,45,53,68,81,57,70,28,21,46,35,52,48,71,63,63,59,2500,0,2500,0,[]
7,24,34,38,38,46,52,73,76,57,67,25,23,46,35,52,47,70,65,62,59,2500,0,2500,0,[]
8,32,37,39,37,46,51,73,76,56,68,26,22,46,35,50,44,70,64,56,56,2500,0,2500,0,[]
9,39,38,43,35,44,48,73,76,51,61,26,22,48,34,49,41,69,63,57,55,2500,0,2500,0,[]
10,36,40,36,39,44,48,73,75,47,55,28,22,46,36,48,40,68,62,56,53,2500,0,2500,0,[]
11,26,37,35,39,45,51,75,75,54,64,19,26,46,35,52,46,67,62,62,59,2500,0,2500,0,[]
12,21,39,2,96,47,53,74,74,56,65,21,26,44,37,54,54,62,61,63,60,2500,0,2500,0,[]
13,22,39,13,92,45,53,74,74,56,68,25,24,54,32,53,49,62,62,65,63,2500,0,2500,0,[]
14,25,36,22,85,45,50,73,75,56,68,38,23,51,31,51,44,64,62,71,63,2500,0,2500,0,[]
15,24,37,34,78,46,51,72,77,56,68,45,23,51,29,51,44,66,63,71,63,2500,0,2500,0,[]
16,21,38,44,78,47,51,72,75,57,68,44,24,51,28,52,48,67,62,72,64,2500,0,2500,0,[]
17,13,34,49,75,47,51,62,77,57,70,46,24,51,27,52,47,73,63,78,63,2500,0,2500,0,[]
18,11,25,50,73,49,51,53,77,51,75,46,25,47,25,48,51,81,66,87,66,2500,0,2500,0,[]
19,17,16,50,74,48,49,53,76,57,77,48,24,47,25,52,50,87,71,87,75,2500,0,2500,0,[]
20,17,17,46,71,50,52,63,78,67,80,36,22,47,24,52,47,85,79,82,81,2642,0,2521,0,[]
21,18,15,45,67,50,52,72,84,75,87,27,16,50,26,51,48,83,80,82,79,2718,0,2705,0,[]
22,16,17,44,68,50,52,81,86,83,85,18,15,52,33,51,47,82,79,85,78,2855,0,2832,0,[]
23,18,14,44,68,48,50,79,86,81,87,23,11,52,34,53,45,83,82,83,82,2940,0,2897,0,[]
24,18,14,44,67,50,52,76,88,78,89,23,11,53,31,53,45,82,81,81,81,3019,0,3054,0,[]
25,22,12,42,67,52,51,75,92,77,91,23,9,55,33,54,46,78,84,80,84,3257,0,3145,0,[]
26,17,13,33,61,50,51,77,89,81,91,21,10,65,38,50,47,82,85,84,88,3375,0,3242,0,[]
27,19,12,26,59,51,51,77,87,81,91,22,11,72,44,51,46,83,86,84,88,3512,0,3426,0,[]
