,WEPoss, ,WEbeishang, ,WExiye, ,WEMystic, ,WEMissing, ,RNGLangx, ,RNGKarsa, ,RNGXiaohu, ,RNGUzi, ,RNGMing, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,3,96,4,98,2,99,0,97,2,95,94,5,96,5,95,2,97,3,93,3,2500,0,2500,0,[]
1,4,95,4,98,2,98,1,97,2,96,93,5,95,5,95,2,96,3,93,4,2500,0,2500,0,[]
2,4,95,5,96,4,95,4,96,5,96,93,4,92,4,93,5,96,5,94,5,2500,0,2500,0,[]
3,4,96,5,96,4,95,5,96,5,95,92,4,92,4,93,5,94,6,93,6,2500,0,2500,0,[]
4,25,89,27,89,25,89,25,87,27,89,70,7,72,17,76,19,84,26,80,23,2500,0,2500,0,[]
5,43,88,53,87,47,88,43,78,53,87,48,11,54,31,60,36,80,48,66,40,2500,0,2500,0,[]
6,64,83,69,78,68,82,64,78,69,78,33,17,46,34,51,48,74,65,65,58,2500,0,2500,0,[]
7,74,76,78,72,74,72,74,75,78,72,44,16,46,34,52,47,79,64,66,56,2500,0,2500,0,[]
8,75,66,75,60,76,62,75,64,75,60,51,24,46,35,51,48,84,67,95,4,2500,0,2500,0,[]
9,76,55,77,50,78,51,77,54,77,49,40,24,45,36,45,43,87,74,93,14,2500,0,2500,0,[]
10,75,48,67,45,69,47,71,48,67,45,29,23,45,36,44,43,88,73,92,25,2500,0,2500,0,[]
11,67,53,65,56,66,53,67,54,65,56,20,25,45,36,44,43,88,73,91,36,2500,0,2500,0,[]
12,62,60,58,58,61,61,59,61,58,58,26,22,46,35,44,43,86,76,92,45,2500,0,2500,0,[]
13,56,65,56,67,57,64,55,65,56,67,29,21,48,33,45,43,83,78,91,56,2500,0,2500,0,[]
14,47,59,62,62,51,62,60,62,60,60,29,21,42,32,44,43,83,78,90,69,2520,0,2500,0,[]
15,39,52,67,61,43,53,61,62,62,59,28,21,41,29,50,47,82,78,88,80,2520,0,2500,0,[]
16,29,52,77,60,46,52,72,63,77,60,25,15,46,24,47,39,79,75,83,89,2520,0,2500,0,[]
17,18,52,76,49,49,52,76,54,76,49,16,10,46,24,45,37,79,75,82,90,2520,0,2500,0,[]
18,16,49,74,55,48,52,74,57,74,55,9,15,47,25,50,46,82,78,81,90,2520,0,2500,0,[]
19,15,39,74,54,49,53,75,58,73,58,10,19,46,24,51,48,87,79,79,89,2541,0,2521,0,[]
20,11,30,76,54,47,54,75,64,75,65,14,15,45,23,51,47,89,81,85,87,2568,0,2521,0,[]
21,16,22,78,55,52,50,78,74,78,75,15,15,45,23,51,45,87,84,86,82,2712,0,2684,0,[]
22,12,17,81,55,49,53,78,85,80,83,16,15,42,26,52,49,86,84,86,83,2811,0,2797,0,[]
23,9,18,81,55,53,49,85,86,85,86,13,18,40,37,56,46,85,80,87,82,2926,0,2890,0,[]
24,11,19,79,56,52,50,85,84,86,86,15,17,32,45,56,45,85,79,89,82,3063,0,2983,0,[]
25,9,20,72,63,54,48,83,81,83,81,13,17,24,45,53,43,87,79,88,80,3160,0,3061,0,[]
26,11,19,60,63,51,50,81,83,85,86,15,18,24,42,52,45,86,79,88,81,3241,0,3137,0,[]
27,11,21,49,65,52,49,80,84,83,86,16,16,23,41,52,44,87,81,89,81,3366,0,3230,0,[]
28,10,19,46,65,54,47,83,82,84,84,14,18,22,42,58,41,88,79,89,80,3577,0,3478,0,[]
29,8,23,47,68,51,48,80,84,87,85,12,20,22,50,55,46,88,71,88,72,3663,0,3587,0,[]
30,7,28,50,73,49,51,85,80,86,77,10,24,23,52,52,47,85,65,84,63,3728,0,3638,0,[]
31,7,25,49,74,49,50,83,81,80,76,11,24,23,53,52,45,91,66,89,70,3960,0,3735,0,[]
32,9,25,48,74,49,52,88,83,83,78,11,23,23,53,54,45,88,75,90,76,4198,0,3871,0,[]
33,8,23,40,66,49,50,88,81,88,81,13,22,31,46,53,47,90,70,89,73,4299,0,3983,0,[]
34,10,23,30,60,50,49,87,78,87,78,13,21,41,44,54,47,94,61,90,68,4387,0,4034,0,[]
35,10,26,24,57,45,55,85,78,85,77,12,21,49,47,48,51,94,62,90,71,4554,0,4133,0,[]
36,12,22,21,47,43,54,86,78,90,77,14,17,63,41,51,49,94,67,91,69,4647,0,4258,0,[]
37,11,21,15,43,47,53,87,77,90,76,16,19,71,41,54,48,92,71,89,70,4746,0,4366,0,[]
38,11,21,15,44,47,53,87,75,89,76,15,17,69,40,51,50,93,72,89,71,4959,0,4479,0,[]
39,10,21,23,39,44,54,90,76,90,76,16,19,69,40,49,49,93,67,89,69,5102,0,4633,0,[]
40,10,22,20,28,44,53,91,76,91,74,15,19,64,40,49,48,91,68,88,69,5240,0,4916,0,[]
