,WEPoss, ,WEbeishang, ,WExiye, ,WEMystic, ,WEMissing, ,VGCube, ,VGAix, ,VGJay, ,VGPuff, ,VGSouthwind, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,3,96,4,98,2,99,0,97,2,95,94,5,96,5,95,2,97,3,93,3,0,0,0,0,[]
1,4,95,4,97,2,98,1,96,2,95,94,5,95,5,95,2,96,4,93,4,0,0,0,0,[]
2,3,95,5,96,4,95,5,96,5,96,92,4,93,5,94,6,93,6,93,6,0,0,0,0,[]
3,3,94,5,95,4,95,5,96,5,95,92,4,93,5,94,6,94,7,93,6,0,0,0,0,[]
4,16,75,19,78,18,80,25,88,25,86,70,10,72,15,80,23,84,27,80,23,0,0,0,0,[]
5,19,52,32,59,33,66,44,81,41,70,50,20,55,30,64,39,80,49,66,40,0,0,0,0,[]
6,23,34,34,42,46,53,64,78,51,60,31,22,45,33,55,50,80,69,64,57,0,0,0,0,[]
7,20,27,37,40,51,49,68,79,51,49,30,22,45,33,58,45,75,63,64,57,0,0,0,0,[]
8,21,27,45,36,48,46,69,79,48,46,29,22,92,8,62,42,75,61,65,57,0,0,0,0,[]
9,20,27,36,38,52,48,68,80,50,50,29,22,86,17,62,42,74,61,64,57,0,0,0,0,[]
10,19,26,35,39,53,45,68,79,55,45,29,22,78,25,91,11,74,61,64,57,0,0,0,0,[]
11,19,26,3,96,48,51,68,80,50,48,29,22,70,33,84,16,75,62,64,60,0,0,0,0,[]
12,20,27,13,91,44,56,68,80,4,96,29,21,67,43,77,24,65,63,54,64,0,0,0,0,[]
13,19,26,23,85,46,56,67,80,14,92,29,22,71,49,69,32,70,63,65,63,0,0,0,0,[]
14,19,25,25,83,48,60,68,79,25,83,29,21,76,52,61,39,76,56,74,60,0,0,0,0,[]
15,19,24,35,77,48,60,68,79,35,77,30,21,76,52,53,46,77,56,74,57,0,0,0,0,[]
16,19,25,42,70,48,60,68,80,42,70,30,21,76,52,51,49,77,56,74,57,0,0,0,0,[]
17,19,25,48,74,50,60,65,78,47,71,28,21,76,52,51,49,77,56,75,55,0,0,0,0,[]
18,19,25,50,75,47,53,55,77,50,75,26,16,75,53,50,47,76,55,73,55,0,0,0,0,[]
19,18,22,48,75,48,52,50,80,50,79,17,15,75,53,51,47,78,55,75,55,0,0,0,0,[]
20,16,21,47,73,48,54,54,88,54,88,16,16,77,52,51,48,83,61,83,60,0,0,0,0,[]
21,11,16,45,70,48,53,64,89,64,89,15,16,72,48,53,47,87,71,87,69,0,0,0,0,[]
22,10,16,45,66,50,51,75,87,75,87,15,17,65,39,53,46,85,81,85,80,0,0,0,0,[]
23,11,18,47,67,51,51,80,85,82,87,15,17,58,32,53,45,86,84,88,83,0,0,0,0,[]
24,9,20,44,67,52,51,81,85,84,87,13,18,54,24,52,45,87,83,86,81,0,0,0,0,[]
25,11,20,34,61,52,51,81,85,81,85,14,17,47,26,54,44,86,81,85,81,0,0,0,0,[]
26,10,18,23,56,49,47,83,87,82,87,14,18,46,25,55,46,82,82,85,83,0,0,0,0,[]
27,13,19,21,53,52,46,81,87,82,87,14,14,47,25,58,45,82,81,82,82,0,0,0,0,[]
28,9,21,21,52,54,46,80,84,81,87,14,15,47,22,59,44,85,83,85,82,0,0,0,0,[]
29,7,19,22,52,50,45,83,89,81,87,13,19,43,17,56,47,85,83,85,83,0,0,0,0,[]
30,9,21,22,47,49,49,84,87,81,85,13,18,44,16,55,47,84,82,83,81,0,0,0,0,[]
31,10,22,19,49,46,51,84,84,84,84,13,19,45,15,52,48,84,80,84,81,0,0,0,0,[]
32,9,22,20,48,49,49,79,86,81,88,14,18,46,16,54,47,85,81,85,81,0,0,0,0,[]
33,12,19,22,44,47,51,79,85,84,87,14,18,46,15,52,49,87,83,85,81,0,0,0,0,[]
34,12,22,18,45,38,56,81,86,81,86,14,18,48,21,44,52,87,83,85,82,0,0,0,0,[]
35,10,23,17,45,38,56,87,86,87,86,12,19,41,29,48,51,87,79,85,80,0,0,0,0,[]
36,8,26,18,46,44,54,85,86,85,86,15,22,37,38,49,48,85,80,84,80,0,0,0,0,[]
37,7,27,18,47,42,55,84,87,82,85,11,23,35,43,49,51,87,80,86,79,0,0,0,0,[]
38,7,26,18,47,43,55,80,86,84,86,11,24,34,43,50,50,85,81,85,81,0,0,0,0,[]
39,6,26,9,95,43,55,81,83,81,83,11,25,31,41,49,52,86,81,85,82,0,0,0,0,[]
40,7,27,21,94,40,57,80,86,80,86,11,26,32,36,51,56,87,80,86,81,0,0,0,0,[]
41,8,27,32,93,39,58,82,86,82,86,13,22,37,38,45,55,86,80,86,81,0,0,0,0,[]
42,7,27,43,91,38,58,85,82,82,78,14,22,46,40,48,54,91,73,90,75,0,0,0,0,[]
43,8,24,54,85,38,58,81,77,88,77,21,29,52,36,46,53,90,72,89,73,0,0,0,0,[]
44,8,25,59,83,2,96,86,77,89,81,23,37,54,31,50,47,89,73,89,72,0,0,0,0,[]
45,7,24,60,84,40,57,84,79,84,79,23,34,55,32,54,43,90,75,89,73,0,0,0,0,[]
46,8,24,58,84,40,57,89,81,85,77,18,23,63,37,94,5,92,74,89,73,0,0,0,0,[]
47,8,26,66,82,45,56,90,77,87,76,13,21,72,42,89,14,89,70,89,70,0,0,0,0,[]
48,9,24,73,74,51,55,90,74,88,73,13,21,74,43,81,20,93,69,91,70,0,0,0,0,[]
49,9,24,66,62,48,52,91,76,88,74,13,21,75,43,70,30,93,69,91,70,0,0,0,0,[]
50,9,20,63,63,50,53,86,81,86,81,15,18,77,48,62,37,88,74,89,75,0,0,0,0,[]
51,11,19,57,61,49,51,82,80,82,80,16,18,83,55,53,44,89,77,88,77,0,0,0,0,[]
52,11,19,60,62,48,51,83,81,83,81,15,18,83,57,53,45,90,79,89,78,0,0,0,0,[]
53,12,20,72,63,46,53,87,83,89,83,17,15,84,59,52,48,87,75,88,76,0,0,0,0,[]
54,11,18,69,63,47,54,87,82,89,80,15,19,84,65,48,48,87,75,88,76,0,0,0,0,[]
55,10,20,56,64,48,55,85,80,85,80,13,18,84,65,47,49,90,74,90,74,0,0,0,0,[]
56,11,18,48,65,45,53,81,81,81,81,17,17,93,8,49,47,88,80,88,78,0,0,0,0,[]
57,10,20,49,66,46,54,81,79,81,79,15,18,86,14,55,53,88,80,88,79,0,0,0,0,[]
58,8,22,52,64,50,54,84,83,84,83,11,20,78,23,57,55,87,77,88,80,0,0,0,0,[]
59,7,25,58,68,49,54,82,86,86,85,9,21,70,32,53,48,87,80,85,79,0,0,0,0,[]
60,9,26,57,61,49,53,82,86,87,85,11,23,67,42,49,47,85,80,84,81,0,0,0,0,[]
61,8,24,50,65,46,53,82,84,87,83,11,22,66,54,51,49,87,79,86,78,0,0,0,0,[]
62,7,24,38,64,47,53,85,84,86,85,14,20,58,62,52,49,89,81,89,79,0,0,0,0,[]
63,5,30,28,59,46,53,81,85,82,87,13,21,55,57,51,51,88,81,85,80,0,0,0,0,[]
64,5,30,22,55,42,56,83,82,86,85,15,19,52,47,46,52,88,79,89,79,0,0,0,0,[]
65,2,96,22,52,42,56,83,83,87,84,12,22,45,37,45,51,90,77,91,71,0,0,0,0,[]
66,8,27,20,48,40,50,84,83,87,81,12,23,41,28,48,47,86,76,92,68,0,0,0,0,[]
67,8,27,14,43,44,52,85,79,86,80,10,24,42,18,49,46,91,73,92,68,0,0,0,0,[]
68,10,24,18,45,45,51,84,80,87,80,16,21,43,17,49,47,88,75,94,10,0,0,0,0,[]
69,10,25,19,46,43,53,87,82,89,78,11,22,43,18,47,48,88,71,93,21,0,0,0,0,[]
70,9,28,21,47,42,57,89,80,89,79,11,24,46,16,44,52,89,72,92,32,0,0,0,0,[]
71,8,27,2,96,40,55,84,79,89,77,12,23,49,20,47,52,92,74,91,43,0,0,0,0,[]
72,7,27,11,92,46,52,90,73,89,74,10,24,51,32,50,51,91,68,90,55,0,0,0,0,[]
73,10,24,23,90,46,54,85,81,81,80,11,15,48,35,50,48,93,71,90,68,0,0,0,0,[]
74,11,22,34,89,45,52,76,87,73,86,11,14,49,35,51,47,91,71,90,74,0,0,0,0,[]
75,12,23,45,91,44,51,73,86,73,86,12,20,49,34,50,48,90,74,89,74,0,0,0,0,[]
76,11,21,56,82,46,52,73,86,2,96,15,17,52,36,54,44,90,76,88,75,0,0,0,0,[]
77,10,22,56,84,43,52,5,95,4,96,17,16,46,34,55,46,89,76,88,75,0,0,0,0,[]
78,7,18,52,84,47,50,69,92,69,92,15,17,47,36,53,46,89,75,87,75,0,0,0,0,[]
79,8,16,50,80,46,51,76,88,76,88,12,13,38,38,47,50,89,75,84,79,0,0,0,0,[]
80,12,14,58,74,43,54,77,87,77,87,14,11,41,45,47,48,95,4,82,78,0,0,0,0,[]
81,14,16,56,67,47,54,79,84,80,85,23,11,39,44,48,46,95,4,86,83,0,0,0,0,[]
82,18,14,60,61,46,54,76,88,80,90,27,10,34,39,44,44,84,84,83,84,0,0,0,0,[]
83,19,12,69,65,46,55,75,89,79,90,27,9,37,39,44,44,84,82,84,80,0,0,0,0,[]
84,14,11,75,58,47,54,81,90,78,84,26,10,46,40,92,10,86,74,86,78,0,0,0,0,[]
85,17,9,74,59,50,53,80,82,77,73,27,8,57,46,83,20,85,64,87,67,0,0,0,0,[]
86,19,11,75,60,49,53,76,74,76,68,28,8,67,50,75,27,79,56,81,57,0,0,0,0,[]
87,20,12,76,57,54,56,75,64,76,57,26,9,78,55,68,35,80,53,77,53,0,0,0,0,[]
88,18,11,72,63,58,59,75,64,74,62,24,11,78,47,63,41,85,53,84,52,0,0,0,0,[]
89,23,11,63,63,58,59,79,74,79,74,26,10,72,42,58,45,91,62,89,61,0,0,0,0,[]
90,24,9,51,68,5,92,84,81,84,81,29,8,74,43,53,48,92,72,89,72,0,0,0,0,[]
91,24,11,49,73,12,85,82,81,83,83,28,8,77,49,50,47,89,77,88,77,0,0,0,0,[]
92,21,12,46,72,20,77,80,81,84,86,28,8,82,59,51,50,89,82,88,81,0,0,0,0,[]
93,21,12,46,69,28,70,80,83,80,83,27,9,87,69,54,56,86,84,85,82,0,0,0,0,[]
94,17,11,41,69,36,62,79,87,80,89,27,9,87,73,57,64,85,82,83,80,0,0,0,0,[]
95,16,10,46,67,44,56,79,84,82,86,25,9,87,68,57,59,84,83,79,74,0,0,0,0,[]
96,2,96,50,62,45,58,82,87,82,87,26,9,84,59,47,58,85,81,79,75,0,0,0,0,[]
97,12,90,47,55,50,54,84,87,84,87,92,5,84,59,54,52,89,79,88,81,0,0,0,0,[]
98,18,80,51,50,50,53,85,88,85,88,83,6,84,57,57,48,85,79,85,81,0,0,0,0,[]
99,18,69,56,59,54,54,87,86,87,86,70,7,84,57,57,48,85,80,86,80,0,0,0,0,[]
100,18,58,57,67,57,47,87,83,87,83,59,8,94,4,57,48,86,76,86,77,0,0,0,0,[]
101,24,51,58,70,57,47,88,83,88,83,47,9,84,9,57,48,87,77,85,79,0,0,0,0,[]
102,23,43,58,70,55,46,90,78,88,75,36,11,73,14,92,5,90,69,90,76,0,0,0,0,[]
103,19,33,4,89,53,49,86,78,87,78,25,13,63,22,82,15,92,65,92,66,0,0,0,0,[]
104,16,21,11,79,54,48,86,80,88,78,15,15,50,22,77,24,92,65,92,66,0,0,0,0,[]
105,15,16,16,68,47,54,85,78,89,78,18,12,46,23,69,31,94,8,87,65,0,0,0,0,[]
106,12,17,23,58,47,54,87,75,89,77,14,18,46,23,61,39,94,18,84,67,0,0,0,0,[]
107,8,18,21,50,4,92,90,72,92,73,8,18,35,24,53,45,93,31,85,66,0,0,0,0,[]
108,8,26,20,45,13,85,92,74,92,73,11,20,30,18,51,48,93,42,87,66,0,0,0,0,[]
109,9,26,23,47,28,67,89,75,89,75,18,24,42,18,49,48,92,53,94,68,0,0,0,0,[]
110,15,34,21,48,30,53,90,78,90,78,18,22,42,17,47,47,90,64,91,71,0,0,0,0,[]
111,12,34,16,43,36,57,81,80,80,79,14,18,42,18,39,41,91,71,90,72,0,0,0,0,[]
112,8,25,17,45,39,54,75,87,75,87,16,22,46,16,46,46,91,71,90,72,0,0,0,0,[]
113,10,24,21,40,32,47,75,87,75,87,26,23,52,30,47,51,88,73,90,72,0,0,0,0,[]
114,16,22,30,36,43,51,4,96,2,96,25,15,51,35,51,49,88,73,90,72,0,0,0,0,[]
115,19,23,34,39,50,49,11,95,9,95,19,17,52,37,55,47,87,76,92,8,0,0,0,0,[]
116,17,22,41,42,53,47,25,94,25,94,18,16,55,32,57,45,84,80,90,8,0,0,0,0,[]
117,14,16,49,51,53,46,36,93,36,93,19,14,55,32,57,42,84,83,85,17,0,0,0,0,[]
118,9,17,59,58,55,52,47,92,47,92,22,13,54,31,58,42,83,88,75,21,0,0,0,0,[]
119,8,17,63,62,50,48,61,91,61,91,25,13,49,31,56,43,83,83,65,25,0,0,0,0,[]
120,2,95,60,63,52,50,69,91,70,91,26,17,41,27,55,43,79,74,55,30,0,0,0,0,[]
121,4,84,57,74,54,55,72,91,75,89,21,21,35,29,57,42,75,65,43,32,0,0,0,0,[]
122,5,72,57,83,54,63,77,87,79,84,14,17,33,30,54,41,79,63,36,40,0,0,0,0,[]
123,7,61,56,83,47,55,78,85,83,83,15,16,34,31,44,39,84,66,32,45,0,0,0,0,[]
124,7,49,53,84,45,55,81,87,84,84,14,20,35,28,34,36,88,65,37,36,0,0,0,0,[]
125,10,25,49,78,44,56,79,82,83,82,22,27,33,31,44,37,92,59,44,38,0,0,0,0,[]
126,15,22,46,67,40,57,79,77,78,76,32,30,34,28,50,46,93,67,55,42,0,0,0,0,[]
127,24,28,48,65,44,56,85,78,76,69,29,30,33,30,49,49,91,73,63,50,0,0,0,0,[]
128,19,24,55,63,48,52,85,78,80,75,24,27,30,30,52,47,92,73,73,55,0,0,0,0,[]
129,14,16,65,65,45,55,87,73,88,73,19,18,30,29,51,49,93,66,75,63,0,0,0,0,[]
130,13,17,67,71,46,55,92,74,88,72,16,15,20,26,50,48,94,68,84,66,0,0,0,0,[]
131,8,21,67,71,47,54,90,77,84,78,16,16,16,22,51,46,92,71,88,69,0,0,0,0,[]
132,6,26,66,72,48,54,88,77,88,77,10,23,18,24,49,47,91,69,90,70,0,0,0,0,[]
133,7,27,67,71,46,53,85,80,85,79,9,23,12,22,50,46,90,72,92,72,0,0,0,0,[]
134,9,28,67,71,37,50,82,80,85,79,11,22,13,22,51,48,87,68,91,73,0,0,0,0,[]
135,7,29,69,67,32,49,87,76,87,76,10,24,16,22,43,44,92,68,91,70,0,0,0,0,[]
136,8,28,68,68,42,54,89,75,91,74,13,16,16,22,49,48,91,68,93,70,0,0,0,0,[]
137,9,25,68,68,44,54,88,77,88,77,12,13,92,10,49,49,89,70,93,72,0,0,0,0,[]
138,11,19,7,93,46,54,86,80,86,80,95,4,87,21,50,47,90,74,91,71,0,0,0,0,[]
139,16,15,16,93,47,54,83,84,85,84,83,5,81,32,49,48,90,79,89,80,0,0,0,0,[]
140,17,15,29,92,45,54,82,87,82,87,71,6,74,42,52,47,88,81,88,83,0,0,0,0,[]
141,16,15,42,92,46,54,84,87,86,87,59,7,74,44,60,50,87,79,86,80,0,0,0,0,[]
142,15,15,55,90,54,64,82,82,82,82,46,8,78,50,54,44,87,77,88,79,0,0,0,0,[]
143,2,96,65,83,50,60,88,83,88,83,35,9,82,55,51,46,88,76,90,75,0,0,0,0,[]
144,4,84,74,74,48,54,88,74,88,74,27,9,81,54,49,47,89,69,90,70,0,0,0,0,[]
145,6,70,74,63,48,53,88,77,88,77,19,15,77,52,50,47,92,71,91,72,0,0,0,0,[]
146,7,57,77,55,53,56,84,78,86,80,15,17,81,50,55,43,89,71,87,70,0,0,0,0,[]
147,8,44,75,61,63,62,85,79,85,79,17,18,82,51,57,43,90,75,90,74,0,0,0,0,[]
148,7,30,74,56,74,60,89,78,89,78,17,23,81,51,57,43,93,69,91,70,0,0,0,0,[]
149,7,28,75,59,74,62,87,74,89,76,11,23,75,52,91,11,93,69,90,69,0,0,0,0,[]
150,9,28,76,69,64,63,87,81,87,81,17,23,81,56,84,19,91,75,88,73,0,0,0,0,[]
151,9,21,80,75,50,58,88,81,88,81,14,18,83,66,72,30,89,73,88,74,0,0,0,0,[]
152,10,22,78,70,47,52,85,82,85,82,13,21,81,67,63,36,90,74,89,75,0,0,0,0,[]
153,10,19,78,75,44,52,86,78,86,78,15,20,85,63,56,43,92,72,92,72,0,0,0,0,[]
154,7,23,87,76,44,52,90,76,91,76,13,22,84,67,51,49,93,69,90,69,0,0,0,0,[]
155,6,28,84,78,41,55,88,74,88,76,11,23,88,68,49,51,93,69,90,69,0,0,0,0,[]
156,6,27,77,70,42,54,88,76,88,76,14,22,84,64,49,54,93,66,92,67,0,0,0,0,[]
157,10,22,65,64,44,54,88,82,87,79,15,18,84,64,50,54,93,66,92,66,0,0,0,0,[]
158,11,19,55,57,45,55,88,81,84,80,15,20,92,8,51,50,95,4,95,4,0,0,0,0,[]
159,9,23,48,66,37,56,85,84,83,82,14,18,85,18,43,54,90,71,91,12,0,0,0,0,[]
160,6,28,46,67,36,57,78,88,78,88,12,24,74,27,44,52,90,72,83,20,0,0,0,0,[]
161,7,28,50,74,36,57,78,88,78,88,11,28,67,37,44,54,93,72,74,29,0,0,0,0,[]
162,8,27,50,75,2,96,4,96,2,96,13,22,66,49,45,52,88,72,66,38,0,0,0,0,[]
163,8,27,53,78,41,56,8,96,8,96,13,21,63,60,53,57,85,77,66,50,0,0,0,0,[]
164,8,27,58,83,43,56,74,90,74,90,10,22,57,68,56,59,84,80,63,60,0,0,0,0,[]
165,7,29,59,84,44,54,82,87,82,87,8,29,57,70,56,60,85,79,55,66,0,0,0,0,[]
166,6,26,68,82,43,54,82,87,82,87,12,23,57,67,56,62,87,77,56,67,0,0,0,0,[]
167,9,24,70,79,43,56,78,82,78,82,20,26,57,67,50,54,86,77,56,67,0,0,0,0,[]
168,8,23,76,73,44,56,81,79,77,72,26,34,57,68,47,51,90,81,57,69,0,0,0,0,[]
169,13,17,75,68,44,55,83,82,73,65,24,36,59,82,53,55,89,79,60,81,0,0,0,0,[]
170,15,15,79,75,41,58,80,81,78,69,19,25,69,80,57,64,83,81,71,85,0,0,0,0,[]
171,7,17,86,85,48,60,81,80,81,80,21,14,77,86,61,74,84,88,84,85,0,0,0,0,[]
172,81,81,81,80,57,69,78,81,78,81,87,81,82,80,75,78,87,79,82,82,0,0,0,0,[]
173,81,81,80,81,65,78,78,88,78,88,81,83,82,80,79,80,85,80,82,82,0,0,0,0,[]
174,83,81,80,81,62,77,85,86,85,86,87,80,87,76,79,74,86,77,88,78,0,0,0,0,[]
175,84,80,80,81,55,66,81,87,81,87,88,80,85,82,79,78,87,80,84,82,0,0,0,0,[]
176,84,80,80,81,48,56,73,91,73,91,80,87,81,87,78,85,81,85,79,85,0,0,0,0,[]
177,84,80,80,81,51,50,68,94,68,94,74,89,74,90,74,88,74,90,74,89,0,0,0,0,[]
178,84,80,80,81,54,43,63,92,63,92,71,92,70,94,72,89,73,93,70,91,0,0,0,0,[]
179,84,80,8,86,55,44,64,92,64,92,72,92,71,93,71,88,73,92,71,93,0,0,0,1,[]
180,2,95,14,74,55,43,70,91,70,91,81,90,81,86,73,74,82,84,80,88,0,0,0,1,[]
181,5,82,19,61,55,43,79,88,79,88,87,85,86,75,69,65,84,83,85,85,0,0,0,1,[]
182,6,69,22,54,55,43,80,87,80,87,87,85,84,62,66,55,84,81,85,84,0,0,0,1,[]
183,7,56,22,47,48,48,75,90,75,90,88,84,84,58,67,44,80,85,81,89,0,1,0,1,[]
184,8,43,22,47,36,50,81,89,81,89,89,78,81,55,61,41,85,84,85,84,0,1,0,1,[]
185,10,29,22,41,32,49,88,81,88,81,90,72,75,45,52,47,89,75,90,76,0,1,0,1,[]
186,11,23,29,36,44,51,88,77,88,77,91,67,73,44,51,50,93,66,91,65,0,1,0,1,[]
187,16,15,35,41,44,53,80,84,80,84,92,66,67,40,51,50,93,55,93,55,0,1,0,1,[]
188,17,14,37,50,50,49,79,86,77,88,95,4,54,32,56,43,93,53,93,55,0,1,0,1,[]
189,16,14,48,59,56,41,76,86,72,84,93,8,53,34,58,34,95,4,94,6,0,1,0,1,[]
190,16,13,57,66,55,44,82,83,77,77,92,21,51,27,53,26,90,6,93,8,0,1,0,1,[]
191,16,13,66,56,55,45,81,83,81,83,91,35,46,24,47,17,83,14,86,14,0,1,0,1,[]
192,7,94,53,64,49,53,81,83,81,83,90,49,45,24,38,14,74,22,76,20,0,1,0,1,[]
193,16,88,49,66,49,53,6,95,6,94,90,62,42,18,27,11,66,32,65,25,0,1,0,1,[]
194,17,76,56,64,3,93,6,92,6,92,90,75,39,17,20,14,64,34,55,30,0,1,0,1,[]
195,10,65,67,66,20,90,16,86,16,86,89,76,36,16,17,10,60,36,44,35,0,1,0,1,[]
196,8,52,64,71,47,88,26,75,24,77,87,67,28,20,14,11,57,40,40,44,0,1,0,1,[]
197,8,36,64,72,62,84,36,67,36,67,83,66,28,20,94,4,53,42,42,39,0,1,0,1,[]
198,10,28,64,70,73,87,44,56,44,56,84,67,92,5,80,5,51,49,50,47,0,1,0,1,[]
199,16,32,64,71,81,83,45,53,45,53,84,66,79,6,68,7,52,45,52,48,0,1,0,1,[]
200,11,30,60,74,81,80,51,55,50,51,84,62,67,7,57,8,55,43,48,41,0,1,0,1,[]
201,11,27,57,82,81,77,50,52,50,52,90,62,54,8,45,10,54,44,46,39,0,1,0,1,[]
202,11,27,58,83,87,74,51,50,51,50,93,70,43,14,34,11,57,43,53,42,0,1,0,1,[]
203,14,19,59,84,89,73,50,51,50,51,93,69,31,18,20,15,54,42,55,44,0,1,0,1,[]
204,9,27,70,78,88,77,52,52,52,52,90,59,21,26,13,20,54,41,54,43,0,1,0,1,[]
205,7,28,76,69,85,78,58,45,58,49,94,54,19,27,13,23,62,36,61,38,0,1,0,1,[]
206,6,29,76,57,89,73,59,47,69,49,93,64,13,22,11,28,60,37,59,38,0,1,0,1,[]
207,5,31,84,52,92,60,58,49,84,52,94,55,8,29,11,28,61,36,50,33,0,2,0,1,[]
208,8,42,90,51,92,50,55,50,88,50,91,43,7,29,10,27,58,38,51,33,0,2,0,1,[]
209,16,49,79,52,91,51,50,54,87,60,90,43,8,28,9,34,50,45,60,39,0,2,0,2,[]
210,10,47,75,55,80,52,51,54,87,60,91,45,8,28,9,34,53,46,66,41,0,2,0,2,[]
211,7,37,77,60,75,61,50,52,4,95,89,49,91,6,11,29,52,44,64,40,0,2,0,2,[]
212,9,30,77,60,79,65,54,50,8,86,91,50,87,17,18,24,61,40,63,35,0,2,0,2,[]
213,9,28,6,91,84,63,49,51,17,78,93,54,77,25,18,24,66,41,64,40,0,2,0,2,[]
214,8,28,12,78,84,61,51,48,26,70,92,53,67,31,92,5,58,40,60,40,0,2,0,2,[]
215,9,28,18,65,84,64,52,49,35,62,89,54,55,32,82,8,55,41,57,42,0,2,0,2,[]
216,15,22,24,57,89,62,53,49,45,55,88,49,43,32,70,10,54,43,55,43,0,2,0,2,[]
217,16,15,22,50,87,66,53,45,53,45,87,45,37,37,76,24,58,39,58,39,0,2,0,2,[]
218,16,17,32,45,73,74,47,45,45,45,95,4,31,35,83,34,58,41,57,44,0,2,0,2,[]
219,20,27,33,42,72,75,40,44,35,43,81,5,31,22,89,44,62,40,58,35,0,2,0,2,[]
220,20,27,21,45,3,96,46,47,46,47,67,6,25,10,92,53,70,40,57,34,0,2,0,2,[]
221,2,96,17,45,9,85,51,47,51,48,53,9,34,12,90,56,70,39,94,5,0,2,0,2,[]
222,15,92,21,50,15,77,52,49,53,48,40,10,46,16,87,60,69,40,89,13,0,2,0,2,[]
223,29,90,31,55,7,88,46,50,51,47,27,12,51,27,86,66,67,39,80,21,0,2,0,2,[]
224,43,90,41,59,4,94,46,50,46,50,14,16,52,35,83,66,62,38,71,30,0,2,0,2,[]
225,56,89,47,66,6,81,4,95,4,95,17,19,51,34,75,58,61,37,61,38,0,2,0,2,[]
226,66,84,47,66,6,66,16,87,16,87,25,30,42,37,62,50,55,42,56,44,0,2,0,2,[]
227,75,87,3,96,9,53,26,76,26,76,35,38,41,45,52,48,49,48,56,56,0,2,0,2,[]
228,65,78,16,87,9,42,36,66,36,66,40,43,43,48,45,51,47,52,54,57,0,2,0,2,[]
229,59,69,25,77,13,47,40,60,40,60,41,53,43,56,42,53,42,54,45,54,0,2,0,2,[]
230,59,69,35,67,21,49,43,58,43,55,56,53,50,44,48,42,53,45,53,46,0,2,0,2,[]
231,55,62,35,62,11,44,47,72,48,57,68,63,43,37,41,31,63,37,44,39,0,2,0,2,[]
232,65,65,31,52,9,31,48,68,50,60,77,71,42,26,32,23,63,37,39,38,0,2,0,2,[]
233,73,75,32,46,10,37,48,57,48,57,79,72,42,18,20,21,92,6,41,32,0,2,0,2,[]
234,72,88,35,39,18,31,47,52,49,52,78,82,41,19,12,18,82,13,41,32,0,2,0,2,[]
235,77,86,39,37,14,34,50,48,51,48,79,78,41,17,12,20,74,22,88,8,0,2,0,2,[]
236,80,85,40,36,10,26,44,42,43,42,81,80,42,16,15,14,67,32,81,18,0,2,0,2,[]
237,80,86,32,34,11,26,43,41,45,36,81,82,95,4,26,9,63,38,71,29,0,2,0,2,[]
238,72,89,34,29,13,34,52,45,40,27,78,86,94,4,35,10,62,38,60,33,0,2,0,2,[]
239,68,91,41,36,23,32,51,47,42,38,78,84,84,5,41,11,57,33,53,26,0,2,0,2,[]
240,70,90,26,30,19,26,51,44,42,41,70,79,69,7,36,14,61,36,43,23,0,2,0,2,[]
241,63,86,27,32,21,28,48,46,3,95,79,83,57,10,31,11,63,36,46,26,0,2,0,2,[]
242,71,89,26,30,14,19,36,39,13,82,78,82,43,14,28,11,62,34,36,23,0,2,0,2,[]
243,74,89,27,34,21,28,41,33,23,72,69,80,30,18,22,10,54,31,26,24,0,2,0,2,[]
244,70,92,23,36,24,31,43,41,32,63,72,87,29,21,25,15,56,32,34,22,0,2,0,2,[]
245,62,86,24,45,24,43,48,48,42,57,72,83,34,23,33,22,58,34,42,25,0,2,0,2,[]
246,69,88,25,50,23,50,49,48,49,48,81,85,41,33,38,29,57,40,41,34,0,2,0,2,[]
247,74,89,34,43,37,50,46,55,46,55,83,84,48,35,29,22,56,41,48,35,0,2,0,2,[]
248,80,86,34,39,40,51,56,62,56,62,87,73,45,34,18,19,60,36,46,38,0,2,0,2,[]
249,79,87,31,43,28,51,53,53,59,60,84,62,52,31,16,16,59,36,42,32,0,2,0,2,[]
250,79,83,25,52,12,48,55,45,55,53,82,57,50,33,20,14,59,35,42,32,0,2,0,2,[]
251,76,71,22,53,7,39,53,48,53,48,83,56,52,37,20,14,59,36,86,9,0,2,0,2,[]
252,78,73,31,52,11,46,45,55,46,47,88,68,48,33,79,9,56,40,74,18,0,2,0,2,[]
253,78,73,31,52,18,46,45,55,45,55,87,79,52,27,65,9,58,34,65,25,0,2,0,2,[]
254,11,95,9,93,18,48,8,94,7,93,86,81,46,24,56,16,51,26,55,30,0,2,0,2,[]
