,VGCube, ,VGAix, ,VGJay, ,VGPuff, ,VGSouthwind, ,WEClever9, ,WEbeishang, ,WExiye, ,WEMystic, ,WEMissing, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,3,96,4,98,2,99,0,97,2,95,94,5,96,5,95,2,97,3,93,3,0,0,0,0,[]
1,4,95,4,97,2,99,1,97,2,95,94,5,95,5,95,2,97,3,93,3,0,0,0,0,[]
2,3,94,4,95,4,95,4,97,4,96,94,5,93,5,92,4,94,6,94,6,0,0,0,0,[]
3,3,94,4,94,5,95,6,96,6,95,93,5,93,5,92,4,94,6,94,7,0,0,0,0,[]
4,14,73,19,76,21,80,28,94,26,85,71,9,72,17,76,19,84,26,78,24,0,0,0,0,[]
5,19,51,31,57,36,63,50,89,43,70,47,11,53,32,60,35,80,48,67,42,0,0,0,0,[]
6,22,33,34,40,46,52,69,81,58,63,30,20,41,35,52,48,71,64,64,57,0,0,0,0,[]
7,17,23,34,39,45,52,74,75,56,67,21,25,41,35,53,52,66,57,64,57,0,0,0,0,[]
8,10,28,34,41,45,53,74,75,57,70,14,22,39,37,49,43,64,57,94,4,0,0,0,0,[]
9,15,34,32,44,44,49,74,75,57,69,24,24,40,34,44,39,64,57,85,10,0,0,0,0,[]
10,15,35,33,43,42,46,74,75,57,69,24,26,40,34,43,35,71,64,76,18,0,0,0,0,[]
11,15,37,33,43,44,49,74,75,57,69,20,27,89,7,43,36,73,63,69,27,0,0,0,0,[]
12,20,46,33,43,47,52,74,76,57,69,21,27,78,12,42,35,74,62,61,35,0,0,0,0,[]
13,20,46,8,94,45,50,73,75,57,69,30,34,68,18,35,36,67,64,52,41,0,0,0,0,[]
14,19,45,18,89,44,42,73,76,57,71,27,31,59,24,38,36,69,62,57,47,0,0,0,0,[]
15,15,39,29,89,49,50,73,76,57,70,25,25,48,23,48,41,73,61,66,55,0,0,0,0,[]
16,10,29,40,87,43,54,73,76,65,77,36,23,47,24,48,50,74,62,72,63,0,0,0,0,[]
17,7,19,48,77,40,55,75,72,74,75,47,24,47,24,46,53,76,62,77,62,0,0,0,0,[]
18,9,17,51,74,47,52,80,76,70,66,47,24,47,24,53,50,82,66,85,66,0,0,0,0,[]
19,9,17,50,75,44,52,84,80,71,65,47,25,48,25,52,51,90,73,90,76,0,0,0,0,[]
20,8,17,50,75,44,53,79,84,75,67,37,23,48,26,52,50,86,82,85,83,0,0,0,0,[]
21,9,17,50,77,46,51,79,84,77,78,27,17,48,20,53,50,85,83,85,88,0,0,0,0,[]
22,12,14,50,79,45,53,79,85,79,86,18,14,44,15,51,51,85,82,85,81,0,0,0,0,[]
23,12,16,54,83,42,56,79,86,83,88,17,14,44,15,49,51,83,82,84,81,0,0,0,0,[]
24,12,13,54,84,43,54,79,86,80,89,17,12,45,15,50,51,85,83,86,83,0,0,0,0,[]
25,13,16,54,84,43,53,83,80,82,82,15,11,45,15,49,54,89,81,87,78,0,0,0,0,[]
26,13,15,52,85,43,53,81,81,83,84,15,11,50,23,49,54,87,79,87,79,0,0,0,0,[]
