,DMOChanghong, ,DMOXiaopeng, ,DMOTwila, ,DMOGALA, ,DMOMark, ,IGTheShy, ,igning, ,IGRookie, ,IGJackeyLove, ,IGLucas, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,4,95,4,98,2,99,0,97,2,95,94,5,96,5,95,2,97,3,93,3,2500,0,2500,0,[]
1,4,95,4,98,2,98,1,97,1,95,93,5,96,5,95,2,96,3,93,4,2500,0,2500,0,[]
2,4,95,3,94,4,96,5,96,4,95,93,5,93,6,94,7,94,4,96,5,2500,0,2500,0,[]
3,4,95,4,94,5,95,5,96,4,95,93,5,93,6,94,7,94,6,95,6,2500,0,2500,0,[]
4,14,74,18,77,23,80,27,93,23,84,81,25,82,24,89,28,84,27,92,21,2500,0,2500,0,[]
5,18,52,32,60,39,64,50,89,41,71,82,47,80,47,89,51,80,48,90,44,2500,0,2500,0,[]
6,23,33,35,42,48,51,69,81,53,60,87,69,73,66,87,73,72,65,87,67,2500,0,2500,0,[]
7,28,35,39,37,47,51,68,80,49,67,87,73,71,69,86,76,66,63,85,77,2500,0,2500,0,[]
8,37,40,44,36,47,51,63,78,45,68,83,66,65,62,87,67,63,61,87,66,2500,0,2500,0,[]
9,32,45,35,42,46,52,56,74,48,66,74,62,62,62,79,64,63,62,78,63,2500,0,2500,0,[]
10,31,56,31,51,48,53,57,70,50,66,62,63,60,63,69,63,61,63,67,63,2500,0,2500,0,[]
11,31,58,31,55,46,55,57,74,47,69,56,66,56,67,58,63,57,66,57,65,2500,0,2500,0,[]
12,35,61,30,55,47,58,48,80,44,69,61,61,64,64,68,67,65,65,65,64,2500,0,2500,0,[]
13,29,53,21,50,47,58,41,84,40,72,64,53,73,71,72,72,74,71,71,64,2500,0,2520,0,[]
14,23,47,23,46,49,60,48,89,36,84,60,43,75,66,69,67,70,68,65,60,2500,0,2520,0,[]
15,23,47,24,46,47,55,54,89,43,90,66,33,76,55,66,56,71,64,66,60,2500,0,2520,0,[]
16,23,47,24,46,46,52,60,89,51,92,64,22,76,46,59,48,77,71,72,66,2500,0,2520,0,[]
17,23,47,24,46,46,51,70,88,62,90,62,12,66,39,50,42,79,75,79,74,2500,0,2520,0,[]
18,23,46,24,46,48,49,77,87,72,89,55,16,57,33,50,43,79,75,79,75,2500,0,2520,0,[]
19,23,45,23,46,46,50,79,85,81,86,46,16,51,35,50,50,80,77,80,76,2500,0,2520,0,[]
20,23,36,19,45,48,51,83,82,85,83,36,13,52,34,50,49,86,79,85,81,2563,0,2653,0,[]
