,DMOChanghong, ,DMOXiaopeng, ,DMOTwila, ,DMOGALA, ,DMOMark, ,IGTheShy, ,IGNing, ,IGRookie, ,IGJackeyLove, ,IGLucas, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,3,96,4,98,2,99,0,97,2,95,94,5,96,5,95,2,97,3,93,3,2500,0,2500,0,[]
1,3,96,4,97,2,98,3,97,1,95,93,5,95,5,95,2,97,3,94,3,2500,0,2500,0,[]
2,4,95,4,96,6,95,5,96,4,95,93,5,94,4,94,5,94,4,93,6,2500,0,2500,0,[]
3,4,95,4,96,4,95,5,96,5,95,93,5,92,5,93,6,94,7,94,6,2500,0,2500,0,[]
4,14,74,17,77,21,81,27,93,24,83,71,10,72,17,79,22,84,26,79,24,2500,0,2500,0,[]
5,18,52,32,61,35,63,49,90,41,70,48,11,54,31,64,40,80,48,64,41,2500,0,2500,0,[]
6,23,34,34,43,46,52,68,81,50,65,29,20,43,37,51,49,74,66,55,53,2500,0,2500,0,[]
7,19,26,35,39,46,51,69,79,51,66,25,25,43,36,52,48,73,68,62,61,2500,0,2505,0,[]
8,13,23,34,39,44,52,64,78,55,63,16,22,41,37,55,53,64,64,62,61,2500,0,2510,0,[]
9,11,31,34,42,45,52,63,76,49,67,20,26,43,36,54,58,54,64,54,64,2500,0,2510,0,[]
10,19,34,34,42,43,55,61,75,51,66,23,37,44,38,55,57,63,62,57,62,2500,0,2515,0,[]
11,23,35,31,39,44,50,67,79,49,67,23,34,38,37,50,48,73,63,68,63,2500,0,2515,0,[]
12,21,38,34,40,42,52,67,79,39,65,21,28,39,37,51,48,75,66,76,69,2500,0,2515,0,[]
13,21,38,33,42,42,54,68,80,46,71,21,28,50,34,51,50,80,76,80,79,2500,0,2515,0,[]
14,5,88,31,55,42,54,70,88,52,84,89,4,62,37,49,51,79,74,80,78,2500,0,2515,0,[]
15,11,79,37,64,42,56,71,87,62,87,78,5,68,46,48,51,75,63,76,68,2500,0,2515,0,[]
16,16,69,40,73,41,56,75,87,73,87,67,6,75,53,47,53,76,56,74,57,2500,0,2515,0,[]
17,18,58,48,78,44,53,75,87,82,89,56,7,74,52,50,48,77,55,74,57,2500,0,2515,0,[]
18,20,48,51,74,45,52,82,83,89,82,45,8,73,52,51,49,76,56,74,55,2500,0,2515,0,[]
19,24,38,50,76,50,48,83,82,89,81,34,11,74,52,55,48,76,57,74,55,2514,0,2515,0,[]
20,21,29,49,77,47,49,81,83,88,84,24,13,77,53,53,48,82,66,79,64,2528,0,2636,0,[]
21,18,20,50,78,47,52,81,84,83,86,18,15,83,57,51,46,87,71,87,68,2691,0,2671,0,[]
22,16,18,55,82,49,51,81,84,87,85,18,13,82,57,52,46,85,80,87,79,2846,0,2864,0,[]
23,11,17,54,83,48,50,80,83,87,84,17,14,83,56,55,43,85,79,87,81,2981,0,3099,0,[]
24,12,14,57,83,50,50,81,82,87,85,18,14,77,47,54,45,87,77,88,80,3080,0,3164,0,[]
25,15,14,59,83,51,51,82,82,87,84,19,13,74,45,51,46,87,78,89,79,3239,0,3251,0,[]
26,13,17,61,83,50,50,82,83,85,84,17,13,71,41,54,45,86,79,88,81,3346,0,3381,0,[]
27,13,17,70,78,49,49,81,81,89,82,15,12,68,40,55,45,87,76,90,78,3474,0,3556,0,[]
28,15,17,74,67,50,49,85,82,89,82,15,12,59,34,53,44,87,76,88,76,3538,0,3661,0,[]
29,13,17,69,62,52,48,86,79,89,77,17,11,50,27,54,45,91,73,88,75,3673,0,3733,0,[]
30,13,15,57,63,49,48,87,82,85,78,19,13,45,23,55,46,90,73,90,76,3761,0,3842,0,[]
31,12,14,46,64,48,49,89,79,88,77,17,14,45,23,54,45,92,72,92,73,3842,0,4083,0,[]
32,12,13,45,67,50,51,86,81,84,79,17,11,40,16,53,45,89,75,91,77,3935,0,4205,0,[]
33,12,17,47,65,51,51,84,81,84,80,13,13,44,13,55,44,88,76,89,78,4127,0,4334,0,[]
34,13,17,51,63,53,50,82,83,81,81,17,11,44,15,55,44,86,76,89,80,4206,0,4609,0,[]
35,13,16,44,55,50,50,85,81,85,83,17,11,45,16,54,44,86,76,88,78,4337,0,4787,0,[]
36,11,17,37,48,47,50,82,83,85,84,16,13,45,15,50,42,87,76,89,78,4603,0,4988,0,[]
37,13,15,38,48,48,47,83,84,86,85,16,13,52,18,54,46,88,78,88,79,4693,0,5097,0,[]
38,14,14,39,49,46,51,80,83,85,87,20,11,54,29,52,46,87,80,88,82,4869,0,5207,0,[]
39,18,14,33,47,48,48,83,83,86,83,21,10,53,32,54,44,89,75,89,79,4948,0,5370,0,[]
40,15,13,31,38,41,40,82,83,87,84,21,11,53,33,54,43,90,76,89,79,5076,0,5559,0,[]
41,19,12,30,37,40,35,85,82,89,82,24,9,57,33,56,45,90,74,89,75,5231,0,5609,0,[]
42,22,21,23,40,41,37,84,80,89,79,28,8,46,24,56,47,89,71,87,73,5314,0,5748,0,[]
43,25,23,22,45,45,43,83,86,81,81,25,10,41,32,55,46,89,78,89,79,5375,0,5876,0,[]
44,16,18,22,46,47,49,77,91,79,84,22,12,36,38,55,46,87,79,88,83,5447,0,5976,0,[]
45,15,17,20,46,49,58,82,83,88,84,19,12,40,44,54,47,87,78,89,81,5597,0,6082,0,[]
46,17,14,16,44,49,58,83,81,87,84,20,12,42,46,51,46,88,76,90,81,5732,0,6214,0,[]
47,10,20,15,42,48,56,86,82,89,81,17,13,42,46,48,50,89,75,91,77,5801,0,6360,0,[]
48,15,14,14,42,51,61,84,81,89,79,21,13,42,45,53,46,88,75,89,77,5993,0,6424,0,[]
49,9,18,12,34,51,61,84,80,88,83,16,16,42,45,53,45,88,76,90,79,6184,0,6559,0,[]
50,13,14,11,26,9,92,83,81,87,82,17,16,45,43,52,45,88,76,90,79,6284,0,6671,0,[]
51,12,13,11,26,18,85,84,80,89,80,16,10,45,43,52,47,92,72,90,74,6404,0,6845,0,[]
52,11,18,11,27,25,76,82,83,81,78,19,13,94,16,53,45,92,71,91,72,6459,0,7033,0,[]
53,9,23,11,27,32,67,81,84,74,71,12,18,87,25,53,45,93,71,90,71,6510,0,7210,0,[]
54,11,21,7,89,41,59,3,96,71,78,14,19,81,35,93,5,92,73,90,72,6632,0,7319,0,[]
55,10,23,15,84,43,56,14,95,71,85,13,18,80,48,85,11,87,75,87,78,6753,0,7412,0,[]
56,10,25,26,87,42,56,24,93,72,85,12,21,82,57,77,19,85,84,85,84,6853,0,7552,0,[]
57,11,34,37,89,44,56,35,92,72,85,15,19,80,56,70,28,82,83,84,85,6914,0,7769,0,[]
58,8,28,49,88,49,54,48,91,74,86,11,20,76,58,62,36,82,83,84,87,6982,0,7879,0,[]
59,7,31,56,82,48,53,59,90,74,90,11,24,68,63,53,45,83,82,76,89,7110,0,7930,0,[]
60,8,32,58,83,46,56,69,89,74,88,10,27,72,67,49,51,94,7,82,88,7371,0,7981,0,[]
61,7,32,57,83,48,54,71,85,71,81,10,25,71,65,49,48,94,13,87,85,7492,0,8113,0,[]
62,7,29,55,82,44,53,73,87,70,80,9,26,66,54,49,51,93,21,83,89,7650,0,8259,0,[]
63,7,30,51,75,45,50,72,87,3,96,9,25,71,64,51,47,80,87,81,91,7792,0,8345,0,[]
64,8,30,47,66,46,50,71,88,16,95,9,24,79,75,51,47,77,89,77,88,7920,0,8483,0,[]
65,7,30,46,63,50,53,69,90,26,94,10,24,77,71,54,44,76,87,76,90,8021,0,8603,0,[]
66,7,32,46,64,50,53,69,91,37,92,9,27,76,59,51,47,80,84,82,86,8145,0,8677,0,[]
67,7,29,48,65,46,50,71,87,41,85,10,22,76,47,52,47,81,77,88,83,8279,0,8749,0,[]
68,7,31,57,69,48,49,77,87,52,83,14,17,74,42,54,47,86,78,88,83,8371,0,8799,0,[]
69,2,96,63,71,48,52,80,82,62,83,12,17,71,40,51,45,88,77,92,8,8422,0,9076,0,[]
70,2,96,64,71,47,56,80,82,74,86,12,17,61,36,49,43,87,79,88,16,8626,0,9183,0,[]
71,2,96,64,71,54,55,79,80,80,82,14,16,53,33,50,44,88,78,79,23,8737,0,9304,0,[]
72,11,26,65,71,53,56,81,81,78,74,13,14,52,31,51,46,89,77,72,31,8902,0,9408,0,[]
73,8,26,64,69,55,56,80,77,76,72,94,4,50,34,52,47,88,77,66,40,9018,0,9596,0,[]
74,8,27,64,71,49,54,79,75,72,64,89,4,44,38,54,47,89,78,66,51,9111,0,9727,0,[]
75,9,25,64,70,51,52,82,80,77,64,89,5,42,46,54,46,89,73,59,50,9418,0,9778,0,[]
76,7,28,58,69,54,57,84,79,75,71,13,22,41,36,51,46,90,73,68,50,9506,0,9887,0,['6:17 DMO 击杀了土龙']
77,7,31,62,63,59,57,84,78,74,69,11,26,42,24,42,41,93,68,78,51,9612,0,10012,0,[]
78,7,33,66,56,56,53,76,71,67,59,10,28,41,17,49,42,92,68,83,61,9723,0,10155,0,[]
79,8,29,73,49,54,50,75,65,67,53,9,26,42,16,52,43,91,71,88,70,9818,0,10338,0,[]
80,9,30,77,50,53,49,79,75,68,61,10,20,42,16,52,42,89,76,89,81,9911,0,10489,0,[]
81,6,27,74,55,55,52,83,78,76,69,12,23,47,16,54,45,88,76,88,81,9961,0,10621,0,[]
82,7,28,74,59,64,57,85,79,75,59,11,23,48,19,54,43,91,74,91,78,10158,0,10731,0,[]
83,9,30,70,64,64,59,81,79,75,64,10,24,53,28,53,43,88,75,90,80,10272,0,10894,0,[]
84,8,28,57,69,56,55,80,81,78,74,12,24,47,35,51,45,89,77,87,79,10323,0,10994,0,[]
85,9,26,49,73,49,55,84,81,82,80,12,22,43,42,52,44,90,76,90,78,10415,0,11093,0,[]
86,9,24,47,73,43,56,82,81,84,85,14,19,45,43,54,45,89,78,90,79,10480,0,11228,0,[]
87,7,26,46,71,48,56,81,81,86,82,12,19,35,37,53,46,89,79,88,71,10775,0,11330,0,[]
88,7,28,47,69,42,55,83,80,87,82,9,22,34,41,51,46,87,76,88,76,10991,0,11567,0,[]
89,10,26,38,64,42,51,83,80,88,84,12,20,32,44,52,46,90,74,90,75,11056,0,11791,0,[]
90,9,28,27,59,41,54,85,81,80,77,8,24,32,43,50,47,89,73,90,74,11144,0,11903,0,[]
91,8,31,26,59,41,54,81,85,74,72,7,26,33,43,47,49,88,77,87,79,11347,0,12148,0,[]
92,7,32,31,54,39,53,81,82,80,80,9,26,30,37,47,48,86,82,87,83,11451,0,12245,0,[]
93,8,29,33,43,43,56,80,83,81,84,10,24,25,33,48,48,85,80,86,81,11628,0,12436,0,[]
94,8,27,29,50,42,56,80,81,81,79,15,21,29,35,48,49,88,78,89,78,11714,0,12536,0,[]
95,10,26,18,49,41,56,83,78,76,71,12,22,41,26,45,52,89,75,90,73,11910,0,12649,0,[]
