,LNGFlandre, ,LNGSofM, ,LNGPlex, ,LNGAsura, ,LNGDuan, ,IGTheShy, ,IGNing, ,IGRookie, ,IGJackeyLove, ,IGLucas, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,4,95,3,97,2,99,0,97,2,95,94,5,96,5,95,2,97,3,93,3,2500,0,2500,0,[]
1,4,95,4,97,2,99,1,97,1,95,93,5,95,5,95,2,97,3,94,3,2500,0,2500,0,[]
2,3,94,5,97,5,96,5,96,3,94,93,5,95,3,94,6,96,4,94,5,2500,0,2500,0,[]
3,4,94,5,97,5,96,6,97,3,94,93,6,94,6,94,7,93,5,93,6,2500,0,2500,0,[]
4,14,74,16,78,21,80,28,93,22,85,79,22,88,27,92,29,91,27,91,28,2500,0,2500,0,[]
5,18,52,32,61,37,64,50,88,40,72,63,38,86,50,90,51,90,50,89,51,2500,0,2500,0,[]
6,25,37,34,43,44,54,69,80,50,66,52,48,71,64,87,70,87,72,87,70,2500,0,2500,0,[]
7,25,37,35,39,46,52,63,78,50,66,53,47,68,68,81,80,82,79,81,80,2500,0,2500,0,[]
8,25,37,35,39,46,53,52,76,49,65,53,47,73,74,71,78,72,77,71,78,2500,0,2500,0,[]
9,32,37,44,35,47,50,47,79,44,67,56,45,72,70,73,74,73,75,72,70,2500,0,2500,0,[]
10,39,36,36,38,42,56,46,80,44,67,64,38,67,60,69,65,72,65,67,60,2500,0,2500,0,[]
11,30,35,35,38,41,56,52,87,8,95,69,28,66,49,64,58,73,62,64,57,2500,0,2500,0,[]
12,26,35,3,95,40,59,49,88,19,94,62,24,63,38,62,50,73,63,66,55,2500,0,2500,0,[]
13,34,38,13,90,40,62,46,89,30,94,52,20,58,33,60,42,74,62,60,48,2500,0,2500,0,[]
14,34,38,21,82,40,59,45,88,41,92,43,10,51,26,53,41,71,63,60,49,2500,0,2500,0,[]
15,34,38,30,73,41,59,47,88,52,89,33,6,46,24,45,40,72,63,67,59,2500,0,2500,0,[]
16,34,38,38,76,40,66,41,86,54,85,29,11,46,24,51,45,79,65,73,64,2500,0,2500,0,[]
17,34,38,44,78,43,68,43,80,50,82,24,12,46,24,50,47,88,67,79,64,2500,0,2500,0,[]
18,26,34,48,77,41,59,50,77,52,77,16,16,47,25,49,48,88,68,87,68,2500,0,2500,0,[]
19,19,26,52,76,46,54,50,79,50,80,15,18,47,25,50,49,87,77,89,78,2500,0,2521,0,[]
20,17,23,51,77,47,54,55,84,59,85,16,15,46,24,50,53,84,81,89,81,2621,0,2542,0,[]
21,11,23,54,83,45,54,65,88,69,88,16,18,45,23,48,49,85,80,86,86,2631,0,2563,0,[]
22,16,17,53,84,46,55,76,88,79,88,18,11,44,23,47,50,83,81,87,84,2743,0,2812,0,[]
23,11,20,54,84,46,54,81,87,84,89,18,16,41,17,49,51,84,80,87,84,2885,0,3014,0,[]
24,12,21,55,83,46,52,81,89,82,90,16,18,43,17,50,50,81,82,85,88,2977,0,3118,0,[]
25,11,21,52,84,45,53,75,89,75,92,16,17,44,16,48,51,80,85,80,85,3088,0,3228,0,[]
26,12,20,48,76,45,53,77,90,76,88,14,16,44,17,45,52,80,83,83,86,3185,0,3345,0,[]
27,11,22,46,65,45,53,72,89,73,91,15,16,45,15,49,51,79,84,78,90,3291,0,3507,0,[]
28,8,28,47,68,41,54,68,91,70,90,12,21,49,20,46,52,80,84,77,89,3371,0,3593,0,[]
29,11,23,49,66,43,56,68,92,68,91,11,20,54,30,47,51,80,85,75,88,3443,0,3700,0,[]
30,12,22,49,65,43,53,68,92,68,92,15,17,62,38,48,52,72,88,74,91,3640,0,3797,0,[]
31,8,29,50,58,45,53,69,91,71,92,10,22,69,47,48,51,74,87,76,88,3737,0,3905,0,[]
32,9,28,47,51,46,51,71,88,73,92,13,21,75,54,44,51,80,86,80,88,4436,0,3978,0,[]
33,9,23,42,42,45,51,70,90,74,92,14,21,77,55,42,52,78,86,78,86,4533,0,4060,0,"['2:41 LNGPlex(°µÒá½£Ä§) »÷É±ÁË IGRookie(Éîº£Ì©Ì¹),»ñµÃÒ»Ñª']"
34,10,27,47,35,47,52,72,90,74,91,12,22,78,55,95,4,77,86,79,87,4648,0,4144,0,[]
35,7,31,43,37,46,50,72,91,73,92,13,23,81,55,60,42,77,86,78,91,4782,0,4392,0,[]
36,8,30,34,42,46,51,73,91,72,90,16,14,83,56,52,49,77,86,78,87,4833,0,4591,0,[]
37,7,28,28,53,46,51,72,91,72,88,12,19,82,57,51,50,76,87,76,87,5018,0,4754,0,[]
