,IGTheShy, ,IGNing, ,IGRookie, ,IGJackeyLove, ,IGLucas, ,V5Aliez, ,V5Ben4, ,V5y4, ,V5Max, , , ,blue_economics,blue_towers,red_economics,red_towers,captions
0,3,96,4,98,2,99,0,97,1,95,94,5,96,5,97,3,93,3,95,2,2500,0,2500,0,[]
1,4,95,4,98,2,99,2,96,1,95,93,5,95,5,96,3,93,3,95,2,2500,0,2500,0,[]
2,4,95,5,96,4,94,5,97,4,96,93,5,92,4,94,5,94,5,93,5,2500,0,2500,0,[]
3,4,94,4,95,4,94,5,97,5,96,92,5,92,5,94,6,93,6,93,5,2500,0,2500,0,[]
4,20,74,27,92,25,89,27,94,27,94,69,7,72,17,85,25,79,24,76,21,2500,0,2500,0,[]
5,37,60,46,81,49,88,49,90,50,91,47,11,54,31,80,44,67,42,61,38,2500,0,2500,0,[]
6,51,49,65,77,68,81,68,81,71,87,30,20,51,30,74,63,65,57,55,46,2505,0,2500,0,[]
7,46,53,70,75,70,77,76,76,71,76,25,26,51,30,75,63,64,57,54,46,2505,0,2500,0,[]
8,49,61,79,73,79,74,79,73,78,72,23,37,92,5,74,63,63,60,54,47,2505,0,2500,0,[]
9,56,67,73,65,75,65,75,63,76,62,24,32,82,10,77,55,66,56,55,46,2505,0,2500,0,[]
10,56,59,66,57,66,60,65,62,66,61,25,22,73,17,77,55,65,53,60,51,2505,0,2500,0,[]
11,55,61,57,62,56,57,58,63,58,63,30,20,63,23,82,60,61,50,58,47,2505,0,2500,0,[]
12,46,55,51,64,50,55,60,72,62,62,30,20,55,30,80,65,61,50,54,46,2505,0,2500,0,[]
13,41,46,48,73,44,47,68,79,62,62,29,21,47,33,80,66,61,50,55,45,2505,0,2500,0,[]
14,33,38,52,76,43,44,67,80,57,68,29,21,51,30,81,66,65,52,58,49,2505,0,2500,0,[]
15,24,40,52,76,42,44,68,78,54,66,33,21,48,25,81,66,68,61,60,51,2505,0,2500,0,[]
16,24,38,52,76,46,44,68,78,56,67,24,14,49,25,87,68,78,63,52,42,2505,0,2500,0,[]
17,25,28,52,76,52,48,65,77,47,70,14,11,46,24,88,68,87,67,54,42,2505,0,2500,0,[]
18,22,21,51,73,50,48,54,76,50,75,12,12,47,26,88,72,87,74,53,49,2505,0,2500,0,[]
19,19,13,50,72,51,52,53,76,52,75,12,13,47,25,86,77,87,78,51,48,2505,0,2521,0,[]
20,18,19,50,74,50,48,64,78,59,77,12,13,48,24,84,78,85,80,51,47,2626,0,2521,0,[]
21,21,20,47,68,49,49,72,85,69,81,16,14,49,26,86,81,85,81,52,47,2662,0,2542,0,[]
22,14,19,45,67,52,51,80,84,77,87,17,13,50,26,85,83,84,81,54,45,2859,0,2809,0,[]
23,14,16,44,68,52,45,81,86,84,87,18,15,54,32,85,81,86,81,56,43,3066,0,2914,0,[]
24,15,13,35,62,52,46,82,85,84,88,17,13,63,37,86,83,86,82,56,47,3117,0,3014,0,[]
25,15,11,26,59,52,46,81,85,83,89,22,12,68,47,87,85,86,82,56,45,3302,0,3079,0,[]
26,13,16,22,54,52,45,81,83,81,85,17,9,74,53,87,83,87,83,57,43,3420,0,3145,0,[]
27,18,13,22,51,52,45,83,84,83,82,20,9,75,52,89,78,89,79,57,42,3609,0,3219,0,[]
28,19,14,22,48,54,47,88,82,84,81,25,8,76,52,91,74,88,76,56,43,3701,0,3291,0,[]
29,16,12,23,43,50,48,88,83,84,81,24,10,77,51,89,77,88,76,56,44,3808,0,3496,0,[]
30,22,12,21,44,50,47,89,76,87,77,30,8,74,44,91,71,90,70,54,45,3864,0,3632,0,[]
31,22,10,17,44,49,47,87,78,87,79,28,8,71,41,90,74,90,72,51,47,4061,0,3841,0,[]
32,20,9,17,42,48,48,79,75,81,78,25,10,69,40,91,75,88,74,49,47,4147,0,4036,0,[]
33,18,11,14,43,49,49,85,81,89,81,26,9,60,36,88,74,90,75,53,46,4240,0,4134,0,[]
34,20,12,16,43,49,51,85,79,90,81,27,8,53,32,87,73,89,75,51,47,4428,0,4270,0,[]
35,21,12,23,40,44,56,87,81,89,81,28,9,54,32,87,75,89,75,47,52,4497,0,4343,0,[]
36,23,12,33,37,47,53,88,81,89,81,27,9,53,32,87,75,87,75,47,50,4908,0,4528,0,[]
