,IGTheShy, ,IGNing, ,IGRookie, ,IGJackeyLove, ,IGLucas, ,V5Windy, ,V5Ben4, ,V5Mole, ,V5y4, ,V5Max, ,blue_economics,blue_towers,red_economics,red_towers,captions
0,4,95,4,98,2,99,0,97,1,95,95,2,96,5,94,5,97,3,93,3,2500,0,2500,0,[]
1,4,95,4,98,2,99,1,97,2,95,95,2,95,6,94,5,96,3,93,3,2500,0,2500,0,[]
2,4,95,5,96,5,96,5,97,4,95,93,5,95,6,94,4,94,5,92,4,2500,0,2500,0,[]
3,4,95,5,96,5,96,5,97,5,95,93,5,95,6,93,5,93,6,92,4,2500,0,2500,0,[]
4,14,74,16,78,22,82,27,94,25,85,80,22,79,24,81,22,81,24,81,22,2500,0,2500,0,[]
5,19,51,32,61,35,64,49,89,42,70,66,40,66,42,66,38,66,39,66,38,2500,0,2500,0,[]
6,23,33,33,42,47,51,68,81,52,65,65,56,65,57,65,57,65,56,66,57,2500,0,2500,0,[]
7,20,28,35,39,46,52,69,80,51,65,64,57,64,57,65,57,65,56,65,57,2500,0,2500,0,[]
8,20,28,35,39,47,51,68,78,50,65,61,62,62,61,60,63,62,62,61,63,2500,0,2500,0,[]
9,25,33,40,37,47,53,69,80,44,69,56,68,53,65,57,71,55,66,52,66,2500,0,2500,0,[]
10,36,36,42,32,45,49,70,88,37,76,52,76,47,72,49,76,47,70,47,73,2500,0,2528,0,[]
11,41,29,45,24,44,44,67,91,36,87,56,74,55,75,56,75,53,76,54,76,2500,0,2528,0,[]
12,47,24,47,24,43,45,67,91,45,91,57,64,57,69,57,67,58,68,57,67,2530,0,2528,0,[]
13,41,26,41,26,43,45,67,91,56,91,63,57,57,69,57,67,63,64,64,63,2530,0,2558,0,[]
14,39,37,37,36,45,49,67,91,66,92,59,49,87,8,88,6,70,64,66,59,2560,0,2558,0,[]
15,35,36,35,36,44,52,67,91,71,85,51,41,77,13,77,13,79,63,62,50,2560,0,2558,0,[]
16,42,33,41,30,47,46,67,91,69,84,48,39,67,19,68,18,79,53,58,41,2560,0,2558,0,[]
17,41,31,46,24,42,40,72,91,74,87,53,33,58,23,59,24,87,54,63,32,2560,0,2558,0,[]
18,44,24,47,26,41,32,72,91,68,83,52,29,52,21,51,21,88,64,62,25,2560,0,2558,0,[]
19,43,24,46,32,43,25,75,88,65,88,51,27,48,26,47,26,87,72,52,29,2560,0,2558,0,[]
20,41,29,48,32,41,29,80,84,75,87,51,28,48,24,45,23,89,78,47,24,2560,0,2588,0,[]
21,36,36,40,38,41,40,84,78,85,81,47,38,48,26,34,22,90,75,54,31,2560,0,2688,0,[]
22,27,30,32,45,44,50,87,77,89,78,49,47,53,32,26,15,92,72,62,37,2631,0,2753,0,[]
23,20,22,31,56,50,48,85,78,90,80,50,47,52,32,16,15,89,74,72,41,2682,0,2855,0,[]
