,Unnamed: 0,RANK,AVERAGE_ASSISTS,AVERAGE_DEATHS,AVERAGE_KILLS,DAMAGEDEALT_RATE,DAMAGETAKEN_RATE,KDA,MINUTE_DAMAGEDEALT,MINUTE_DAMAGETAKEN,MINUTE_ECONOMIC,MINUTE_HITS,MINUTE_WARDKILLED,MINUTE_WARDSPLACED,MVP,OFFERED_RATE,VICTORY_RATE,PLAYS_TIMES,F_SCORE,PLAYER_IMAGE,PLAYER_NAME,PLAYER_CHINESE_NAME,POSITION,TEAM_NAME,TOTAL_ASSISTS,TOTAL_DEATHS,TOTAL_KILLS,WIN
0,0,1,5.8,1.8,5.4,29.8,16.0,6.1,680.8,454.1,8.9,8.9,0.1,0.4,5,69.9,75.0,24,40.1,http://img1.famulei.com/z/0/p/174/2618055446507_100X100.png,WildTurtle,Jason Tran,ADC,TSM,140,44,130,18
1,1,2,5.3,1.5,2.0,22.4,13.9,4.8,399.0,374.4,8.1,8.1,0.3,0.5,1,72.7,41.7,12,28.6,http://img1.famulei.com/z/0/p/1612/1618571068544_100X100.png,Mash ,Brandon Phan,ADC,TIP,64,18,24,5
2,2,3,5.5,2.1,4.2,29.9,16.3,4.4,622.4,408.4,8.5,8.5,0.3,0.5,3,72.9,37.9,29,38.2,http://img1.famulei.com/z/0/p/175/2518575072596_100X100.png,Piglet,Gwang-jin Chae,ADC,TL,160,63,123,11
3,3,4,4.7,2.0,3.8,27.4,15.3,4.1,533.5,419.1,8.8,8.8,0.3,0.4,5,70.5,71.4,28,34.0,http://img1.famulei.com/z/0/p/1610/1217032194909_100X100.png,Stixxay,Trevor Hayes,ADC,CLG,132,57,107,20
4,4,5,4.3,1.9,3.3,32.7,15.2,4.0,602.9,433.1,9.5,9.5,0.2,0.4,2,76.0,37.5,16,34.1,http://img1.famulei.com/z/0/p/1612/1914131848611_100X100.png,Freeze,Ales Knezinek,ADC,H2K,70,31,54,6
5,5,6,5.4,2.5,4.4,27.3,15.6,3.9,569.3,422.7,8.6,8.6,0.3,0.4,2,71.3,63.3,30,36.8,http://img1.famulei.com/z/0/p/1610/1218314996694_100X100.png,Doublelift,≈Ì“‡¡¡,ADC,TSM,164,76,133,19
6,6,7,5.0,2.3,4.2,27.6,15.0,3.9,592.4,409.5,8.2,8.2,0.2,0.4,2,69.8,59.1,22,35.1,http://img1.famulei.com/z/0/p/1610/1214453196594_100X100.png,Sneaky,Zachary Scuderi,ADC,C9,111,52,93,13
7,7,8,4.2,2.4,3.0,25.9,15.3,3.0,462.2,385.5,8.6,8.6,0.3,0.5,1,79.6,14.3,7,30.5,http://img1.famulei.com/z/0/p/176/2216293198944_100X100.png,Mash,Brandon Phan,ADC,P1,30,17,21,1
8,8,9,4.2,2.2,2.7,28.7,12.9,3.0,527.0,392.0,8.8,8.8,0.2,0.4,0,68.4,33.3,18,29.2,http://img1.famulei.com/z/0/p/175/2522041167755_100X100.png,Apollo,Apollo Price,ADC,ENVY,76,41,50,6
9,9,10,3.0,2.3,3.3,27.2,15.8,2.7,453.7,379.2,8.2,8.2,0.2,0.3,2,78.0,43.8,16,27.8,http://img1.famulei.com/z/0/p/175/2518324684152_100X100.png,KEITH,Yuri Jew,ADC,EF,49,38,54,7
10,10,11,4.1,2.5,2.4,25.7,15.9,2.6,457.0,384.3,8.4,8.4,0.2,0.4,2,65.6,31.2,16,28.4,http://img1.famulei.com/z/0/p/175/2518312351410_100X100.png,Altec,Johnny Ru,ADC,FLY,66,40,39,5
11,11,12,5.1,2.7,1.7,14.6,25.2,2.5,255.7,309.3,3.5,3.5,0.4,0.7,2,71.3,36.8,19,32.3,http://img1.famulei.com/z/0/p/1612/2817410858772_100X100.png,Moon,∫˙‘Û”Ó,¥Ú“∞,EPA,98,52,34,7
12,12,13,3.4,3.0,3.6,31.9,15.2,2.3,551.2,383.5,7.9,7.9,0.2,0.3,0,81.3,20.0,5,29.6,http://img1.famulei.com/z/0/p/175/2518470547420_100X100.png,LOD,Benjamin deMunck ,ADC,DIG,17,15,18,1
13,13,14,5.6,3.0,1.0,17.6,26.3,2.2,268.9,301.3,3.3,3.3,0.4,0.9,0,95.2,33.3,3,30.4,http://img1.famulei.com/z/0/p/1612/2816481739162_100X100.png,bei,’≈”Í‘Û,¥Ú“∞,OMD,17,9,3,1
14,14,15,1.6,1.6,1.0,25.5,28.7,1.6,282.9,315.1,6.9,6.9,0.1,0.5,0,88.8,0.0,3,24.2,http://img1.famulei.com/z/0/p/172/2116574590612_100X100.png,SSol,Jin-sol Seo,…œµ•,KDM,5,5,3,0
15,15,16,2.0,3.0,1.0,28.0,13.4,1.0,442.9,338.0,7.9,7.9,0.0,0.3,0,60.0,0.0,1,19.7,http://img1.famulei.com/z/0/p/176/0611132136765_100X100.png,OHQ,GYU-MIN OH,ADC,Snake,2,3,1,0
