,Unnamed: 0,RANK,AVERAGE_ASSISTS,AVERAGE_DEATHS,AVERAGE_KILLS,DAMAGEDEALT_RATE,DAMAGETAKEN_RATE,KDA,MINUTE_DAMAGEDEALT,MINUTE_DAMAGETAKEN,MINUTE_ECONOMIC,MINUTE_HITS,MINUTE_WARDKILLED,MINUTE_WARDSPLACED,MVP,OFFERED_RATE,VICTORY_RATE,PLAYS_TIMES,F_SCORE,PLAYER_IMAGE,PLAYER_NAME,PLAYER_CHINESE_NAME,POSITION,TEAM_NAME,TOTAL_ASSISTS,TOTAL_DEATHS,TOTAL_KILLS,WIN
0,0,1,6.7,1.4,4.5,29.9,16.4,8.0,583.9,429.3,8.7,8.7,0.2,0.3,3,68.3,80.0,30,37.5,http://img1.famulei.com/z/0/p/1610/1217180868792_100X100.png,NL,熊汶铵,ADC,FW,202,42,137,24
1,1,2,5.8,1.4,3.6,30.0,14.8,6.3,563.9,424.2,9.0,9.0,0.3,0.4,8,76.7,64.5,31,35.1,http://img1.famulei.com/z/0/p/1612/2817103075979_100X100.png,Bebe,张博为,ADC,JT,180,46,114,20
2,2,3,5.9,1.8,3.4,27.6,14.7,5.2,600.8,420.5,8.8,8.8,0.3,0.5,2,69.4,85.2,27,36.7,http://img1.famulei.com/z/0/p/1610/1318225823957_100X100.png,AN,周俊谙,ADC,AHQ,161,49,94,23
3,3,4,4.1,1.7,3.0,25.2,13.3,4.2,421.2,392.7,8.4,8.4,0.2,0.4,2,69.7,47.1,34,28.3,http://img1.famulei.com/z/0/p/176/0211581010840_100X100.png,Deee,Deee,ADC,M17,142,58,102,16
4,4,5,3.0,2.0,5.5,28.2,14.0,4.2,435.5,435.2,9.3,9.3,0.3,0.5,1,89.4,50.0,2,33.9,http://img1.famulei.com/z/0/p/176/0714490786711_100X100.png,LilV,LilV,ADC,JT,6,4,11,1
5,5,6,5.5,2.5,2.5,27.2,14.9,3.2,645.0,356.5,7.5,7.5,0.2,0.3,0,72.7,0.0,2,34.9,http://img1.famulei.com/z/0/p/176/0616310397891_100X100.png,OB5,OB5,ADC,M17,11,5,5,0
6,6,7,4.1,2.4,3.4,25.2,14.1,3.1,525.0,375.2,7.8,7.8,0.2,0.5,1,67.8,28.6,28,31.9,http://img1.famulei.com/z/0/p/176/0309344339160_100X100.png,LBB,LBB,ADC,XG,117,68,96,8
7,7,8,4.2,3.5,5.7,29.4,16.8,2.8,712.9,401.5,8.4,8.4,0.4,0.4,0,75.4,0.0,4,41.4,http://img1.famulei.com/z/0/p/176/0309555376709_100X100.png,Breeze,Breeze,ADC,WS,17,14,23,0
8,8,9,4.1,2.2,1.8,21.9,25.3,2.6,376.3,365.1,7.4,7.4,0.1,0.4,0,58.0,44.4,36,29.5,http://img1.famulei.com/z/0/p/176/0211583747805_100X100.png,BoBo,BoBo,上单,M17,148,82,68,16
9,9,10,4.2,2.9,3.1,30.2,16.1,2.5,539.8,380.9,8.4,8.4,0.3,0.4,4,76.5,40.9,22,31.9,http://img1.famulei.com/z/0/p/176/0212093214558_100X100.png,CorGi,CorGi,ADC,FB,93,64,70,9
10,10,11,4.0,3.5,0.8,28.0,15.1,1.3,541.9,334.0,7.6,7.6,0.2,0.4,0,69.0,16.7,6,25.8,http://img1.famulei.com/z/0/p/176/0616273260865_100X100.png,Payne,Payne,ADC,FB,24,21,5,1
11,11,12,2.6,3.5,1.3,24.0,16.2,1.1,352.8,310.3,6.4,6.4,0.2,0.5,0,63.9,0.0,28,22.5,http://img1.famulei.com/z/0/p/176/0616193669014_100X100.png,Rabi2,Rabi2,ADC,CGE,73,98,37,1
