,Unnamed: 0,RANK,AVERAGE_ASSISTS,AVERAGE_DEATHS,AVERAGE_KILLS,DAMAGEDEALT_RATE,DAMAGETAKEN_RATE,KDA,MINUTE_DAMAGEDEALT,MINUTE_DAMAGETAKEN,MINUTE_ECONOMIC,MINUTE_HITS,MINUTE_WARDKILLED,MINUTE_WARDSPLACED,MVP,OFFERED_RATE,VICTORY_RATE,PLAYS_TIMES,F_SCORE,PLAYER_IMAGE,PLAYER_NAME,PLAYER_CHINESE_NAME,POSITION,TEAM_NAME,TOTAL_ASSISTS,TOTAL_DEATHS,TOTAL_KILLS,WIN
0,0,1,5.1,1.5,4.2,35.4,15.3,5.9,707.1,461.0,10.0,10.0,0.3,0.4,7,81.0,60.0,24,38.9,http://img1.famulei.com/z/0/p/177/2021595494927_100X100.png,Uzi,¼ò×ÔºÀ,ADC,QG,124,38,102,12
1,1,2,6.5,2.0,4.5,34.9,15.9,5.3,636.5,429.9,8.4,8.4,0.3,0.5,9,77.3,73.3,45,39.4,http://img1.famulei.com/z/0/p/172/2115554970350_100X100.png,Deft,½ðºÕ¿ü,ADC,EDG,314,99,218,33
2,2,3,6.5,2.3,5.5,26.3,15.0,5.2,454.7,426.3,8.6,8.6,0.2,0.4,3,67.7,72.4,29,35.9,http://img1.famulei.com/z/0/p/176/0717062318191_100X100.png,wuxx,Íõ³Ç,ADC,RNG,189,67,160,21
3,3,4,5.8,1.8,4.0,26.1,13.2,5.2,479.8,428.1,9.0,9.0,0.2,0.5,2,71.6,77.8,18,33.1,http://img1.famulei.com/z/0/p/1612/2814445210230_100X100.png,NaMei,Öì¼ÑÎÄ,ADC,RNG,105,34,72,14
4,4,5,6.1,2.3,3.8,26.2,15.0,4.3,533.2,404.3,8.3,8.3,0.2,0.3,4,69.9,0.0,22,33.1,http://img1.famulei.com/z/0/p/176/0611313913407_100X100.png,Happy,Ó÷Èð,ADC,QG,136,51,85,12
5,5,6,5.8,2.1,3.0,26.8,13.6,4.0,537.1,397.9,8.6,8.6,0.2,0.4,2,73.3,44.4,27,31.6,,Rain,°²ìÅ¹ú,ADC,iG,157,59,82,12
6,6,7,8.0,4.0,8.0,35.5,14.0,4.0,928.2,411.6,7.6,7.6,0.4,0.5,0,72.7,0.0,1,53.8,http://img1.famulei.com/z/0/p/1612/0217334771955_100X100.jpg,bei,ÕÅÓêÔó,ADC,OMG,8,4,8,0
7,7,8,5.3,2.6,5.1,31.6,14.6,3.9,602.6,433.7,9.1,9.1,0.2,0.3,4,75.0,47.4,38,36.0,http://img1.famulei.com/z/0/p/176/0610471586403_100X100.png,Smlz,º«½ð,ADC,OMG,205,101,195,18
8,8,9,5.3,2.2,3.2,31.4,15.0,3.8,592.5,412.1,9.2,9.2,0.3,0.5,1,67.5,44.4,9,34.6,http://img1.famulei.com/z/0/p/1612/0217160915842_100X100.png,Martin,Ì·çù,ADC,Snake,48,20,29,4
9,9,10,5.5,2.4,3.4,26.2,15.2,3.7,486.3,400.4,8.2,8.2,0.2,0.4,2,70.5,51.1,47,31.7,http://img1.famulei.com/z/0/p/176/0716593092027_100X100.png,Endless,Ðíê»,ADC,VG,260,113,161,24
10,10,11,5.6,2.2,2.8,23.3,14.3,3.7,445.4,413.4,9.1,9.1,0.3,0.5,0,60.1,43.8,16,31.4,http://img1.famulei.com/z/0/p/1612/0610463639534_100X100.jpg,Moon,ºúÔóÓî,ADC,EPA,91,36,45,7
11,11,12,4.9,2.4,3.7,29.3,16.7,3.6,512.8,406.8,8.6,8.6,0.3,0.4,8,71.2,59.3,51,33.1,http://img1.famulei.com/z/965748/p/172/2111074514862_100X100.png,MyStic,³ÂÊ¥¿¡,ADC,WE,269,131,203,32
12,12,13,4.2,2.1,3.5,31.4,15.1,3.6,619.0,424.7,9.2,9.2,0.2,0.5,6,66.8,50.0,39,34.1,http://img1.famulei.com/z/0/p/172/2111415890430_100X100.png,imp,¾ßêÉ±ò,ADC,LGD,165,84,140,19
13,13,14,4.6,2.3,3.0,28.4,16.1,3.2,521.7,415.3,9.2,9.2,0.3,0.5,4,70.0,56.8,37,32.4,http://img1.famulei.com/z/0/p/176/0611112282384_100X100.png,kRYST4L,Ñî·ª,ADC,Snake,172,87,111,21
14,14,15,5.3,2.2,2.0,18.4,11.7,3.2,359.9,380.5,8.0,8.0,0.1,0.4,0,54.7,57.1,14,24.2,http://img1.famulei.com/z/0/p/1612/0611215224303_100X100.jpg,Time,ÌÆ¾¸Ì©,ADC,iG,75,32,28,8
15,15,16,4.5,2.9,2.6,25.0,15.3,2.4,459.2,389.5,8.6,8.6,0.2,0.4,1,65.8,30.4,23,28.9,http://img1.famulei.com/z/0/p/1612/0610431385584_100X100.jpg,Romantic,ÕÅ³É,ADC,EPA,104,67,60,7
16,16,17,3.8,3.4,2.6,26.8,16.3,1.8,447.0,374.8,8.3,8.3,0.2,0.4,2,73.7,9.1,33,27.0,http://img1.famulei.com/z/0/p/1612/0611364779295_100X100.jpg,Xq,ÀîÓ¢½Ü,ADC,HYG,127,114,87,3
17,17,18,3.3,3.1,2.5,27.8,14.5,1.8,485.5,383.4,8.7,8.7,0.2,0.4,2,66.6,25.0,36,27.3,http://img1.famulei.com/z/0/p/1612/0611081958722_100X100.png,qpqtq,ÐìÃúÊà,ADC,M3,121,112,91,9
