,Unnamed: 0,RANK,AVERAGE_ASSISTS,AVERAGE_DEATHS,AVERAGE_KILLS,DAMAGEDEALT_RATE,DAMAGETAKEN_RATE,KDA,MINUTE_DAMAGEDEALT,MINUTE_DAMAGETAKEN,MINUTE_ECONOMIC,MINUTE_HITS,MINUTE_WARDKILLED,MINUTE_WARDSPLACED,MVP,OFFERED_RATE,VICTORY_RATE,PLAYS_TIMES,F_SCORE,PLAYER_IMAGE,PLAYER_NAME,PLAYER_CHINESE_NAME,POSITION,TEAM_NAME,TOTAL_ASSISTS,TOTAL_DEATHS,TOTAL_KILLS,WIN
0,0,1,4.8,0.9,5.0,28.5,14.5,10.7,584.8,467.6,10.4,10.4,0.3,0.3,3,68.8,71.1,38,37.9,http://img1.famulei.com/z/0/p/1612/1617482890365_100X100.png,Rekkles,Martin Larsson,ADC,FNC,183,35,193,27
1,1,2,4.5,1.3,3.5,29.0,12.5,6.1,590.9,433.3,9.7,9.7,0.3,0.3,7,64.5,65.9,44,34.0,http://img1.famulei.com/z/0/p/1610/1217533796966_100X100.png,Zven,Jesper Svenningsen,ADC,G2,200,58,154,29
2,2,3,4.6,1.7,3.8,27.5,11.6,4.7,547.7,410.8,8.8,8.8,0.2,0.3,7,71.0,55.3,38,31.6,http://img1.famulei.com/z/0/p/171/2111573157724_100X100.png,Samux,Samuel Fernandez Fort,ADC,UOL,177,68,147,21
3,3,4,6.3,2.2,3.9,28.3,14.2,4.6,597.0,419.7,9.3,9.3,0.2,0.3,5,66.5,52.9,34,35.2,http://img1.famulei.com/z/0/p/1610/1218162848328_100X100.png,Kobbe,Kasper Kobberup,ADC,SPY,216,75,134,18
4,4,5,5.0,1.8,3.6,27.5,12.5,4.5,537.9,413.8,8.8,8.8,0.3,0.3,5,67.2,62.2,37,32.2,http://img1.famulei.com/z/0/p/1612/1513042449209_100X100.png,Nuclear,Seung-hoo Kim,ADC,H2K,186,70,134,23
5,5,6,5.3,2.0,3.8,26.0,14.9,4.4,489.8,422.2,9.3,9.3,0.3,0.4,5,70.0,47.6,42,33.7,http://img1.famulei.com/z/0/p/171/1114300589425_100X100.png,Hans sama,Steven Liv,ADC,MSF,224,86,160,20
6,6,7,4.8,2.1,3.9,29.0,18.8,4.0,595.4,409.2,8.6,8.6,0.2,0.3,4,71.8,65.9,41,35.7,http://img1.famulei.com/z/0/p/1610/1217552869399_100X100.png,Perkz,Luka Perković,中单,G2,200,90,163,27
7,7,8,3.8,2.1,2.8,23.3,14.4,3.2,441.7,386.5,8.6,8.6,0.2,0.4,0,61.0,41.4,29,27.8,http://img1.famulei.com/z/0/p/1612/1616580191096_100X100.png,Steeelback,Pierre Medjaldi,ADC,Vitality,112,61,84,12
8,8,9,4.0,2.3,2.6,25.9,14.1,2.8,426.8,375.5,8.3,8.3,0.2,0.5,2,73.6,24.1,29,27.6,http://img1.famulei.com/z/0/p/176/0117400280414_100X100.png,HeaQ,Martin Kordmaa,ADC,NIP,118,69,78,7
9,9,10,4.2,2.7,3.2,29.9,16.3,2.7,556.6,424.8,9.5,9.5,0.2,0.3,5,68.6,42.4,33,32.0,http://img1.famulei.com/z/0/p/1612/1618400189660_100X100.png,Hjarnan,Petter Freyschuss,ADC,ROC,140,90,108,14
10,10,11,3.2,2.5,2.6,27.2,12.9,2.3,472.7,387.2,9.0,9.0,0.2,0.4,1,64.7,17.9,28,27.1,http://img1.famulei.com/z/0/p/176/0114353316701_100X100.png,yuuki60,Soler Florent,ADC,MM,92,71,73,5
