,Unnamed: 0,RANK,AVERAGE_ASSISTS,AVERAGE_DEATHS,AVERAGE_KILLS,DAMAGEDEALT_RATE,DAMAGETAKEN_RATE,KDA,MINUTE_DAMAGEDEALT,MINUTE_DAMAGETAKEN,MINUTE_ECONOMIC,MINUTE_HITS,MINUTE_WARDKILLED,MINUTE_WARDSPLACED,MVP,OFFERED_RATE,VICTORY_RATE,PLAYS_TIMES,F_SCORE,PLAYER_IMAGE,PLAYER_NAME,PLAYER_CHINESE_NAME,POSITION,TEAM_NAME,TOTAL_ASSISTS,TOTAL_DEATHS,TOTAL_KILLS,WIN
0,0,1,5.2,1.1,4.0,28.2,15.9,8.0,583.4,465.5,10.2,10.2,0.3,0.3,6,70.3,78.8,33,36.0,http://img1.famulei.com/z/0/p/172/2315230016388_100X100.png,Betty,±RÓíºê,ADC,FW,172,38,132,26
1,1,2,4.5,1.5,3.8,28.3,16.6,5.2,528.0,427.2,9.5,9.5,0.2,0.4,5,70.1,59.5,37,34.0,http://img1.famulei.com/z/0/p/176/0714490786711_100X100.png,LilV,LilV,ADC,JT,170,59,142,22
2,2,3,5.0,1.0,0.0,18.3,11.2,5.0,310.4,349.5,7.9,7.9,0.3,0.4,0,58.8,50.0,2,21.2,http://img1.famulei.com/z/0/p/176/0721362771377_100X100.png,LBB,LBB,ADC,XG,10,2,0,1
3,3,4,5.4,1.6,2.8,23.7,13.3,4.9,486.6,412.2,9.2,9.2,0.3,0.3,1,64.1,58.3,36,31.0,http://img1.famulei.com/z/0/p/1612/2817103075979_100X100.png,Bebe,ÕÅ²©Îª,ADC,JT,197,61,104,21
4,4,5,4.2,1.7,2.4,27.7,14.4,3.8,490.8,400.0,9.2,9.2,0.2,0.4,1,68.3,0.0,36,28.5,http://img1.famulei.com/z/2985229/p/179/1517375184654_100X100.png,Unified,üS¿¡½Ü,ADC,FB,152,63,88,15
5,5,6,4.0,1.7,2.5,27.7,16.0,3.7,523.6,417.8,9.9,9.9,0.2,0.3,6,61.7,42.4,33,29.3,http://img1.famulei.com/z/0/p/176/0721285514290_100X100.png,Breeze,Breeze,ADC,WS,132,58,83,14
6,6,7,4.1,1.8,2.6,25.7,14.7,3.7,475.8,417.5,9.5,9.5,0.3,0.4,4,60.1,59.5,42,30.1,http://img1.famulei.com/z/0/p/176/0721234342076_100X100.png,AN,ÖÜ¿¡ÚÏ,ADC,AHQ,176,77,111,25
7,7,8,4.2,2.1,3.2,24.8,13.8,3.4,454.4,391.3,8.7,8.7,0.2,0.3,1,68.2,45.5,33,28.6,http://img1.famulei.com/z/0/p/176/0721310927647_100X100.png,Dee,Dee,ADC,M17,140,72,107,15
8,8,9,3.7,3.2,2.2,32.8,16.2,1.8,496.2,388.9,9.2,9.2,0.2,0.3,0,72.7,0.0,4,25.7,http://img1.famulei.com/z/0/p/176/1611435028002_100X100.png,Madnesss,Madnesss,ADC,FW,15,13,9,0
9,9,10,1.7,2.1,1.5,23.6,13.4,1.5,333.3,344.8,8.2,8.2,0.2,0.3,0,56.7,0.0,14,20.3,http://img1.famulei.com/z/0/p/177/1507325760056_100X100.png,Enzz,,ADC,FB,24,30,22,0
10,10,11,5.0,5.0,0.0,18.6,16.0,1.0,347.5,338.4,7.7,7.7,0.0,0.2,0,55.5,0.0,1,15.7,http://img1.famulei.com/z/0/p/176/1611381411553_100X100.png,DANDAN,DANDAN,ADC,HKA,5,5,0,0
11,11,12,0.6,2.6,2.0,18.8,13.6,1.0,282.9,333.2,7.9,7.9,0.1,0.3,0,44.4,0.0,3,18.2,http://img1.famulei.com/z/0/p/177/1508001768644_100X100.png,Ran,,ADC,RG,2,8,6,0
