,Unnamed: 0,RANK,AVERAGE_ASSISTS,AVERAGE_DEATHS,AVERAGE_KILLS,DAMAGEDEALT_RATE,DAMAGETAKEN_RATE,KDA,MINUTE_DAMAGEDEALT,MINUTE_DAMAGETAKEN,MINUTE_ECONOMIC,MINUTE_HITS,MINUTE_WARDKILLED,MINUTE_WARDSPLACED,MVP,OFFERED_RATE,VICTORY_RATE,PLAYS_TIMES,F_SCORE,PLAYER_IMAGE,PLAYER_NAME,PLAYER_CHINESE_NAME,POSITION,TEAM_NAME,TOTAL_ASSISTS,TOTAL_DEATHS,TOTAL_KILLS,WIN
0,0,1,5.4,1.1,2.6,27.4,15.8,7.1,486.2,432.5,10.3,10.3,0.3,0.4,8,71.1,64.7,51,32.1,https://img1.famulei.com/z/2985229/p/186/1311253484626_100X100.png,Viper,Park Do-hyeon,ADC,GRF,277,58,135,33
1,1,2,3.4,1.1,3.0,30.8,14.9,5.4,520.2,440.8,10.3,10.3,0.2,0.3,6,68.9,55.6,45,30.2,http://img1.famulei.com/z/0/p/175/3112223182787_100X100.png,Sangyoon,Sany-yun Kwon,ADC,HLE,153,53,136,25
2,2,3,4.7,1.4,2.7,25.7,16.2,5.1,437.4,425.8,9.7,9.7,0.3,0.5,1,71.3,60.0,35,31.6,https://img1.famulei.com/z/2985229/p/181/2913374626055_100X100.png,Aiming,Haram Kim,ADC,AFs,165,51,97,21
3,3,4,4.3,1.3,2.7,24.4,16.6,5.1,404.2,422.2,9.7,9.7,0.3,0.5,1,70.4,54.5,22,30.1,http://img1.famulei.com/z/0/p/172/2116053530452_100X100.png,Kramer,Jong-hoon Ha,ADC,AFs,95,30,60,12
4,4,5,4.1,1.2,2.1,32.4,15.0,4.8,580.6,412.9,9.7,9.7,0.2,0.5,5,70.1,46.3,41,31.4,http://img1.famulei.com/z/0/p/172/2115103822295_100X100.png,Bang,裴俊植,ADC,SKT,169,53,89,19
5,5,6,4.6,1.3,1.6,28.6,18.0,4.7,478.3,410.4,9.2,9.2,0.2,0.5,1,73.0,33.3,3,31.3,https://img1.famulei.com/z/2985229/p/186/2016532069405_100X100.png,Leo,한겨레,ADC,SKT,14,4,5,1
6,6,7,3.5,1.3,2.6,33.8,14.5,4.5,573.9,443.6,10.7,10.7,0.4,0.4,12,72.8,60.9,46,31.7,http://img1.famulei.com/z/0/p/172/2114015943727_100X100.png,Ruler,朴在赫,ADC,Gen,164,62,121,28
7,7,8,4.4,1.6,2.4,31.5,14.9,4.2,600.3,421.2,9.7,9.7,0.2,0.4,7,66.1,66.7,48,31.5,http://img1.famulei.com/z/0/p/172/2115554970350_100X100.png,Deft,金赫奎,ADC,KT,213,77,117,32
8,8,9,5.0,2.0,3.0,28.6,12.7,4.0,420.5,425.6,9.3,9.3,0.1,0.4,0,80.0,0.0,1,26.6,https://img1.famulei.com/z/5693983/p/187/2122431042052_100X100.png,Clever,,ADC,HLE,5,2,3,0
9,9,10,3.9,1.6,2.2,27.5,14.2,3.8,465.6,425.0,10.2,10.2,0.3,0.4,6,62.0,61.7,47,28.6,http://img1.famulei.com/z/0/p/175/3112003251221_100X100.png,PraY,金钟仁,ADC,KZ,186,76,108,29
10,10,11,3.7,1.4,1.8,32.0,14.7,3.7,521.5,407.2,10.1,10.1,0.2,0.4,2,76.0,28.9,38,27.6,https://img1.famulei.com/z/2985229/p/181/2913435074741_100X100.png,Pilot,Woo-hyung Nah,ADC,MVP,141,56,69,11
11,11,12,2.5,1.5,2.3,33.3,17.2,3.0,530.9,419.5,10.6,10.6,0.3,0.4,3,70.0,31.1,45,29.0,http://img1.famulei.com/z/0/p/176/1318323594461_100X100.png,Teddy,Park Jin-sung,ADC,JAG,114,71,104,14
12,12,13,3.0,2.0,1.4,26.8,15.0,2.1,392.6,377.1,9.1,9.1,0.2,0.5,1,65.4,23.1,39,24.2,http://img1.famulei.com/z/0/p/172/2116510741871_100X100.png,Ghost,Yong-jun jang,ADC,bbq,118,81,56,9
13,13,14,3.0,3.5,1.0,24.9,20.4,1.1,346.5,361.8,8.6,8.6,0.1,0.5,0,55.1,0.0,4,22.3,https://img1.famulei.com/z/2985229/p/186/1223544373301_100X100.png,Aries,Lee Chae-hwan,ADC,bbq,12,14,4,0
14,14,15,2.0,2.6,0.4,18.6,16.3,0.9,268.4,331.8,8.5,8.5,0.2,0.3,0,46.1,0.0,5,17.1,http://img1.famulei.com/z/0/p/172/2116465912312_100X100.png,Maha,Hyun-sik Oh,ADC,MVP,10,13,2,0
