,Unnamed: 0,RANK,AVERAGE_ASSISTS,AVERAGE_DEATHS,AVERAGE_KILLS,DAMAGEDEALT_RATE,DAMAGETAKEN_RATE,KDA,MINUTE_DAMAGEDEALT,MINUTE_DAMAGETAKEN,MINUTE_ECONOMIC,MINUTE_HITS,MINUTE_WARDKILLED,MINUTE_WARDSPLACED,MVP,OFFERED_RATE,VICTORY_RATE,PLAYS_TIMES,F_SCORE,PLAYER_IMAGE,PLAYER_NAME,PLAYER_CHINESE_NAME,POSITION,TEAM_NAME,TOTAL_ASSISTS,TOTAL_DEATHS,TOTAL_KILLS,WIN
0,0,1,3.6,0.8,3.0,24.8,11.0,7.5,445.5,409.0,9.8,9.8,0.2,0.3,1,61.2,27.8,18,26.9,http://img1.famulei.com/z/2985229/p/181/0916193117668_100X100.png,Deftly,Matthew Chen,ADC,GGS,66,16,54,5
1,1,2,4.4,1.2,4.2,29.9,11.5,6.8,559.5,452.5,10.3,10.3,0.4,0.3,5,74.6,72.0,25,34.1,http://img1.famulei.com/z/0/p/1610/1218314996694_100X100.png,Doublelift,≈Ì“‡¡¡,ADC,TL,112,32,106,18
2,2,3,5.2,1.6,3.9,29.9,13.4,5.6,576.7,443.5,10.2,10.2,0.3,0.3,4,70.9,59.3,27,34.4,http://img1.famulei.com/z/0/p/175/2522090766533_100X100.png,Cody sun,Li Yu Sun,ADC,100T,141,44,106,16
3,3,4,3.6,1.2,2.0,24.4,10.8,4.6,450.2,383.8,8.6,8.6,0.4,0.4,3,67.5,50.0,18,26.8,http://img1.famulei.com/z/0/p/175/2519095994893_100X100.png,Arrow,Dong-hyeon Noh,ADC,OPT,66,22,36,9
4,4,5,4.4,1.6,3.3,27.7,11.3,4.6,525.9,417.6,9.2,9.2,0.2,0.4,2,70.4,46.7,15,30.5,https://img1.famulei.com/z/3046263/p/187/2909231828322_100X100.png,Lost,Lost,ADC,EF,67,25,50,7
5,5,6,3.5,1.5,3.2,31.2,13.2,4.4,518.4,427.3,10.1,10.1,0.2,0.4,2,64.5,0.0,19,30.3,http://img1.famulei.com/z/0/p/1610/1217032194909_100X100.png,Stixxay,Trevor Hayes,ADC,CLG,68,29,61,7
6,6,7,4.4,1.7,2.8,33.3,13.6,4.2,635.4,430.6,9.8,9.8,0.3,0.3,3,68.8,54.3,35,33.0,http://img1.famulei.com/z/0/p/1610/1217533796966_100X100.png,Zven,Jesper Svenningsen,ADC,TSM,157,61,101,19
7,7,8,4.5,2.0,3.0,29.2,13.4,3.7,503.6,417.3,9.5,9.5,0.3,0.3,4,68.8,43.5,23,29.7,http://img1.famulei.com/z/0/p/174/2618055446507_100X100.png,WildTurtle,Jason Tran,ADC,FLY,105,47,70,10
8,8,9,5.0,2.3,3.0,28.4,13.0,3.4,588.7,425.2,9.8,9.8,0.3,0.4,0,69.5,65.0,20,32.1,http://img1.famulei.com/z/0/p/1610/1214453196594_100X100.png,Sneaky,Zachary Scuderi,ADC,C9,101,47,61,13
9,9,10,4.8,1.8,1.0,25.2,9.4,3.2,423.1,372.0,9.0,9.0,0.2,0.3,0,72.5,40.0,5,22.6,https://img1.famulei.com/z/3046263/p/189/0306393095064_100X100.png,Rikara,Rikara,ADC,100T,24,9,5,2
10,10,11,3.5,2.4,3.3,24.7,13.6,2.7,454.5,411.4,9.5,9.5,0.3,0.4,0,65.1,40.0,15,29.4,http://img1.famulei.com/z/0/p/175/2522041167755_100X100.png,Apollo,Apollo Price,ADC,CG,53,37,50,6
11,11,12,3.7,2.6,3.2,24.0,17.9,2.6,513.2,401.7,9.1,9.1,0.2,0.4,3,56.2,55.6,9,32.2,http://img1.famulei.com/z/0/p/175/2518312351410_100X100.png,Altec,Johnny Ru,ADC,EF,34,24,29,5
12,12,13,3.0,2.7,1.5,26.5,15.2,1.6,431.9,393.4,9.2,9.2,0.4,0.5,0,54.5,25.0,4,25.4,http://img1.famulei.com/z/0/p/175/2518324684152_100X100.png,KEITH,Yuri Jew,ADC,,12,11,6,1
13,13,14,2.5,3.0,2.5,44.6,14.1,1.6,832.9,365.7,8.4,8.4,0.3,0.5,0,71.4,0.0,2,34.7,https://img1.famulei.com/z/0/p/175/2518575072596_100X100.png,Piglet,Gwang-jin Chae,ADC,,5,6,5,0
