,Unnamed: 0,RANK,AVERAGE_ASSISTS,AVERAGE_DEATHS,AVERAGE_KILLS,DAMAGEDEALT_RATE,DAMAGETAKEN_RATE,KDA,MINUTE_DAMAGEDEALT,MINUTE_DAMAGETAKEN,MINUTE_ECONOMIC,MINUTE_HITS,MINUTE_WARDKILLED,MINUTE_WARDSPLACED,MVP,OFFERED_RATE,VICTORY_RATE,PLAYS_TIMES,F_SCORE,PLAYER_IMAGE,PLAYER_NAME,PLAYER_CHINESE_NAME,POSITION,TEAM_NAME,TOTAL_ASSISTS,TOTAL_DEATHS,TOTAL_KILLS,WIN
0,0,1,5.1,1.4,3.7,29.2,13.6,6.2,535.1,436.2,9.7,9.7,0.3,0.4,12,71.3,61.5,65,33.3,http://img1.famulei.com/z/2985229/p/181/1019003537721_100X100.png,Loken,Àî¶«êÅ,ADC,JDG,335,93,243,40
1,1,2,5.7,1.7,4.2,28.7,13.1,5.8,576.5,447.9,9.7,9.7,0.4,0.3,3,65.5,78.6,14,35.5,http://img1.famulei.com/z/2985229/p/181/1018575851795_100X100.png,Able,´÷Ö¾´º,ADC,RNG,81,24,60,11
2,2,3,4.9,2.0,4.4,33.4,15.8,4.6,620.1,473.7,10.9,10.9,0.4,0.4,10,69.6,64.9,37,37.6,http://img1.famulei.com/z/2985229/p/181/1018555044242_100X100.png,Uzi,¼ò×ÔºÀ,ADC,RNG,182,75,166,24
3,3,4,5.8,2.2,3.7,27.3,16.1,4.2,477.6,411.7,9.1,9.1,0.3,0.4,7,69.5,54.9,51,33.8,http://img1.famulei.com/z/2985229/p/181/1019035795223_100X100.png,Fury,LeeJinYong,ADC,SNG,299,114,191,28
4,4,5,6.5,2.4,3.5,30.0,15.5,4.1,615.7,416.2,9.1,9.1,0.2,0.3,4,71.2,55.3,38,35.1,http://img1.famulei.com/z/2985229/p/181/1018565970545_100X100.png,Y4,ÍõÅªÄ«,ADC,LGD,248,92,133,21
5,5,6,5.5,2.3,3.8,27.7,15.4,4.0,519.9,433.6,9.5,9.5,0.4,0.3,4,66.9,57.4,47,34.2,http://img1.famulei.com/z/2985229/p/181/1019051279693_100X100.png,IBoy,ºúÏÔÕÑ,ADC,EDG,259,109,182,27
6,6,7,5.3,2.3,3.6,25.6,16.5,3.8,535.6,447.8,9.8,9.8,0.3,0.3,7,61.3,100.0,56,33.9,http://img1.famulei.com/z/2985229/p/1712/2423560610699_100X100.png,Jackeylove,Ó÷ÎÄ²¨,ADC,iG,297,130,204,40
7,7,8,5.0,2.3,3.7,36.7,15.9,3.7,721.4,447.2,10.2,10.2,0.4,0.3,9,76.1,47.2,36,37.9,http://img1.famulei.com/z/965748/p/181/1018285829228_100X100.png,MyStic,³ÂÊ¥¿¡,ADC,WE,183,86,136,17
8,8,9,3.3,2.3,5.0,33.7,16.7,3.5,712.9,420.6,8.5,8.5,0.2,0.3,0,69.4,33.3,3,36.6,https://img1.famulei.com/z/2985229/p/181/1017432240227_100X100.png,Hope,Íõ½Ü,ADC,EDG,10,7,15,1
9,9,10,5.1,2.5,3.9,31.4,14.8,3.5,611.5,453.6,10.2,10.2,0.4,0.3,7,69.6,62.3,53,35.3,http://img1.famulei.com/z/2985229/p/181/1018040437170_100X100.png,Smlz,º«½ð,ADC,RW,273,136,211,33
10,10,11,2.8,1.6,2.6,24.8,14.7,3.3,379.9,386.6,9.1,9.1,0.4,0.3,0,66.6,20.0,10,26.3,https://img1.famulei.com/z/5619329/p/183/2716055778157_100X100.png,Gentle,Ò¦Îõ¼ø,ADC,WE,28,16,26,2
11,11,12,4.4,2.0,2.3,30.1,14.6,3.3,524.7,402.1,9.6,9.6,0.2,0.3,3,65.8,39.4,33,28.4,https://img1.famulei.com/z/5703701/p/186/0717301361126_100X100.png,Light,Íõ¹âÓî,ADC,Snake,146,66,78,13
12,12,13,5.1,2.2,2.5,30.2,15.3,3.3,544.4,390.9,8.9,8.9,0.1,0.4,2,70.1,18.8,32,30.7,http://img1.famulei.com/z/2985229/p/181/1018184049404_100X100.png,Snow,ÎâºÃË³,ADC,VG,164,73,83,6
13,13,14,4.8,2.3,2.7,34.0,14.0,3.2,663.3,412.7,9.4,9.4,0.2,0.4,3,78.1,28.6,14,33.0,https://img1.famulei.com/z/2985229/p/181/1019060493567_100X100.png,Martin,Ì·çù,ADC,VG,68,33,39,4
14,14,15,4.4,2.5,3.4,30.2,16.1,3.1,534.3,426.8,9.8,9.8,0.2,0.3,6,68.7,42.9,49,31.1,https://img1.famulei.com/z/2986058/p/186/0717470815319_100X100.png,Lwx,ÁÖì¿Ïè,ADC,FPX,219,123,170,21
15,15,16,12.3,5.3,3.6,22.8,14.6,3.0,630.9,450.7,8.8,8.8,0.2,0.3,0,57.8,66.7,3,42.2,https://img1.famulei.com/z/0/p/176/0611354753444_100X100.png,West,³ÂÁú,ADC,iG,37,16,11,2
16,16,17,4.7,2.5,2.5,29.6,13.1,2.9,550.6,402.2,9.2,9.2,0.2,0.3,1,72.8,37.5,48,29.1,http://img1.famulei.com/z/2985229/p/181/1018584799263_100X100.png,jinjiao,Ð»½ðÉ½,ADC,BLG,228,120,124,18
17,17,18,10.0,5.0,4.0,13.3,13.8,2.8,394.7,404.5,7.5,7.5,0.1,0.2,0,40.0,100.0,1,36.2,https://img1.famulei.com/z/5688126/p/188/1713330996539_100X100.png,WXZ,ÍõË¼´Ï,ADC,iG,10,5,4,1
18,18,19,3.1,2.2,3.2,28.3,14.2,2.8,452.7,409.3,9.4,9.4,0.3,0.4,3,66.6,35.3,17,28.7,http://img1.famulei.com/z/2985229/p/181/1018572386129_100X100.png,PiPiXuAn,Æ¤Ð¢Ðù,ADC,OMG,54,38,56,6
19,19,20,2.0,1.5,2.0,28.5,13.0,2.6,403.6,411.2,10.4,10.4,0.4,0.3,0,80.0,0.0,2,23.6,http://img1.famulei.com/z/2985229/p/181/1019015360074_100X100.png,imp,¾ßêÉ±ò,ADC,WE,4,3,4,0
20,20,21,5.6,3.3,2.0,30.9,20.5,2.3,408.5,409.3,10.0,10.0,0.4,0.3,0,79.3,33.3,3,28.9,http://img1.famulei.com/z/2985229/p/181/1018352585233_100X100.png,kRYST4L,Ñî·ª,ADC,Snake,17,10,6,1
21,21,22,3.1,3.1,1.5,17.5,19.1,1.4,221.3,348.1,8.0,8.0,0.1,0.3,0,60.8,0.0,6,19.6,http://img1.famulei.com/z/2985229/p/181/1019031310591_100X100.png,Fdy,·ü¶¦Ô´,ADC,LGD,19,19,9,0
