,Unnamed: 0,RANK,AVERAGE_ASSISTS,AVERAGE_DEATHS,AVERAGE_KILLS,DAMAGEDEALT_RATE,DAMAGETAKEN_RATE,KDA,MINUTE_DAMAGEDEALT,MINUTE_DAMAGETAKEN,MINUTE_ECONOMIC,MINUTE_HITS,MINUTE_WARDKILLED,MINUTE_WARDSPLACED,MVP,OFFERED_RATE,VICTORY_RATE,PLAYS_TIMES,F_SCORE,PLAYER_IMAGE,PLAYER_NAME,PLAYER_CHINESE_NAME,POSITION,TEAM_NAME,TOTAL_ASSISTS,TOTAL_DEATHS,TOTAL_KILLS,WIN
0,0,1,4.1,1.0,3.8,31.5,12.7,7.9,570.5,466.3,10.7,10.7,0.3,0.4,9,65.4,74.0,50,33.5,https://img1.famulei.com/z/5688126/p/191/0916274344022_100X100.png,Teddy,Park Jin-sung,ADC,SKT,205,50,193,37
1,1,2,4.4,1.0,3.4,26.9,12.9,7.3,456.3,455.7,10.3,10.3,0.4,0.4,6,58.5,73.8,42,31.0,https://img1.famulei.com/z/2985229/p/186/1311253484626_100X100.png,Viper,Park Do-hyeon,ADC,GRF,185,45,145,31
2,2,3,5.6,1.8,3.7,34.9,14.7,5.1,634.0,456.6,10.1,10.1,0.4,0.5,12,71.6,66.7,45,38.1,https://img1.famulei.com/z/5688126/p/189/2614004270507_100X100.png,Deft,金赫奎,ADC,KZ,253,81,167,30
3,3,4,4.8,1.6,3.0,25.5,12.3,4.7,447.9,433.3,9.9,9.9,0.4,0.3,3,69.8,55.3,47,30.0,https://img1.famulei.com/z/5688126/p/1812/1714460119976_100X100.png,Nuclear,Seung-hoo Kim,ADC,DWG,228,78,145,26
4,4,5,4.6,1.6,2.8,28.4,13.7,4.6,516.6,441.1,10.1,10.1,0.3,0.4,8,68.5,61.7,47,31.7,https://img1.famulei.com/z/0/p/172/2116510741871_100X100.png,Ghost,Yong-jun jang,ADC,SB,219,76,136,29
5,5,6,3.2,1.5,3.3,35.5,14.3,4.2,544.3,452.2,10.5,10.5,0.5,0.4,9,77.1,36.4,44,32.8,https://img1.famulei.com/z/5688126/p/189/2614191995502_100X100.png,Ruler,朴在赫,ADC,Gen,144,69,149,16
6,6,7,3.8,1.7,2.7,30.7,14.9,3.8,479.6,435.9,10.1,10.1,0.4,0.3,2,70.9,48.8,41,29.2,https://img1.famulei.com/z/0/p/175/3112223182787_100X100.png,Sangyoon,Sany-yun Kwon,ADC,HLE,157,70,112,20
7,7,8,3.4,1.9,3.2,33.4,15.1,3.3,526.8,432.6,9.7,9.7,0.4,0.4,4,68.6,34.5,29,32.1,https://img1.famulei.com/z/5688126/p/189/2613504924588_100X100.png,Aiming,Haram Kim,ADC,AF,100,57,93,10
8,8,9,3.9,2.4,2.7,31.0,19.3,2.7,532.8,413.0,9.5,9.5,0.3,0.3,2,66.4,34.6,26,31.2,https://img1.famulei.com/z/3046263/p/1812/2702264698381_100X100.png,Zenit,Jeon Tae-gwon,ADC,KT,102,63,72,9
9,9,10,4.2,2.8,2.5,27.6,15.6,2.4,438.9,409.7,9.3,9.3,0.3,0.3,1,65.0,25.0,16,27.1,https://img1.famulei.com/z/2985229/p/1812/1313393830590_100X100.png,Gango,Byun Se-hoon (변세훈),ADC,KT,68,45,40,4
10,10,11,4.3,2.8,2.2,29.9,14.1,2.2,506.2,418.1,10.0,10.0,0.4,0.3,1,68.6,22.2,9,29.0,https://img1.famulei.com/z/0/p/172/2116574590612_100X100.png,SSol,Jin-sol Seo,ADC,AF,39,26,20,2
11,11,12,2.0,2.0,2.0,32.1,17.5,2.0,455.1,408.0,9.9,9.9,0.4,0.4,1,58.9,8.6,35,27.3,https://img1.famulei.com/z/5688126/p/1812/1714281613128_100X100.png,Route,Moon Geom-su,ADC,JAG,71,71,71,3
12,12,13,2.0,2.0,2.0,33.6,19.7,2.0,608.7,427.7,9.8,9.8,0.4,0.5,0,50.0,100.0,1,33.5,,Aries,Lee Chae-hwan,ADC,DWG,2,2,2,1
13,13,14,0.6,2.0,0.3,26.7,14.3,0.5,293.5,362.2,9.3,9.3,0.4,0.3,0,33.3,0.0,3,16.7,https://img1.famulei.com/z/5688126/p/189/2815441410380_100X100.png,Stitch,Lee Seung-ju,ADC,JAG,2,6,1,0
