,Unnamed: 0,RANK,AVERAGE_ASSISTS,AVERAGE_DEATHS,AVERAGE_KILLS,DAMAGEDEALT_RATE,DAMAGETAKEN_RATE,KDA,MINUTE_DAMAGEDEALT,MINUTE_DAMAGETAKEN,MINUTE_ECONOMIC,MINUTE_HITS,MINUTE_WARDKILLED,MINUTE_WARDSPLACED,MVP,OFFERED_RATE,VICTORY_RATE,PLAYS_TIMES,F_SCORE,PLAYER_IMAGE,PLAYER_NAME,PLAYER_CHINESE_NAME,POSITION,TEAM_NAME,TOTAL_ASSISTS,TOTAL_DEATHS,TOTAL_KILLS,WIN
0,0,1,3.6,0.8,3.1,28.9,13.3,8.0,498.5,458.1,10.4,10.4,0.3,0.4,3,67.8,52.6,19,30.5,https://img1.famulei.com/z/2985229/p/191/1513365691310_100X100.png,Upset,Elias Lipp,ADC,S04,69,16,60,10
1,1,2,6.2,1.6,4.6,27.0,15.5,6.5,563.6,471.1,9.8,9.8,0.2,0.4,3,62.7,79.2,24,37.6,https://img1.famulei.com/z/2985229/p/191/1513550214782_100X100.png,Perkz,Luka Perković,ADC,G2,151,40,112,19
2,2,3,5.0,1.6,4.9,30.2,11.8,6.0,570.8,464.0,9.9,9.9,0.3,0.3,7,68.8,61.5,26,35.5,https://img1.famulei.com/z/2985229/p/191/1514202046609_100X100.png,Kobbe,Kasper Kobberup,ADC,SLY,130,43,128,16
3,3,4,4.0,1.6,3.8,24.7,11.3,4.7,437.5,467.3,10.2,10.2,0.5,0.4,4,60.8,58.6,29,31.3,https://img1.famulei.com/z/5688126/p/189/2914355669738_100X100.png,Rekkles,Martin Larsson,ADC,FNC,117,48,113,17
4,4,5,4.1,1.8,3.4,28.8,13.1,4.0,492.7,437.1,9.1,9.1,0.3,0.4,5,69.1,50.0,28,30.5,https://img1.famulei.com/z/2985229/p/191/1418285778485_100X100.png,Patrik,Patrik Jírů,ADC,OG,117,53,96,14
5,5,6,3.8,1.7,3.0,28.2,13.9,3.9,479.9,432.9,9.4,9.4,0.3,0.4,3,65.1,44.4,18,29.6,https://img1.famulei.com/z/0/p/171/1114300589425_100X100.png,Hans sama,Steven Liv,ADC,MSF,70,32,55,8
6,6,7,4.0,1.9,2.4,27.3,13.3,3.3,480.7,439.5,9.9,9.9,0.3,0.3,2,59.2,47.6,21,27.7,https://img1.famulei.com/z/2985229/p/191/1514261147285_100X100.png,Attila,Amadeu Carvalho,ADC,Vitality,84,40,51,10
7,7,8,4.2,2.5,3.9,30.0,14.0,3.2,548.0,458.3,9.9,9.9,0.3,0.3,6,73.5,47.8,23,32.9,https://img1.famulei.com/z/2985229/p/191/1513464315074_100X100.png,Crownshot,Juš Marušič,ADC,SKG,98,58,91,11
8,8,9,4.1,2.2,2.4,27.7,13.8,2.9,434.6,407.5,9.1,9.1,0.2,0.4,1,65.3,27.8,18,26.6,https://img1.famulei.com/z/2985229/p/191/1514162963011_100X100.png,Jeskla,Jesper Klarin Strömberg,ADC,XL,75,40,44,5
9,9,10,3.0,2.1,1.5,25.8,13.3,2.0,385.0,381.4,8.7,8.7,0.2,0.4,0,55.8,11.1,18,22.6,https://img1.famulei.com/z/2985229/p/191/1515455270895_100X100.png,HeaQ,Martin Kordmaa,ADC,RGE,54,39,27,2
