,Unnamed: 0,RANK,AVERAGE_ASSISTS,AVERAGE_DEATHS,AVERAGE_KILLS,DAMAGEDEALT_RATE,DAMAGETAKEN_RATE,KDA,MINUTE_DAMAGEDEALT,MINUTE_DAMAGETAKEN,MINUTE_ECONOMIC,MINUTE_HITS,MINUTE_WARDKILLED,MINUTE_WARDSPLACED,MVP,OFFERED_RATE,VICTORY_RATE,PLAYS_TIMES,F_SCORE,PLAYER_IMAGE,PLAYER_NAME,PLAYER_CHINESE_NAME,POSITION,TEAM_NAME,TOTAL_ASSISTS,TOTAL_DEATHS,TOTAL_KILLS,WIN
0,0,1,7.0,0.0,1.5,18.9,21.4,17.0,267.7,373.0,7.5,7.5,0.3,0.5,0,85.0,100.0,2,29.2,http://img1.famulei.com/z/0/p/171/1400540335760_100X100.png,Soul,Seo Hyeon-seok,上单,CJ,14,0,3,2
1,1,2,6.5,2.0,3.4,24.7,23.0,5.0,518.9,419.0,7.8,7.8,0.1,0.5,4,67.4,77.8,45,37.2,http://img1.famulei.com/z/0/p/1610/1215112617122_100X100.png,Smeb,宋京浩,上单,KT,293,90,157,35
2,2,3,5.9,1.7,2.4,18.9,24.5,4.9,399.7,398.9,8.3,8.3,0.1,0.4,6,67.2,68.6,51,32.7,http://img1.famulei.com/z/0/p/176/0611351750294_100X100.png,Duke,李浩成,上单,iG,305,87,123,35
3,3,4,5.4,1.8,1.8,23.3,22.6,3.9,429.5,366.6,7.4,7.4,0.1,0.5,6,72.6,53.2,47,31.1,http://img1.famulei.com/z/0/p/1612/2811291692410_100X100.png,TrAce,Chang-dong Yeo,上单,SSG,257,86,86,25
4,4,5,6.2,2.5,2.8,24.6,25.4,3.5,497.4,399.7,8.0,8.0,0.2,0.5,7,71.8,63.0,46,36.6,http://img1.famulei.com/z/0/p/175/2518460622732_100X100.png,Ssumday,Chan-ho Kim ,上单,DIG,286,116,130,29
5,5,6,4.1,1.6,1.7,18.4,24.5,3.5,342.2,376.4,7.8,7.8,0.1,0.5,1,64.7,50.0,26,28.7,http://img1.famulei.com/z/0/p/172/2115440966265_100X100.png,Expession,Bon-taek Koo,上单,KZ,108,43,46,13
6,6,7,4.5,2.2,2.4,17.3,19.4,3.1,369.1,379.2,7.5,7.5,0.1,0.5,2,64.2,44.4,18,29.8,http://img1.famulei.com/z/0/p/175/2522065090985_100X100.png,Flame,Ho-jong Lee,上单,KZ,82,40,44,8
7,7,8,5.8,2.8,1.6,19.6,24.3,2.6,375.3,359.6,7.0,7.0,0.1,0.5,6,69.2,52.1,48,30.5,http://img1.famulei.com/z/0/p/176/1318340966160_100X100.png,ikssu,Ik-su Jeon,上单,JAG,283,136,81,25
8,8,9,5.2,2.6,1.8,16.9,24.4,2.6,335.9,351.6,7.3,7.3,0.1,0.5,2,72.7,42.6,47,29.8,http://img1.famulei.com/z/0/p/1612/1318195073558_100X100.png,Untara,Ui-jin Park,上单,CJ,248,126,89,20
9,9,10,4.4,2.3,1.7,19.3,20.0,2.6,366.1,373.1,7.7,7.7,0.1,0.5,0,66.5,50.0,44,27.2,http://img1.famulei.com/z/0/p/172/2113593713949_100X100.png,CuVee,李成振,上单,SSG,196,103,76,22
10,10,11,4.9,3.0,1.0,16.0,23.5,1.9,292.6,345.6,7.2,7.2,0.1,0.4,0,63.1,18.2,11,24.5,http://img1.famulei.com/z/0/p/171/1821350155818_100X100.png,SoaR,李江表,上单,ING,54,34,11,2
11,11,12,3.8,3.5,1.0,17.4,25.0,1.3,315.2,333.3,6.9,6.9,0.1,0.5,1,60.4,20.0,35,25.3,http://img1.famulei.com/z/0/p/1612/1513303679306_100X100.png,Hipo,,上单,,133,125,35,7
12,12,13,2.1,3.4,1.2,19.5,22.9,1.0,346.3,363.4,7.6,7.6,0.1,0.5,0,58.5,14.3,7,23.3,http://img1.famulei.com/z/0/p/172/2116575919508_100X100.png,Roach,Kang-hee Kim,上单,KDM,15,24,9,1
13,13,14,1.0,4.0,0.0,13.3,23.6,0.2,198.4,286.5,6.8,6.8,0.0,0.5,0,25.0,0.0,1,17.1,http://img1.famulei.com/z/0/p/1612/2811343711862_100X100.png,SoHwan,Jun-yeong Kim,上单,JAG,1,4,0,0
14,14,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,,,,上单,TBD,6,4,2,0
