,Unnamed: 0,RANK,AVERAGE_ASSISTS,AVERAGE_DEATHS,AVERAGE_KILLS,DAMAGEDEALT_RATE,DAMAGETAKEN_RATE,KDA,MINUTE_DAMAGEDEALT,MINUTE_DAMAGETAKEN,MINUTE_ECONOMIC,MINUTE_HITS,MINUTE_WARDKILLED,MINUTE_WARDSPLACED,MVP,OFFERED_RATE,VICTORY_RATE,PLAYS_TIMES,F_SCORE,PLAYER_IMAGE,PLAYER_NAME,PLAYER_CHINESE_NAME,POSITION,TEAM_NAME,TOTAL_ASSISTS,TOTAL_DEATHS,TOTAL_KILLS,WIN
0,0,1,5.7,2.2,3.6,20.6,26.3,4.1,426.5,378.4,7.6,7.6,0.0,0.5,7,62.2,57.9,57,36.9,http://img1.famulei.com/z/0/p/1610/1217012542936_100X100.png,Darshan,Darshan Upadhyaha,上单,CLG,325,127,207,33
1,1,2,6.0,2.1,2.7,19.0,26.0,4.1,406.7,387.3,8.3,8.3,0.1,0.5,4,61.1,63.5,52,34.7,http://img1.famulei.com/z/0/p/175/2522065090985_100X100.png,Flame,Ho-jong Lee,上单,IMT,316,110,143,33
2,2,3,5.6,2.2,2.2,22.3,27.8,3.5,419.2,379.8,8.2,8.2,0.1,0.5,10,71.6,53.2,62,34.4,http://img1.famulei.com/z/0/p/175/2518460622732_100X100.png,Ssumday,Chan-ho Kim ,上单,DIG,352,138,141,33
3,3,4,6.7,2.7,2.8,21.9,27.7,3.5,492.0,400.2,8.5,8.5,0.1,0.5,6,66.6,75.5,49,38.3,http://img1.famulei.com/z/0/p/1610/1218275238899_100X100.png,Hauntzer,Kevin Yarnell,上单,TSM,331,134,142,37
4,4,5,6.9,2.6,1.6,19.9,25.9,3.3,407.7,371.8,7.6,7.6,0.1,0.5,2,59.2,62.9,35,32.8,http://img1.famulei.com/z/0/p/1610/1214361050754_100X100.png,Impact,Eon-Young Jeong,上单,C9,244,91,58,22
5,5,6,6.3,2.6,1.8,21.9,23.8,3.1,420.8,378.0,8.0,8.0,0.1,0.5,0,63.6,53.8,13,32.4,http://img1.famulei.com/z/0/p/176/0915071797015_100X100.png,Ray,Ji Won Jeon ,上单,C9,83,34,24,7
6,6,7,4.3,2.2,1.7,19.9,25.1,2.7,369.0,363.0,8.2,8.2,0.1,0.4,0,57.5,29.5,44,29.3,http://img1.famulei.com/z/0/p/175/2519040510133_100X100.png,Lourlo,SAM JACKSON,上单,TL,193,97,78,13
7,7,8,5.2,2.8,1.5,20.9,27.1,2.3,390.0,361.2,7.9,7.9,0.1,0.6,1,58.5,33.3,45,31.7,http://img1.famulei.com/z/0/p/1612/1617415298195_100X100.jpg,Zig,Derek Shao,上单,P1,236,130,70,15
8,8,9,5.3,3.1,1.7,20.7,28.7,2.2,386.2,371.0,8.4,8.4,0.1,0.6,3,65.5,44.2,52,31.9,http://img1.famulei.com/z/0/p/175/2521595327752_100X100.png,Seraph,Shin Wu-Yeong,上单,ENVY,276,164,91,23
9,9,10,4.5,3.2,2.2,19.4,25.4,2.0,387.3,361.4,7.9,7.9,0.1,0.4,0,60.6,38.6,44,29.9,http://img1.famulei.com/z/0/p/175/2518064529151_100X100.png,Balls,An Le,上单,FLY,200,145,101,17
10,10,11,3.8,3.1,2.0,21.5,22.5,1.8,417.2,373.1,8.2,8.2,0.1,0.5,0,55.1,40.0,30,29.3,http://img1.famulei.com/z/0/p/175/2518044067853_100X100.png,Looper,张亨硕,上单,EF,116,94,60,12
11,11,12,3.1,3.3,1.4,20.7,23.0,1.3,402.1,333.8,7.2,7.2,0.0,0.5,0,57.6,30.8,13,26.5,http://img1.famulei.com/z/0/p/177/0413433498716_100X100.png,Brandini,Brandon Chen,上单,EF,41,43,19,4
12,12,13,1.0,5.0,0.0,18.0,23.6,0.2,250.5,275.3,6.7,6.7,0.0,0.4,0,33.3,0.0,1,14.7,http://img1.famulei.com/z/0/p/1612/1618305331002_100X100.png,ALLORIM,KIERAN LOGUE,上单,,1,5,0,0
