,Unnamed: 0,RANK,AVERAGE_ASSISTS,AVERAGE_DEATHS,AVERAGE_KILLS,DAMAGEDEALT_RATE,DAMAGETAKEN_RATE,KDA,MINUTE_DAMAGEDEALT,MINUTE_DAMAGETAKEN,MINUTE_ECONOMIC,MINUTE_HITS,MINUTE_WARDKILLED,MINUTE_WARDSPLACED,MVP,OFFERED_RATE,VICTORY_RATE,PLAYS_TIMES,F_SCORE,PLAYER_IMAGE,PLAYER_NAME,PLAYER_CHINESE_NAME,POSITION,TEAM_NAME,TOTAL_ASSISTS,TOTAL_DEATHS,TOTAL_KILLS,WIN
0,0,1,7.2,2.2,3.1,22.3,26.8,4.6,420.2,401.0,8.4,8.4,0.1,0.5,8,67.4,70.2,47,36.9,http://img1.famulei.com/z/0/p/1610/1218275238899_100X100.png,Hauntzer,Kevin Yarnell,上单,TSM,339,104,149,33
1,1,2,7.5,2.2,2.1,20.0,25.9,4.3,414.8,376.9,7.9,7.9,0.1,0.5,4,63.8,74.3,35,34.1,http://img1.famulei.com/z/0/p/1610/1214361050754_100X100.png,Impact,Eon-Young Jeong,上单,C9,264,77,74,26
2,2,3,5.6,2.0,2.3,21.8,26.4,3.9,404.9,382.9,8.4,8.4,0.1,0.5,0,62.6,46.8,47,33.2,http://img1.famulei.com/z/0/p/1612/1318261454007_100X100.png,Ssumday,Chan-ho Kim ,上单,DIG,266,95,109,22
3,3,4,5.2,2.0,2.2,18.9,23.3,3.6,367.5,369.7,8.1,8.1,0.1,0.4,5,61.2,34.1,44,30.5,http://img1.famulei.com/z/0/p/1612/1616385696932_100X100.png,Lourlo,SAM JACKSON,上单,TL,232,90,98,15
4,4,5,6.1,2.6,1.7,18.0,25.7,2.9,382.9,362.2,7.6,7.6,0.1,0.5,3,58.7,61.7,47,32.1,http://img1.famulei.com/z/0/p/1612/1617415298195_100X100.jpg,Zig,Derek Shao,上单,P1,290,125,83,29
5,5,6,6.2,3.1,2.8,20.0,28.5,2.8,411.3,363.6,7.3,7.3,0.1,0.5,5,62.8,51.1,45,36.0,http://img1.famulei.com/z/0/p/1610/1217012542936_100X100.png,Darshan,Darshan Upadhyaha,上单,CLG,283,143,128,23
6,6,7,6.1,2.8,1.7,18.6,25.8,2.7,377.9,361.9,7.6,7.6,0.1,0.4,1,58.0,48.9,45,29.6,http://img1.famulei.com/z/0/p/175/2518064529151_100X100.png,Balls,An Le,上单,FLY,275,127,79,22
7,7,8,5.5,2.8,1.8,18.5,23.4,2.6,376.7,371.6,8.0,8.0,0.1,0.5,1,53.4,46.7,45,28.9,http://img1.famulei.com/z/0/p/1612/1318215637828_100X100.png,Flame,Ho-jong Lee,上单,Immortals,248,127,83,21
8,8,9,6.0,3.1,2.0,17.1,25.1,2.5,348.4,353.5,7.4,7.4,0.1,0.5,2,59.5,34.9,43,31.7,http://img1.famulei.com/z/0/p/1610/1214303598748_100X100.png,Looper,张亨硕,上单,EF,259,135,86,15
9,9,10,5.3,3.3,2.9,21.1,27.1,2.4,464.0,391.0,8.0,8.0,0.1,0.5,1,55.8,63.6,11,34.4,http://img1.famulei.com/z/0/p/176/0915071797015_100X100.png,Ray,Ji Won Jeon ,上单,APX ,59,37,32,7
10,10,11,5.2,3.0,1.7,18.6,26.1,2.2,374.5,369.2,8.2,8.2,0.1,0.5,0,55.4,31.1,45,30.1,http://img1.famulei.com/z/0/p/1612/1616071138603_100X100.png,Seraph,Shin Wu-Yeong,上单,ENVY,234,138,77,14
