,Unnamed: 0,RANK,AVERAGE_ASSISTS,AVERAGE_DEATHS,AVERAGE_KILLS,DAMAGEDEALT_RATE,DAMAGETAKEN_RATE,KDA,MINUTE_DAMAGEDEALT,MINUTE_DAMAGETAKEN,MINUTE_ECONOMIC,MINUTE_HITS,MINUTE_WARDKILLED,MINUTE_WARDSPLACED,MVP,OFFERED_RATE,VICTORY_RATE,PLAYS_TIMES,F_SCORE,PLAYER_IMAGE,PLAYER_NAME,PLAYER_CHINESE_NAME,POSITION,TEAM_NAME,TOTAL_ASSISTS,TOTAL_DEATHS,TOTAL_KILLS,WIN
0,0,1,6.0,2.1,2.6,22.4,24.5,4.0,459.5,389.6,8.4,8.4,0.1,0.4,5,70.6,65.9,41,34.8,http://img1.famulei.com/z/0/p/1610/1217480520133_100X100.png,Expect,Ki Dae-han,上单,G2,247,89,110,27
1,1,2,5.2,2.2,2.8,22.2,26.4,3.5,434.5,375.2,7.7,7.7,0.1,0.4,4,63.0,100.0,37,33.3,http://img1.famulei.com/z/0/p/1610/1214030744929_100X100.png,Odoamne,Andrei Pascu,上单,H2K,194,84,106,23
2,2,3,6.4,2.4,2.0,20.4,23.7,3.5,384.9,376.2,8.2,8.2,0.1,0.5,2,64.9,47.6,42,31.4,http://img1.famulei.com/z/0/p/171/1114244780060_100X100.png,Alphari,Barney Morris,上单,MSF,271,101,85,20
3,3,4,7.1,2.7,2.1,20.7,28.0,3.4,425.5,376.8,7.9,7.9,0.1,0.4,4,64.8,71.1,38,34.0,http://img1.famulei.com/z/0/p/177/2514302547389_100X100.png,SoaZ,Paul Boyer,上单,FNC,273,104,81,27
4,4,5,6.0,3.0,3.8,23.3,27.8,3.1,491.0,391.0,8.4,8.4,0.1,0.5,2,63.4,52.9,34,37.4,http://img1.famulei.com/z/0/p/1610/1217391234726_100X100.png,Wunderwear,Martin Hansen,上单,SPY,204,105,130,18
5,5,6,5.7,2.2,1.0,17.1,19.1,3.0,291.9,355.1,7.6,7.6,0.0,0.4,0,60.0,50.0,4,24.0,http://img1.famulei.com/z/0/p/176/0416111540042_100X100.png,Send0o,Send0o,上单,G2,23,9,4,2
6,6,7,5.0,2.6,2.4,23.9,20.6,2.8,455.2,381.1,8.4,8.4,0.0,0.5,1,66.4,42.9,28,30.4,http://img1.famulei.com/z/0/p/1612/1618370090301_100X100.png,Cabochard,Lucas Simon-Meslet,上单,Vitality,142,73,68,12
7,7,8,5.0,3.3,2.5,24.0,25.6,2.2,477.6,375.9,8.0,8.0,0.1,0.4,2,63.8,55.3,38,34.2,http://img1.famulei.com/z/0/p/1612/1618045616808_100X100.png,Vizicsacsi,Tamás Kiss,上单,UOL,193,127,98,21
8,8,9,3.9,2.8,1.8,24.2,24.2,2.0,398.7,368.6,8.5,8.5,0.1,0.5,2,63.5,24.1,29,28.7,http://img1.famulei.com/z/0/p/176/0117383195166_100X100.png,Profit,Kim Joon-hyung,上单,NIP,115,82,54,7
9,9,10,4.9,3.6,1.3,18.4,24.6,1.7,341.9,359.5,7.6,7.6,0.1,0.5,2,57.0,42.4,33,27.3,http://img1.famulei.com/z/0/p/171/2210513233747_100X100.png,Phaxi,Ambrož Hren,上单,ROC,162,120,44,14
10,10,11,4.0,3.0,0.0,21.5,30.7,1.3,343.4,289.6,6.3,6.3,0.2,0.4,0,80.0,0.0,1,28.6,http://img1.famulei.com/z/0/p/176/0311372894746_100X100.png,Vayn3z,Vayn3z,上单,M17,4,3,0,0
11,11,12,2.5,5.7,2.1,25.4,27.5,0.8,455.5,327.2,7.3,7.3,0.1,0.3,0,56.8,0.0,7,27.1,http://img1.famulei.com/z/0/p/176/0114093696756_100X100.png,jisu,Park Jin-cheol,上单,MM,18,40,15,0
