,Unnamed: 0,RANK,AVERAGE_ASSISTS,AVERAGE_DEATHS,AVERAGE_KILLS,DAMAGEDEALT_RATE,DAMAGETAKEN_RATE,KDA,MINUTE_DAMAGEDEALT,MINUTE_DAMAGETAKEN,MINUTE_ECONOMIC,MINUTE_HITS,MINUTE_WARDKILLED,MINUTE_WARDSPLACED,MVP,OFFERED_RATE,VICTORY_RATE,PLAYS_TIMES,F_SCORE,PLAYER_IMAGE,PLAYER_NAME,PLAYER_CHINESE_NAME,POSITION,TEAM_NAME,TOTAL_ASSISTS,TOTAL_DEATHS,TOTAL_KILLS,WIN
0,0,1,5.3,2.2,3.0,19.9,29.5,3.7,361.1,370.2,7.6,7.6,0.0,0.5,2,67.2,53.8,13,34.4,http://img1.famulei.com/z/0/p/177/2310102530118_100X100.png,Rest,,上单,JT,70,29,39,7
1,1,2,5.5,2.1,2.3,19.3,26.9,3.6,398.1,390.8,8.3,8.3,0.1,0.5,1,59.9,78.8,33,32.4,http://img1.famulei.com/z/0/p/1610/1217113396629_100X100.png,MMD,游立宏,上单,FW,183,71,76,26
2,2,3,7.1,2.2,0.7,8.9,12.3,3.5,176.7,255.5,0.8,0.8,0.4,2.0,1,69.4,46.4,28,34.7,http://img1.famulei.com/z/0/p/176/0721284141823_100X100.png,k,k,辅助,WS,201,62,20,13
3,3,4,4.5,2.1,2.7,25.4,26.4,3.3,469.2,396.8,8.6,8.6,0.1,0.5,2,65.3,59.1,44,35.0,http://img1.famulei.com/z/0/p/176/0721212251072_100X100.png,Ziv,陈奕,上单,AHQ,201,96,122,26
4,4,5,5.2,2.5,2.5,22.5,26.6,3.0,414.4,374.5,8.1,8.1,0.1,0.5,4,66.7,55.0,40,32.9,http://img1.famulei.com/z/0/p/176/1610514190367_100X100.png,Pk,Pk,上单,RG,208,102,101,22
5,5,6,4.7,2.3,1.9,24.4,22.6,2.8,466.7,389.6,8.8,8.8,0.2,0.5,1,62.2,57.1,28,31.3,http://img1.famulei.com/z/2985229/p/179/1517331145587_100X100.png,Riris,白承民,上单,,133,67,55,16
6,6,7,4.4,2.4,1.9,18.6,25.8,2.6,352.3,360.1,7.9,7.9,0.1,0.5,2,60.9,42.4,33,28.9,http://img1.famulei.com/z/0/p/176/0721353240549_100X100.png,Nexus,Nexus,上单,XG,147,80,65,14
7,7,8,4.5,2.9,2.3,19.0,26.9,2.3,348.8,381.7,8.6,8.6,0.1,0.5,2,62.4,45.5,33,30.8,http://img1.famulei.com/z/0/p/176/0311372894746_100X100.png,Vayn3z,Vayn3z,上单,M17,149,98,77,15
8,8,9,3.4,2.7,1.1,22.7,26.1,1.6,347.1,343.2,8.1,8.1,0.1,0.5,0,65.2,10.0,30,26.9,http://img1.famulei.com/z/0/p/176/0721252750205_100X100.png,Ninuo,Ninuo,上单,FB,104,83,35,3
9,9,10,2.5,3.0,0.7,20.6,25.4,1.0,350.4,336.5,8.1,8.1,0.1,0.5,0,53.4,14.3,7,23.9,http://img1.famulei.com/z/0/p/176/0721163835170_100X100.png,MapleSnow,杨育伟,上单,HKE,18,21,5,1
10,10,11,3.0,4.0,0.7,20.3,28.7,0.9,307.3,350.7,8.7,8.7,0.1,0.5,0,45.4,0.0,4,23.4,http://img1.famulei.com/z/0/p/176/1611432932412_100X100.png,Moonblackk,Moonblackk,上单,FW,12,16,3,0
