,Unnamed: 0,RANK,AVERAGE_ASSISTS,AVERAGE_DEATHS,AVERAGE_KILLS,DAMAGEDEALT_RATE,DAMAGETAKEN_RATE,KDA,MINUTE_DAMAGEDEALT,MINUTE_DAMAGETAKEN,MINUTE_ECONOMIC,MINUTE_HITS,MINUTE_WARDKILLED,MINUTE_WARDSPLACED,MVP,OFFERED_RATE,VICTORY_RATE,PLAYS_TIMES,F_SCORE,PLAYER_IMAGE,PLAYER_NAME,PLAYER_CHINESE_NAME,POSITION,TEAM_NAME,TOTAL_ASSISTS,TOTAL_DEATHS,TOTAL_KILLS,WIN
0,0,1,6.7,1.7,2.5,20.4,24.7,5.2,417.3,390.7,8.2,8.2,0.1,0.5,2,65.2,69.2,39,35.1,http://img1.famulei.com/z/0/p/176/0623574016061_100X100.png,mouse,陈宇浩,上单,EDG,263,69,99,27
1,1,2,4.2,2.0,3.8,28.1,16.2,4.0,547.0,404.2,8.8,8.8,0.1,0.3,3,73.4,37.8,37,32.7,http://img1.famulei.com/z/2733221/p/176/0611135359654_100X100.png,Zz1tai,刘志豪,中单,Snake,159,75,142,14
2,2,3,6.3,2.1,2.0,19.2,24.0,3.9,378.4,374.0,8.0,8.0,0.1,0.5,0,65.4,60.4,53,32.5,http://img1.famulei.com/z/1988522/p/176/0613102273158_100X100.png,957,柯昌宇,上单,WE,338,112,109,32
3,3,4,2.6,1.6,3.4,22.9,22.6,3.7,411.1,408.8,9.4,9.4,0.1,0.5,0,53.5,40.0,5,30.3,http://img1.famulei.com/z/0/p/176/0610391631998_100X100.png,Audi,赵奥迪,上单,EDG,13,8,17,2
4,4,5,5.9,2.3,2.6,18.6,23.6,3.6,389.4,378.8,8.1,8.1,0.1,0.5,2,63.2,65.0,40,32.3,http://img1.famulei.com/z/0/p/176/0610500123701_100X100.png,LetMe,严君泽,上单,RNG,236,94,106,26
5,5,6,5.6,2.1,2.1,22.6,26.3,3.6,416.2,390.2,9.3,9.3,0.0,0.5,1,60.1,62.5,8,31.6,http://img1.famulei.com/z/0/p/176/0610504878836_100X100.png,Koro1,童扬,上单,RNG,45,17,17,5
6,6,7,5.5,2.0,1.5,18.6,25.1,3.5,355.9,379.6,8.6,8.6,0.1,0.5,6,61.2,55.8,43,30.9,http://img1.famulei.com/z/0/p/176/0610470285467_100X100.png,Xiyang,胡彬,上单,OMG,240,88,68,24
7,7,8,5.0,2.1,2.5,23.1,28.2,3.5,439.4,399.9,9.3,9.3,0.1,0.5,2,70.2,41.5,41,35.0,http://img1.famulei.com/z/0/p/176/0611381327570_100X100.png,XiaoAL,XiaoAL,上单,SNG,209,89,105,17
8,8,9,7.1,2.8,2.7,20.9,24.6,3.4,451.8,375.4,7.9,7.9,0.0,0.4,1,66.3,60.7,28,34.6,http://img1.famulei.com/z/0/p/176/0611324080536_100X100.png,Skye,方启帆,上单,NB,200,80,76,17
9,9,10,5.9,2.3,2.1,19.4,24.9,3.3,436.8,376.3,8.3,8.3,0.1,0.4,1,61.7,48.3,29,32.8,http://img1.famulei.com/z/0/p/176/0611351750294_100X100.png,Duke,李浩成,上单,iG,172,69,62,14
10,10,11,5.6,2.3,1.8,17.7,24.0,3.1,331.1,368.1,8.2,8.2,0.0,0.5,1,67.1,42.1,38,29.4,http://img1.famulei.com/z/0/p/176/0611260545715_100X100.png,Kabe,简浩文,上单,JDG,214,91,72,16
11,11,12,6.5,2.9,2.2,24.2,27.7,2.9,477.9,382.6,8.4,8.4,0.1,0.4,5,76.2,35.7,42,35.5,http://img1.famulei.com/z/0/p/176/0611104375848_100X100.png,Flandre,李炫君,上单,Snake,274,125,95,15
12,12,13,4.9,2.8,2.0,21.4,24.7,2.4,411.8,368.1,8.3,8.3,0.0,0.5,0,70.2,40.6,32,30.7,http://img1.famulei.com/z/0/p/176/0611145116790_100X100.png,Lies,郭昊天,上单,DAN,157,90,65,13
13,13,14,4.8,3.3,2.9,24.7,27.1,2.3,506.4,390.6,8.2,8.2,0.1,0.5,1,57.7,69.2,26,34.3,http://img1.famulei.com/z/0/p/176/0611360632973_100X100.png,TheShy,姜承録,上单,iG,125,87,76,18
14,14,15,4.3,2.7,2.0,18.2,24.3,2.3,325.0,367.9,8.4,8.4,0.1,0.4,0,57.7,35.3,17,28.5,http://img1.famulei.com/z/0/p/176/0611302696058_100X100.png,V,鲍波,上单,NB,74,46,34,6
15,15,16,4.2,2.8,2.0,19.4,27.8,2.2,386.3,374.2,8.7,8.7,0.1,0.5,3,65.7,34.2,38,31.8,http://img1.famulei.com/z/0/p/176/0611074697777_100X100.png,AmazingJ,石伟豪,上单,IM,160,107,76,13
16,16,17,4.7,3.3,2.7,22.0,25.2,2.2,422.2,374.7,8.0,8.0,0.1,0.5,1,58.7,48.3,29,32.2,http://img1.famulei.com/z/0/p/176/0623441956162_100X100.png,Jinoo,林辰祐,上单,LGD,138,97,80,14
17,17,18,3.2,3.5,2.2,19.0,32.3,1.5,409.8,361.8,8.0,8.0,0.0,0.4,0,57.4,20.0,10,32.5,http://img1.famulei.com/z/0/p/177/1016340163057_100X100.png,Banana,Banana,上单,LGD,32,35,22,2
18,18,19,3.5,5.0,3.0,22.4,20.9,1.3,454.9,355.4,7.5,7.5,0.1,0.4,1,61.9,16.7,6,28.2,http://img1.famulei.com/z/0/p/176/0611241628509_100X100.png,Moyu,熊晖东,上单,DAN,21,30,18,1
19,19,20,2.0,4.0,0.5,15.0,20.4,0.6,277.5,338.2,7.6,7.6,0.1,0.5,0,20.0,50.0,2,20.8,http://img1.famulei.com/z/0/p/176/0611393350612_100X100.png,LZ,李震,上单,SNG,4,8,1,1
