,Unnamed: 0,RANK,AVERAGE_ASSISTS,AVERAGE_DEATHS,AVERAGE_KILLS,DAMAGEDEALT_RATE,DAMAGETAKEN_RATE,KDA,MINUTE_DAMAGEDEALT,MINUTE_DAMAGETAKEN,MINUTE_ECONOMIC,MINUTE_HITS,MINUTE_WARDKILLED,MINUTE_WARDSPLACED,MVP,OFFERED_RATE,VICTORY_RATE,PLAYS_TIMES,F_SCORE,PLAYER_IMAGE,PLAYER_NAME,PLAYER_CHINESE_NAME,POSITION,TEAM_NAME,TOTAL_ASSISTS,TOTAL_DEATHS,TOTAL_KILLS,WIN
0,0,1,7.0,0.6,3.0,21.6,27.6,15.0,444.3,433.4,8.7,8.7,0.1,0.6,0,68.1,100.0,3,38.6,https://img1.famulei.com/z/5688126/p/187/2021535376066_100X100.png,Rascal,KWANGHEE KIM,上单,KZ,21,2,9,3
1,1,2,4.4,1.5,2.3,25.4,22.5,4.4,486.5,407.4,9.2,9.2,0.1,0.5,5,64.3,68.1,47,31.7,http://img1.famulei.com/z/0/p/1610/1215112617122_100X100.png,Smeb,宋京浩,上单,KT,210,72,109,32
2,2,3,3.9,1.5,2.5,27.4,25.2,4.0,461.6,421.4,9.7,9.7,0.1,0.5,6,63.0,57.9,57,32.7,https://img1.famulei.com/z/2985229/p/181/2914061572987_100X100.png,Kiin,Kim Gi-in (김기인),上单,AFs,223,91,147,33
3,3,4,4.5,1.8,2.4,23.0,29.1,3.8,408.0,397.4,8.9,8.9,0.2,0.5,3,61.6,64.7,51,34.2,https://img1.famulei.com/z/2985229/p/186/1311383393903_100X100.png,Sword,Choi Sung-won,上单,GRF,230,93,127,33
4,4,5,4.0,2.0,3.0,24.4,20.7,3.5,358.8,410.3,8.7,8.7,0.4,0.4,0,70.0,0.0,1,29.5,https://img1.famulei.com/z/5693983/p/187/2122423851635_100X100.png,Brook,,上单,HLE,4,2,3,0
5,5,6,3.2,1.9,2.3,26.6,29.2,2.9,441.7,403.3,9.2,9.2,0.2,0.5,6,56.7,59.1,44,32.9,http://img1.famulei.com/z/0/p/175/3111565382570_100X100.png,Khan,金东河,上单,KZ,142,84,102,26
6,6,7,3.6,1.7,1.6,23.5,24.5,2.9,400.0,396.6,9.3,9.3,0.1,0.5,3,61.4,62.2,45,28.4,http://img1.famulei.com/z/0/p/172/2113593713949_100X100.png,CuVee,李成振,上单,Gen,165,80,73,28
7,7,8,3.0,1.6,1.1,22.7,23.8,2.5,362.1,376.6,8.9,8.9,0.1,0.5,1,61.4,31.1,45,25.4,http://img1.famulei.com/z/0/p/176/1318342685249_100X100.png,SoHwan,Jun-yeong Kim,上单,JAG,139,76,52,14
8,8,9,3.6,2.2,1.9,24.3,26.3,2.4,409.2,385.8,8.6,8.6,0.1,0.5,2,60.8,55.6,45,29.5,http://img1.famulei.com/z/0/p/175/3112111296200_100X100.png,Lindarang,Man-heung Heo,上单,HLE,166,103,89,25
9,9,10,3.2,2.2,2.0,24.4,22.8,2.3,434.5,403.6,9.4,9.4,0.1,0.4,3,58.3,45.5,44,28.3,https://img1.famulei.com/z/2985229/p/181/2415255268745_100X100.png,Thal,박권혁 Park Kwon Hyuk,上单,SKT,141,100,89,20
10,10,11,2.6,1.8,1.5,24.0,26.8,2.1,349.2,357.3,8.4,8.4,0.1,0.5,2,60.3,20.9,43,27.3,http://img1.famulei.com/z/0/p/172/2116513053659_100X100.png,Crazy,Jae-hee Kim,上单,bbq,112,81,66,9
11,11,12,3.5,2.3,1.2,24.8,29.0,2.0,414.0,368.5,8.8,8.8,0.2,0.5,2,66.2,27.8,36,29.6,http://img1.famulei.com/z/0/p/172/2116453748100_100X100.png,ADD,Kun-mo Kang,上单,MVP,128,83,45,10
12,12,13,1.0,3.0,2.0,10.1,22.3,1.0,136.8,364.4,8.5,8.5,0.0,0.3,0,75.0,0.0,1,15.0,https://img1.famulei.com/z/5693983/p/186/2022562718352_100X100.png,Mong,Mong,上单,Gen,1,3,2,0
13,13,14,2.0,3.0,1.0,10.7,26.6,1.0,141.1,323.8,7.9,7.9,0.2,0.6,0,100.0,0.0,1,21.4,http://img1.famulei.com/z/2985229/p/1711/3016472669493_100X100.png,kingen,kingen,上单,,2,3,1,0
