,Unnamed: 0,RANK,AVERAGE_ASSISTS,AVERAGE_DEATHS,AVERAGE_KILLS,DAMAGEDEALT_RATE,DAMAGETAKEN_RATE,KDA,MINUTE_DAMAGEDEALT,MINUTE_DAMAGETAKEN,MINUTE_ECONOMIC,MINUTE_HITS,MINUTE_WARDKILLED,MINUTE_WARDSPLACED,MVP,OFFERED_RATE,VICTORY_RATE,PLAYS_TIMES,F_SCORE,PLAYER_IMAGE,PLAYER_NAME,PLAYER_CHINESE_NAME,POSITION,TEAM_NAME,TOTAL_ASSISTS,TOTAL_DEATHS,TOTAL_KILLS,WIN
0,0,1,5.7,1.5,2.4,25.5,24.6,5.1,542.5,419.3,9.2,9.2,0.1,0.6,2,73.4,57.7,26,37.3,http://img1.famulei.com/z/0/p/1610/1217391234726_100X100.png,Wunder,Martin Hansen,上单,G2,149,41,64,15
1,1,2,5.1,1.2,1.2,10.5,30.0,5.0,204.8,309.8,5.0,5.0,0.4,1.4,1,70.7,38.9,18,39.5,http://img1.famulei.com/z/0/p/174/2617533790978_100X100.png,Pride,Franco Sanzana,打野,ISG,93,23,23,7
2,2,3,4.3,1.6,2.3,21.7,21.6,4.1,425.6,403.5,9.0,9.0,0.1,0.6,2,62.8,44.4,18,31.4,http://img1.famulei.com/z/0/p/171/1114244780060_100X100.png,Alphari,Barney Morris,上单,MSF,78,29,42,8
3,3,4,6.1,2.8,2.6,20.1,27.3,3.0,446.9,406.6,8.4,8.4,0.0,0.5,0,61.7,88.9,9,34.6,http://img1.famulei.com/z/0/p/1612/1916122617662_100X100.png,Bwipo,,上单,DP,55,26,24,8
4,4,5,4.6,2.0,1.4,20.0,22.1,2.9,390.8,387.7,8.6,8.6,0.1,0.6,1,65.7,50.0,32,29.3,http://img1.famulei.com/z/0/p/176/0816274474140_100X100.png,Cabochard,Lucas Simon-Meslet,上单,Vitality,149,66,47,16
5,5,6,3.7,1.9,1.3,19.7,24.8,2.6,363.1,370.6,8.7,8.7,0.1,0.5,1,62.5,38.1,21,28.1,http://img1.famulei.com/z/0/p/177/2515010471246_100X100.png,Profit,Kim Joon-hyung,上单,ROC,79,40,28,8
6,6,7,4.2,2.5,2.2,21.8,25.1,2.6,395.8,396.9,8.8,8.8,0.2,0.6,1,68.0,38.9,18,32.4,http://img1.famulei.com/z/5693983/p/181/1617391512471_100X100.png,Ruin,Kim Hyeong-min (김형민),上单,GIA,77,45,40,7
7,7,8,5.0,2.6,1.7,17.7,30.4,2.5,358.3,374.4,8.0,8.0,0.1,0.5,0,58.3,75.0,16,31.9,http://img1.famulei.com/z/0/p/177/2514302547389_100X100.png,SoaZ,Paul Boyer,上单,FNC,80,43,28,12
8,8,9,3.9,2.7,2.1,23.5,31.6,2.2,409.7,369.2,8.1,8.1,0.2,0.6,2,63.1,58.1,31,33.2,http://img1.famulei.com/z/0/p/1610/1214030744929_100X100.png,Odoamne,Andrei Pascu,上单,SPY,123,85,67,18
9,9,10,3.7,2.3,1.3,20.1,29.8,2.2,392.6,375.3,8.5,8.5,0.2,0.6,1,56.7,38.9,18,32.3,http://img1.famulei.com/z/0/p/1612/1618045616808_100X100.png,Vizicsacsi,Tamás Kiss,上单,S04,68,42,25,7
10,10,11,3.7,2.4,1.5,19.1,24.4,2.1,370.7,357.5,7.8,7.8,0.1,0.5,0,53.0,33.3,18,29.6,http://img1.famulei.com/z/5693983/p/181/1618263923884_100X100.png,WhiteKnight,Matti Sormunen,上单,UOL,67,44,28,6
11,11,12,4.2,3.1,1.5,22.7,28.7,1.8,461.9,385.6,8.7,8.7,0.1,0.5,1,76.1,43.5,23,32.1,http://img1.famulei.com/z/0/p/1612/1413090278197_100X100.png,Smittyj,Lennart Warkus,上单,H2K,98,72,36,10
