,Unnamed: 0,RANK,AVERAGE_ASSISTS,AVERAGE_DEATHS,AVERAGE_KILLS,DAMAGEDEALT_RATE,DAMAGETAKEN_RATE,KDA,MINUTE_DAMAGEDEALT,MINUTE_DAMAGETAKEN,MINUTE_ECONOMIC,MINUTE_HITS,MINUTE_WARDKILLED,MINUTE_WARDSPLACED,MVP,OFFERED_RATE,VICTORY_RATE,PLAYS_TIMES,F_SCORE,PLAYER_IMAGE,PLAYER_NAME,PLAYER_CHINESE_NAME,POSITION,TEAM_NAME,TOTAL_ASSISTS,TOTAL_DEATHS,TOTAL_KILLS,WIN
0,0,1,5.5,1.8,3.8,28.6,17.1,5.1,598.8,419.7,9.3,9.3,0.2,0.3,3,72.7,68.4,19,35.4,http://img1.famulei.com/z/2985229/p/181/1017311023533_100X100.png,mole,李昊炎,中单,BLG,106,35,73,13
1,1,2,5.2,1.6,1.5,20.7,23.5,4.2,386.2,387.3,8.4,8.4,0.1,0.5,1,61.7,49.0,51,30.8,http://img1.famulei.com/z/1988522/p/181/1018315190106_100X100.png,957,柯昌宇,上单,WE,268,82,79,25
2,2,3,5.5,1.9,2.5,23.9,28.4,4.2,497.9,402.2,8.3,8.3,0.1,0.5,5,72.8,58.0,50,37.4,http://img1.famulei.com/z/2985229/p/181/1017293250147_100X100.png,AmazingJ,石伟豪,上单,BLG,275,95,127,29
3,3,4,5.1,1.8,1.9,19.6,23.5,3.8,391.2,394.0,8.4,8.4,0.1,0.5,4,58.0,63.6,55,31.1,http://img1.famulei.com/z/2985229/p/181/1018042612468_100X100.png,mouse,陈宇浩,上单,RW,281,100,107,35
4,4,5,5.3,1.8,1.6,19.7,22.8,3.8,390.2,384.8,8.4,8.4,0.1,0.4,2,59.4,62.9,35,29.5,http://img1.famulei.com/z/2985229/p/181/1018563776814_100X100.png,LetMe,严君泽,上单,RNG,186,63,59,22
5,5,6,4.1,1.7,2.3,21.3,23.4,3.7,403.9,401.0,8.8,8.8,0.1,0.6,3,51.2,61.5,26,31.7,http://img1.famulei.com/z/2733221/p/176/0611135359654_100X100.png,Zz1tai,刘志豪,上单,RNG,108,45,61,16
6,6,7,5.3,2.2,2.9,24.9,24.7,3.6,598.4,441.4,8.9,8.9,0.1,0.6,3,51.6,94.1,34,38.3,http://img1.famulei.com/z/0/p/176/0611360632973_100X100.png,TheShy,姜承録,上单,iG,181,76,99,32
7,7,8,5.0,1.9,2.0,21.8,25.9,3.5,416.4,400.9,9.0,9.0,0.2,0.5,0,58.4,52.1,48,32.5,http://img1.famulei.com/z/2985229/p/181/1018371682649_100X100.png,XiaoAL,谢镇营,上单,SNG,243,95,96,25
8,8,9,4.3,1.7,1.7,21.1,24.1,3.4,389.5,377.8,8.3,8.3,0.1,0.6,4,57.2,60.7,56,30.4,http://img1.famulei.com/z/2985229/p/181/1017440074218_100X100.png,Ray,全志愿,上单,EDG,244,100,98,34
9,9,10,4.7,1.9,1.8,23.3,24.3,3.3,438.8,404.2,9.1,9.1,0.1,0.6,3,60.0,48.0,50,31.7,http://img1.famulei.com/z/2985229/p/181/1019000562244_100X100.png,Zoom,张星冉,上单,JDG,239,98,91,24
10,10,11,4.7,2.0,1.9,22.1,23.0,3.2,399.0,380.7,8.4,8.4,0.2,0.5,2,60.0,32.5,40,31.3,http://img1.famulei.com/z/2985229/p/181/1017444824252_100X100.png,Xiyang,胡彬,上单,OMG,191,83,78,13
11,11,12,4.9,2.2,2.3,28.2,24.6,3.2,546.6,441.0,9.8,9.8,0.2,0.5,8,69.2,53.1,49,34.7,http://img1.famulei.com/z/2985229/p/181/1018351596215_100X100.png,Flandre,李炫君,上单,Snake,243,110,115,26
12,12,13,5.7,2.2,1.4,18.0,23.0,3.1,390.3,363.3,7.7,7.7,0.1,0.4,0,57.0,47.1,17,29.1,http://img1.famulei.com/z/0/p/176/0611351750294_100X100.png,Duke,李浩成,上单,iG,97,39,25,8
13,13,14,4.2,2.2,2.4,25.6,24.0,2.9,497.9,415.5,9.1,9.1,0.2,0.5,1,60.8,34.7,49,34.2,http://img1.famulei.com/z/2985229/p/181/1019023250333_100X100.png,Jinoo,林辰祐,上单,LGD,208,110,119,17
14,14,15,4.6,2.3,2.0,24.6,24.6,2.8,467.7,395.1,8.5,8.5,0.1,0.6,3,56.0,46.7,45,33.4,http://img1.famulei.com/z/2554850/p/181/1017523271644_100X100.png,Gimgoon,金韩泉,上单,FPX,210,105,94,21
15,15,16,5.0,3.1,2.0,22.0,25.9,2.2,433.5,351.1,7.8,7.8,0.0,0.5,0,60.8,25.0,8,32.9,http://img1.famulei.com/z/2985229/p/181/1018385797008_100X100.png,Lies,郭昊天,上单,TOP,40,25,16,2
16,16,17,4.3,2.8,1.4,22.7,24.4,2.0,415.1,384.1,8.9,8.9,0.2,0.5,0,60.1,32.0,25,29.6,http://img1.famulei.com/z/0/p/172/2117033572625_100X100.png,MaRin,张庆欢,上单,TOP,109,70,36,8
17,17,18,3.7,2.5,1.1,19.7,24.8,1.9,345.9,356.8,8.3,8.3,0.1,0.5,0,62.1,22.2,18,26.8,http://img1.famulei.com/z/2985229/p/181/1018161654896_100X100.png,Loong,朱小龙,上单,VG,67,45,20,4
18,18,19,2.8,3.4,1.4,21.7,25.6,1.2,394.2,359.4,7.8,7.8,0.1,0.6,0,60.3,20.0,25,28.2,http://img1.famulei.com/z/2985229/p/181/1018280161147_100X100.png,Meow,田志鹏,上单,VG,71,86,37,5
19,19,20,2.5,2.6,0.6,24.4,24.6,1.2,386.2,382.4,8.7,8.7,0.1,0.4,0,61.4,9.1,11,24.7,http://img1.famulei.com/z/2985229/p/181/1018400191257_100X100.png,Moyu,熊晖东,上单,TOP,28,29,7,1
20,20,21,0.5,5.0,1.5,16.0,26.4,0.4,282.5,335.9,7.9,7.9,0.0,0.4,0,36.3,0.0,2,20.5,http://img1.famulei.com/z/2985229/p/181/1018510037916_100X100.png,CAsual,张文博,上单,OMG,1,10,3,0
