,Unnamed: 0,RANK,AVERAGE_ASSISTS,AVERAGE_DEATHS,AVERAGE_KILLS,DAMAGEDEALT_RATE,DAMAGETAKEN_RATE,KDA,MINUTE_DAMAGEDEALT,MINUTE_DAMAGETAKEN,MINUTE_ECONOMIC,MINUTE_HITS,MINUTE_WARDKILLED,MINUTE_WARDSPLACED,MVP,OFFERED_RATE,VICTORY_RATE,PLAYS_TIMES,F_SCORE,PLAYER_IMAGE,PLAYER_NAME,PLAYER_CHINESE_NAME,POSITION,TEAM_NAME,TOTAL_ASSISTS,TOTAL_DEATHS,TOTAL_KILLS,WIN
0,0,1,8.2,1.8,0.4,7.0,14.8,4.7,125.3,252.4,1.6,1.6,0.2,1.6,0,69.9,61.0,41,30.9,https://img1.famulei.com/z/0/p/176/0721284141823_100X100.png,k,k,辅助,WS,339,76,19,25
1,1,2,5.8,1.9,2.3,17.8,24.2,4.3,340.1,359.9,7.1,7.1,0.1,0.4,0,57.1,71.4,21,30.1,https://img1.famulei.com/z/5693983/p/181/2315441156183_100X100.png,Rock,蔡忠廷,上单,MAD,122,40,50,15
2,2,3,4.2,1.7,3.0,20.3,21.5,4.1,346.0,399.6,8.6,8.6,0.2,0.6,5,55.0,63.2,38,30.9,https://img1.famulei.com/z/5688126/p/189/2816133675669_100X100.png,Hanabi,蘇嘉祥,上单,FW,162,66,115,24
3,3,4,5.5,2.1,2.6,23.1,23.1,3.8,456.4,397.7,8.2,8.2,0.1,0.5,4,64.9,56.8,37,33.1,https://img1.famulei.com/z/5693983/p/181/2315380278164_100X100.png,Rest,徐士傑,上单,JT,207,79,97,21
4,4,5,4.8,2.2,2.6,23.3,22.7,3.3,406.4,382.6,7.9,7.9,0.2,0.5,2,58.6,53.5,43,31.3,https://img1.famulei.com/z/0/p/176/0721212251072_100X100.png,Ziv,陈奕,上单,AHQ,210,97,113,23
5,5,6,4.1,2.0,2.3,23.1,25.3,3.2,376.2,376.9,7.8,7.8,0.1,0.4,0,60.6,50.0,20,29.2,https://img1.famulei.com/z/5688126/p/189/2914055079067_100X100.png,Liang,吳亮德,上单,MAD,82,40,46,10
6,6,7,4.6,2.5,2.4,21.2,25.2,2.8,378.2,388.5,8.3,8.3,0.1,0.4,2,56.9,51.5,33,30.3,https://img1.famulei.com/z/0/p/176/2214190474330_100X100.png,3z,陳翰,上单,HKA,153,83,82,17
7,7,8,3.8,2.5,2.6,23.0,24.0,2.5,437.1,381.0,8.1,8.1,0.1,0.4,1,56.6,41.2,34,30.7,https://img1.famulei.com/z/5688126/p/1812/2916333811204_100X100.png,leaky,張祖嘉,上单,ALF,131,88,90,14
8,8,9,4.6,2.8,1.8,23.3,25.8,2.2,378.3,362.0,7.7,7.7,0.1,0.5,1,61.0,43.2,37,29.2,https://img1.famulei.com/z/5688126/p/189/2815434924021_100X100.png,Pk,謝宇庭,上单,GRX,171,105,69,16
9,9,10,2.8,2.8,2.0,21.2,23.3,1.7,396.1,377.7,8.1,8.1,0.1,0.4,0,50.6,21.2,33,28.2,https://img1.famulei.com/z/0/p/176/0721252750205_100X100.png,2188,黃金隆,上单,DG,95,94,68,7
