,Unnamed: 0,RANK,AVERAGE_ASSISTS,AVERAGE_DEATHS,AVERAGE_KILLS,DAMAGEDEALT_RATE,DAMAGETAKEN_RATE,KDA,MINUTE_DAMAGEDEALT,MINUTE_DAMAGETAKEN,MINUTE_ECONOMIC,MINUTE_HITS,MINUTE_WARDKILLED,MINUTE_WARDSPLACED,MVP,OFFERED_RATE,VICTORY_RATE,PLAYS_TIMES,F_SCORE,PLAYER_IMAGE,PLAYER_NAME,PLAYER_CHINESE_NAME,POSITION,TEAM_NAME,TOTAL_ASSISTS,TOTAL_DEATHS,TOTAL_KILLS,WIN
0,0,1,7.6,2.0,7.0,31.8,12.6,7.3,694.3,439.2,8.7,8.7,0.0,0.3,0,70.9,100.0,3,43.1,http://img1.famulei.com/z/0/p/1612/2817111883314_100X100.png,FoFo,FoFo,中单,JT,23,6,21,3
1,1,2,6.3,1.5,4.2,27.4,15.9,6.8,602.6,419.3,8.7,8.7,0.1,0.4,7,72.7,83.3,48,37.2,http://img1.famulei.com/z/0/p/1610/1218303466496_100X100.png,Bjergsen,Søren Bjerg,中单,TSM,306,74,203,40
2,2,3,5.1,2.1,5.0,30.9,15.1,4.8,622.0,425.0,9.2,9.2,0.1,0.3,8,72.2,62.5,56,36.5,http://img1.famulei.com/z/0/p/1610/1214392131554_100X100.png,Jensen,Nicolaj Jensen,中单,C9,291,118,281,35
3,3,4,5.3,1.9,3.6,31.2,16.6,4.5,624.2,400.9,8.7,8.7,0.1,0.3,7,72.8,52.2,46,34.8,http://img1.famulei.com/z/0/p/175/2518465518277_100X100.png,Keane,Lae-young Jang,中单,DIG,244,91,166,24
4,4,5,7.0,2.5,3.7,27.1,17.1,4.2,657.7,410.2,8.4,8.4,0.1,0.4,7,71.4,100.0,53,38.7,http://img1.famulei.com/z/0/p/175/2522080577876_100X100.png,Pobelter,Eugene Park,中单,IMT,371,136,201,32
5,5,6,4.8,2.1,3.7,32.0,16.7,3.9,639.2,400.2,9.0,9.0,0.0,0.3,3,70.1,32.6,46,34.0,http://img1.famulei.com/z/0/p/1612/1616455967019_100X100.png,Fenix,JAE-HOON KIM,中单,,221,100,173,15
6,6,7,4.9,2.6,3.4,29.4,16.9,3.2,633.1,388.5,8.5,8.5,0.1,0.4,7,66.6,51.7,58,35.1,http://img1.famulei.com/z/0/p/1610/1217024525385_100X100.png,HuHi,Jae Hyun Choi,中单,CLG,286,151,198,30
7,7,8,3.1,2.1,2.9,35.3,17.3,2.8,639.5,382.1,8.7,8.7,0.1,0.3,4,75.2,33.3,42,31.9,http://img1.famulei.com/z/0/p/175/2518575657785_100X100.png,Froggen,Henrik Hansen,中单,EF,134,92,124,14
8,8,9,4.9,2.6,2.1,31.3,15.7,2.6,548.1,363.5,7.8,7.8,0.2,0.4,5,74.2,39.0,41,30.5,http://img1.famulei.com/z/0/p/176/2216243678738_100X100.png,Pirean,Jun-sik Choi,中单,P1,204,110,87,16
9,9,10,5.1,3.0,2.6,25.7,18.8,2.5,538.6,376.6,8.3,8.3,0.1,0.4,3,68.8,43.5,46,31.4,http://img1.famulei.com/z/0/p/175/2522031651356_100X100.png,Ninja,Geon-woo Noh,中单,ENVY,235,142,121,20
10,10,11,3.8,3.1,3.1,29.9,17.7,2.2,615.3,368.5,7.8,7.8,0.1,0.2,0,69.4,34.9,43,30.7,http://img1.famulei.com/z/0/p/176/0816253590779_100X100.png,GBM,Chang-seok Lee,中单,Vitality,166,135,136,15
11,11,12,3.0,3.7,2.1,23.0,16.8,1.3,384.7,372.5,8.1,8.1,0.1,0.3,0,65.3,0.0,10,22.4,http://img1.famulei.com/z/0/p/176/2216250733022_100X100.png,Slooshi,Andrew Pham,中单,P1,30,37,21,1
