,Unnamed: 0,RANK,AVERAGE_ASSISTS,AVERAGE_DEATHS,AVERAGE_KILLS,DAMAGEDEALT_RATE,DAMAGETAKEN_RATE,KDA,MINUTE_DAMAGEDEALT,MINUTE_DAMAGETAKEN,MINUTE_ECONOMIC,MINUTE_HITS,MINUTE_WARDKILLED,MINUTE_WARDSPLACED,MVP,OFFERED_RATE,VICTORY_RATE,PLAYS_TIMES,F_SCORE,PLAYER_IMAGE,PLAYER_NAME,PLAYER_CHINESE_NAME,POSITION,TEAM_NAME,TOTAL_ASSISTS,TOTAL_DEATHS,TOTAL_KILLS,WIN
0,0,1,6.1,1.7,4.0,29.2,13.7,6.0,609.6,414.6,8.5,8.5,0.1,0.4,6,73.5,63.3,30,36.1,http://img1.famulei.com/z/0/p/1610/1218303466496_100X100.png,Bjergsen,Søren Bjerg,中单,TSM,185,51,121,19
1,1,2,7.3,1.9,4.0,24.0,15.4,5.9,547.9,427.0,8.3,8.3,0.2,0.4,3,71.2,75.0,24,37.1,http://img1.famulei.com/z/0/p/175/2522080577876_100X100.png,Pobelter,Eugene Park,中单,IMT,177,46,98,18
2,2,3,6.5,1.8,3.8,27.4,17.9,5.6,586.4,407.0,8.4,8.4,0.1,0.5,0,74.6,83.3,6,37.9,http://img1.famulei.com/z/0/p/175/2522031651356_100X100.png,Ninja,Geon-woo Noh,中单,ENVY,39,11,23,5
3,3,4,5.2,1.5,2.5,31.9,16.5,4.8,564.0,395.6,8.9,8.9,0.2,0.5,3,85.3,100.0,12,32.9,http://img1.famulei.com/z/0/p/175/2518575657785_100X100.png,Froggen,Henrik Hansen,中单,EF,63,19,30,6
4,4,5,5.4,1.9,3.5,28.8,16.2,4.6,599.6,412.3,9.3,9.3,0.1,0.3,2,67.2,37.9,29,33.1,http://img1.famulei.com/z/0/p/1612/1616455967019_100X100.png,Fenix,JAE-HOON KIM,中单,,158,56,103,11
5,5,6,3.8,1.6,3.6,29.1,14.0,4.5,535.4,397.3,8.6,8.6,0.1,0.5,4,73.3,33.3,18,31.7,http://img1.famulei.com/z/0/p/1612/1617131425830_100X100.jpg,Shiphtur,Danny Le,中单,APX ,69,30,66,6
6,6,7,5.1,2.3,4.3,30.7,15.3,4.0,659.6,415.2,8.7,8.7,0.1,0.4,0,71.5,100.0,22,36.3,http://img1.famulei.com/z/0/p/1610/1214392131554_100X100.png,Jensen,Nicolaj Jensen,中单,C9,113,51,96,13
7,7,8,5.3,2.2,3.4,27.9,17.4,3.9,543.8,394.0,8.0,8.0,0.1,0.6,4,72.8,71.4,28,35.0,http://img1.famulei.com/z/0/p/1610/1217024525385_100X100.png,HuHi,Jae Hyun Choi,中单,CLG,151,62,96,20
8,8,9,9.7,3.0,0.4,7.9,18.2,3.3,176.6,278.9,0.8,0.8,0.3,1.0,4,71.2,63.2,19,30.8,http://img1.famulei.com/z/0/p/175/2518322748499_100X100.png,Hai,Hai Lam,辅助,FLY,185,58,8,12
9,9,10,4.4,2.2,3.1,33.6,15.8,3.3,596.9,378.9,7.9,7.9,0.2,0.2,0,75.1,35.0,20,31.2,http://img1.famulei.com/z/0/p/176/0816253590779_100X100.png,GBM,Chang-seok Lee,中单,Vitality,89,45,62,7
10,10,11,4.6,3.0,2.0,27.7,16.0,2.2,506.4,361.1,7.6,7.6,0.2,0.4,1,65.2,31.2,16,28.0,http://img1.famulei.com/z/0/p/176/2216243678738_100X100.png,Pirean,Jun-sik Choi,中单,P1,75,48,32,5
11,11,12,4.6,3.0,1.4,27.6,14.8,2.0,470.9,361.8,8.3,8.3,0.1,0.4,0,75.8,14.3,14,25.9,http://img1.famulei.com/z/0/p/176/0915234984811_100X100.png,AlexIch,Alexey  Ichetovkin ,中单,ENVY,65,42,20,2
12,12,13,3.2,2.2,1.4,28.5,13.9,2.0,413.3,366.6,8.3,8.3,0.3,0.6,0,69.6,20.0,5,25.3,http://img1.famulei.com/z/0/p/175/2518582033166_100X100.png,Goldenglue,Grayson Gilmer,中单,TL,16,11,7,1
