,Unnamed: 0,RANK,AVERAGE_ASSISTS,AVERAGE_DEATHS,AVERAGE_KILLS,DAMAGEDEALT_RATE,DAMAGETAKEN_RATE,KDA,MINUTE_DAMAGEDEALT,MINUTE_DAMAGETAKEN,MINUTE_ECONOMIC,MINUTE_HITS,MINUTE_WARDKILLED,MINUTE_WARDSPLACED,MVP,OFFERED_RATE,VICTORY_RATE,PLAYS_TIMES,F_SCORE,PLAYER_IMAGE,PLAYER_NAME,PLAYER_CHINESE_NAME,POSITION,TEAM_NAME,TOTAL_ASSISTS,TOTAL_DEATHS,TOTAL_KILLS,WIN
0,0,1,8.0,0.0,8.0,31.5,29.4,16.0,925.6,457.1,8.5,8.5,0.1,0.4,1,64.0,100.0,1,68.0,http://img1.famulei.com/z/0/p/176/0915234984811_100X100.png,AlexIch,Alexey  Ichetovkin ,中单,ENVY,8,0,8,1
1,1,2,4.8,1.9,3.6,27.1,16.6,4.4,571.3,400.1,8.5,8.5,0.1,0.5,0,66.5,24.4,45,34.5,http://img1.famulei.com/z/0/p/1610/1218152588942_100X100.png,Sencux,Chres Laursen,中单,SPY,220,87,166,11
2,2,3,4.9,1.9,3.2,28.6,19.9,4.1,589.7,383.4,8.2,8.2,0.1,0.4,5,70.4,67.3,49,35.0,http://img1.famulei.com/z/0/p/175/2519095271083_100X100.png,Ryu,Sangwook Yoo,中单,P1,243,97,158,33
3,3,4,4.4,2.1,3.6,31.9,18.9,3.7,618.1,398.1,8.8,8.8,0.1,0.2,6,75.3,45.9,37,33.2,http://img1.famulei.com/z/0/p/1612/1619111179566_100X100.png,Fox,Hampus Myhre,中单,S04,163,79,134,17
4,4,5,4.6,2.1,3.1,27.5,15.8,3.6,553.5,396.8,8.7,8.7,0.1,0.4,2,68.0,52.5,40,31.4,http://img1.famulei.com/z/0/p/1612/1617474664185_100X100.png,Febiven,Fabian Diepstraten,中单,FNC,185,86,126,21
5,5,6,5.1,2.4,3.4,28.9,18.6,3.4,589.9,394.3,8.6,8.6,0.2,0.5,5,74.3,55.0,40,36.7,http://img1.famulei.com/z/0/p/1612/1413100363616_100X100.png,Night,Gun-woo Na,中单,GIA,204,98,138,22
6,6,7,4.8,2.3,2.6,29.6,17.3,3.1,553.2,379.3,8.3,8.3,0.1,0.4,4,71.5,48.6,37,30.6,http://img1.famulei.com/z/0/p/1612/1618382143825_100X100.png,Nukeduck,Erlend Våtevik Holm,中单,Vitality,179,88,98,18
7,7,8,3.8,2.9,3.5,27.3,19.0,2.5,553.0,390.0,8.4,8.4,0.1,0.4,4,65.7,44.7,47,32.9,http://img1.famulei.com/z/0/p/1612/1618075680864_100X100.png,Exileh,Fabian Schubert,中单,UOL,183,137,167,21
8,8,9,3.8,2.8,3.1,33.9,14.0,2.4,722.6,394.9,8.8,8.8,0.1,0.4,2,68.8,40.0,35,33.2,http://img1.famulei.com/z/0/p/1612/1618170499044_100X100.png,PowerOfEvil,Tristan Schrage,中单,Misfits,136,100,111,14
9,9,10,4.8,3.2,2.7,31.9,20.2,2.3,644.6,381.0,8.5,8.5,0.1,0.4,2,70.9,36.1,36,34.9,http://img1.famulei.com/z/0/p/1612/1616523365436_100X100.png,Betsy,Felix Edling,中单,ROC,174,118,100,13
10,10,11,4.1,3.5,2.2,27.1,15.9,1.7,573.4,395.2,8.7,8.7,0.2,0.4,0,63.2,0.0,27,29.6,http://img1.famulei.com/z/0/p/1612/2913271623449_100X100.png,xPeke,Enrique Cedeño Martínez,中单,OG,113,97,61,11
