,Unnamed: 0,RANK,AVERAGE_ASSISTS,AVERAGE_DEATHS,AVERAGE_KILLS,DAMAGEDEALT_RATE,DAMAGETAKEN_RATE,KDA,MINUTE_DAMAGEDEALT,MINUTE_DAMAGETAKEN,MINUTE_ECONOMIC,MINUTE_HITS,MINUTE_WARDKILLED,MINUTE_WARDSPLACED,MVP,OFFERED_RATE,VICTORY_RATE,PLAYS_TIMES,F_SCORE,PLAYER_IMAGE,PLAYER_NAME,PLAYER_CHINESE_NAME,POSITION,TEAM_NAME,TOTAL_ASSISTS,TOTAL_DEATHS,TOTAL_KILLS,WIN
0,0,1,4.7,1.6,2.8,25.1,17.8,4.6,460.6,390.7,8.4,8.4,0.2,0.4,2,69.2,59.1,22,31.2,http://img1.famulei.com/z/0/p/175/2519095271083_100X100.png,Ryu,Sangwook Yoo,中单,P1,105,36,62,13
1,1,2,5.6,2.3,4.6,29.9,16.2,4.4,708.4,428.0,8.6,8.6,0.2,0.5,1,68.8,83.3,6,40.2,http://img1.famulei.com/z/0/p/1612/2914222129913_100X100.png,Selfie,Marcin Wolski,中单,H2K,34,14,28,5
2,2,3,4.5,1.6,2.9,26.4,15.6,4.4,472.9,401.2,9.0,9.0,0.1,0.5,2,71.6,51.6,31,29.9,http://img1.famulei.com/z/0/p/1612/1617474664185_100X100.png,Febiven,Fabian Diepstraten,中单,H2K,142,52,90,16
3,3,4,5.5,1.8,2.8,28.2,16.9,4.4,551.6,399.5,8.6,8.6,0.1,0.4,2,73.8,63.6,22,32.0,http://img1.famulei.com/z/0/p/1612/1618382143825_100X100.png,Nukeduck,Erlend Våtevik Holm,中单,Vitality,122,41,62,14
4,4,5,5.2,2.1,3.1,27.9,13.9,3.9,569.5,393.4,8.2,8.2,0.1,0.4,0,65.6,44.0,25,31.9,http://img1.famulei.com/z/0/p/1612/1618170499044_100X100.png,PowerOfEvil,Tristan Schrage,中单,Misfits,130,53,78,11
5,5,6,5.6,2.3,3.4,27.2,14.9,3.9,558.4,393.2,8.2,8.2,0.1,0.3,2,68.3,57.1,21,32.5,http://img1.famulei.com/z/0/p/1612/1619111179566_100X100.png,Fox,Hampus Myhre,中单,S04,119,49,73,12
6,6,7,5.2,3.0,4.0,26.9,17.0,3.0,585.5,410.9,8.7,8.7,0.2,0.5,0,73.0,40.0,5,36.1,http://img1.famulei.com/z/0/p/1612/2913271623449_100X100.png,xPeke,Enrique Cedeño Martínez,中单,OG,26,15,20,2
7,7,8,3.9,2.0,1.8,30.3,16.5,2.8,469.6,365.2,8.1,8.1,0.1,0.4,1,78.9,33.3,18,26.9,http://img1.famulei.com/z/0/p/1610/1218152588942_100X100.png,Sencux,Chres Laursen,中单,SPY,71,37,34,6
8,8,9,3.3,2.3,3.1,30.0,17.3,2.7,503.6,396.0,8.7,8.7,0.1,0.5,2,72.2,0.0,18,31.2,http://img1.famulei.com/z/0/p/1612/1616523365436_100X100.png,Betsy,Felix Edling,中单,ROC,61,42,56,6
9,9,10,4.0,2.7,1.6,26.9,16.4,2.1,486.6,362.9,7.8,7.8,0.1,0.6,0,64.3,100.0,18,28.0,http://img1.famulei.com/z/0/p/1612/1618583850198_100X100.png,Eika,Jérémy Valdenaire,中单,EL,73,49,30,6
10,10,11,2.6,2.2,2.0,29.7,17.6,2.0,494.2,382.4,8.9,8.9,0.1,0.4,1,71.7,16.7,18,27.0,http://img1.famulei.com/z/0/p/1612/2914302926792_100X100.png,xPePii,Isaac Flores,中单,GIA,48,41,36,3
