,Unnamed: 0,RANK,AVERAGE_ASSISTS,AVERAGE_DEATHS,AVERAGE_KILLS,DAMAGEDEALT_RATE,DAMAGETAKEN_RATE,KDA,MINUTE_DAMAGEDEALT,MINUTE_DAMAGETAKEN,MINUTE_ECONOMIC,MINUTE_HITS,MINUTE_WARDKILLED,MINUTE_WARDSPLACED,MVP,OFFERED_RATE,VICTORY_RATE,PLAYS_TIMES,F_SCORE,PLAYER_IMAGE,PLAYER_NAME,PLAYER_CHINESE_NAME,POSITION,TEAM_NAME,TOTAL_ASSISTS,TOTAL_DEATHS,TOTAL_KILLS,WIN
0,0,1,6.5,1.0,5.0,24.6,15.4,11.5,545.0,427.2,7.9,7.9,0.1,0.5,0,63.0,100.0,4,37.8,http://img1.famulei.com/z/0/p/176/0616201796831_100X100.png,Chillyz,Chillyz,中单,HKA,26,4,20,4
1,1,2,7.5,1.0,3.5,26.1,14.1,11.0,501.6,441.0,6.9,6.9,0.1,0.3,0,66.6,100.0,2,33.3,http://img1.famulei.com/z/0/p/176/0611451567538_100X100.png,MarS,MarS,中单,HKA,15,2,7,2
2,2,3,6.7,1.4,4.0,28.9,17.2,7.3,582.8,421.7,8.5,8.5,0.2,0.5,5,66.8,70.6,34,38.0,http://img1.famulei.com/z/0/p/1610/1217130722390_100X100.png,Maple,黄熠棠,中单,FW,229,50,138,24
3,3,4,6.1,1.7,3.8,30.2,14.3,5.7,652.6,426.0,8.8,8.8,0.2,0.5,4,70.6,93.8,16,37.8,http://img1.famulei.com/z/0/p/1610/1216591612021_100X100.png,Chawy,黄心磊,中单,AHQ,99,28,62,15
4,4,5,5.4,1.5,3.2,27.9,15.2,5.5,517.7,401.8,8.7,8.7,0.1,0.5,1,71.6,63.6,33,32.5,http://img1.famulei.com/z/0/p/1612/2817111883314_100X100.png,FoFo,FoFo,中单,JT,181,52,107,21
5,5,6,4.8,1.6,3.8,27.0,14.7,5.3,580.1,418.3,8.5,8.5,0.2,0.6,0,65.1,80.0,15,35.4,http://img1.famulei.com/z/0/p/1610/1216474034520_100X100.png,Westdoor,刘书玮,中单,AHQ,72,24,57,12
6,6,7,5.1,2.4,3.4,26.5,15.2,3.5,503.8,393.6,8.2,8.2,0.1,0.5,3,68.5,45.5,22,31.7,http://img1.famulei.com/z/0/p/176/0616493745788_100X100.png,Rokenia,Rokenia,中单,HKA,114,54,76,10
7,7,8,4.2,2.1,2.6,29.3,17.2,3.1,531.6,413.4,9.3,9.3,0.1,0.4,2,75.6,35.7,28,30.5,http://img1.famulei.com/z/0/p/176/0721260491570_100X100.png,M1ssion,M1ssion,中单,FB,119,61,74,10
8,8,9,4.0,2.3,3.2,29.1,16.4,3.0,499.8,395.7,8.6,8.6,0.2,0.5,3,70.4,44.4,36,32.1,http://img1.famulei.com/z/0/p/176/0211535079205_100X100.png, Apex, Apex,中单,M17,146,86,116,16
9,9,10,4.6,2.9,3.3,31.2,14.8,2.7,654.1,383.9,8.3,8.3,0.2,0.5,3,69.7,100.0,29,34.7,http://img1.famulei.com/z/0/p/176/0309342394601_100X100.png,SuwaKo,SuwaKo,中单,XG,136,85,97,9
10,10,11,2.6,2.5,1.5,26.6,15.3,1.6,390.3,347.8,8.3,8.3,0.1,0.5,1,66.8,3.6,28,22.9,http://img1.famulei.com/z/0/p/176/0616191869114_100X100.png,KuKu,KuKu,中单,CGE,73,70,42,1
