,Unnamed: 0,RANK,AVERAGE_ASSISTS,AVERAGE_DEATHS,AVERAGE_KILLS,DAMAGEDEALT_RATE,DAMAGETAKEN_RATE,KDA,MINUTE_DAMAGEDEALT,MINUTE_DAMAGETAKEN,MINUTE_ECONOMIC,MINUTE_HITS,MINUTE_WARDKILLED,MINUTE_WARDSPLACED,MVP,OFFERED_RATE,VICTORY_RATE,PLAYS_TIMES,F_SCORE,PLAYER_IMAGE,PLAYER_NAME,PLAYER_CHINESE_NAME,POSITION,TEAM_NAME,TOTAL_ASSISTS,TOTAL_DEATHS,TOTAL_KILLS,WIN
0,0,1,4.0,0.5,3.0,23.7,9.9,14.0,430.9,384.0,9.0,9.0,0.4,0.6,0,82.3,0.0,2,30.9,http://img1.famulei.com/z/0/p/1612/0616165176526_100X100.png,Mortred,黄子坤,中单,QG,8,1,6,0
1,1,2,7.6,1.6,3.4,24.2,13.3,6.5,479.6,394.1,8.3,8.3,0.2,0.5,3,79.1,53.8,10,34.6,http://img1.famulei.com/z/0/p/172/2112084491476_100X100.png,Athena,姜厦云,中单,EDG,99,22,45,7
2,2,3,7.4,2.2,4.0,29.8,15.8,5.1,527.6,406.9,8.6,8.6,0.2,0.5,6,70.5,73.3,45,37.0,http://img1.famulei.com/z/0/p/172/2112123044609_100X100.png,xiaohu,李元浩,中单,RNG,335,101,183,33
3,3,4,6.4,2.3,3.4,30.8,16.3,4.2,653.5,403.8,8.3,8.3,0.2,0.6,4,69.6,74.1,31,38.4,http://img1.famulei.com/z/0/p/176/0611244378383_100X100.png,Doinb,金泰相,中单,QG,201,72,106,20
4,4,5,5.4,2.0,2.8,24.2,16.4,4.1,468.9,377.2,8.4,8.4,0.1,0.5,1,71.6,57.1,7,31.0,http://img1.famulei.com/z/2985229/p/1712/2915380954383_100X100.png,Borisal,Yeong-hoon Kim,中单,QG,38,14,20,4
5,5,6,6.8,2.8,4.3,26.2,16.2,4.0,566.2,389.3,7.6,7.6,0.1,0.4,0,69.1,40.0,15,36.8,http://img1.famulei.com/z/0/p/172/2111272617456_100X100.png,Icon,谢天宇,中单,OMG,103,42,65,6
6,6,7,5.0,2.1,3.5,29.0,17.2,3.9,507.6,404.2,8.8,8.8,0.2,0.5,6,70.0,59.3,51,33.0,http://img1.famulei.com/z/965741/p/176/0610394286287_100X100.png,xiye,苏汉伟,中单,WE,272,118,192,32
7,7,8,5.4,2.4,3.9,31.2,16.8,3.8,619.4,410.5,8.7,8.7,0.2,0.5,6,74.7,48.8,41,36.8,http://img1.famulei.com/z/2733155/p/1612/0216003280275_100X100.jpg,Rookie,宋义进,中单,iG,224,101,160,20
8,8,9,5.7,2.2,3.0,24.5,15.6,3.8,453.6,398.7,8.6,8.6,0.2,0.4,2,69.0,51.1,47,30.5,http://img1.famulei.com/z/0/p/172/2111042662358_100X100.png,Easyhoon,李知勋,中单,VG,268,107,144,24
9,9,10,6.8,2.9,3.8,24.5,17.9,3.6,430.3,412.2,8.3,8.3,0.2,0.5,2,67.9,71.9,32,33.3,http://img1.famulei.com/z/0/p/172/2115552699912_100X100.png,PawN,许元硕,中单,EDG,220,93,124,23
10,10,11,6.2,2.5,3.0,27.2,15.7,3.6,489.0,401.9,8.5,8.5,0.2,0.5,2,71.1,50.0,24,32.7,http://img1.famulei.com/z/0/p/176/0610530978024_100X100.png,Cool,余家俊,中单,OMG,149,61,73,12
11,11,12,6.5,3.0,4.5,23.0,17.5,3.6,415.4,371.0,7.2,7.2,0.1,0.5,0,78.5,100.0,2,34.1,http://img1.famulei.com/z/0/p/1612/0613571072954_100X100.png,Sask,周翼翔,中单,RNG,13,6,9,2
12,12,13,5.1,2.3,2.7,27.2,15.5,3.3,502.6,391.1,8.5,8.5,0.2,0.4,4,70.0,54.3,46,30.4,http://img1.famulei.com/z/0/p/172/2111581762808_100X100.png,TanK,朴檀元,中单,Snake,237,109,126,25
13,13,14,4.5,2.6,3.7,30.2,16.7,3.1,564.1,392.9,8.6,8.6,0.1,0.4,5,67.7,35.9,39,33.1,http://img1.famulei.com/z/2554878/p/172/2110344519700_100X100.png,Republic,奉根太,中单,EPA,177,103,145,14
14,14,15,4.2,2.6,3.1,27.9,17.3,2.7,550.0,405.4,8.6,8.6,0.2,0.4,1,63.8,50.0,39,32.0,http://img1.famulei.com/z/0/p/176/0610525471871_100X100.png,GodV,韦朕,中单,LGD,167,105,124,19
15,15,16,3.2,2.5,1.9,28.1,14.6,2.0,491.2,371.3,8.3,8.3,0.2,0.4,3,58.4,25.0,36,26.7,http://img1.famulei.com/z/0/p/1612/0611004821995_100X100.png,Raphael,高在贤,中单,M3,117,90,69,9
16,16,17,4.0,3.2,1.8,25.6,16.0,1.8,426.3,361.1,8.1,8.1,0.1,0.4,0,67.5,9.1,33,25.1,http://img1.famulei.com/z/0/p/1612/0611345310301_100X100.jpg,Gosu,Shin Hyuk,中单,HYG,134,107,62,3
17,17,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,3,0.0,http://img1.famulei.com/z/0/p/172/2111225533281_100X100.png,scout,李汭燦,中单,EDG,0,0,0,3
