,Unnamed: 0,RANK,AVERAGE_ASSISTS,AVERAGE_DEATHS,AVERAGE_KILLS,DAMAGEDEALT_RATE,DAMAGETAKEN_RATE,KDA,MINUTE_DAMAGEDEALT,MINUTE_DAMAGETAKEN,MINUTE_ECONOMIC,MINUTE_HITS,MINUTE_WARDKILLED,MINUTE_WARDSPLACED,MVP,OFFERED_RATE,VICTORY_RATE,PLAYS_TIMES,F_SCORE,PLAYER_IMAGE,PLAYER_NAME,PLAYER_CHINESE_NAME,POSITION,TEAM_NAME,TOTAL_ASSISTS,TOTAL_DEATHS,TOTAL_KILLS,WIN
0,0,1,5.5,2.1,4.6,24.8,17.9,4.6,552.7,435.1,9.0,9.0,0.1,0.4,4,65.4,77.8,45,36.7,http://img1.famulei.com/z/0/p/172/2115110120362_100X100.png,Faker,李相赫,中单,SKT,248,98,211,35
1,1,2,4.0,1.9,3.4,28.6,15.0,3.8,565.7,422.6,9.3,9.3,0.2,0.5,9,63.7,66.7,45,33.1,http://img1.famulei.com/z/0/p/172/2114013694649_100X100.png,Crown,李民浩,中单,SSG,184,88,155,30
2,2,3,4.3,2.1,3.5,26.0,16.2,3.5,485.5,397.6,8.7,8.7,0.2,0.5,4,68.4,52.1,48,32.5,http://img1.famulei.com/z/0/p/172/2116055323730_100X100.png,KurO,李徐行,中单,AFs,207,105,170,25
3,3,4,4.2,2.1,3.1,25.2,17.8,3.4,505.9,395.5,8.7,8.7,0.1,0.5,5,66.8,44.4,45,32.8,http://img1.famulei.com/z/0/p/172/2115480144724_100X100.png,Fly,Yong jun Song,中单,KZ,192,97,143,20
4,4,5,3.6,2.0,3.3,27.6,16.4,3.3,507.6,395.8,9.0,9.0,0.1,0.5,6,70.9,36.4,44,31.0,http://img1.famulei.com/z/0/p/172/2116501431143_100X100.png,Tempt,Myung-ku Kang,中单,bbq,161,92,149,16
5,5,6,4.2,2.1,3.0,25.5,15.8,3.3,494.1,382.6,8.7,8.7,0.2,0.5,5,64.7,31.8,44,31.4,http://img1.famulei.com/z/0/p/172/2116030934169_100X100.png,Kuzan,Seong-huyk Lee,中单,JAG,186,96,136,14
6,6,7,4.8,2.5,3.4,24.1,17.1,3.2,516.0,404.2,8.6,8.6,0.2,0.5,7,62.3,66.0,53,32.7,http://img1.famulei.com/z/0/p/172/2115552699912_100X100.png,PawN,许元硕,中单,KT,259,134,183,35
7,7,8,3.4,1.9,2.5,25.2,15.5,3.0,440.7,386.1,9.1,9.1,0.1,0.4,2,69.3,26.7,45,27.2,http://img1.famulei.com/z/0/p/172/2116575249857_100X100.png,Edge,Ho-seong Lee,中单,KDM,153,89,114,12
8,8,9,4.7,2.8,2.9,24.7,16.1,2.7,496.5,380.0,8.0,8.0,0.2,0.5,6,63.7,50.0,50,30.7,http://img1.famulei.com/z/0/p/171/1911274544039_100X100.png,Ian,Jun-hyung An,中单,MVP,237,141,145,25
9,9,10,4.4,3.2,4.4,29.6,19.8,2.6,573.6,419.1,9.2,9.2,0.1,0.5,8,74.1,44.7,47,36.6,http://img1.famulei.com/z/0/p/172/2115273362973_100X100.png,Mickey,Yong-min Sun,中单,ROX,208,155,207,21
