,Unnamed: 0,RANK,AVERAGE_ASSISTS,AVERAGE_DEATHS,AVERAGE_KILLS,DAMAGEDEALT_RATE,DAMAGETAKEN_RATE,KDA,MINUTE_DAMAGEDEALT,MINUTE_DAMAGETAKEN,MINUTE_ECONOMIC,MINUTE_HITS,MINUTE_WARDKILLED,MINUTE_WARDSPLACED,MVP,OFFERED_RATE,VICTORY_RATE,PLAYS_TIMES,F_SCORE,PLAYER_IMAGE,PLAYER_NAME,PLAYER_CHINESE_NAME,POSITION,TEAM_NAME,TOTAL_ASSISTS,TOTAL_DEATHS,TOTAL_KILLS,WIN
0,0,1,6.6,1.5,3.6,31.0,15.7,6.4,637.0,418.5,9.0,9.0,0.2,0.3,10,76.3,64.6,48,37.2,http://img1.famulei.com/z/0/p/176/0610494792001_100X100.png,xiaohu,李元浩,中单,RNG,319,76,173,31
1,1,2,6.9,2.0,4.1,27.4,16.0,5.3,594.8,399.8,8.2,8.2,0.2,0.3,5,74.1,63.0,27,37.3,http://img1.famulei.com/z/0/p/176/0611315780479_100X100.png,CoCo,申晋荣,中单,NB,188,56,113,17
2,2,3,5.9,1.8,3.3,26.3,16.0,5.1,518.2,407.3,8.7,8.7,0.2,0.3,6,71.7,60.4,53,33.2,http://img1.famulei.com/z/965741/p/176/0610394286287_100X100.png,xiye,苏汉伟,中单,WE,314,96,176,32
3,3,4,6.7,2.0,3.8,31.1,18.3,5.0,624.5,417.7,8.5,8.5,0.2,0.4,11,76.7,65.9,44,38.6,http://img1.famulei.com/z/0/p/176/0710452893398_100X100.png,scout,李汭燦,中单,EDG,299,92,170,29
4,4,5,4.7,1.8,4.1,28.0,16.9,4.7,535.9,405.6,8.7,8.7,0.1,0.4,5,76.1,55.8,43,33.9,http://img1.famulei.com/z/0/p/176/0610475899323_100X100.png,Icon,谢天宇,中单,OMG,205,81,178,24
5,5,6,5.9,2.2,3.8,29.7,17.4,4.3,641.6,413.6,8.9,8.9,0.2,0.3,9,73.4,58.2,55,36.6,http://img1.famulei.com/z/2733155/p/176/0611344981821_100X100.png,Rookie,宋义进,中单,iG,325,122,209,32
6,6,7,4.7,1.8,2.8,29.7,15.0,4.0,581.3,396.5,8.7,8.7,0.2,0.4,6,75.7,41.9,31,33.0,http://img1.famulei.com/z/0/p/176/0613514741409_100X100.png,Ggoong,刘秉俊,中单,DAN,148,58,89,13
7,7,8,5.4,2.5,3.4,36.9,20.2,3.4,690.2,421.4,9.3,9.3,0.3,0.2,7,79.1,42.1,38,37.8,http://img1.famulei.com/z/0/p/176/0611244378383_100X100.png,Doinb,金泰相,中单,JDG,207,97,130,16
8,8,9,5.4,2.3,2.7,25.6,19.0,3.4,484.0,387.9,8.4,8.4,0.2,0.4,2,68.5,48.4,31,32.8,http://img1.famulei.com/z/0/p/176/1618462140585_100X100.png,fenfen,fenfen,中单,SNG,168,73,85,15
9,9,10,4.0,1.8,2.3,25.4,17.3,3.4,484.5,389.0,9.0,9.0,0.3,0.3,1,73.7,25.0,12,29.2,http://img1.famulei.com/z/0/p/176/0610551561571_100X100.png,Dian,李国鹏,中单,SNG,48,22,28,3
10,10,11,8.2,3.4,3.4,25.8,19.1,3.4,555.1,381.4,8.3,8.3,0.2,0.2,0,78.3,20.0,5,36.1,http://img1.famulei.com/z/0/p/177/2719470178162_100X100.png,Guoguo,Guoguo,中单,Snake,41,17,17,1
11,11,12,5.4,2.6,3.0,27.8,14.7,3.2,550.8,395.6,8.6,8.6,0.2,0.2,3,70.7,41.0,39,30.4,http://img1.famulei.com/z/0/p/176/0610530978024_100X100.png,Cool,余家俊,中单,LGD,212,102,117,16
12,12,13,4.6,2.2,2.5,30.5,15.4,3.1,606.0,388.6,8.8,8.8,0.2,0.3,1,75.4,34.2,38,31.9,http://img1.famulei.com/z/0/p/176/0611081642606_100X100.png,Athena,姜厦云,中单,IM,176,85,95,13
13,13,14,9.0,4.0,3.0,12.7,24.2,3.0,306.5,301.8,2.9,2.9,0.2,0.7,0,85.7,0.0,1,41.0,http://img1.famulei.com/z/0/p/175/2618462495788_100X100.png,HanXuan,洪昊,打野,,9,4,3,0
14,14,15,4.3,2.7,2.7,26.9,17.6,2.5,480.6,381.8,8.5,8.5,0.1,0.5,2,64.4,33.3,18,30.3,http://img1.famulei.com/z/0/p/176/0712154676944_100X100.png,Corn,雷文,中单,NB,78,49,49,6
15,15,16,3.7,3.4,2.5,29.3,18.1,1.8,544.2,385.2,8.9,8.9,0.1,0.5,0,66.6,14.3,7,31.0,http://img1.famulei.com/z/0/p/176/0611153151035_100X100.png,qi,赵阿伟,中单,DAN,26,24,18,1
