,Unnamed: 0,RANK,AVERAGE_ASSISTS,AVERAGE_DEATHS,AVERAGE_KILLS,DAMAGEDEALT_RATE,DAMAGETAKEN_RATE,KDA,MINUTE_DAMAGEDEALT,MINUTE_DAMAGETAKEN,MINUTE_ECONOMIC,MINUTE_HITS,MINUTE_WARDKILLED,MINUTE_WARDSPLACED,MVP,OFFERED_RATE,VICTORY_RATE,PLAYS_TIMES,F_SCORE,PLAYER_IMAGE,PLAYER_NAME,PLAYER_CHINESE_NAME,POSITION,TEAM_NAME,TOTAL_ASSISTS,TOTAL_DEATHS,TOTAL_KILLS,WIN
0,0,1,4.9,0.9,3.3,26.0,11.6,8.7,462.6,415.6,9.7,9.7,0.2,0.4,1,70.2,65.1,43,31.0,https://img1.famulei.com/z/2985229/p/186/1311295394744_100X100.png,Chovy,정지훈,中单,GRF,213,41,146,28
1,1,2,4.6,1.4,2.4,27.3,15.2,4.8,459.9,389.7,9.1,9.1,0.3,0.5,8,68.6,57.9,57,30.7,http://img1.famulei.com/z/0/p/172/2116055323730_100X100.png,KurO,李徐行,中单,AFs,263,83,140,33
2,2,3,4.1,1.3,2.2,23.4,15.4,4.6,399.1,373.0,8.3,8.3,0.2,0.5,1,74.2,60.5,43,27.2,http://img1.famulei.com/z/0/p/172/2115480144724_100X100.png,Fly,Yong jun Song,中单,,180,60,97,26
3,3,4,4.1,1.5,2.8,26.3,13.5,4.4,444.5,395.5,9.1,9.1,0.1,0.5,6,69.8,61.7,47,28.0,http://img1.famulei.com/z/0/p/175/3111592057321_100X100.png,Bdd,Bo-seong Gwak,中单,KZ,195,74,136,29
4,4,5,4.0,1.5,2.3,23.7,13.9,4.2,411.0,403.6,9.9,9.9,0.3,0.3,0,75.0,62.5,8,27.1,https://img1.famulei.com/z/2985229/p/186/1311403112623_100X100.png,Rather,Shin Hyung-seop,中单,GRF,32,12,19,5
5,5,6,4.1,1.7,2.6,24.0,16.9,3.8,460.1,408.2,9.5,9.5,0.1,0.5,6,65.6,68.1,47,29.1,https://img1.famulei.com/z/2985229/p/181/2913472114977_100X100.png,Ucal,Ucal,中单,KT,197,84,126,32
6,6,7,4.5,2.0,2.4,26.9,15.9,3.4,453.5,393.5,8.9,8.9,0.2,0.5,3,74.9,55.6,45,28.9,https://img1.famulei.com/z/2985229/p/181/2913552367530_100X100.png,Lava,Lava,中单,HLE,206,91,108,25
7,7,8,3.4,1.7,2.3,24.1,16.8,3.2,428.2,399.7,9.5,9.5,0.2,0.5,1,67.4,52.6,19,28.2,http://img1.famulei.com/z/0/p/176/2216243678738_100X100.png,Pirean,Jun-sik Choi,中单,P1,65,34,45,10
8,8,9,4.4,2.2,2.5,26.1,18.8,3.1,466.9,404.7,9.6,9.6,0.2,0.4,2,74.8,40.0,25,30.9,http://img1.famulei.com/z/0/p/172/2115110120362_100X100.png,Faker,李相赫,中单,SKT,110,55,63,10
9,9,10,2.9,1.6,2.2,28.2,15.4,3.0,411.3,383.1,9.4,9.4,0.1,0.5,3,75.2,20.9,43,26.1,http://img1.famulei.com/z/0/p/172/2116501431143_100X100.png,Tempt,Myung-ku Kang,中单,bbq,127,72,95,9
10,10,11,2.6,1.3,1.3,34.5,10.7,3.0,543.4,372.7,9.2,9.2,0.1,0.5,0,66.6,66.7,3,24.8,http://img1.famulei.com/z/0/p/172/2114013694649_100X100.png,Crown,李民浩,中单,Gen,8,4,4,2
11,11,12,3.3,1.9,2.1,24.7,16.5,2.7,403.8,367.5,8.6,8.6,0.2,0.5,2,77.3,26.8,41,27.1,http://img1.famulei.com/z/0/p/172/2116464592070_100X100.png,Ian,Jun-hyung An,中单,MVP,138,81,88,11
12,12,13,2.8,1.7,1.8,24.3,14.7,2.7,387.0,372.5,9.0,9.0,0.1,0.4,0,66.2,31.8,44,22.9,https://img1.famulei.com/z/2985229/p/181/2913335721609_100X100.png,Grace,Lee Chan-ju (이찬주),中单,JAG,126,76,80,14
13,13,14,4.0,2.0,0.0,22.1,20.3,2.0,325.1,352.7,8.3,8.3,0.1,0.5,0,40.0,0.0,1,21.0,https://img1.famulei.com/z/0/p/176/1318355586261_100X100.png,Kuzan,Seong-huyk Lee,中单,HLE,4,2,0,0
14,14,15,1.0,5.0,4.0,28.9,18.3,1.0,367.8,403.9,9.8,9.8,0.2,0.6,0,71.4,0.0,1,26.1,https://img1.famulei.com/z/0/p/172/2115552699912_100X100.png,PawN,许元硕,中单,KT,1,5,4,0
15,15,16,0.0,1.0,0.0,13.1,11.6,0.0,225.0,338.0,9.1,9.1,0.1,0.6,0,0.0,0.0,1,15.4,https://img1.famulei.com/z/2985229/p/181/1113371856443_100X100.png,Justice,Justice,中单,JAG,0,1,0,0
