,Unnamed: 0,RANK,AVERAGE_ASSISTS,AVERAGE_DEATHS,AVERAGE_KILLS,DAMAGEDEALT_RATE,DAMAGETAKEN_RATE,KDA,MINUTE_DAMAGEDEALT,MINUTE_DAMAGETAKEN,MINUTE_ECONOMIC,MINUTE_HITS,MINUTE_WARDKILLED,MINUTE_WARDSPLACED,MVP,OFFERED_RATE,VICTORY_RATE,PLAYS_TIMES,F_SCORE,PLAYER_IMAGE,PLAYER_NAME,PLAYER_CHINESE_NAME,POSITION,TEAM_NAME,TOTAL_ASSISTS,TOTAL_DEATHS,TOTAL_KILLS,WIN
0,0,1,6.0,1.4,4.2,24.9,16.6,6.9,492.1,422.9,9.1,9.1,0.1,0.5,4,70.2,87.5,32,35.7,http://img1.famulei.com/z/0/p/1610/1217130722390_100X100.png,Maple,黄熠棠,中单,FW,192,47,136,28
1,1,2,5.2,1.3,3.1,26.6,15.4,6.1,466.0,390.1,8.5,8.5,0.2,0.5,4,71.7,61.5,39,31.5,https://img1.famulei.com/z/5693983/p/181/2315445113125_100X100.png,Uniboy,Chen Chang-Chu,中单,MAD,203,53,122,24
2,2,3,4.8,1.7,3.3,27.6,16.8,4.5,502.3,392.6,9.0,9.0,0.1,0.5,4,67.1,47.6,42,32.8,http://img1.famulei.com/z/0/p/1612/2817111883314_100X100.png,FoFo,朱駿嵐,中单,JT,202,75,140,20
3,3,4,4.0,1.6,2.3,26.6,16.2,3.8,426.0,407.5,9.5,9.5,0.2,0.4,1,67.9,63.6,11,27.1,http://img1.famulei.com/z/2985229/p/179/1917225363359_100X100.png,M1ssion,陳孝銜,中单,M17,44,18,26,7
4,4,5,4.3,2.1,3.2,26.2,16.2,3.5,476.3,387.5,8.8,8.8,0.3,0.5,4,69.5,44.8,29,31.9,https://img1.famulei.com/z/5693983/p/181/2315345284775_100X100.png,Candy,Kim Seung-ju,中单,GRX,126,62,93,13
5,5,6,4.1,2.1,2.8,24.3,19.9,3.3,431.1,393.9,9.0,9.0,0.2,0.4,3,64.9,55.3,38,30.4,https://img1.famulei.com/z/3046263/p/186/2511061927765_100X100.png,cyeol,cyeol,中单,HKA,159,80,110,21
6,6,7,4.1,2.2,2.9,31.3,13.7,3.1,567.8,390.7,9.2,9.2,0.2,0.4,1,69.5,0.0,29,30.0,http://img1.famulei.com/z/2985229/p/1711/1714101758181_100X100.png,Rainbow,Kim Su-gi,ADC,AFR,120,66,86,11
7,7,8,3.8,2.1,2.6,23.4,17.4,3.0,403.6,386.4,9.0,9.0,0.2,0.5,2,70.2,30.0,30,28.4,http://img1.famulei.com/z/0/p/176/0721390686609_100X100.png,waKo,鄒惟洋,中单,AHQ,114,63,80,9
8,8,9,4.6,2.5,2.1,26.0,15.1,2.7,473.1,374.2,8.5,8.5,0.2,0.5,0,63.3,28.6,23,29.3,https://img1.famulei.com/z/5693983/p/181/2315304224016_100X100.png,wuji,楊家宇,中单,GRX,107,58,50,10
9,9,10,4.1,2.5,2.0,28.8,18.0,2.4,518.3,385.9,9.3,9.3,0.2,0.5,3,64.7,31.8,22,29.9,https://img1.famulei.com/z/5688126/p/186/2614552996011_100X100.png,Moonblack,梁颂康,中单,AFR,92,55,44,7
10,10,11,4.0,2.5,2.0,23.6,17.7,2.4,420.8,368.4,8.8,8.8,0.2,0.4,0,67.3,31.8,22,27.5,http://img1.famulei.com/z/0/p/176/0721303569599_100X100.png, Apex,謝家維,中单,M17,90,55,44,7
11,11,12,5.0,2.8,0.8,10.7,28.4,2.0,178.5,301.2,5.1,5.1,0.2,0.6,0,64.6,22.2,9,25.9,http://img1.famulei.com/z/0/p/1610/1216474034520_100X100.png,Westdoor,刘书玮,打野,,45,26,8,2
