,Unnamed: 0,RANK,AVERAGE_ASSISTS,AVERAGE_DEATHS,AVERAGE_KILLS,DAMAGEDEALT_RATE,DAMAGETAKEN_RATE,KDA,MINUTE_DAMAGEDEALT,MINUTE_DAMAGETAKEN,MINUTE_ECONOMIC,MINUTE_HITS,MINUTE_WARDKILLED,MINUTE_WARDSPLACED,MVP,OFFERED_RATE,VICTORY_RATE,PLAYS_TIMES,F_SCORE,PLAYER_IMAGE,PLAYER_NAME,PLAYER_CHINESE_NAME,POSITION,TEAM_NAME,TOTAL_ASSISTS,TOTAL_DEATHS,TOTAL_KILLS,WIN
0,0,1,7.6,1.5,2.9,17.4,28.7,6.7,378.1,371.7,4.6,4.6,0.5,0.6,14,74.6,68.4,57,43.1,http://img1.famulei.com/z/0/p/172/2116592545954_100X100.png,Score,Dong-bin Go,打野,KT,436,89,168,39
1,1,2,7.3,1.8,3.6,16.5,30.5,5.8,392.3,378.0,4.6,4.6,0.5,0.6,11,74.8,51.1,45,44.7,http://img1.famulei.com/z/0/p/172/2115130024263_100X100.png,Peanut,尹王浩,打野,SKT,331,84,162,23
2,2,3,4.7,1.7,2.7,15.2,34.6,4.2,322.1,389.3,5.3,5.3,0.5,0.7,7,76.7,66.7,18,41.5,http://img1.famulei.com/z/0/p/176/0716575243880_100X100.png,Crash,Dong-woo Lee,打野,KZ,85,32,50,12
3,3,4,5.0,2.0,3.0,16.9,26.6,4.0,321.3,347.9,4.2,4.2,0.6,0.5,1,80.0,71.4,7,37.3,http://img1.famulei.com/z/0/p/175/3112143943849_100X100.png,SeongHwan,Seong-hwan Yun,打野,ROX,35,14,21,5
4,4,5,6.0,2.2,2.5,16.9,29.4,3.7,348.0,362.4,4.8,4.8,0.5,0.6,8,76.1,50.0,38,40.4,http://img1.famulei.com/z/0/p/175/2522004592434_100X100.png,Lira,Tae-yoo Nam,打野,ENVY,231,87,98,19
5,5,6,5.1,1.9,1.7,16.6,28.1,3.5,322.0,344.2,4.6,4.6,0.6,0.7,5,73.7,53.3,45,36.1,http://img1.famulei.com/z/0/p/1612/2811335872991_100X100.png,Winged,Tae-jin park,打野,CJ,232,86,77,24
6,6,7,5.4,2.1,2.0,14.6,29.7,3.4,307.9,337.3,4.1,4.1,0.5,0.7,5,77.9,43.5,23,38.7,http://img1.famulei.com/z/0/p/175/2518464178300_100X100.png,Chaser,Sang-hyun Lee,打野,KZ,126,50,47,10
7,7,8,5.7,2.2,1.9,13.2,28.8,3.4,330.9,342.3,4.1,4.1,0.5,0.7,1,73.4,64.3,14,38.6,http://img1.famulei.com/z/0/p/172/2111050124239_100X100.png,Bengi,裴成雄,打野,,81,31,27,9
8,8,9,7.1,2.8,1.8,13.9,30.5,3.2,338.3,351.2,4.3,4.3,0.6,0.8,4,71.3,40.6,32,42.3,http://img1.famulei.com/z/0/p/172/2115140959263_100X100.png,Blank,姜善久,打野,SKT,230,90,59,13
9,9,10,5.6,2.4,1.7,16.5,35.9,3.0,347.1,360.7,5.2,5.2,0.5,0.8,5,69.2,37.8,45,41.9,http://img1.famulei.com/z/0/p/172/2114011541388_100X100.png,Ambition,姜灿荣,打野,SSG,255,110,80,17
10,10,11,5.0,2.0,1.0,21.9,22.5,3.0,313.6,289.6,3.4,3.4,0.4,0.9,0,85.7,0.0,1,32.4,http://img1.famulei.com/z/0/p/1612/1318212782594_100X100.png,Bubbling,Jun-hyung Park,打野,CJ,5,2,1,0
11,11,12,6.1,2.9,2.2,17.4,29.2,2.8,365.8,367.9,4.9,4.9,0.4,0.6,7,77.1,63.4,41,37.0,http://img1.famulei.com/z/0/p/172/2116460566792_100X100.png,Beyond,Kyu-seok Kim,打野,MVP,253,122,91,26
12,12,13,4.3,2.5,1.7,18.8,28.4,2.3,334.7,337.1,4.4,4.4,0.5,0.5,7,71.8,33.3,45,33.4,http://img1.famulei.com/z/0/p/172/2116514514837_100X100.png,Bless,Hyun-woong Choi,打野,bbq,194,116,77,15
13,13,14,4.2,2.9,2.4,16.7,28.6,2.2,311.1,345.3,4.4,4.4,0.4,0.7,3,73.7,34.9,43,34.1,http://img1.famulei.com/z/0/p/172/2114240467975_100X100.png,Haru,Min-seung Kang,打野,SSG,182,127,105,15
