,Unnamed: 0,RANK,AVERAGE_ASSISTS,AVERAGE_DEATHS,AVERAGE_KILLS,DAMAGEDEALT_RATE,DAMAGETAKEN_RATE,KDA,MINUTE_DAMAGEDEALT,MINUTE_DAMAGETAKEN,MINUTE_ECONOMIC,MINUTE_HITS,MINUTE_WARDKILLED,MINUTE_WARDSPLACED,MVP,OFFERED_RATE,VICTORY_RATE,PLAYS_TIMES,F_SCORE,PLAYER_IMAGE,PLAYER_NAME,PLAYER_CHINESE_NAME,POSITION,TEAM_NAME,TOTAL_ASSISTS,TOTAL_DEATHS,TOTAL_KILLS,WIN
0,0,1,7.4,2.0,3.5,18.3,25.8,5.4,384.3,380.8,4.3,4.3,0.5,0.5,10,73.9,77.8,45,41.1,http://img1.famulei.com/z/0/p/172/2115130024263_100X100.png,Peanut,“¸Õı∫∆,¥Ú“∞,SKT,333,90,160,35
1,1,2,6.3,1.7,3.1,16.5,23.9,5.3,349.9,366.8,4.4,4.4,0.6,0.9,8,72.1,69.4,36,41.1,http://img1.famulei.com/z/0/p/172/2115140959263_100X100.png,Blank,Ω™…∆æ√,¥Ú“∞,SKT,227,64,113,25
2,2,3,6.5,2.2,3.0,18.5,25.9,4.3,374.6,366.9,4.5,4.5,0.6,0.7,8,76.1,63.0,46,40.1,http://img1.famulei.com/z/0/p/172/2116592545954_100X100.png,Score,Dong-bin Go,¥Ú“∞,KT,300,102,141,29
3,3,4,5.3,1.8,1.8,17.1,29.5,3.9,313.9,355.5,4.8,4.8,0.7,0.7,8,72.6,52.1,48,37.8,http://img1.famulei.com/z/0/p/1612/2811335872991_100X100.png,Winged,Tae-jin park,¥Ú“∞,CJ,256,87,90,25
4,4,5,3.5,1.6,2.8,28.0,15.6,3.9,569.0,411.6,9.2,9.2,0.2,0.4,2,62.7,57.7,26,32.1,http://img1.famulei.com/z/0/p/1612/2817045738636_100X100.png,Cpt,ÀÔ”‘Û,ADC,KZ,93,42,74,15
5,5,6,5.2,2.0,1.8,15.7,26.9,3.5,298.4,347.7,4.2,4.2,0.5,0.8,5,75.9,42.4,33,35.9,http://img1.famulei.com/z/0/p/175/2518464178300_100X100.png,Chaser,Sang-hyun Lee,¥Ú“∞,KZ,172,66,62,14
6,6,7,4.7,2.0,2.1,20.8,32.7,3.4,395.1,367.6,4.7,4.7,0.6,0.7,11,74.0,50.0,44,40.2,http://img1.famulei.com/z/0/p/172/2114011541388_100X100.png,Ambition,Ω™≤”»Ÿ,¥Ú“∞,SSG,207,88,96,22
7,7,8,5.7,2.3,2.3,17.7,27.0,3.4,339.9,365.9,4.8,4.8,0.6,0.6,5,74.1,52.1,48,37.4,http://img1.famulei.com/z/0/p/175/2522004592434_100X100.png,Lira,Tae-yoo Nam,¥Ú“∞,ENVY,277,114,113,25
8,8,9,5.7,2.2,1.1,12.9,25.4,3.0,265.2,324.7,4.1,4.1,0.5,0.8,2,65.0,0.0,17,33.4,http://img1.famulei.com/z/0/p/172/2111050124239_100X100.png,Bengi,≈·≥…–€,¥Ú“∞,,97,38,20,10
9,9,10,5.4,2.8,3.0,16.6,24.8,3.0,360.8,377.9,4.2,4.2,0.5,0.8,0,73.8,63.6,11,39.3,http://img1.famulei.com/z/0/p/176/0716575243880_100X100.png,Crash,Dong-woo Lee,¥Ú“∞,KZ,60,31,33,7
10,10,11,5.4,2.6,1.2,14.4,26.2,2.5,285.8,318.7,3.9,3.9,0.5,0.8,6,68.4,42.6,47,34.1,http://img1.famulei.com/z/0/p/1612/1318212782594_100X100.png,Bubbling,Jun-hyung Park,¥Ú“∞,CJ,256,125,61,20
11,11,12,3.7,2.6,1.7,15.9,25.0,2.0,285.0,323.3,4.1,4.1,0.4,0.6,3,72.3,18.6,43,30.3,http://img1.famulei.com/z/0/p/1612/1513305180424_100X100.png,Crush,,¥Ú“∞,,160,113,76,8
12,12,13,3.6,3.0,1.2,16.3,27.3,1.6,273.0,318.4,4.2,4.2,0.6,0.9,4,69.7,22.0,41,32.3,http://img1.famulei.com/z/0/p/176/0611084636714_100X100.png,Flawless,Yeon-joon Seong,¥Ú“∞,IM,148,125,53,9
