,Unnamed: 0,RANK,AVERAGE_ASSISTS,AVERAGE_DEATHS,AVERAGE_KILLS,DAMAGEDEALT_RATE,DAMAGETAKEN_RATE,KDA,MINUTE_DAMAGEDEALT,MINUTE_DAMAGETAKEN,MINUTE_ECONOMIC,MINUTE_HITS,MINUTE_WARDKILLED,MINUTE_WARDSPLACED,MVP,OFFERED_RATE,VICTORY_RATE,PLAYS_TIMES,F_SCORE,PLAYER_IMAGE,PLAYER_NAME,PLAYER_CHINESE_NAME,POSITION,TEAM_NAME,TOTAL_ASSISTS,TOTAL_DEATHS,TOTAL_KILLS,WIN
0,0,1,7.5,2.1,3.4,18.7,27.3,5.1,398.2,385.6,4.4,4.4,0.3,0.9,7,74.2,80.8,26,42.5,http://img1.famulei.com/z/0/p/1610/1217484626653_100X100.png,Trick,Hosan Seon,打野,G2,196,55,89,21
1,1,2,6.6,1.9,2.3,17.3,25.2,4.6,338.1,347.0,3.9,3.9,0.5,0.9,6,76.4,64.3,28,39.0,http://img1.famulei.com/z/0/p/1610/1214044662185_100X100.png,Jankos,Marcin Jankowski,打野,H2K,186,55,67,18
2,2,3,7.0,1.9,1.5,12.5,29.3,4.4,245.1,338.0,3.8,3.8,0.4,0.8,7,75.5,63.6,22,35.1,http://img1.famulei.com/z/0/p/1612/1618373693266_100X100.png,Shook,Ilyas Hartsema,打野,Vitality,155,42,33,14
3,3,4,6.8,2.1,2.6,19.4,25.0,4.3,412.3,381.7,6.7,6.7,0.1,0.4,2,64.3,80.8,26,34.7,http://img1.famulei.com/z/0/p/1612/1617450511569_100X100.png,Kikis,Mateusz Szkudlarek,上单,FNC,177,57,70,21
4,4,5,5.7,2.0,2.3,15.1,26.9,4.0,316.6,341.9,4.0,4.0,0.5,0.8,5,64.4,40.7,27,38.2,http://img1.famulei.com/z/0/p/1612/1618160151273_100X100.png,Amazing,Maurice Stückenschneider,打野,FNC,156,54,63,11
5,5,6,11.0,3.0,0.5,14.9,35.4,3.8,289.3,364.4,4.5,4.5,0.5,1.1,1,74.1,50.0,2,49.1,http://img1.famulei.com/z/0/p/1612/2914481033212_100X100.png,djoko,Charly Guillard,打野,Vitality,22,6,1,1
6,6,7,8.1,2.8,2.8,10.3,28.4,3.8,238.2,337.1,3.5,3.5,0.6,0.8,0,70.2,50.0,6,42.2,http://img1.famulei.com/z/0/p/1612/2914381536741_100X100.png,Rudy,Rudy Beltran,打野,UOL,49,17,17,3
7,7,8,7.0,2.1,1.2,11.5,26.8,3.8,216.9,326.7,3.7,3.7,0.4,0.9,0,69.8,55.6,9,35.3,http://img1.famulei.com/z/0/p/1612/2914532070270_100X100.png,loulex,Jean-Victor Burgevin,打野,UOL,63,19,11,5
8,8,9,4.5,2.0,2.5,17.5,27.4,3.5,361.9,360.2,4.3,4.3,0.5,0.8,0,56.0,75.0,4,38.1,http://img1.famulei.com/z/0/p/1612/1617115615512_100X100.jpg,Diamondprox,Danil Reshetnikov,打野,APX ,18,8,10,3
9,9,10,5.4,2.1,2.1,19.0,25.6,3.5,339.9,354.6,4.7,4.7,0.5,0.9,10,73.4,51.6,31,37.1,http://img1.famulei.com/z/0/p/172/2116052587592_100X100.png,Spirit,Da-yun Lee,打野,AFs,170,67,68,16
10,10,11,3.7,2.0,1.4,16.0,25.7,2.5,248.9,308.3,3.6,3.6,0.4,0.8,4,69.9,33.3,18,30.1,http://img1.famulei.com/z/0/p/1610/1217394152903_100X100.png,Trashy,Jonas Anderson,打野,SPY,67,36,26,6
11,11,12,4.6,2.7,0.9,14.4,27.9,2.0,261.8,310.2,3.4,3.4,0.5,0.7,0,63.1,33.3,18,31.4,http://img1.famulei.com/z/0/p/1612/1617295799395_100X100.png,Gilius,Berk Demir,打野,S04,84,50,17,6
12,12,13,4.6,3.3,1.8,17.6,28.0,1.9,295.9,331.7,4.2,4.2,0.4,0.9,0,72.2,33.3,18,35.7,http://img1.famulei.com/z/0/p/1612/1617085160548_100X100.png,Airwaks,Karim Benghalia,打野,ROC,84,60,33,6
13,13,14,3.2,3.7,2.0,20.2,25.1,1.4,343.5,302.6,3.6,3.6,0.3,0.7,0,67.7,0.0,4,28.9,http://img1.famulei.com/z/0/p/1612/1916111521521_100X100.png,k0u,Tri Tin Lam,打野,DP,13,15,8,0
14,14,15,3.2,2.5,0.0,14.4,30.4,1.3,199.4,300.4,3.6,3.6,0.3,1.0,0,68.4,25.0,4,28.2,http://img1.famulei.com/z/0/p/171/2014321229014_100X100.png,Wisdom,Kim Tae-Wan,打野,OG,13,10,0,1
15,15,16,4.0,3.9,0.9,16.9,27.6,1.2,292.5,314.2,4.0,4.0,0.5,0.8,0,73.1,20.0,10,31.6,http://img1.famulei.com/z/0/p/1612/2213504362602_100X100.png,BetongJocke,,打野,GIA,40,39,9,2
