,Unnamed: 0,RANK,AVERAGE_ASSISTS,AVERAGE_DEATHS,AVERAGE_KILLS,DAMAGEDEALT_RATE,DAMAGETAKEN_RATE,KDA,MINUTE_DAMAGEDEALT,MINUTE_DAMAGETAKEN,MINUTE_ECONOMIC,MINUTE_HITS,MINUTE_WARDKILLED,MINUTE_WARDSPLACED,MVP,OFFERED_RATE,VICTORY_RATE,PLAYS_TIMES,F_SCORE,PLAYER_IMAGE,PLAYER_NAME,PLAYER_CHINESE_NAME,POSITION,TEAM_NAME,TOTAL_ASSISTS,TOTAL_DEATHS,TOTAL_KILLS,WIN
0,0,1,7.7,1.6,3.6,17.5,24.5,6.9,354.0,362.5,4.0,4.0,0.5,0.8,9,70.8,70.6,34,41.6,http://img1.famulei.com/z/0/p/1610/1217121078945_100X100.png,Karsa,洪浩轩,打野,FW,265,56,124,24
1,1,2,5.1,1.1,2.3,19.5,23.4,6.6,365.6,361.3,7.1,7.1,0.2,0.5,2,61.0,61.3,31,31.1,http://img1.famulei.com/z/0/p/1612/2817045716459_100X100.png,Morning,Morning,上单,JT,160,35,72,19
2,2,3,6.5,1.4,2.5,15.3,25.9,6.2,283.9,343.0,3.7,3.7,0.6,0.9,8,73.0,64.5,31,38.2,http://img1.famulei.com/z/0/p/176/0211515730084_100X100.png,REFRA1N,REFRA1N,打野,JT,204,45,78,20
3,3,4,5.5,2.0,4.4,27.5,14.3,5.0,533.5,414.0,8.0,8.0,0.2,0.4,6,73.1,57.1,28,35.1,http://img1.famulei.com/z/0/p/176/0721201229015_100X100.png,GodKwai,張和貴,ADC,HKE,155,56,125,16
4,4,5,7.0,2.2,1.8,16.8,30.4,3.9,326.1,344.7,4.1,4.1,0.5,0.7,4,65.2,57.1,28,38.9,http://img1.famulei.com/z/0/p/176/0721420442015_100X100.png,Dinter,Dinter,打野,HKA,197,64,53,16
5,5,6,5.9,2.6,3.0,17.2,27.3,3.3,372.2,377.4,4.2,4.2,0.4,0.5,7,65.2,87.1,31,37.0,http://img1.famulei.com/z/0/p/1610/1216452548529_100X100.png,Mountain,薛兆鸿,打野,AHQ,185,83,93,27
6,6,7,5.6,2.2,1.6,16.6,26.0,3.2,285.1,340.6,4.0,4.0,0.6,0.8,7,70.4,44.4,36,35.5,http://img1.famulei.com/z/0/p/176/0211531821671_100X100.png,Taizan,Taizan,打野,M17,204,80,58,16
7,7,8,4.4,2.7,1.8,15.1,23.8,2.2,274.2,315.2,3.7,3.7,0.4,0.8,2,69.8,35.7,28,32.1,http://img1.famulei.com/z/0/p/176/0212085297820_100X100.png,Wulala,Wulala,打野,FB,125,78,53,10
8,8,9,6.5,3.8,1.6,16.2,30.1,2.1,337.7,311.4,3.9,3.9,0.5,0.7,3,72.9,28.6,28,37.1,http://img1.famulei.com/z/0/p/176/0309340697927_100X100.png,Yo,Yo,打野,XG,184,107,45,8
9,9,10,4.0,3.5,2.5,19.0,29.2,1.8,369.5,328.2,4.6,4.6,0.6,0.7,0,81.2,50.0,2,34.6,http://img1.famulei.com/z/0/p/1612/2817134759368_100X100.png,Achie,Achie,打野,JT,8,7,5,1
10,10,11,4.3,3.6,0.2,7.1,18.8,1.2,101.1,222.6,0.9,0.9,0.3,0.9,0,62.5,10.0,10,21.4,http://img1.famulei.com/z/0/p/176/0715232817591_100X100.png,Melon,Melon,辅助,CGE,43,36,2,1
11,11,12,2.3,3.8,1.6,15.8,26.0,1.0,232.6,296.6,3.9,3.9,0.2,0.7,0,66.2,3.6,28,25.7,http://img1.famulei.com/z/0/p/176/0616185931504_100X100.png,SpeaR,SpeaR,打野,CGE,67,108,47,1
