,Unnamed: 0,RANK,AVERAGE_ASSISTS,AVERAGE_DEATHS,AVERAGE_KILLS,DAMAGEDEALT_RATE,DAMAGETAKEN_RATE,KDA,MINUTE_DAMAGEDEALT,MINUTE_DAMAGETAKEN,MINUTE_ECONOMIC,MINUTE_HITS,MINUTE_WARDKILLED,MINUTE_WARDSPLACED,MVP,OFFERED_RATE,VICTORY_RATE,PLAYS_TIMES,F_SCORE,PLAYER_IMAGE,PLAYER_NAME,PLAYER_CHINESE_NAME,POSITION,TEAM_NAME,TOTAL_ASSISTS,TOTAL_DEATHS,TOTAL_KILLS,WIN
0,0,1,8.0,1.8,2.8,13.5,29.8,5.8,259.2,343.3,3.7,3.7,0.3,1.1,0,70.3,85.7,7,41.1,http://img1.famulei.com/z/0/p/176/0610503591185_100X100.png,Pepper,胡志威,打野,RNG,56,13,20,6
1,1,2,7.3,1.8,3.1,13.5,27.4,5.6,275.1,345.6,3.9,3.9,0.3,0.9,8,73.3,69.0,42,40.4,http://img1.famulei.com/z/0/p/176/0623451089781_100X100.png,clearlove7,明凯,打野,EDG,309,78,131,29
2,2,3,7.3,2.2,2.3,12.8,31.2,4.2,252.1,336.7,4.2,4.2,0.3,0.9,11,75.4,60.4,53,39.2,http://img1.famulei.com/z/1000043/p/176/0610420769362_100X100.png,Condi,向人杰,打野,WE,390,121,125,32
3,3,4,6.7,2.3,2.8,14.1,27.8,4.0,304.7,344.6,4.5,4.5,0.3,0.9,7,72.3,57.1,49,38.7,http://img1.famulei.com/z/0/p/176/0611362942251_100X100.png,Ning,高振宁,打野,iG,330,117,139,28
4,4,5,7.6,2.4,1.9,13.0,30.7,3.9,270.5,324.0,3.8,3.8,0.3,0.8,7,73.1,61.0,41,37.7,http://img1.famulei.com/z/0/p/176/0610493322935_100X100.png,MLXG,刘世宇,打野,RNG,314,100,78,25
5,5,6,6.7,2.4,1.6,13.0,27.7,3.4,257.3,330.3,4.4,4.4,0.5,1.3,4,72.3,35.7,42,40.4,http://img1.famulei.com/z/0/p/176/0611114954145_100X100.png,Sofm,黎光维,打野,Snake,282,102,68,15
6,6,7,7.1,2.5,1.5,12.8,27.0,3.4,283.5,329.9,3.9,3.9,0.3,0.8,1,65.8,66.7,6,36.4,http://img1.famulei.com/z/2733212/p/176/0611343747679_100X100.png,KidKid,葛炎,打野,iG,43,15,9,4
7,7,8,6.5,2.6,2.0,11.1,27.4,3.2,220.5,318.9,3.7,3.7,0.4,0.9,8,72.2,41.0,39,35.7,http://img1.famulei.com/z/0/p/176/0610540141012_100X100.png,Eimy,谢丹,打野,LGD,257,105,79,16
8,8,9,8.2,3.1,1.6,12.8,30.2,3.1,259.1,325.8,4.0,4.0,0.3,0.9,4,72.4,54.8,42,37.9,http://img1.famulei.com/z/0/p/176/0611304183977_100X100.png,Swift,白多训,打野,NB,348,132,71,23
9,9,10,6.1,2.5,1.4,13.1,28.4,3.0,255.4,328.0,4.1,4.1,0.4,0.8,3,76.3,38.2,34,35.0,http://img1.famulei.com/z/2985229/p/181/1018384018261_100X100.png,Karin,郑守淙,打野,DAN,210,85,48,13
