,Unnamed: 0,RANK,AVERAGE_ASSISTS,AVERAGE_DEATHS,AVERAGE_KILLS,DAMAGEDEALT_RATE,DAMAGETAKEN_RATE,KDA,MINUTE_DAMAGEDEALT,MINUTE_DAMAGETAKEN,MINUTE_ECONOMIC,MINUTE_HITS,MINUTE_WARDKILLED,MINUTE_WARDSPLACED,MVP,OFFERED_RATE,VICTORY_RATE,PLAYS_TIMES,F_SCORE,PLAYER_IMAGE,PLAYER_NAME,PLAYER_CHINESE_NAME,POSITION,TEAM_NAME,TOTAL_ASSISTS,TOTAL_DEATHS,TOTAL_KILLS,WIN
0,0,1,5.0,0.5,5.5,12.7,29.4,21.0,241.6,390.2,5.6,5.6,0.4,0.3,2,63.6,100.0,2,38.7,https://img1.famulei.com/z/3046263/p/188/1910045598268_100X100.png,Wiggily,Wiggily,打野,CLG,10,1,11,2
1,1,2,6.2,1.9,1.7,12.7,29.9,4.1,237.4,332.0,5.3,5.3,0.3,0.5,5,68.8,72.0,25,32.6,http://img1.famulei.com/z/0/p/1610/1217021296006_100X100.png,Xmithie,Jake Puchero,打野,TL,157,49,44,18
2,2,3,5.5,1.8,1.6,9.3,29.8,3.9,178.3,318.7,4.9,4.9,0.2,0.4,4,66.6,54.3,35,29.1,http://img1.famulei.com/z/0/p/177/2215090521456_100X100.png,Grig,JONATHAN ARMAO,打野,TSM,194,64,56,19
3,3,4,5.7,2.1,2.2,12.4,29.7,3.7,214.2,313.6,4.5,4.5,0.3,0.4,4,72.4,43.5,23,32.2,http://img1.famulei.com/z/0/p/176/0914545619053_100X100.png,Santorin,Lucas Tao Kilmer Larsen,打野,FLY,132,49,52,10
4,4,5,6.5,2.6,2.6,18.0,31.5,3.4,365.7,357.0,5.8,5.8,0.4,0.3,2,74.8,69.2,13,36.8,https://img1.famulei.com/z/3046263/p/187/2209005566286_100X100.png,blaber,blaber,打野,C9,85,35,34,9
5,5,6,6.3,2.5,1.9,12.0,25.3,3.3,233.6,322.8,4.9,4.9,0.5,0.5,2,69.1,53.8,26,32.4,http://img1.famulei.com/z/0/p/177/2514324278843_100X100.png,AnDa,Andy Hoang,打野,,165,65,50,14
6,6,7,6.3,2.3,1.3,10.4,26.0,3.2,173.3,307.0,3.8,3.8,0.3,0.6,0,59.7,66.7,6,29.0,http://img1.famulei.com/z/0/p/1610/1214370011428_100X100.png,meteos,William Hartman,打野,100T,38,14,8,4
7,7,8,4.5,2.0,1.5,4.3,31.5,3.0,81.1,275.7,4.4,4.4,0.5,0.3,0,85.7,0.0,2,28.2,https://img1.famulei.com/z/0/p/175/2518070347182_100X100.png,Moon,Galen Holgate,打野,,9,4,3,0
8,8,9,6.1,2.7,1.7,13.6,29.8,2.8,222.6,313.9,4.8,4.8,0.3,0.5,1,77.3,31.2,16,32.0,http://img1.famulei.com/z/0/p/175/2518584231023_100X100.png,Reignover,Yeu-jin Kim,打野,CLG,98,44,28,5
9,9,10,4.5,2.0,1.3,11.5,30.1,2.8,220.1,319.5,5.2,5.2,0.4,0.4,0,64.3,56.2,16,28.3,http://img1.famulei.com/z/0/p/175/2518060478204_100X100.png,Akaadian,Matthew Higginbotham,打野,OPT,73,33,21,9
10,10,11,5.8,3.0,2.5,16.1,28.0,2.7,320.4,338.4,5.3,5.3,0.4,0.3,2,71.9,50.0,24,32.5,http://img1.famulei.com/z/0/p/175/2522072755945_100X100.png,Dardoch,Joshua Hartnett,打野,EF,140,73,60,12
11,11,12,4.8,2.7,2.1,13.3,27.7,2.5,245.2,323.5,5.3,5.3,0.4,0.6,1,65.8,40.0,15,32.0,http://img1.famulei.com/z/0/p/175/2522004592434_100X100.png,LirA,Tae-yoo Nam,打野,CG,72,41,32,6
12,12,13,6.0,3.4,1.6,13.0,30.8,2.2,262.2,328.2,5.2,5.2,0.3,0.4,2,71.9,38.5,13,30.6,http://img1.famulei.com/z/0/p/1610/1218300015922_100X100.png,Svenskeren,Dennis Johnsen,打野,C9,78,45,22,5
13,13,14,5.7,3.7,2.0,18.0,29.2,2.0,323.6,313.1,4.9,4.9,0.3,0.4,3,71.4,27.8,18,31.1,http://img1.famulei.com/z/0/p/171/2112150959447_100X100.png,Contractz,Juan Arturo Garcia,打野,GGS,103,68,37,5
