,Unnamed: 0,RANK,AVERAGE_ASSISTS,AVERAGE_DEATHS,AVERAGE_KILLS,DAMAGEDEALT_RATE,DAMAGETAKEN_RATE,KDA,MINUTE_DAMAGEDEALT,MINUTE_DAMAGETAKEN,MINUTE_ECONOMIC,MINUTE_HITS,MINUTE_WARDKILLED,MINUTE_WARDSPLACED,MVP,OFFERED_RATE,VICTORY_RATE,PLAYS_TIMES,F_SCORE,PLAYER_IMAGE,PLAYER_NAME,PLAYER_CHINESE_NAME,POSITION,TEAM_NAME,TOTAL_ASSISTS,TOTAL_DEATHS,TOTAL_KILLS,WIN
0,0,1,6.9,1.7,1.4,10.3,32.4,4.7,199.3,338.4,5.6,5.6,0.4,1.2,9,76.5,70.0,30,38.2,http://img1.famulei.com/z/0/p/1610/1217021296006_100X100.png,Xmithie,Jake Puchero,打野,TL,207,53,44,21
1,1,2,6.6,2.0,2.3,11.8,31.2,4.3,264.2,335.3,5.1,5.1,0.4,0.9,5,74.2,61.5,26,40.9,http://img1.famulei.com/z/0/p/175/2522072755945_100X100.png,Dardoch,Joshua Hartnett,打野,EF,174,54,60,16
2,2,3,6.0,2.0,1.2,9.2,32.5,3.6,192.3,319.4,4.8,4.8,0.3,1.1,6,72.7,58.3,24,35.6,http://img1.famulei.com/z/2985229/p/1712/0317582344873_100X100.png,MikeYeung,Michael Yeung,打野,TSM,146,48,30,14
3,3,4,5.3,1.8,1.4,8.7,30.3,3.6,163.1,313.7,4.9,4.9,0.5,1.1,5,72.7,59.3,27,36.7,http://img1.famulei.com/z/0/p/1610/1214370011428_100X100.png,meteos,William Hartman,打野,100T,144,51,40,16
4,4,5,4.5,1.8,1.5,9.5,32.9,3.2,175.6,316.8,5.3,5.3,0.4,1.3,3,70.1,50.0,32,37.1,http://img1.famulei.com/z/0/p/175/2522004592434_100X100.png,LirA,Tae-yoo Nam,打野,CG,145,59,48,16
5,5,6,6.6,2.3,1.0,8.7,33.8,3.2,192.4,302.7,4.8,4.8,0.4,1.0,3,73.4,38.9,18,38.3,http://img1.famulei.com/z/0/p/175/2518584231023_100X100.png,Reignover,Yeu-jin Kim,打野,CLG,120,43,18,7
6,6,7,4.6,1.8,1.1,10.0,32.2,3.1,176.7,303.1,4.9,4.9,0.3,1.1,1,68.1,27.8,18,35.0,http://img1.famulei.com/z/0/p/175/2518060478204_100X100.png,Akaadian,Matthew Higginbotham,打野,OPT,84,33,21,5
7,7,8,6.4,2.6,1.4,10.1,33.7,2.9,210.7,327.3,5.2,5.2,0.4,1.2,4,74.6,52.2,23,40.1,http://img1.famulei.com/z/0/p/1610/1218300015922_100X100.png,Svenskeren,Dennis Johnsen,打野,C9,149,62,34,12
8,8,9,6.1,2.4,1.0,8.6,32.4,2.9,167.8,307.9,5.0,5.0,0.5,1.4,3,79.4,37.5,16,40.7,http://img1.famulei.com/z/0/p/177/2514324278843_100X100.png,AnDa,Andy Hoang,打野,FLY,99,39,17,6
9,9,10,4.7,3.1,1.5,12.7,29.6,2.0,251.4,303.6,4.9,4.9,0.4,1.6,3,72.4,22.2,18,39.9,http://img1.famulei.com/z/0/p/171/2112150959447_100X100.png,Contractz,Juan Arturo Garcia,打野,GGS,86,56,27,4
10,10,11,2.5,5.0,0.5,7.0,25.2,0.6,148.3,264.9,4.5,4.5,0.5,1.2,0,60.0,0.0,2,28.3,http://img1.famulei.com/z/2985229/p/178/2414573220153_100X100.png,ShrimP,Byeong-hoon Lee,打野,DIG,5,10,1,0
