,Unnamed: 0,RANK,AVERAGE_ASSISTS,AVERAGE_DEATHS,AVERAGE_KILLS,DAMAGEDEALT_RATE,DAMAGETAKEN_RATE,KDA,MINUTE_DAMAGEDEALT,MINUTE_DAMAGETAKEN,MINUTE_ECONOMIC,MINUTE_HITS,MINUTE_WARDKILLED,MINUTE_WARDSPLACED,MVP,OFFERED_RATE,VICTORY_RATE,PLAYS_TIMES,F_SCORE,PLAYER_IMAGE,PLAYER_NAME,PLAYER_CHINESE_NAME,POSITION,TEAM_NAME,TOTAL_ASSISTS,TOTAL_DEATHS,TOTAL_KILLS,WIN
0,0,1,7.6,1.0,2.4,10.9,25.2,9.3,208.2,357.0,5.3,5.3,0.2,0.4,9,70.4,73.1,26,32.3,http://img1.famulei.com/z/0/p/177/2514314024553_100X100.png,Broxah,Mads Brock-Pedersen,打野,FNC,199,28,63,19
1,1,2,5.9,1.6,1.9,11.3,28.6,4.8,204.3,308.3,4.7,4.7,0.4,0.5,4,69.0,47.8,23,31.2,http://img1.famulei.com/z/0/p/171/2112010429617_100X100.png,Xerxe,Andrei Dragomir,打野,SPY,137,37,44,11
2,2,3,8.7,2.3,2.4,15.2,28.7,4.8,299.1,347.2,5.2,5.2,0.3,0.5,3,76.5,72.2,18,37.5,https://img1.famulei.com/z/0/p/177/2513495933311_100X100.png,Kikis,Mateusz Szkudlarek,打野,MM,158,42,44,13
3,3,4,6.6,2.0,2.1,12.6,26.8,4.2,236.2,318.3,4.5,4.5,0.4,0.6,5,75.6,52.2,23,33.4,http://img1.famulei.com/z/0/p/1610/1214044662185_100X100.png,Jankos,Marcin Jankowski,打野,G2,152,47,50,12
4,4,5,5.5,2.0,2.7,16.3,27.1,4.0,274.3,352.5,5.6,5.6,0.4,0.4,7,71.0,55.2,29,32.8,http://img1.famulei.com/z/0/p/177/2514481630747_100X100.png,Maxlore,Nubar Sarafian,打野,MSF,162,60,79,16
5,5,6,6.2,2.2,1.5,12.6,23.8,3.5,234.3,320.1,4.8,4.8,0.4,0.7,1,64.1,50.0,10,31.3,https://img1.famulei.com/z/0/p/1612/1617295799395_100X100.png,Gilius,Erberk Demir,打野,Vitality,62,22,15,5
6,6,7,6.0,2.4,1.6,11.0,27.5,3.1,193.1,313.2,4.6,4.6,0.4,0.6,3,67.2,60.6,33,31.1,http://img1.famulei.com/z/0/p/177/2513523669950_100X100.png,Amazing,Maurice Stückenschneider,打野,S04,200,81,55,20
7,7,8,5.3,2.3,1.6,13.5,25.1,2.9,232.4,320.6,5.0,5.0,0.4,0.3,3,73.4,38.9,18,27.8,http://img1.famulei.com/z/5693983/p/181/1618284838121_100X100.png,Kold,Jonas Andersen,打野,UOL,97,43,30,7
8,8,9,5.0,2.8,3.3,13.9,28.0,2.9,247.3,331.0,4.9,4.9,0.4,0.4,2,72.2,38.9,18,33.1,http://img1.famulei.com/z/0/p/1612/1616513062635_100X100.png,Memento,Jonas Elmarghichi,打野,ROC,91,51,60,7
9,9,10,4.0,2.6,2.1,13.3,26.2,2.3,243.2,302.8,4.5,4.5,0.4,0.4,1,67.0,27.8,18,29.2,http://img1.famulei.com/z/0/p/1612/2914481033212_100X100.png,djoko,Charly Guillard,打野,GIA,73,48,39,5
10,10,11,4.7,3.1,1.7,15.1,28.1,2.0,241.3,325.8,5.3,5.3,0.3,0.5,2,70.2,25.0,8,29.6,https://img1.famulei.com/z/5693983/p/181/1617563576390_100X100.png,Caedrel,Marc Robert Lamont,打野,,38,25,14,2
11,11,12,2.6,3.1,1.6,14.3,25.5,1.3,232.4,305.2,5.4,5.4,0.2,0.3,0,67.0,0.0,13,23.7,http://img1.famulei.com/z/0/p/176/0117385932047_100X100.png,Shook,Ilyas Hartsema,打野,H2K,35,41,22,0
