,Unnamed: 0,RANK,AVERAGE_ASSISTS,AVERAGE_DEATHS,AVERAGE_KILLS,DAMAGEDEALT_RATE,DAMAGETAKEN_RATE,KDA,MINUTE_DAMAGEDEALT,MINUTE_DAMAGETAKEN,MINUTE_ECONOMIC,MINUTE_HITS,MINUTE_WARDKILLED,MINUTE_WARDSPLACED,MVP,OFFERED_RATE,VICTORY_RATE,PLAYS_TIMES,F_SCORE,PLAYER_IMAGE,PLAYER_NAME,PLAYER_CHINESE_NAME,POSITION,TEAM_NAME,TOTAL_ASSISTS,TOTAL_DEATHS,TOTAL_KILLS,WIN
0,0,1,7.1,1.6,2.5,13.3,28.6,5.9,266.9,357.3,5.4,5.4,0.3,0.5,5,64.8,90.3,31,35.2,https://img1.famulei.com/z/5693983/p/181/2315262914963_100X100.png,Moojin,Kim Moo-jin (김무진),打野,FW,221,51,80,28
1,1,2,6.0,1.7,2.5,15.1,30.3,5.0,265.4,348.7,5.5,5.5,0.4,0.5,12,74.1,61.5,39,34.8,https://img1.famulei.com/z/5693983/p/181/2315452630064_100X100.png,Kongyue,Hsiao Jen-Tso (蕭任佐),打野,MAD,237,67,99,24
2,2,3,6.7,2.3,1.9,11.7,30.2,3.7,212.3,317.1,4.8,4.8,0.4,0.4,2,81.8,46.2,13,33.4,https://img1.famulei.com/z/0/p/176/1318351744826_100X100.png,Raise,Ji-hwan Oh,打野,GRX,88,30,25,6
3,3,4,6.8,2.7,2.1,11.3,27.7,3.2,205.3,311.5,4.7,4.7,0.5,0.6,6,74.0,47.6,42,34.2,http://img1.famulei.com/z/0/p/176/2214155864460_100X100.png,Breaker,施岳廷,打野,JT,288,116,89,20
4,4,5,4.9,2.4,2.4,13.3,26.1,3.0,236.7,321.8,4.8,4.8,0.4,0.5,7,67.8,55.3,38,31.2,http://img1.famulei.com/z/2985229/p/179/1917113861881_100X100.png,Gemini,黃楚軒,打野,HKA,187,92,94,21
5,5,6,4.1,2.2,2.3,15.8,26.2,2.8,265.8,332.2,5.4,5.4,0.4,0.2,4,63.6,56.5,23,28.4,https://img1.famulei.com/z/3046263/p/187/1408412945672_100X100.png,Bugi,Bugi,打野,M17,96,52,53,13
6,6,7,4.0,2.7,1.8,11.1,28.1,2.1,191.8,300.3,4.7,4.7,0.4,0.4,1,63.6,30.4,23,27.1,https://img1.famulei.com/z/5693983/p/181/2315502552425_100X100.png,Epic,胡晋軒,打野,AFR,92,64,43,7
7,7,8,5.3,3.7,1.9,15.0,25.1,1.9,270.8,319.4,5.1,5.1,0.4,0.6,3,69.1,43.5,23,30.7,http://img1.famulei.com/z/0/p/176/0717465599042_100X100.png,BayBay,王佑军,打野,RYL,123,87,45,10
8,8,9,6.1,3.6,0.8,10.7,25.3,1.9,202.4,291.7,4.6,4.6,0.3,0.5,1,73.6,33.3,6,27.4,https://img1.famulei.com/z/5688126/p/186/2614531010851_100X100.png,Butter,李舷铭,打野,AFR,37,22,5,2
9,9,10,4.7,3.3,0.9,9.3,25.6,1.6,169.9,282.4,4.3,4.3,0.4,0.4,1,82.3,10.0,10,25.8,http://img1.famulei.com/z/2985229/p/181/1018265116662_100X100.png,Crash,李东祐,打野,M17,47,33,9,1
10,10,11,4.0,3.2,1.2,9.3,28.7,1.6,172.4,284.2,4.3,4.3,0.3,0.4,0,65.6,25.0,4,24.5,https://img1.famulei.com/z/5693983/p/181/2315313679889_100X100.png,Laba,黃振揚,打野,,16,13,5,1
11,11,12,1.2,2.2,2.2,28.8,14.9,1.5,479.6,388.5,9.7,9.7,0.3,0.5,0,70.0,0.0,4,26.6,https://img1.famulei.com/z/2985229/p/182/2317284659948_100X100.png,Hana,Chen Chih-Hao (陳志豪),ADC,JT,5,9,9,0
12,12,13,4.4,4.0,0.7,11.1,30.8,1.2,190.6,289.0,4.6,4.6,0.4,0.6,0,69.2,28.6,7,25.7,http://img1.famulei.com/z/0/p/176/0721302089309_100X100.png,Taizan,林敬家,打野,AHQ,31,28,5,2
13,13,14,2.0,3.0,0.0,4.9,27.0,0.6,64.4,282.4,5.0,5.0,0.3,0.3,0,40.0,0.0,1,17.4,https://img1.famulei.com/z/5693983/p/181/2315342094384_100X100.png,Empt2y,梁子皞,打野,GRX,2,3,0,0
14,14,15,1.0,5.0,1.0,10.9,29.9,0.4,165.2,303.3,4.9,4.9,0.3,0.3,0,66.6,0.0,1,18.5,http://img1.famulei.com/z/0/p/1612/2817045716459_100X100.png,Morning,陳冠廷,打野,FW,1,5,1,0
